speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0266,207,147,96,0.710144928,S0314,4066,2209,1594,0.543285785,S0269,2962,1848,1272,0.623902768,7235,4204,0.581064271,2962,S8NX.tsv,0.028610919,0.561990325,0.409398756,0.27470504,1,0,0,1,0,0,0,0
S0653,5691,3942,2888,0.692672641,S0654,2777,1774,1256,0.638818869,S0655,2058,1308,928,0.635568513,10526,7024,0.667300019,5072,S8LG.tsv,0.54066122,0.263822915,0.195515865,0.182770628,0,0,0,0,0,0,0,0
S0013,1814,1150,878,0.633958104,S0012,1268,915,677,0.721608833,S0278,5338,3385,2690,0.634132634,8420,5450,0.647268409,4245,S49V.tsv,0.21543943,0.150593824,0.633966746,0.262367252,0,0,0,0,0,0,0,0
S0255,1818,1243,971,0.683718372,S0258,1471,1076,825,0.731475187,S0257,2416,1294,1013,0.535596026,5705,3613,0.633304119,2809,S4NB.tsv,0.318667835,0.257843996,0.423488168,0.083790247,0,0,0,0,0,0,0,0
S0084,5485,3658,2722,0.666909754,S0041,7116,4824,3550,0.677908938,S0046,355,160,127,0.450704225,12956,8642,0.66702686,6399,SQP2.tsv,0.423355974,0.549243594,0.027400432,0.2723199,0,0,1,1,0,0,0,0
S0326,1609,1045,824,0.649471722,S0382,3208,1966,1524,0.612842893,S0381,1634,1021,743,0.624847001,6451,4032,0.625019377,3091,SNQD.tsv,0.249418695,0.497287242,0.253294063,0.142001471,0,0,0,0,0,0,0,0
S0260,1038,536,410,0.516377649,S0255,1526,1100,836,0.720838794,S0259,1508,950,748,0.629973475,4072,2586,0.635068762,1994,SE7R.tsv,0.254911591,0.37475442,0.370333988,0.067951176,0,0,0,0,0,0,0,0
S0687,1616,985,791,0.609529703,S0689,941,634,460,0.673751328,S0688,529,298,232,0.563327032,3086,1917,0.621192482,1483,SUJ8.tsv,0.523655217,0.30492547,0.171419313,0.177827973,0,0,0,0,0,0,0,0
S0230,1153,773,618,0.670424978,S0229,464,270,208,0.581896552,S0198,2629,1574,1287,0.598706733,4246,2617,0.616344795,2113,SPC3.tsv,0.271549694,0.109279322,0.619170984,0.260500078,0,1,0,1,0,0,0,0
S0179,4305,2641,2120,0.613472706,S0058,2347,1548,1193,0.659565403,S0091,984,736,545,0.74796748,7636,4925,0.644971189,3858,SEYD.tsv,0.563776847,0.307359874,0.128863279,0.218617058,0,0,0,0,0,0,0,0
S0278,9273,6250,4802,0.673999784,S0013,2025,1504,1099,0.742716049,S0012,3230,2215,1574,0.685758514,14528,9969,0.686192181,7475,SGMT.tsv,0.638284692,0.139386013,0.222329295,0.267331994,0,0,0,0,0,0,0,0
S0617,2455,1921,1355,0.782484725,S0525,8649,4908,3718,0.567464447,S0614,2275,1410,995,0.61978022,13379,8239,0.615815831,6068,S73U.tsv,0.183496524,0.646460872,0.170042604,0.271259826,0,0,0,0,0,0,0,0
S0259,1855,1074,835,0.578975741,S0255,2527,1722,1364,0.681440443,S0260,6,4,3,0.666666667,4388,2800,0.63810392,2202,S2NQ.tsv,0.422743847,0.575888788,0.001367366,0.297513691,0,0,1,1,0,0,0,0
S0392,1509,889,727,0.589131875,S0390,1298,837,633,0.644838213,S0391,101,54,41,0.534653465,2908,1780,0.612104539,1401,SPZR.tsv,0.518913343,0.446354883,0.034731774,0.261128993,0,0,1,1,0,0,0,0
S0013,2860,2028,1493,0.709090909,S0370,5251,3183,2390,0.606170253,S0012,4135,2941,2064,0.711245466,12246,8152,0.665686755,5947,SJH6.tsv,0.233545648,0.428793075,0.337661277,0.097695639,0,0,0,0,0,0,0,0
S0653,1430,795,652,0.555944056,S0655,830,468,341,0.563855422,S0654,303,171,124,0.564356436,2563,1434,0.559500585,1117,S6AZ.tsv,0.557939914,0.323839251,0.118220835,0.220013228,0,0,0,0,0,0,0,0
S0337,4241,3178,2291,0.749351568,S0338,3150,1809,1385,0.574285714,S0336,4557,2381,1786,0.522492868,11948,7368,0.616672246,5462,SQ36.tsv,0.354954804,0.263642451,0.381402745,0.061785822,0,0,0,0,0,0,0,0
S0392,1321,860,660,0.651021953,S0393,644,388,299,0.602484472,S0391,1353,761,602,0.562453806,3318,2009,0.605485232,1561,SHHU.tsv,0.398131404,0.194092827,0.407775769,0.120682196,0,0,0,0,0,0,0,0
S0269,3610,2248,1787,0.622714681,S0268,1263,805,637,0.637371338,S0266,331,174,129,0.525679758,5204,3227,0.620099923,2553,S69V.tsv,0.693697156,0.242697925,0.063604919,0.324676977,0,0,1,1,0,0,0,0
S0653,2964,1819,1365,0.613697706,S0654,858,559,390,0.651515152,S0655,1065,792,529,0.743661972,4887,3170,0.648659709,2284,SVC7.tsv,0.60650706,0.175567833,0.217925107,0.237521469,0,0,0,0,0,0,0,0
S0391,507,352,260,0.694280079,S0392,1658,802,653,0.48371532,S0399,888,517,393,0.582207207,3053,1671,0.547330495,1306,SJRX.tsv,0.166066164,0.543072388,0.290861448,0.192058113,0,0,0,0,0,0,0,0
