speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file,s1,s2,s3,var_speaker,,,,sum_ina,0.30239521,0.100798403,,sum_a
S0329,744,492,391,0.661290323,S0352,873,428,354,0.490263459,S0326,650,372,295,0.572307692,2267,1292,0.569916189,1040,SDAA.tsv,0.328187031,0.385090428,0.286722541,0.04938546,0,0,0,0,0,0,0,0
S0167,4791,2724,2067,0.568566061,S0149,2303,1481,1050,0.643074251,S0148,1204,842,570,0.699335548,8298,5047,0.608218848,3687,SMKK.tsv,0.57736804,0.277536756,0.145095204,0.221472109,0,0,0,0,0,0,0,0
S0653,3846,2318,1899,0.602704108,S0655,1057,712,516,0.673604541,S0654,981,654,493,0.666666667,5884,3684,0.626104691,2908,SHX8.tsv,0.653636982,0.179639701,0.166723317,0.277466266,0,0,0,0,0,0,0,0
S0537,4400,3120,2222,0.709090909,S0538,5894,3768,2844,0.639294197,S0539,440,306,221,0.695454545,10734,7194,0.670206819,5287,S8RU.tsv,0.409912428,0.549096329,0.040991243,0.262566112,0,0,1,1,0,0,0,0
S0255,4020,2470,1686,0.614427861,S0257,9927,5940,4208,0.598368087,S0256,5638,4515,2900,0.800815892,19585,12925,0.659943835,8794,S3C6.tsv,0.205259127,0.506867501,0.287873372,0.155858458,0,0,0,0,0,0,0,0
S0192,22695,17332,11526,0.763692443,S0199,10990,8155,5275,0.742038217,S0197,6606,3892,2565,0.589161368,40291,29379,0.729170286,19366,SJB4.tsv,0.563277159,0.27276563,0.163957211,0.206435075,0,0,0,0,0,0,0,0
S0084,5695,3287,2566,0.577172959,S0041,4254,3200,2337,0.752233192,S0046,234,187,133,0.799145299,10183,6674,0.655406069,5036,SQWC.tsv,0.559265442,0.417755082,0.022979476,0.277931526,0,0,1,1,0,0,0,0
S0544,2955,1684,1325,0.569881557,S0543,3708,2634,2039,0.710355987,S0561,355,263,192,0.74084507,7018,4581,0.652750071,3556,S5MM.tsv,0.421060131,0.528355657,0.050584212,0.25067585,0,0,1,1,0,0,0,0
S0084,4542,2806,2115,0.61778952,S0041,2971,1921,1435,0.646583642,S0046,702,564,401,0.803418803,8215,5291,0.644065733,3951,SUNR.tsv,0.552891053,0.361655508,0.085453439,0.235002319,0,0,1,1,0,0,0,0
S0419,11520,7045,4946,0.611545139,S0012,6937,5388,3480,0.776704627,S0013,1372,1063,738,0.774781341,19829,13496,0.680619295,9164,SW6K.tsv,0.58096727,0.349841142,0.069191588,0.256286886,0,0,1,1,0,0,0,0
S0013,4152,2644,1901,0.636801541,S0012,939,600,429,0.638977636,S0152,4935,3308,2418,0.670314083,10026,6552,0.653500898,4748,S9B9.tsv,0.414123279,0.093656493,0.492220227,0.211207301,0,1,0,1,0,0,0,0
S0653,1938,1138,907,0.587203302,S0655,742,459,334,0.618598383,S0654,1563,1048,777,0.670505438,4243,2645,0.623379684,2018,SES2.tsv,0.456752298,0.174876267,0.368371435,0.144167526,0,0,0,0,0,0,0,0
S0653,1565,865,698,0.552715655,S0654,408,242,190,0.593137255,S0655,862,540,451,0.626450116,2835,1647,0.580952381,1339,S5XL.tsv,0.552028219,0.143915344,0.304056437,0.205625587,0,0,0,0,0,0,0,0
S0034,323,138,128,0.427244582,S0109,135,64,55,0.474074074,S0123,251,122,108,0.486055777,709,324,0.456981664,291,SNBD.tsv,0.455571227,0.190409027,0.354019746,0.133786,0,0,0,0,0,0,0,0
S0232,4350,2804,2166,0.644597701,S0198,2929,1858,1396,0.634346193,S0230,226,175,120,0.774336283,7505,4837,0.644503664,3682,S5B6.tsv,0.579613591,0.390273151,0.030113258,0.279140218,0,0,1,1,0,0,0,0
S0556,3118,2311,1680,0.741180244,S0405,2789,1609,1218,0.576909286,S0555,1875,1211,864,0.645866667,7782,5131,0.659342071,3762,S555.tsv,0.400668209,0.358391159,0.240940632,0.082759565,0,0,0,0,0,0,0,0
S0559,3380,2283,1640,0.675443787,S0544,2394,1601,1142,0.668755221,S0543,2337,1288,956,0.551133932,8111,5172,0.637652571,3738,SRHV.tsv,0.416718037,0.295154728,0.288127235,0.072298707,0,0,0,0,0,0,0,0
S0152,3804,2113,1583,0.555467928,S0012,3274,2230,1662,0.681124007,S0013,1509,1168,836,0.774022531,8587,5511,0.641784092,4081,S59W.tsv,0.442995225,0.381274019,0.175730756,0.13993322,0,0,0,0,0,0,0,0
S0653,3159,1961,1546,0.620766065,S0655,1432,901,625,0.629189944,S0654,1095,733,523,0.669406393,5686,3595,0.632254661,2694,S839.tsv,0.555575097,0.251846641,0.192578262,0.194735041,0,0,0,0,0,0,0,0
S0013,1558,1206,865,0.77406932,S0278,10582,5955,4563,0.562748063,S0012,3773,2491,1718,0.660217334,15913,9652,0.606548105,7146,SDXW.tsv,0.097907371,0.664990888,0.237101741,0.295535646,1,0,0,1,0,0,0,0
S0192,11219,8297,5694,0.739548979,S0190,675,317,230,0.46962963,S0227,12624,8702,6345,0.689321926,24518,17316,0.706256628,12269,SVKH.tsv,0.457582185,0.027530794,0.514887022,0.26637822,0,1,0,1,0,0,0,0
S0653,2153,1349,1077,0.62656758,S0654,945,590,457,0.624338624,S0655,964,559,432,0.579875519,4062,2498,0.614967996,1966,SDAB.tsv,0.530034466,0.232644018,0.237321516,0.170364232,0,0,0,0,0,0,0,0
S0013,1168,782,612,0.669520548,S0012,5924,3885,2776,0.655806887,S0152,6412,4210,2974,0.65658141,13504,8877,0.657360782,6362,SZJ7.tsv,0.086492891,0.438684834,0.474822275,0.214532356,1,0,0,1,0,0,0,0
S0084,4276,2906,2124,0.679607109,S0041,6102,3760,2753,0.616191413,S0046,672,527,344,0.78422619,11050,7193,0.650950226,5221,SXRR.tsv,0.386968326,0.552217195,0.06081448,0.250053377,0,0,1,1,0,0,0,0
S0417,1116,711,537,0.637096774,S0415,2609,1512,1122,0.579532388,S0416,1227,780,557,0.635696822,4952,3003,0.606421648,2216,SBCL.tsv,0.225363489,0.526857835,0.247778675,0.167971455,0,0,0,0,0,0,0,0
S0567,1148,647,546,0.56358885,S0621,499,295,229,0.591182365,S0622,580,366,288,0.631034483,2227,1308,0.587337225,1063,SUC7.tsv,0.515491693,0.224068253,0.260440054,0.158798545,0,0,0,0,0,0,0,0
S0064,1245,748,557,0.600803213,S0164,609,370,271,0.607553366,S0027,1678,1015,768,0.60488677,3532,2133,0.603907135,1596,S9CH.tsv,0.352491506,0.172423556,0.475084938,0.152237494,0,0,0,0,0,0,0,0
S0456,2173,1317,1037,0.606074551,S0458,1642,989,748,0.602314251,S0457,1327,944,705,0.71137905,5142,3250,0.632049786,2490,S75W.tsv,0.422598211,0.319331,0.25807079,0.083152673,0,0,0,0,0,0,0,0
S0511,2971,1841,1546,0.619656681,S0512,912,551,434,0.604166667,S0513,666,424,333,0.636636637,4549,2816,0.619037151,2313,SP3F.tsv,0.653110574,0.200483623,0.146405803,0.278252071,0,0,0,0,0,0,0,0
S0519,1840,1201,879,0.652717391,S0522,2072,1258,937,0.607142857,S0520,3449,2263,1655,0.656132212,7361,4722,0.641488928,3471,S2QU.tsv,0.249966037,0.281483494,0.468550469,0.118157068,0,0,0,0,0,0,0,0
S0654,307,162,118,0.527687296,S0655,323,156,119,0.482972136,S0653,1143,589,458,0.515310586,1773,907,0.511562324,695,S9UA.tsv,0.173152848,0.182177101,0.644670051,0.269663259,0,0,0,0,0,0,0,0
S0525,3776,2687,2059,0.711599576,S0615,2961,1869,1416,0.631205674,S0656,731,451,345,0.616963064,7468,5007,0.670460632,3820,SQVW.tsv,0.505623996,0.396491698,0.097884306,0.211079719,0,0,1,1,0,0,0,0
S0655,249,156,120,0.626506024,S0653,756,345,285,0.456349206,S0654,773,334,260,0.432082794,1778,835,0.469628796,665,S3A9.tsv,0.140044994,0.42519685,0.434758155,0.167460864,0,0,0,0,0,0,0,0
S0390,953,609,522,0.639034627,S0392,836,408,319,0.488038278,S0391,325,204,167,0.627692308,2114,1221,0.577578051,1008,S3CP.tsv,0.450804163,0.395458846,0.153736991,0.157977563,0,0,0,0,0,0,0,0
S0013,1685,1330,1011,0.789317507,S0278,7188,4207,3248,0.585281024,S0012,2487,1551,1084,0.623642943,11360,7088,0.623943662,5343,S38P.tsv,0.148327465,0.632746479,0.218926056,0.261691066,0,0,0,0,0,0,0,0
S0390,2485,1378,1040,0.554527163,S0392,3721,2516,1946,0.676162322,S0391,77,46,37,0.597402597,6283,3940,0.62708897,3023,SQ93.tsv,0.395511698,0.59223301,0.012255292,0.294946012,0,0,1,1,0,0,0,0
S0012,1525,1004,755,0.658360656,S0008,2109,1301,992,0.616880038,S0013,345,215,170,0.623188406,3979,2520,0.633324956,1917,SZQ9.tsv,0.383262126,0.530032672,0.086705202,0.225841702,0,0,1,1,0,0,0,0
S0655,449,318,240,0.708240535,S0654,376,210,163,0.558510638,S0653,1473,603,516,0.409368635,2298,1131,0.492167102,919,SZFG.tsv,0.195387293,0.16362054,0.640992167,0.266913376,0,0,0,0,0,0,0,0
S0429,2882,1891,1417,0.656141568,S0428,2353,1594,1180,0.677433064,S0430,2345,1448,1088,0.617484009,7580,4933,0.650791557,3685,SASQ.tsv,0.380211082,0.310422164,0.309366755,0.040600751,0,0,0,0,0,0,0,0
S0012,2853,1986,1464,0.696109359,S0013,1005,765,602,0.76119403,S0152,8160,5342,4276,0.654656863,12018,8093,0.673406557,6342,SWTX.tsv,0.237393909,0.083624563,0.678981528,0.309056239,0,1,0,1,0,0,0,0
S0653,1750,1159,904,0.662285714,S0655,852,443,321,0.519953052,S0654,759,395,284,0.520421607,3361,1997,0.594168402,1509,SK3P.tsv,0.52067837,0.253495983,0.225825647,0.162834375,0,0,0,0,0,0,0,0
S0198,4846,2983,2279,0.615559224,S0230,2548,1814,1337,0.711930926,S0229,709,498,360,0.702397743,8103,5295,0.653461681,3976,SGGE.tsv,0.598050105,0.314451438,0.087498457,0.255799024,0,0,1,1,0,0,0,0
S0654,694,428,343,0.616714697,S0653,2002,1243,982,0.620879121,S0655,670,369,283,0.550746269,3366,2040,0.606060606,1608,S74A.tsv,0.206179441,0.594771242,0.199049317,0.226439936,0,0,0,0,0,0,0,0
S0328,793,578,426,0.72887768,S0330,2247,774,670,0.344459279,S0326,328,161,124,0.490853659,3368,1513,0.449228029,1220,SYA7.tsv,0.235451306,0.66716152,0.097387173,0.297231173,0,0,1,1,0,0,0,0
S0653,443,258,210,0.582392777,S0654,960,497,373,0.517708333,S0655,773,395,293,0.510996119,2176,1150,0.528492647,876,SNZS.tsv,0.203584559,0.441176471,0.355238971,0.120301171,0,0,0,0,0,0,0,0
S0653,646,360,298,0.557275542,S0655,612,368,298,0.60130719,S0654,860,449,358,0.522093023,2118,1177,0.555712937,954,S7WR.tsv,0.305004721,0.288951841,0.406043437,0.063478289,0,0,0,0,0,0,0,0
S0655,895,550,430,0.61452514,S0654,481,256,196,0.532224532,S0653,1819,1024,843,0.562946674,3195,1830,0.572769953,1469,S2JK.tsv,0.280125196,0.150547731,0.569327074,0.214400009,0,0,0,0,0,0,0,0
S0654,999,427,336,0.427427427,S0653,1836,1133,894,0.617102397,S0655,450,320,232,0.711111111,3285,1880,0.572298326,1462,SR3P.tsv,0.304109589,0.55890411,0.136986301,0.212471597,0,0,0,0,0,0,0,0
S0120,3203,2188,1609,0.683109585,S0058,5341,3375,2535,0.631904138,S0179,4297,2889,2115,0.672329532,12841,8452,0.65820419,6259,S37K.tsv,0.249435402,0.415933339,0.334631259,0.083256556,0,0,0,0,0,0,0,0
S0542,2711,1799,1292,0.66359277,S0543,2560,1867,1333,0.729296875,S0544,2410,1344,988,0.557676349,7681,5010,0.65225882,3613,SHXJ.tsv,0.352948835,0.333289936,0.313761229,0.019593839,0,0,0,0,0,0,0,0
S0485,3815,2312,1777,0.606028834,S0432,1369,984,740,0.718772827,S0428,1912,1238,939,0.64748954,7096,4534,0.638951522,3456,SFXE.tsv,0.537626832,0.192925592,0.269447576,0.1810132,0,0,0,0,0,0,0,0
S0422,1377,975,741,0.708061002,S0423,2274,1319,997,0.58003518,S0421,1832,1131,814,0.617358079,5483,3425,0.624658034,2552,SDTD.tsv,0.251139887,0.414736458,0.334123655,0.081801149,0,0,0,0,0,0,0,0
S0417,8116,5905,4314,0.72757516,S0475,6416,4556,3238,0.710099751,S0418,215,185,125,0.860465116,14747,10646,0.721909541,7677,SCSF.tsv,0.550349224,0.43507154,0.014579236,0.282002423,0,0,1,1,0,0,0,0
S0319,6648,4665,3392,0.701714801,S0255,3387,2046,1569,0.604074402,S0256,3578,2754,1968,0.769703745,13613,9465,0.695291266,6929,SVD6.tsv,0.488356718,0.248806288,0.262836994,0.134437355,0,0,0,0,0,0,0,0
S0179,2322,1524,1153,0.656330749,S0058,4010,2815,2156,0.701995012,S0020,786,339,259,0.43129771,7118,4678,0.657207081,3568,SVD7.tsv,0.326215229,0.563360495,0.110424276,0.226551992,0,0,1,1,0,0,0,0
S0653,2303,1451,1117,0.630047764,S0655,509,328,239,0.644400786,S0654,636,424,314,0.666666667,3448,2203,0.638921114,1670,SMH4.tsv,0.667923434,0.14762181,0.184454756,0.290348184,0,0,0,0,0,0,0,0
S0057,3219,2193,1585,0.681267474,S0058,7764,5449,3918,0.701828954,S0179,5850,3567,2614,0.60974359,16833,11209,0.665894374,8117,SLNB.tsv,0.19123151,0.461236856,0.347531634,0.135561483,0,0,0,0,0,0,0,0
S0589,1132,635,521,0.560954064,S0590,2847,1814,1515,0.637161925,S0588,932,646,504,0.693133047,4911,3095,0.630217878,2540,SKDP.tsv,0.230502953,0.579718998,0.189778049,0.214345635,0,0,0,0,0,0,0,0
S0262,4082,2785,1978,0.682263596,S0301,4263,2735,1926,0.641566972,S0261,2491,1577,1124,0.633079085,10836,7097,0.654946475,5028,SEJT.tsv,0.376707272,0.393410853,0.229881875,0.089980029,0,0,0,0,0,0,0,0
S0104,1217,581,504,0.477403451,S0167,752,480,386,0.638297872,S0110,395,245,196,0.620253165,2364,1306,0.552453469,1086,SK3S.tsv,0.514805415,0.318104907,0.167089679,0.174357354,0,0,0,0,0,0,0,0
S0075,2400,1571,1198,0.654583333,S0150,788,501,385,0.635786802,S0068,2044,1352,997,0.661448141,5232,3424,0.654434251,2580,S2PS.tsv,0.458715596,0.150611621,0.390672783,0.161857574,0,0,0,0,0,0,0,0
S0417,4334,3185,2338,0.73488694,S0475,6578,4460,3260,0.678017635,S0416,218,104,68,0.47706422,11130,7749,0.696226415,5666,S5U8.tsv,0.389398023,0.591015274,0.019586703,0.289810438,0,0,1,1,0,0,0,0
S0346,5419,3530,2521,0.6514117,S0337,5054,3330,2344,0.658884052,S0336,4930,3576,2478,0.72535497,15403,10436,0.677530351,7343,S985.tsv,0.351814582,0.328117899,0.320067519,0.016503623,0,0,0,0,0,0,0,0
S0192,19420,13275,9182,0.683573635,S0196,9542,5489,3701,0.57524628,S0194,10449,9215,5600,0.881902574,39411,27979,0.7099287,18483,S5XD.tsv,0.49275583,0.242115146,0.265129025,0.138542625,0,0,0,0,0,0,0,0
S0328,10560,7145,5017,0.676609848,S0326,4790,3235,2163,0.675365344,S0330,3362,2700,1795,0.803093397,18712,13080,0.699016674,8975,SWWZ.tsv,0.564343737,0.255985464,0.179670799,0.203667221,0,0,0,0,0,0,0,0
S0091,759,515,395,0.678524374,S0058,2295,1488,1113,0.648366013,S0179,4509,2508,1984,0.556220892,7563,4511,0.596456433,3492,SUAB.tsv,0.100357001,0.303451012,0.596191987,0.249264515,1,0,0,1,0,0,0,0
S0417,2114,1368,1075,0.647114475,S0416,1252,689,537,0.550319489,S0418,111,54,45,0.486486486,3477,2111,0.607132586,1657,SYWB.tsv,0.607995398,0.360080529,0.031924072,0.288965573,0,0,1,1,0,0,0,0
S0653,3600,2005,1602,0.556944444,S0655,1645,1170,868,0.711246201,S0654,813,530,412,0.651906519,6058,3705,0.611587983,2882,SCG9.tsv,0.59425553,0.271541763,0.134202707,0.236169004,0,0,0,0,0,0,0,0
S0520,956,575,458,0.601464435,S0519,1009,517,434,0.512388503,S0521,413,255,205,0.617433414,2378,1347,0.566442389,1097,STDN.tsv,0.402018503,0.42430614,0.173675357,0.138716209,0,0,0,0,0,0,0,0
S0198,1350,484,426,0.358518519,S0230,415,284,230,0.684337349,S0229,282,204,162,0.723404255,2047,972,0.474841231,818,S4KE.tsv,0.65950171,0.202735711,0.137762579,0.284332085,0,0,0,0,0,0,0,0
S0519,2019,1272,988,0.630014859,S0520,1995,1222,930,0.612531328,S0521,835,514,397,0.615568862,4849,3008,0.62033409,2315,SXGX.tsv,0.41637451,0.411425036,0.172200454,0.139567109,0,0,0,0,0,0,0,0
S0405,9050,6177,4358,0.682541436,S0556,5954,4020,2705,0.675176352,S0555,6321,4384,2921,0.693561145,21325,14581,0.683751465,9984,SMRV.tsv,0.424384525,0.279202814,0.296412661,0.079320769,0,0,0,0,0,0,0,0
S0617,3142,2240,1644,0.712921706,S0641,5817,3355,2607,0.576757779,S0622,1036,882,606,0.851351351,9995,6477,0.648024012,4857,SDZC.tsv,0.314357179,0.581990995,0.103651826,0.239733521,0,0,1,1,0,0,0,0
S0290,3332,1534,1164,0.460384154,S0282,632,435,303,0.688291139,S0291,3338,2564,1794,0.768124626,7302,4533,0.620788825,3261,SVDM.tsv,0.456313339,0.08655163,0.457135031,0.213719619,0,1,0,1,0,0,0,0
S0653,1626,776,663,0.477244772,S0655,455,292,213,0.641758242,S0654,168,104,81,0.619047619,2249,1172,0.521120498,957,SQBK.tsv,0.722987995,0.202312139,0.074699867,0.343430181,0,0,1,1,0,0,0,0
S0653,1736,1153,911,0.664170507,S0654,491,220,165,0.448065173,S0655,572,298,230,0.520979021,2799,1671,0.596998928,1306,SF7M.tsv,0.620221508,0.175419793,0.2043587,0.248873429,0,0,0,0,0,0,0,0
S0520,4596,2672,2063,0.581375109,S0519,2125,1423,1062,0.669647059,S0521,831,611,439,0.735258724,7552,4706,0.623146186,3564,SDUM.tsv,0.608580508,0.281382415,0.110037076,0.253299352,0,0,1,1,0,0,0,0
S0556,4591,3185,2217,0.693748639,S0405,4962,3035,2267,0.611648529,S0555,2756,2092,1466,0.759071118,12309,8312,0.675278252,5950,SXR9.tsv,0.372979121,0.403119669,0.22390121,0.095961739,0,0,0,0,0,0,0,0
S0135,8928,6192,4283,0.693548387,S0084,12140,8228,5807,0.677759473,S0041,2508,2045,1370,0.81539075,23576,16465,0.698379708,11460,SVR6.tsv,0.378690193,0.514930438,0.106379369,0.208017854,0,0,1,1,0,0,0,0
S0084,2788,1703,1327,0.610832138,S0157,2043,1425,1048,0.697503671,S0041,1113,702,502,0.630727763,5944,3830,0.644347241,2877,STJD.tsv,0.469044415,0.343707941,0.187247645,0.141184557,0,0,0,0,0,0,0,0
S0229,111,59,49,0.531531532,S0198,1032,476,403,0.46124031,S0230,529,329,265,0.621928166,1672,864,0.516746411,717,SRGR.tsv,0.06638756,0.61722488,0.31638756,0.275809369,1,0,0,1,0,0,0,0
S0478,1280,782,601,0.6109375,S0240,1361,830,644,0.609845702,S0479,79,45,36,0.569620253,2720,1657,0.609191176,1281,SGFN.tsv,0.470588235,0.500367647,0.029044118,0.26394251,0,0,1,1,0,0,0,0
S0317,3670,2593,1772,0.70653951,S0255,8009,5326,3762,0.665001873,S0318,7004,4838,3271,0.690748144,18683,12757,0.682813253,8805,SN8K.tsv,0.196435262,0.428678478,0.37488626,0.121569783,0,0,0,0,0,0,0,0
S0189,1778,1157,851,0.650731159,S0192,3899,2622,1971,0.672480123,S0228,1854,1180,885,0.636461704,7531,4959,0.65847829,3707,SNAC.tsv,0.236090825,0.51772673,0.246182446,0.159769063,0,0,0,0,0,0,0,0
S0590,8354,5958,4404,0.713191286,S0588,5161,3399,2482,0.658593296,S0589,1979,1402,978,0.708438605,15494,10759,0.694397831,7864,SN64.tsv,0.539176455,0.333096683,0.127726862,0.205724899,0,0,0,0,0,0,0,0
S0422,1552,970,726,0.625,S0423,3807,2487,1876,0.653270292,S0421,2851,2071,1464,0.726411785,8210,5528,0.673325213,4066,S776.tsv,0.189037759,0.463702801,0.34725944,0.137861067,0,0,0,0,0,0,0,0
S0521,444,322,243,0.725225225,S0519,598,307,231,0.513377926,S0520,1828,543,449,0.297045952,2870,1172,0.408362369,923,SWLS.tsv,0.154703833,0.208362369,0.636933798,0.264291016,0,0,0,0,0,0,0,0
S0653,2401,1430,1154,0.595585173,S0655,952,627,466,0.658613445,S0654,804,439,343,0.5460199,4157,2496,0.600433005,1963,SLT4.tsv,0.577579986,0.229011306,0.193408708,0.21227154,0,0,0,0,0,0,0,0
S0266,180,124,95,0.688888889,S0272,3324,1439,1142,0.432912154,S0273,1476,1112,800,0.753387534,4980,2675,0.537148594,2037,SYNT.tsv,0.036144578,0.66746988,0.296385542,0.31728026,1,0,0,1,0,0,0,0
S0240,6297,4930,3221,0.782912498,S0238,5779,3803,2528,0.658072331,S0241,13889,8938,6190,0.643530852,25965,17671,0.680569998,11939,SP2Y.tsv,0.242518775,0.222568843,0.534912382,0.174857326,0,0,0,0,0,0,0,0
S0653,1578,974,805,0.617237009,S0654,751,433,336,0.576564581,S0655,532,267,206,0.501879699,2861,1674,0.585110101,1347,SBNC.tsv,0.5515554,0.262495631,0.185948969,0.192822459,0,0,0,0,0,0,0,0
S0008,9568,5862,4281,0.612667224,S0012,6185,4628,3166,0.748261924,S0013,1901,1445,1075,0.760126249,17654,11935,0.676050753,8522,SNYG.tsv,0.54197349,0.350345531,0.107680979,0.217645486,0,0,1,1,0,0,0,0
S0419,976,533,405,0.546106557,S0013,760,446,338,0.586842105,S0012,1122,710,525,0.632798574,2858,1689,0.590972708,1268,SE2A.tsv,0.341497551,0.265920224,0.392582225,0.063724458,0,0,0,0,0,0,0,0
S0417,1907,1155,919,0.605663346,S0416,2129,1415,1117,0.664631282,S0418,2,0,0,0,4038,2570,0.63645369,2036,S3CK.tsv,0.472263497,0.527241209,0.000495295,0.28955398,0,0,1,1,0,0,0,0
S0417,820,501,412,0.61097561,S0416,1473,809,652,0.54921928,S0418,12,5,5,0.416666667,2305,1315,0.570498915,1069,S8Q3.tsv,0.355748373,0.639045553,0.005206074,0.317513696,0,0,1,1,0,0,0,0
S0655,528,306,246,0.579545455,S0653,1957,1065,880,0.544200307,S0654,533,286,217,0.536585366,3018,1657,0.549039099,1343,SQU6.tsv,0.174950298,0.648442677,0.176607025,0.272893954,0,0,0,0,0,0,0,0
S0212,2436,1563,1165,0.641625616,S0209,181,57,45,0.314917127,S0202,3837,2386,1853,0.621839979,6454,4006,0.620700341,3063,STG7.tsv,0.377440347,0.028044623,0.594515029,0.285799321,0,1,0,1,0,0,0,0
S0084,12084,8007,5632,0.662611718,S0041,11249,8250,5659,0.733398524,S0046,444,282,194,0.635135135,23777,16539,0.695588173,11485,STSS.tsv,0.508222232,0.47310426,0.018673508,0.27306853,0,0,1,1,0,0,0,0
S0439,4658,2851,2187,0.612065264,S0481,3086,2339,1684,0.75793908,S0440,1622,917,671,0.565351418,9366,6107,0.652039291,4542,SCPR.tsv,0.497330771,0.329489643,0.173179586,0.162109772,0,0,0,0,0,0,0,0
S0653,925,589,492,0.636756757,S0654,531,294,239,0.553672316,S0655,694,397,321,0.57204611,2150,1280,0.595348837,1052,SXH5.tsv,0.430232558,0.246976744,0.322790698,0.092081669,0,0,0,0,0,0,0,0
S0589,647,452,346,0.698608964,S0590,3239,2057,1647,0.635072553,S0588,3176,1860,1438,0.585642317,7062,4369,0.618663268,3431,SFMJ.tsv,0.091617106,0.45865194,0.449730954,0.209379911,1,0,0,1,0,0,0,0
S0468,1717,1064,887,0.619685498,S0467,1597,1019,813,0.638071384,S0428,160,19,15,0.11875,3474,2102,0.605066206,1715,SX3B.tsv,0.494242948,0.459700633,0.046056419,0.249387875,0,0,1,1,0,0,0,0
S0070,2941,1704,1289,0.579394764,S0180,2954,1904,1461,0.644549763,S0183,83,63,42,0.759036145,5978,3671,0.614084978,2792,SHBJ.tsv,0.491970559,0.494145199,0.013884242,0.276653165,0,0,1,1,0,0,0,0
S0655,541,311,249,0.574861368,S0653,1627,906,722,0.556853104,S0654,428,287,206,0.670560748,2596,1504,0.579352851,1177,SXQ6.tsv,0.208397535,0.626733436,0.164869029,0.255022348,0,0,0,0,0,0,0,0
S0454,8942,6147,4329,0.687430105,S0455,7634,5352,3737,0.701074142,S0452,2066,1571,1094,0.760406583,18642,13070,0.701105032,9160,S8PW.tsv,0.479669563,0.409505418,0.110825019,0.195865296,0,0,1,1,0,0,0,0
S0417,2829,1653,1280,0.584305408,S0416,2073,1412,1065,0.681138447,S0418,27,19,19,0.703703704,4929,3084,0.625684723,2364,SHX2.tsv,0.573950091,0.420572124,0.005477785,0.294105671,0,0,1,1,0,0,0,0
S0018,3192,1962,1455,0.614661654,S0006,4502,2441,1885,0.542203465,S0005,1309,955,677,0.729564553,9003,5358,0.595134955,4017,SJ4X.tsv,0.354548484,0.500055537,0.145395979,0.17827903,0,0,0,0,0,0,0,0
S0439,1903,965,752,0.507094062,S0440,967,648,470,0.670113754,S0481,1595,1055,823,0.661442006,4465,2668,0.597536394,2045,S37E.tsv,0.426203807,0.216573348,0.357222844,0.106837558,0,0,0,0,0,0,0,0
S0417,1542,834,711,0.540856031,S0418,167,85,67,0.508982036,S0416,857,567,462,0.661610268,2566,1486,0.579111458,1240,SYTL.tsv,0.600935308,0.065081839,0.333982853,0.267927325,0,1,0,1,0,0,0,0
S0018,3562,2382,1836,0.668725435,S0019,3095,1927,1466,0.622617124,S0017,2517,1708,1315,0.678585618,9174,6017,0.6558753,4617,S575.tsv,0.388271201,0.33736647,0.274362328,0.057061436,0,0,0,0,0,0,0,0
S0227,10034,5709,4151,0.568965517,S0192,10817,7860,5375,0.726634002,S0190,4131,3511,2260,0.849915275,24982,17080,0.683692258,11786,SW6A.tsv,0.401649187,0.432991754,0.165359059,0.146311677,0,0,0,0,0,0,0,0
S0382,8338,5912,4049,0.709042936,S0326,6871,4794,3205,0.697715034,S0381,4749,3218,2140,0.67761634,19958,13924,0.697665097,9394,SP2X.tsv,0.417777332,0.344272973,0.237949694,0.090411568,0,0,0,0,0,0,0,0
S0167,1568,925,718,0.589923469,S0110,263,93,67,0.353612167,S0104,1263,821,655,0.650039588,3094,1839,0.594376212,1440,S79Y.tsv,0.50678733,0.085003232,0.408209438,0.22063608,0,1,0,1,0,0,0,0
S0653,2395,1513,1202,0.631732777,S0654,985,563,422,0.571573604,S0655,718,385,290,0.536211699,4098,2461,0.600536847,1914,S57G.tsv,0.58443143,0.240361152,0.175207418,0.21988393,0,0,0,0,0,0,0,0
S0013,2470,1981,1324,0.802024291,S0008,11234,6696,4633,0.596047712,S0012,6406,4097,2772,0.639556666,20110,12774,0.635206365,8729,SL8N.tsv,0.122824465,0.558627548,0.318547986,0.218277431,0,0,0,0,0,0,0,0
S0008,9896,6595,4625,0.666430881,S0012,6289,4580,3083,0.728255685,S0013,1884,1294,994,0.686836518,18069,12469,0.690076927,8702,S7TT.tsv,0.547678344,0.348054679,0.104266977,0.222071945,0,0,1,1,0,0,0,0
S0653,1106,705,582,0.637432188,S0654,964,303,245,0.314315353,S0655,1789,1203,924,0.672442705,3859,2211,0.572946359,1751,S2JV.tsv,0.286602747,0.249805649,0.463591604,0.114297504,0,0,0,0,0,0,0,0
S0440,3428,2544,1874,0.742123687,S0439,4447,2463,1882,0.553856532,S0481,1240,746,527,0.601612903,9115,5753,0.631157433,4283,SE3W.tsv,0.376083379,0.487877126,0.136039495,0.179772368,0,0,0,0,0,0,0,0
