Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
we're,1,3,"[0, 3, 25, 66, 130, 325, 326, 328, 489, 490, 585]",SWF6.tsv
the,1,2,"[0, 2, 4, 6, 7, 8, 11, 19, 24, 25, 28, 38, 43, 44, 46, 47, 48, 55, 64, 75, 97, 98, 101, 104, 118, 132, 133, 135, 144, 145, 149, 187, 200, 204, 206, 210, 216, 228, 229, 233, 235, 251, 256, 258, 285, 288, 295, 297, 302, 307, 313, 321, 329, 331, 349, 369, 395, 431, 459, 470, 479, 486, 489, 490, 491, 513, 517, 521, 522, 531, 532, 533, 535, 537, 538, 539, 541, 549, 561, 564, 571, 582, 585, 593, 594, 595, 596, 597, 599, 602, 635, 638, 640, 643, 654, 665, 670, 671, 673, 693, 699, 710, 712, 715, 717, 719, 726]",SWF6.tsv
er,1,4,"[0, 4, 9, 10, 30, 38, 46, 51, 70, 73, 81, 91, 100, 109, 122, 194, 213, 242, 262, 268, 270, 297, 308, 328, 332, 336, 346, 388, 448, 506, 519, 520, 522, 531, 557, 573, 584, 585, 599, 602, 605, 636, 682, 690, 716]",SWF6.tsv
here,1,9,"[0, 9, 43, 665, 676]",SWF6.tsv
we,1,2,"[0, 2, 9, 30, 37, 38, 39, 44, 52, 55, 58, 70, 72, 104, 118, 143, 146, 149, 150, 152, 157, 177, 179, 202, 213, 215, 223, 225, 271, 277, 288, 324, 328, 333, 342, 344, 346, 402, 463, 467, 471, 476, 484, 485, 583, 584, 585, 659, 665, 710, 711, 712, 714, 719, 728]",SWF6.tsv
a,1,10,"[0, 10, 29, 30, 32, 53, 60, 62, 72, 78, 79, 80, 86, 97, 100, 108, 112, 146, 150, 151, 157, 195, 201, 202, 203, 211, 225, 228, 251, 258, 262, 278, 295, 308, 313, 317, 331, 333, 342, 344, 345, 349, 355, 362, 364, 365, 400, 444, 446, 465, 475, 494, 495, 496, 497, 498, 499, 500, 502, 510, 517, 519, 522, 525, 526, 528, 531, 536, 541, 546, 585, 598, 599, 600, 605, 622, 635, 636, 642, 654, 659, 664, 665, 668, 669, 670, 678, 679, 681, 716, 719, 723, 727, 728]",SWF6.tsv
that's,1,46,"[0, 46, 47, 52, 60, 96, 124, 129, 138, 163, 175, 195, 225, 273, 286, 297, 313, 317, 327, 383, 388, 390, 391, 394, 427, 438, 439, 456, 458, 483, 507, 517, 526, 528, 531, 538, 575, 579, 581, 591, 603, 606, 640, 671, 672, 724]",SWF6.tsv
cos,1,34,"[0, 34, 58, 70, 78, 88, 101, 324, 656, 695, 696, 697]",SWF6.tsv
all the,2,11,"[0, 11, 302, 321, 717]",SWF6.tsv
still,1,562,"[0, 562, 629, 656]",SWF6.tsv
though,1,2,"[0, 2, 93, 94, 225, 401, 562, 639, 717]",SWF6.tsv
the way,2,149,"[0, 149, 251, 602]",SWF6.tsv
way,1,149,"[0, 149, 251, 602]",SWF6.tsv
the worst,2,7,"[6, 7]",SWF6.tsv
