Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
that,1,1,"[0, 1, 19, 25, 31, 37, 45, 59, 60, 65, 69, 77, 78, 87, 106, 107, 109, 113, 121, 122, 130, 133, 168, 169, 174, 177, 194, 199, 210, 215, 224, 246, 261, 278, 279, 292, 295, 297, 303, 316, 326, 338, 344, 353, 394, 412, 419, 441, 445, 459, 468, 473, 474, 478, 483, 496, 517, 524, 525, 559, 565, 582, 632, 640, 657, 664, 670, 716, 724, 730, 736, 738, 740, 759, 764, 768, 774, 791, 814, 819, 830, 844]",SWSL.tsv
with,1,1,"[0, 1, 118, 121, 123, 126, 141, 208, 543, 604, 612, 727, 743, 745, 767, 824]",SWSL.tsv
strimmer,1,1,"[0, 1]",SWSL.tsv
do,1,4,"[0, 2, 4, 8, 18, 19, 25, 29, 31, 60, 75, 77, 108, 112, 118, 123, 124, 140, 141, 146, 151, 169, 170, 172, 178, 180, 182, 187, 205, 210, 222, 256, 278, 281, 297, 304, 316, 318, 321, 369, 384, 419, 434, 445, 449, 450, 468, 471, 483, 485, 487, 489, 500, 507, 512, 517, 519, 525, 528, 536, 540, 541, 544, 551, 554, 561, 563, 564, 565, 568, 571, 582, 600, 628, 632, 650, 652, 663, 666, 702, 708, 717, 727, 729, 768, 774, 789, 816, 830, 831, 836, 842]",SWSL.tsv
be,1,5,"[0, 5, 6, 7, 21, 26, 28, 41, 49, 53, 57, 60, 62, 66, 67, 68, 77, 78, 86, 87, 88, 89, 92, 93, 94, 95, 99, 100, 101, 102, 113, 115, 116, 123, 126, 127, 128, 130, 137, 140, 144, 151, 153, 158, 168, 169, 176, 177, 185, 192, 195, 197, 199, 201, 215, 217, 218, 232, 235, 247, 248, 260, 265, 266, 275, 276, 279, 292, 293, 295, 300, 305, 315, 318, 325, 327, 335, 339, 345, 346, 349, 350, 353, 356, 360, 378, 380, 381, 385, 393, 394, 399, 401, 404, 405, 413, 414, 426, 435, 441, 443, 444, 445, 447, 450, 459, 463, 472, 479, 490, 492, 495, 504, 506, 515, 517, 536, 537, 538, 543, 545, 548, 549, 551, 554, 556, 558, 559, 560, 564, 565, 570, 572, 575, 582, 584, 586, 587, 589, 594, 600, 608, 609, 610, 633, 635, 639, 640, 642, 645, 653, 654, 658, 659, 664, 679, 680, 681, 684, 685, 690, 691, 702, 718, 729, 730, 732, 751, 758, 764, 774, 775, 778, 783, 799, 800, 802, 809, 811, 814, 819, 836, 844]",SWSL.tsv
the,1,5,"[0, 2, 5, 6, 7, 29, 37, 39, 42, 48, 60, 64, 68, 69, 71, 77, 78, 82, 88, 92, 101, 102, 106, 113, 115, 121, 124, 133, 140, 141, 142, 143, 148, 151, 157, 158, 160, 164, 165, 166, 168, 177, 197, 204, 208, 211, 214, 216, 220, 222, 224, 225, 232, 240, 252, 253, 259, 265, 281, 305, 308, 314, 326, 327, 344, 347, 348, 349, 353, 356, 359, 360, 361, 362, 363, 392, 393, 394, 396, 399, 413, 414, 418, 439, 443, 445, 449, 450, 451, 454, 463, 464, 513, 517, 530, 545, 554, 555, 565, 574, 575, 583, 586, 587, 600, 603, 604, 605, 610, 612, 617, 618, 619, 621, 625, 626, 630, 638, 640, 642, 652, 659, 680, 684, 690, 693, 697, 709, 711, 712, 714, 718, 720, 722, 730, 731, 736, 738, 739, 746, 753, 754, 763, 770, 774, 776, 779, 787, 791, 800, 821, 824, 842, 844, 846]",SWSL.tsv
it,1,7,"[0, 7, 8, 16, 18, 19, 20, 21, 22, 24, 26, 29, 37, 39, 41, 51, 53, 57, 60, 61, 62, 64, 65, 67, 69, 70, 71, 72, 74, 75, 88, 89, 93, 94, 95, 136, 139, 140, 143, 144, 151, 153, 158, 162, 163, 169, 170, 171, 172, 176, 177, 192, 195, 197, 201, 224, 234, 246, 255, 256, 257, 260, 261, 265, 281, 282, 288, 289, 293, 297, 300, 303, 304, 305, 306, 312, 314, 321, 327, 339, 342, 343, 346, 356, 370, 385, 396, 399, 401, 402, 415, 432, 434, 435, 441, 447, 450, 472, 476, 477, 480, 484, 495, 513, 532, 543, 544, 547, 548, 556, 560, 570, 571, 572, 575, 582, 586, 587, 594, 608, 609, 610, 619, 627, 628, 635, 639, 644, 649, 651, 653, 654, 658, 670, 680, 681, 696, 702, 706, 712, 723, 724, 726, 727, 729, 732, 734, 741, 751, 756, 758, 772, 774, 778, 783, 792, 793, 801, 809, 812, 816, 817, 819, 837, 839]",SWSL.tsv
his,1,15,"[0, 15, 16, 35, 39, 102, 109, 113, 117, 291, 623, 651, 789]",SWSL.tsv
at,1,49,"[0, 49, 173, 240, 241, 242, 247, 326, 394, 403, 405, 450, 469, 564, 587, 597, 621, 640, 664, 685, 732]",SWSL.tsv
look,1,61,"[0, 61, 224, 234, 240, 246, 250, 255, 315, 326, 343, 345, 369, 370, 427, 438, 440, 441, 445, 465, 467, 473, 571, 655, 664]",SWSL.tsv
