Expression Lexicon Size,file
270,SN2C.tsv
603,S29Q.tsv
1088,SNPA.tsv
1226,SAVN.tsv
1727,SCXG.tsv
730,SQD6.tsv
2505,SXLC.tsv
2538,SMZV.tsv
537,S9RV.tsv
2689,S7JH.tsv
680,S7DT.tsv
966,SNE5.tsv
2549,SN3D.tsv
522,S5SJ.tsv
726,SLPW.tsv
907,SWSL.tsv
622,SM6J.tsv
569,SAZY.tsv
913,S68E.tsv
1380,S3QD.tsv
566,SQ2D.tsv
752,SCZZ.tsv
2637,SVZB.tsv
1789,SWPV.tsv
821,SR82.tsv
1052,SRYY.tsv
812,S7QE.tsv
2437,STWC.tsv
607,ST56.tsv
541,S452.tsv
4676,SAUR.tsv
1089,SK8T.tsv
1196,S7DR.tsv
790,SBQZ.tsv
124,SPC7.tsv
872,S2UJ.tsv
2214,S5PW.tsv
435,S5J8.tsv
493,S7PU.tsv
2402,SDJA.tsv
2681,SVBB.tsv
1435,SV5A.tsv
594,STBW.tsv
428,SPZ4.tsv
372,SP45.tsv
1710,SWFJ.tsv
459,SGMQ.tsv
916,S99N.tsv
1273,S5UJ.tsv
414,S7WW.tsv
2852,SKHW.tsv
398,S37Y.tsv
2222,S8RC.tsv
1440,S4HW.tsv
2353,SHAZ.tsv
136,S6H4.tsv
1378,SQ6Z.tsv
529,SFB9.tsv
576,SXK2.tsv
288,S39D.tsv
1499,S2DD.tsv
1023,SUWR.tsv
553,S99Z.tsv
1079,ST25.tsv
1180,SJNC.tsv
2370,S3YZ.tsv
358,SHCG.tsv
918,SFXU.tsv
2716,SJNB.tsv
1341,SVP4.tsv
966,SASC.tsv
1464,SWZA.tsv
1971,SKDA.tsv
456,SLBG.tsv
1087,SPHU.tsv
2204,SUVS.tsv
563,SNCR.tsv
621,SNMN.tsv
295,SWVQ.tsv
1018,SJ7N.tsv
963,SZJ3.tsv
1272,SVD4.tsv
1872,SH4V.tsv
297,SCG7.tsv
2187,STH5.tsv
469,S7UX.tsv
2992,S23A.tsv
2185,S2EF.tsv
2748,S784.tsv
1224,SES6.tsv
3064,SBM6.tsv
1706,S355.tsv
1305,S3M9.tsv
1563,S8JW.tsv
81,S3TZ.tsv
3137,SA2J.tsv
2156,S4QF.tsv
522,S3N4.tsv
2057,S35U.tsv
780,S9ZL.tsv
5150,SL9V.tsv
1601,SW5B.tsv
15296,SUVQ.tsv
1364,SN98.tsv
3049,SR3K.tsv
552,SHLT.tsv
1797,S3U3.tsv
593,SH5J.tsv
932,STKW.tsv
1745,SUTB.tsv
390,S9ZU.tsv
2156,SWY3.tsv
1716,SJNJ.tsv
982,S6EX.tsv
1336,SHC8.tsv
4199,S3LE.tsv
361,SBNU.tsv
664,S5TE.tsv
3459,SG3Q.tsv
1853,S5LP.tsv
2189,SMK3.tsv
553,S6KV.tsv
823,SZRJ.tsv
444,SHL3.tsv
673,SCP7.tsv
1288,SDA8.tsv
1008,SC2T.tsv
1111,S376.tsv
1163,SYWR.tsv
1278,SNNJ.tsv
193,SLU4.tsv
1167,SEPR.tsv
509,SGSK.tsv
1694,SB5E.tsv
404,SH64.tsv
657,SX2V.tsv
1463,SCPC.tsv
1440,SXDQ.tsv
2436,S6JP.tsv
290,SA2B.tsv
1609,SJM7.tsv
2022,SAQD.tsv
1004,S4D8.tsv
1363,S43M.tsv
1440,S2KP.tsv
478,S9WB.tsv
1136,SBZ7.tsv
1224,S7A6.tsv
492,SFSZ.tsv
630,SFQE.tsv
1278,SM99.tsv
2669,SD3R.tsv
5570,SMW8.tsv
1892,STXT.tsv
1034,S8CV.tsv
419,S86J.tsv
1053,SVZH.tsv
1472,SZ95.tsv
744,S47C.tsv
628,SEBP.tsv
1143,SUKT.tsv
1577,SP6E.tsv
375,S477.tsv
1335,SVX4.tsv
2260,S85D.tsv
538,SHKF.tsv
1937,SJRQ.tsv
327,S8YL.tsv
668,SBKM.tsv
311,S5P8.tsv
1355,SWGV.tsv
358,SNK6.tsv
357,S2Y5.tsv
831,S7JF.tsv
647,SBFN.tsv
1020,SZBD.tsv
785,SJFG.tsv
1228,SZB2.tsv
2649,SJHL.tsv
2033,SV49.tsv
932,SCZV.tsv
404,S67P.tsv
318,SQQX.tsv
317,S8TN.tsv
1242,SKL3.tsv
1410,SG56.tsv
778,SWF6.tsv
430,SBPW.tsv
2395,S263.tsv
1854,SZAK.tsv
676,STA2.tsv
509,SA9P.tsv
1940,SFER.tsv
4069,S4TV.tsv
728,SJSS.tsv
1169,SLJW.tsv
281,SKA7.tsv
2065,SYHP.tsv
