Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
don't,1,31,"[2, 17, 18, 31, 55, 82, 99, 119, 152, 154, 160, 165, 197, 262, 284, 285, 305, 323, 329, 338, 423, 467, 521, 525, 532, 534, 541, 551, 577, 578, 580, 582, 590, 592, 600, 602, 662, 691, 704, 755, 786, 860, 866, 892, 893, 896, 901, 941, 955, 963, 976, 998, 1013, 1028, 1030, 1036, 1053, 1063, 1083, 1097, 1099, 1104, 1149, 1154, 1159, 1173, 1185, 1212, 1213, 1217, 1219, 1222, 1225, 1231, 1236, 1237]",S4HW.tsv
don't i,2,197,"[31, 197, 901, 955]",S4HW.tsv
i i,2,69,"[31, 69, 221, 891, 1099]",S4HW.tsv
then,1,35,"[25, 35, 36, 41, 48, 126, 160, 163, 166, 180, 245, 278, 291, 334, 349, 376, 587, 653, 661, 665, 674, 694, 698, 860, 870, 871, 919, 936, 992, 993, 994, 997, 1027, 1122, 1166, 1169, 1179, 1212, 1228, 1242]",S4HW.tsv
well,1,37,"[25, 37, 42, 48, 55, 92, 104, 111, 126, 164, 183, 196, 200, 204, 219, 220, 278, 284, 326, 350, 390, 402, 409, 417, 492, 516, 587, 591, 611, 689, 705, 706, 707, 708, 713, 720, 729, 738, 756, 760, 792, 793, 834, 839, 861, 893, 901, 904, 935, 936, 941, 945, 956, 960, 963, 973, 974, 978, 1015, 1046, 1077, 1123, 1124, 1131, 1142, 1158, 1159, 1166, 1179, 1204, 1217, 1226]",S4HW.tsv
this,1,42,"[37, 42, 67, 69, 73, 144, 164, 172, 214, 232, 245, 256, 261, 296, 315, 323, 346, 356, 470, 503, 515, 518, 522, 534, 578, 608, 651, 662, 684, 752, 756, 761, 775, 776, 784, 785, 800, 802, 811, 816, 869, 872, 883, 890, 981, 983, 985, 987, 1019, 1053, 1082, 1185]",S4HW.tsv
birthday,1,38,"[37, 38, 42, 49]",S4HW.tsv
go,1,37,"[6, 37, 50, 73, 100, 105, 108, 111, 146, 148, 156, 159, 180, 192, 197, 200, 219, 261, 304, 316, 330, 337, 389, 392, 439, 461, 467, 476, 503, 538, 540, 543, 546, 547, 566, 587, 611, 622, 624, 636, 650, 653, 707, 784, 786, 795, 811, 866, 875, 911, 919, 934, 945, 958, 960, 987, 1021, 1042, 1081, 1097, 1110, 1119, 1127, 1145, 1163, 1166, 1169, 1179, 1182, 1184, 1189, 1238, 1239, 1242]",S4HW.tsv
way,1,701,"[37, 701, 996]",S4HW.tsv
long,1,152,"[37, 152, 805, 1069, 1174, 1179, 1233]",S4HW.tsv
be,1,56,"[2, 4, 6, 8, 12, 21, 22, 40, 43, 56, 66, 69, 73, 82, 88, 96, 111, 126, 127, 137, 139, 145, 146, 148, 150, 152, 155, 160, 163, 166, 172, 183, 194, 197, 201, 203, 204, 209, 212, 214, 216, 220, 221, 225, 229, 231, 247, 256, 258, 259, 260, 267, 269, 270, 271, 275, 293, 294, 297, 302, 306, 309, 313, 320, 328, 330, 337, 338, 349, 350, 352, 355, 371, 375, 383, 384, 388, 398, 403, 430, 431, 434, 440, 442, 446, 449, 450, 462, 469, 471, 476, 484, 486, 487, 502, 514, 537, 541, 551, 556, 566, 571, 574, 587, 590, 591, 595, 596, 600, 602, 603, 608, 609, 614, 615, 616, 620, 622, 624, 632, 635, 636, 648, 651, 652, 653, 662, 664, 671, 682, 684, 686, 687, 689, 690, 691, 693, 694, 701, 703, 706, 708, 712, 713, 714, 723, 725, 726, 728, 729, 730, 735, 737, 738, 742, 752, 753, 754, 756, 758, 760, 762, 764, 770, 771, 772, 775, 784, 785, 786, 787, 805, 812, 813, 836, 846, 847, 852, 854, 857, 861, 863, 864, 866, 869, 870, 874, 876, 882, 884, 886, 902, 905, 907, 908, 910, 912, 915, 919, 921, 925, 928, 932, 934, 938, 949, 951, 953, 955, 957, 958, 963, 970, 975, 978, 983, 985, 992, 998, 1003, 1009, 1015, 1021, 1024, 1034, 1038, 1042, 1049, 1051, 1067, 1069, 1071, 1075, 1077, 1079, 1082, 1083, 1096, 1098, 1099, 1100, 1102, 1104, 1105, 1113, 1114, 1117, 1122, 1125, 1130, 1140, 1142, 1158, 1163, 1179, 1197, 1205, 1208, 1210, 1212, 1219, 1228, 1233, 1238, 1239, 1241]",S4HW.tsv
i'll,1,56,"[45, 48, 56, 194, 221, 245, 315, 407, 458, 506, 523, 529, 642, 708, 747, 860, 933, 1021, 1029, 1067, 1069, 1099, 1102, 1110, 1122, 1165, 1212]",S4HW.tsv
back,1,194,"[56, 57, 164, 194, 197, 200, 261, 278, 394, 620, 651, 786, 934, 1004, 1005, 1006, 1172, 1199]",S4HW.tsv
