Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
quiet,1,1,"[0, 1]",S9ZU.tsv
the,1,2,"[1, 2, 10, 11, 12, 19, 29, 37, 39, 42, 46, 59, 65, 93, 95, 101, 104, 114, 118, 122, 124, 127, 130, 132, 149, 153, 164, 166, 168, 170, 175, 189, 195, 200, 202, 207, 208, 210, 216, 218, 220, 221, 236, 246, 255, 257, 260, 269, 279, 288, 290, 297]",S9ZU.tsv
you,1,4,"[2, 4, 6, 26, 29, 31, 33, 34, 38, 39, 42, 47, 51, 55, 59, 61, 65, 70, 71, 86, 91, 93, 100, 114, 116, 118, 121, 151, 160, 162, 164, 166, 168, 175, 177, 178, 181, 195, 202, 203, 218, 220, 221, 222, 242, 257, 258, 264, 265, 268, 269, 277, 286, 290, 297, 300, 316]",S9ZU.tsv
and,1,6,"[2, 6, 8, 13, 16, 48, 53, 59, 61, 63, 65, 71, 93, 98, 100, 101, 106, 116, 118, 120, 124, 127, 130, 145, 151, 166, 168, 172, 175, 177, 182, 185, 187, 193, 202, 207, 214, 218, 220, 221, 230, 234, 255, 257, 264, 265, 268, 269, 290, 292, 297, 300, 316]",S9ZU.tsv
you can,2,116,"[2, 116, 177, 181, 218]",S9ZU.tsv
everything,1,198,"[2, 198]",S9ZU.tsv
can,1,40,"[2, 40, 177, 181, 200, 202, 226, 249, 257, 294]",S9ZU.tsv
to,1,26,"[8, 10, 22, 26, 29, 30, 31, 32, 34, 37, 42, 61, 63, 65, 79, 81, 82, 87, 90, 91, 100, 101, 106, 124, 143, 145, 151, 162, 168, 172, 173, 175, 177, 178, 179, 183, 186, 191, 202, 205, 207, 222, 228, 230, 238, 246, 257, 258, 268, 272, 288, 290, 294, 297, 299, 301, 302, 306]",S9ZU.tsv
go,1,28,"[8, 28, 61, 82, 87, 89, 100, 168, 180, 202, 246, 272, 290, 299, 301, 302, 306]",S9ZU.tsv
be,1,8,"[4, 8, 9, 11, 24, 29, 31, 33, 57, 61, 65, 70, 75, 81, 82, 87, 90, 91, 94, 95, 97, 98, 101, 103, 104, 106, 120, 124, 138, 151, 158, 159, 162, 164, 166, 168, 169, 175, 179, 180, 186, 193, 195, 198, 202, 208, 212, 218, 219, 220, 221, 230, 231, 242, 255, 269, 270, 277, 286, 288, 290, 297, 299, 301]",S9ZU.tsv
so,1,31,"[8, 16, 25, 30, 31, 33, 79, 84, 105, 110, 126, 132, 148, 153, 164, 166, 172, 182, 189, 202, 208, 221, 238, 262, 269, 288]",S9ZU.tsv
go to,2,82,"[8, 82, 87, 100, 202, 246, 272, 290, 299, 301, 302, 306]",S9ZU.tsv
work,1,9,"[8, 9, 22, 98, 114, 116, 166, 167, 168, 172, 173, 187]",S9ZU.tsv
in,1,11,"[10, 11, 26, 29, 37, 39, 42, 55, 61, 101, 124, 139, 145, 149, 151, 162, 175, 195, 200, 202, 204, 205, 207, 221, 247, 255, 301]",S9ZU.tsv
she's,1,10,"[9, 10, 22, 107, 108]",S9ZU.tsv
curtain,1,13,"[11, 12, 13]",S9ZU.tsv
