speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,begin,end,file
3,45,175,388,0.08571428571428572,17,19,9,0,50,SCWW.tsv
3,113,263,767,0.1432192648922687,34,43,36,0,100,SCWW.tsv
3,164,347,1149,0.1575408261287224,53,61,50,0,150,SCWW.tsv
3,223,416,1590,0.17868589743589744,75,83,65,0,200,SCWW.tsv
3,280,488,2048,0.1912568306010929,99,105,76,0,250,SCWW.tsv
3,332,551,2475,0.20084694494857835,114,122,96,0,300,SCWW.tsv
3,397,633,2961,0.20905739863085834,136,142,119,0,350,SCWW.tsv
3,433,684,3437,0.21101364522417154,147,157,129,0,400,SCWW.tsv
3,459,715,3760,0.213986013986014,157,168,134,0,450,SCWW.tsv
3,467,725,3851,0.21471264367816092,161,169,137,0,467,SCWW.tsv
