Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
christmas,1,7,"[0, 78]",[7],S7AR.tsv,S0443,S0320
get,1,115,"[0, 2, 18, 40, 61, 76, 78, 80, 116, 147, 189, 194, 196, 215, 219, 226]","[115, 121, 123, 239, 241]",S7AR.tsv,S0443,S0320
i be,2,83,"[2, 102, 180]",[83],S7AR.tsv,S0443,S0320
he doesn't,2,83,"[2, 114]","[83, 111, 113]",S7AR.tsv,S0443,S0320
never,1,134,"[2, 10]","[134, 175]",S7AR.tsv,S0443,S0320
be say,2,207,[2],[207],S7AR.tsv,S0443,S0320
and he,2,207,"[2, 22, 40, 57, 65, 102, 147, 187, 228]",[207],S7AR.tsv,S0443,S0320
say,1,207,"[2, 4, 10, 22, 26, 59, 63, 67, 92, 106]","[207, 208, 255]",S7AR.tsv,S0443,S0320
to get,2,241,"[2, 80, 196, 226]",[241],S7AR.tsv,S0443,S0320
dunno,1,245,"[2, 8]",[245],S7AR.tsv,S0443,S0320
tell,1,255,"[2, 14, 63]",[255],S7AR.tsv,S0443,S0320
wine,1,7,"[4, 6]","[7, 97]",S7AR.tsv,S0443,S0320
she just,2,90,[4],[90],S7AR.tsv,S0443,S0320
and she,2,255,"[4, 180, 194, 226]",[255],S7AR.tsv,S0443,S0320
give,1,255,"[4, 6, 102, 184]",[255],S7AR.tsv,S0443,S0320
yeah,1,33,"[6, 30, 32, 44, 74, 110, 137, 141, 153, 182, 198, 202, 213, 215, 236, 244]","[33, 41, 64, 66, 69, 77, 79, 81, 83, 87, 91, 97, 99, 121, 136, 142, 150, 154, 188, 193, 218, 225, 227, 229, 237, 241, 245, 247, 252]",S7AR.tsv,S0443,S0320
it be,2,35,"[8, 32, 45]","[35, 119]",S7AR.tsv,S0443,S0320
white,1,136,[8],[136],S7AR.tsv,S0443,S0320
know,1,10,"[10, 82, 94, 96, 106, 221]","[3, 199]",S7AR.tsv,S0443,S0320
actually,1,10,"[10, 26, 32, 65, 70, 78, 106, 196, 215, 242]","[9, 134, 165, 203, 235, 245]",S7AR.tsv,S0443,S0320
the same,2,119,[10],"[119, 121, 208]",S7AR.tsv,S0443,S0320
think,1,85,"[12, 45, 76, 78, 100, 106, 139, 242]","[85, 125, 148, 163, 241, 250, 255]",S7AR.tsv,S0443,S0320
have to,2,125,"[12, 80, 82]","[125, 207, 255]",S7AR.tsv,S0443,S0320
's,1,111,"[14, 65, 76, 86]","[111, 235]",S7AR.tsv,S0443,S0320
really,1,87,"[16, 45, 76, 104, 180, 182, 184, 219, 242]","[87, 88, 146, 165, 175, 177, 199, 237, 243, 119]",S7AR.tsv,S0443,S0320
excite,1,111,[16],[111],S7AR.tsv,S0443,S0320
it's really,2,119,[16],[119],S7AR.tsv,S0443,S0320
it's a,2,140,"[16, 178]","[140, 165]",S7AR.tsv,S0443,S0320
whole,1,214,[16],[214],S7AR.tsv,S0443,S0320
so i,2,201,"[18, 76, 78]","[201, 237, 239]",S7AR.tsv,S0443,S0320
one,1,22,"[22, 24, 40, 143, 144]","[7, 119, 245, 247, 156, 165]",S7AR.tsv,S0443,S0320
one of,2,156,"[22, 40]","[156, 165]",S7AR.tsv,S0443,S0320
of them be,3,208,[22],[208],S7AR.tsv,S0443,S0320
quite,1,24,"[24, 45, 57, 157, 180, 191]","[1, 9, 93]",S7AR.tsv,S0443,S0320
interest,1,73,[24],"[73, 218]",S7AR.tsv,S0443,S0320
in the,2,165,"[24, 180, 189]","[165, 239, 255]",S7AR.tsv,S0443,S0320
he be,2,203,"[24, 40, 187, 228]","[203, 207]",S7AR.tsv,S0443,S0320
that's,1,26,"[26, 161, 180, 202, 215, 244]","[1, 9, 31, 46, 73, 107, 134, 197, 210, 7]",S7AR.tsv,S0443,S0320
but that's,2,26,[26],[7],S7AR.tsv,S0443,S0320
like a,2,83,"[26, 40, 230]","[83, 97]",S7AR.tsv,S0443,S0320
on it,2,121,"[26, 38, 61, 74, 215]",[121],S7AR.tsv,S0443,S0320
like,1,175,"[26, 40, 76, 106, 133, 137, 151, 182, 230, 236]","[175, 208, 237, 243]",S7AR.tsv,S0443,S0320
in a,2,239,[26],[239],S7AR.tsv,S0443,S0320
nineteen eleven,2,29,[28],[29],S7AR.tsv,S0443,S0320
old,1,32,[32],[31],S7AR.tsv,S0443,S0320
and they,2,167,"[34, 189]",[167],S7AR.tsv,S0443,S0320
lot,1,173,[34],[173],S7AR.tsv,S0443,S0320
to the,2,205,"[34, 55, 108]","[205, 235]",S7AR.tsv,S0443,S0320
use,1,207,"[34, 40, 180, 236]",[207],S7AR.tsv,S0443,S0320
of them,2,208,[34],[208],S7AR.tsv,S0443,S0320
