Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
it be,2,9,"[0, 10, 14, 16, 26, 31, 37, 180, 188, 199, 271, 277]","[9, 13, 78, 108, 112, 166, 175, 183, 187, 189, 192, 194, 202, 215, 229, 323, 325, 333, 335, 337, 340]",SBFR.tsv,S0255,S0256
when i be there,4,13,[0],[13],SBFR.tsv,S0255,S0256
and then,2,13,"[0, 219, 260, 281]","[13, 57, 86, 94, 142, 144, 175, 215, 296, 316, 300]",SBFR.tsv,S0255,S0256
be there,2,21,"[0, 89, 188]","[21, 202]",SBFR.tsv,S0255,S0256
so i,2,34,"[0, 2, 14]","[34, 36, 42, 44, 196, 289]",SBFR.tsv,S0255,S0256
i go,2,34,"[0, 14]","[34, 338, 340]",SBFR.tsv,S0255,S0256
when i,2,34,"[0, 277]",[34],SBFR.tsv,S0255,S0256
i be,2,34,"[0, 2, 6, 277, 307]","[34, 36, 38, 166, 196, 270, 300, 302, 322, 323, 325, 335, 337]",SBFR.tsv,S0255,S0256
lunch,1,34,"[0, 26]","[34, 42]",SBFR.tsv,S0255,S0256
today,1,34,[0],"[34, 57]",SBFR.tsv,S0255,S0256
go,1,34,"[0, 3, 8, 14, 29, 39, 64, 133, 178, 180, 284]","[34, 36, 48, 57, 76, 94, 154, 167, 183, 215, 300, 306, 323, 350, 67, 218, 338, 340]",SBFR.tsv,S0255,S0256
cos,1,36,"[0, 53, 155, 265, 271]","[36, 42, 48, 57, 76, 86, 175, 183, 194, 196, 302, 82]",SBFR.tsv,S0255,S0256
tomorrow,1,48,"[0, 60]","[48, 54, 57]",SBFR.tsv,S0255,S0256
go and,2,67,"[0, 64]","[67, 218]",SBFR.tsv,S0255,S0256
actually,1,78,"[0, 18, 20, 133, 155, 199, 269]","[78, 152, 185]",SBFR.tsv,S0255,S0256
cos it's,2,82,[0],[82],SBFR.tsv,S0255,S0256
's,1,130,"[0, 26, 260]",[130],SBFR.tsv,S0255,S0256
birthday,1,173,"[0, 2, 26, 27]",[173],SBFR.tsv,S0255,S0256
i find,2,200,[0],[200],SBFR.tsv,S0255,S0256
and then i,3,300,[0],[300],SBFR.tsv,S0255,S0256
know,1,23,"[2, 8, 12, 14, 18, 117, 188, 330]","[23, 67, 82, 86, 112, 142, 202, 212, 235, 239, 243, 264, 275, 335, 346]",SBFR.tsv,S0255,S0256
i didn't,2,34,[2],"[34, 36, 42, 285, 289, 298]",SBFR.tsv,S0255,S0256
say,1,44,"[2, 5, 71, 188, 221, 222, 265, 299]","[44, 61, 67, 70, 72, 86, 154, 216, 335, 337, 306]",SBFR.tsv,S0255,S0256
happy,1,67,[2],[67],SBFR.tsv,S0255,S0256
they're,1,82,"[2, 14, 293]","[82, 98, 100, 140, 144, 152, 154, 208, 216, 223, 239, 350]",SBFR.tsv,S0255,S0256
so that,2,94,"[2, 107, 349]","[94, 208, 316]",SBFR.tsv,S0255,S0256
give,1,122,[2],[122],SBFR.tsv,S0255,S0256
so i be,3,196,[2],[196],SBFR.tsv,S0255,S0256
know but,2,239,[2],[239],SBFR.tsv,S0255,S0256
and say,2,306,[2],[306],SBFR.tsv,S0255,S0256
get,1,34,"[3, 6, 14, 64, 87, 117, 252, 256, 258, 260, 263, 307, 345]","[34, 42, 57, 67, 82, 84, 94, 98, 124, 126, 138, 140, 158, 167, 169, 175, 185, 208, 218, 223, 233, 296, 300, 316, 350]",SBFR.tsv,S0255,S0256
anything,1,124,"[3, 6]","[124, 142, 167, 268, 289]",SBFR.tsv,S0255,S0256
and go,2,300,"[3, 64]","[300, 323]",SBFR.tsv,S0255,S0256
yeah,1,7,"[5, 6, 14, 24, 47, 49, 51, 55, 77, 83, 107, 113, 115, 121, 127, 129, 137, 141, 147, 149, 151, 153, 159, 163, 168, 170, 188, 190, 195, 201, 211, 213, 217, 224, 226, 234, 236, 238, 240, 244, 246, 248, 254, 271, 277, 288, 290, 301, 305, 313, 332, 336, 339, 351]","[7, 9, 15, 19, 21, 23, 30, 32, 34, 42, 44, 46, 52, 57, 61, 67, 88, 90, 94, 98, 104, 108, 110, 114, 118, 132, 156, 175, 179, 181, 189, 194, 200, 204, 220, 227, 229, 239, 249, 251, 253, 257, 266, 280, 283, 285, 292, 308, 310, 312, 318, 320, 322, 327, 329, 331, 342, 344, 348, 215]",SBFR.tsv,S0255,S0256
yeah but,2,215,[5],[215],SBFR.tsv,S0255,S0256
laugh,1,231,[5],[231],SBFR.tsv,S0255,S0256
something,1,13,"[6, 22, 199]","[13, 23, 82, 175, 183, 335]",SBFR.tsv,S0255,S0256
yeah there,2,21,[6],[21],SBFR.tsv,S0255,S0256
obviously,1,34,"[6, 29]",[34],SBFR.tsv,S0255,S0256
and i be,3,36,[6],"[36, 166, 270, 325]",SBFR.tsv,S0255,S0256
yeah yeah,2,61,"[6, 113, 190]","[61, 88, 156, 179, 200, 257, 331]",SBFR.tsv,S0255,S0256
anything and,2,124,[6],[124],SBFR.tsv,S0255,S0256
and i,2,164,[6],"[164, 235, 323, 338, 340]",SBFR.tsv,S0255,S0256
week,1,166,[6],"[166, 173]",SBFR.tsv,S0255,S0256
walk,1,34,[8],"[34, 36]",SBFR.tsv,S0255,S0256
go to,2,36,"[8, 39, 178]","[36, 154, 350]",SBFR.tsv,S0255,S0256
in the,2,57,"[8, 60, 256]","[57, 70, 114, 144, 185, 187, 134]",SBFR.tsv,S0255,S0256
so we,2,82,"[8, 26]",[82],SBFR.tsv,S0255,S0256
which be,2,94,[8],"[94, 136, 160]",SBFR.tsv,S0255,S0256
and it's,2,120,"[8, 53]",[120],SBFR.tsv,S0255,S0256
be in the,3,134,[8],[134],SBFR.tsv,S0255,S0256
