Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
he just,2,1,"[0, 41]",[1],SUZS.tsv,S0405,S0555
he didn't,2,1,"[0, 47, 154]","[1, 40, 173]",SUZS.tsv,S0405,S0555
mean,1,1,"[0, 24, 65, 69, 304, 364, 394, 442, 463, 467]","[1, 135, 437]",SUZS.tsv,S0405,S0555
things,1,1,"[0, 124, 386, 400]","[1, 163, 377]",SUZS.tsv,S0405,S0555
what be,2,11,"[0, 388]",[11],SUZS.tsv,S0405,S0555
drink,1,27,"[0, 4, 18, 30, 174, 180]","[27, 193, 203]",SUZS.tsv,S0405,S0555
he wasn't he didn't,4,173,[0],[173],SUZS.tsv,S0405,S0555
do he,2,173,"[0, 108, 140]",[173],SUZS.tsv,S0405,S0555
yeah,1,5,"[2, 14, 20, 22, 30, 39, 47, 57, 61, 69, 77, 83, 85, 89, 91, 100, 102, 104, 108, 110, 124, 126, 132, 134, 148, 150, 152, 154, 158, 160, 164, 168, 170, 176, 184, 190, 192, 202, 220, 236, 246, 248, 250, 258, 262, 264, 270, 274, 282, 288, 292, 301, 306, 312, 314, 320, 322, 330, 334, 341, 351, 368, 370, 376, 390, 392, 398, 400, 402, 404, 406, 408, 414, 418, 422, 424, 432, 436, 438, 446, 452, 458]","[5, 13, 15, 17, 31, 72, 74, 84, 86, 90, 101, 105, 111, 115, 137, 139, 141, 147, 167, 179, 181, 191, 195, 205, 209, 211, 241, 261, 275, 283, 294, 307, 311, 357, 363, 367, 389, 407, 415, 443, 459, 462]",SUZS.tsv,S0405,S0555
okay,1,21,"[2, 4, 28, 81, 91, 118, 130, 186, 276, 278, 280, 284, 293, 295, 349, 351, 404, 444, 446]","[21, 29, 68]",SUZS.tsv,S0405,S0555
really,1,4,"[4, 41, 118, 170, 208, 218, 258, 268, 301, 345, 372, 386, 394, 432]","[1, 92, 175, 251, 419]",SUZS.tsv,S0405,S0555
fine,1,21,"[4, 154]","[21, 135]",SUZS.tsv,S0405,S0555
if we,2,33,"[4, 102]",[33],SUZS.tsv,S0405,S0555
gonna,1,33,"[4, 6, 8, 10, 290, 292, 390, 398, 400, 432, 456]","[33, 35, 48, 131, 401, 425, 451, 455, 289]",SUZS.tsv,S0405,S0555
get,1,82,"[4, 8, 30, 43, 73, 140, 238, 258, 341, 351, 374, 386, 390, 394, 398, 400, 408, 442, 467]","[82, 143, 149, 173, 193, 203, 296, 307, 352, 361, 393, 399, 289, 419]",SUZS.tsv,S0405,S0555
he's,1,84,"[4, 71, 116, 140, 148, 154, 266]","[84, 421]",SUZS.tsv,S0405,S0555
come,1,86,"[4, 110, 116, 256]","[86, 403]",SUZS.tsv,S0405,S0555
