Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
well,1,152,"[0, 30, 58, 69, 79, 81, 95, 138, 173, 191, 215, 231, 373, 573, 581, 585, 587, 631, 659, 750, 791, 830, 842, 854, 858, 898, 934, 938, 948, 964, 966, 1012, 1063, 1073, 1075, 1091, 1099, 1137, 1189, 1264, 1326, 1370, 1388, 1389, 1413, 1429, 1432, 1452, 1492, 1504, 1518, 1538, 1550, 1633, 1644, 1710, 1757, 1782, 1800, 1840, 1969, 1979, 1987, 2041, 2359, 2375, 2377, 2383, 2403, 2430, 2432, 2446, 2486, 2533, 2535, 2587, 2645, 2651, 2671, 2762]","[152, 211, 234, 254, 258, 329, 345, 362, 364, 380, 419, 466, 496, 504, 506, 532, 544, 623, 707, 715, 735, 788, 835, 935, 947, 991, 997, 1014, 1016, 1086, 1088, 1178, 1259, 1261, 1271, 1594, 1641, 1750, 1799, 1831, 1899, 2068, 2173, 2280, 2315, 2333, 2347, 2351, 2421, 2431, 2466, 2568, 2586, 2765, 1561]",SEKZ.tsv,S0353,S0262
well the,2,1561,"[0, 585, 842, 2383]",[1561],SEKZ.tsv,S0353,S0262
mix,1,23,"[2, 4, 10, 22, 34, 43, 52, 75, 669]","[23, 41, 48, 74]",SEKZ.tsv,S0353,S0262
grill,1,29,"[2, 4, 10, 32, 34, 43, 52]",[29],SEKZ.tsv,S0353,S0262
everything,1,35,"[2, 4, 10, 103, 681, 750, 766, 773, 779, 854, 1314, 1409, 1532, 1798, 1804, 1844, 2278]","[35, 649, 655, 751, 2398, 41]",SEKZ.tsv,S0353,S0262
a bite of everything,4,41,"[2, 10]",[41],SEKZ.tsv,S0353,S0262
that's,1,88,"[2, 51, 169, 231, 285, 369, 477, 515, 595, 663, 679, 807, 852, 1123, 1246, 1266, 1352, 1370, 1383, 1386, 1389, 1413, 1513, 1544, 1554, 1633, 1714, 1732, 1773, 1872, 1967, 2213, 2217, 2310, 2432, 2459, 2482, 2503, 2739]","[88, 178, 218, 238, 294, 458, 484, 488, 512, 536, 538, 617, 674, 684, 841, 907, 980, 988, 1016, 1018, 1084, 1100, 1126, 1128, 1132, 1134, 1142, 1259, 1261, 1335, 1343, 1349, 1461, 1487, 1516, 1523, 1608, 1733, 1774, 1793, 1929, 1951, 2097, 2111, 2113, 2119, 2141, 2212, 2315, 2406, 2460, 2544, 2546, 2694, 2699]",SEKZ.tsv,S0353,S0262
with a,2,90,"[2, 605, 1245, 1399, 1777, 1806, 1979, 2623]","[90, 903, 2274]",SEKZ.tsv,S0353,S0262
a bite,2,264,"[2, 4, 10, 34, 803, 973, 1282, 1326, 1530, 1532, 1726, 1959, 2430]","[264, 327, 492, 542, 788, 1533, 1579, 1585, 1733, 1917, 1927, 1935, 2080, 2341, 2562, 2703, 466, 490, 514, 656, 857, 2082, 2345, 2358, 2366, 2536, 2540]",SEKZ.tsv,S0353,S0262
a bite of,3,466,"[2, 4, 10, 34, 973, 1530, 2430]","[466, 490, 492, 514, 656, 857, 2082, 2345, 2358, 2366, 2536, 2540]",SEKZ.tsv,S0353,S0262
