Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
never,1,1,"[0, 30, 81, 107]","[1, 17]",S8VZ.tsv,S0208,S0202
ever,1,135,"[0, 113, 134]",[135],S8VZ.tsv,S0208,S0202
try,1,2,"[2, 4, 50, 71, 95]",[1],S8VZ.tsv,S0208,S0202
to do,2,9,"[2, 12, 18, 24, 52, 71, 81, 83]","[9, 23, 27, 66, 78, 86]",S8VZ.tsv,S0208,S0202
a guitar,2,33,[2],"[33, 35, 39]",S8VZ.tsv,S0208,S0202
guitar,1,33,"[2, 40, 81, 85]","[33, 35, 37, 66, 39]",S8VZ.tsv,S0208,S0202
because it's,2,119,[2],[119],S8VZ.tsv,S0208,S0202
actually,1,121,"[2, 56, 105]",[121],S8VZ.tsv,S0208,S0202
need,1,125,[2],[125],S8VZ.tsv,S0208,S0202
i've,1,4,[4],"[1, 66, 68]",S8VZ.tsv,S0208,S0202
something,1,7,"[4, 71, 83, 93, 97, 113]","[7, 9, 39]",S8VZ.tsv,S0208,S0202
and like,2,9,"[4, 24, 52, 54, 71, 81, 93]","[9, 66, 78, 125]",S8VZ.tsv,S0208,S0202
do it,2,9,"[4, 12, 65, 73, 81, 91]","[9, 23, 45, 68]",S8VZ.tsv,S0208,S0202
like,1,9,"[4, 6, 12, 16, 18, 20, 24, 26, 28, 30, 40, 48, 52, 54, 61, 63, 69, 71, 81, 83, 85, 91, 93, 95, 97, 99, 101, 105, 107, 113, 130, 132, 134]","[9, 17, 35, 45, 47, 64, 66, 68, 76, 86, 88, 110, 111, 112, 116, 119, 121, 123, 125, 127, 129, 138, 78]",S8VZ.tsv,S0208,S0202
i be,2,17,"[4, 18, 26, 30, 48, 52, 54, 56, 61, 63, 91, 93, 95, 99, 101, 107]","[17, 45, 47, 110, 111]",S8VZ.tsv,S0208,S0202
forget,1,23,[4],[23],S8VZ.tsv,S0208,S0202
go,1,33,"[4, 26, 50]","[33, 35, 39, 45, 110, 127]",S8VZ.tsv,S0208,S0202
i can do,3,45,[4],[45],S8VZ.tsv,S0208,S0202
go to,2,45,"[4, 26]","[45, 110, 127]",S8VZ.tsv,S0208,S0202
like if,2,45,[4],[45],S8VZ.tsv,S0208,S0202
if i,2,66,"[4, 40, 93]",[66],S8VZ.tsv,S0208,S0202
say,1,78,"[4, 93, 105, 107]","[78, 119]",S8VZ.tsv,S0208,S0202
down the,2,135,[4],[135],S8VZ.tsv,S0208,S0202
at it,2,7,"[6, 16]","[7, 9]",S8VZ.tsv,S0208,S0202
look,1,45,"[6, 30, 99]","[45, 47]",S8VZ.tsv,S0208,S0202
it like,2,64,"[6, 30]",[64],S8VZ.tsv,S0208,S0202
i do,2,66,"[6, 48, 101]","[66, 78, 123]",S8VZ.tsv,S0208,S0202
do with,2,66,[6],[66],S8VZ.tsv,S0208,S0202
just sit,2,118,"[6, 63]",[118],S8VZ.tsv,S0208,S0202
like what do,3,119,[6],[119],S8VZ.tsv,S0208,S0202
really,1,59,"[8, 16, 24, 30, 32, 48, 52, 56, 61, 65, 71, 107]","[59, 114, 118, 135]",S8VZ.tsv,S0208,S0202
ten thousand hours,3,12,[12],"[7, 9]",S8VZ.tsv,S0208,S0202
if you,2,12,"[12, 128]","[7, 9, 23]",S8VZ.tsv,S0208,S0202
an expert,2,12,[12],"[7, 9]",S8VZ.tsv,S0208,S0202
there's,1,12,"[12, 69]",[7],S8VZ.tsv,S0208,S0202
become,1,12,[12],"[7, 47]",S8VZ.tsv,S0208,S0202
to do it,3,12,"[12, 81]","[9, 23]",S8VZ.tsv,S0208,S0202
a week,2,27,"[12, 24]",[27],S8VZ.tsv,S0208,S0202
hours,1,27,"[12, 14]",[27],S8VZ.tsv,S0208,S0202
cos,1,37,"[12, 24, 42, 48, 56, 61, 107]","[37, 116]",S8VZ.tsv,S0208,S0202
much,1,45,"[12, 32, 83, 101]","[45, 47, 76, 78]",S8VZ.tsv,S0208,S0202
that's,1,64,"[12, 18, 26, 32, 48, 61, 69, 81, 97, 113, 117, 126]","[64, 66, 86, 119, 129]",S8VZ.tsv,S0208,S0202
though,1,76,"[12, 24, 83]","[76, 114, 133]",S8VZ.tsv,S0208,S0202
have to,2,86,"[12, 24, 26, 32, 54, 126, 134]","[86, 110]",S8VZ.tsv,S0208,S0202
interest,1,86,[12],"[86, 121]",S8VZ.tsv,S0208,S0202
think,1,86,[12],[86],S8VZ.tsv,S0208,S0202
time,1,110,"[12, 71]","[110, 133]",S8VZ.tsv,S0208,S0202
way,1,127,"[12, 24, 60, 73]",[127],S8VZ.tsv,S0208,S0202
ten thousand,2,14,[14],"[7, 9]",S8VZ.tsv,S0208,S0202
i don't,2,16,"[16, 30, 54, 63, 99]","[11, 47, 66, 127, 133, 15, 78]",S8VZ.tsv,S0208,S0202
i don't know,3,16,[16],"[15, 78]",S8VZ.tsv,S0208,S0202
no good at,3,17,[16],[17],S8VZ.tsv,S0208,S0202
but i,2,17,"[16, 48, 61, 107, 134]","[17, 19, 66, 78, 127]",S8VZ.tsv,S0208,S0202
good at,2,17,[16],[17],S8VZ.tsv,S0208,S0202
music,1,19,"[16, 18, 24, 28, 48, 52, 56, 61, 69, 83]","[19, 27]",S8VZ.tsv,S0208,S0202
love,1,33,"[16, 24]",[33],S8VZ.tsv,S0208,S0202
know,1,47,"[16, 32, 61, 71, 73]","[47, 66, 78]",S8VZ.tsv,S0208,S0202
like i,2,66,"[16, 18, 24, 30, 54, 61, 71, 85, 91, 95]","[66, 110, 125]",S8VZ.tsv,S0208,S0202
enjoy,1,66,"[16, 91]",[66],S8VZ.tsv,S0208,S0202
don't know,2,78,[16],[78],S8VZ.tsv,S0208,S0202
be just,2,110,"[16, 30, 50, 61, 63, 83, 99, 107]","[110, 111]",S8VZ.tsv,S0208,S0202
use to,2,18,"[18, 24, 81]","[17, 19]",S8VZ.tsv,S0208,S0202
when i,2,18,"[18, 24, 48, 95, 103]","[17, 116]",S8VZ.tsv,S0208,S0202
piano,1,18,"[18, 48, 52]","[17, 27]",S8VZ.tsv,S0208,S0202
i use to,3,19,"[18, 24, 52]","[19, 27]",S8VZ.tsv,S0208,S0202
i can't,2,19,"[18, 93]",[19],S8VZ.tsv,S0208,S0202
read music,2,19,"[18, 24]",[19],S8VZ.tsv,S0208,S0202
any more,2,19,"[18, 63]","[19, 123]",S8VZ.tsv,S0208,S0202
i use to do,4,27,[18],[27],S8VZ.tsv,S0208,S0202
piano lessons and then,4,27,[18],[27],S8VZ.tsv,S0208,S0202
read,1,27,"[18, 24, 28, 32, 56]",[27],S8VZ.tsv,S0208,S0202
and then,2,39,"[18, 24, 32, 40, 61, 71, 73, 95, 109]",[39],S8VZ.tsv,S0208,S0202
can't,1,68,"[18, 85, 93]","[68, 110]",S8VZ.tsv,S0208,S0202
the same,2,86,"[18, 28, 93]",[86],S8VZ.tsv,S0208,S0202
be the,2,116,"[18, 28, 61, 93]",[116],S8VZ.tsv,S0208,S0202
even,1,129,[18],[129],S8VZ.tsv,S0208,S0202
it and,2,20,"[20, 24, 32, 71, 73, 81, 101]",[9],S8VZ.tsv,S0208,S0202
you just,2,23,"[20, 40]","[23, 110]",S8VZ.tsv,S0208,S0202
