Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
really,1,27,"[0, 249, 259, 273, 282, 330, 416, 458, 460, 521, 534, 559, 651, 653, 679, 731, 821, 1040, 1093, 1196, 1208, 1274, 1276, 1338, 1350, 1367, 1406, 1425, 1549, 1557, 1778, 1820]","[27, 69, 93, 131, 171, 192, 200, 234, 262, 270, 272, 299, 313, 319, 337, 376, 409, 453, 498, 543, 545, 563, 571, 611, 674, 692, 726, 732, 765, 769, 777, 839, 850, 884, 888, 934, 963, 969, 1100, 1108, 1235, 1273, 1299, 1305, 1307, 1315, 1331, 1333, 1335, 1337, 1347, 1362, 1416, 1488, 1515, 1590, 1656, 1727, 1769, 1777, 1791, 1817, 1823, 1870]",SDVN.tsv,S0540,S0541
i'm,1,184,"[0, 12, 606, 820, 895, 1250, 1254, 1300, 1342, 1367, 1381, 1385, 1446, 1448, 1647, 1649, 1661, 1697, 1784, 1852]","[184, 216, 218, 220, 236, 240, 287, 386, 388, 609, 650, 671, 678, 696, 750, 828, 875, 938, 1096, 1144, 1146, 1303, 1390, 1401, 1416, 1422, 1465, 1468, 1484, 1706, 1718, 1769, 1771, 1772, 1774, 1783]",SDVN.tsv,S0540,S0541
yeah,1,5,"[2, 24, 26, 32, 54, 78, 92, 98, 103, 105, 107, 115, 120, 122, 124, 126, 128, 130, 144, 146, 148, 150, 158, 160, 162, 168, 178, 180, 193, 223, 233, 239, 245, 282, 284, 286, 296, 298, 300, 302, 304, 312, 314, 316, 377, 379, 383, 385, 410, 432, 434, 452, 468, 476, 484, 486, 491, 493, 495, 497, 517, 526, 532, 537, 546, 562, 566, 568, 613, 615, 621, 649, 651, 655, 668, 670, 673, 683, 687, 689, 691, 695, 697, 703, 711, 778, 783, 789, 804, 816, 818, 821, 823, 825, 827, 842, 846, 848, 856, 862, 864, 866, 872, 877, 881, 895, 901, 905, 913, 915, 927, 929, 931, 941, 949, 951, 968, 972, 974, 978, 993, 1015, 1017, 1062, 1078, 1082, 1085, 1089, 1091, 1107, 1115, 1119, 1123, 1131, 1160, 1196, 1206, 1216, 1220, 1230, 1244, 1246, 1265, 1269, 1300, 1306, 1310, 1314, 1322, 1330, 1334, 1336, 1342, 1348, 1374, 1379, 1385, 1406, 1425, 1442, 1487, 1497, 1499, 1504, 1613, 1620, 1622, 1624, 1643, 1661, 1671, 1685, 1687, 1689, 1713, 1717, 1728, 1730, 1732, 1734, 1745, 1754, 1770, 1782, 1786, 1788, 1792, 1795, 1797, 1799, 1816, 1824, 1826, 1839, 1850, 1852, 1869, 1871, 1879, 1883, 1885]","[5, 11, 87, 123, 133, 137, 139, 155, 192, 210, 228, 230, 242, 246, 248, 250, 252, 268, 283, 299, 319, 339, 341, 347, 384, 390, 391, 393, 405, 407, 409, 415, 417, 459, 487, 522, 536, 538, 539, 541, 553, 557, 565, 567, 588, 590, 595, 612, 624, 626, 628, 638, 640, 644, 659, 682, 698, 755, 788, 851, 859, 884, 902, 908, 918, 926, 950, 962, 981, 987, 1024, 1067, 1075, 1079, 1081, 1088, 1132, 1142, 1173, 1197, 1205, 1219, 1235, 1239, 1247, 1255, 1268, 1349, 1459, 1467, 1486, 1517, 1558, 1562, 1572, 1576, 1596, 1604, 1628, 1660, 1680, 1688, 1690, 1703, 1710, 1712, 1731, 1737, 1749, 1751, 1755, 1759, 1761, 1804, 1817, 1821, 1823, 1853, 1866, 1868, 1874, 1891]",SDVN.tsv,S0540,S0541
pattern,1,4,"[4, 8]",[3],SDVN.tsv,S0540,S0541
oh my,2,73,"[6, 78, 887, 1007, 1338, 1340, 1350, 1599, 1626, 1857]","[73, 240, 543, 611, 704, 888, 1662, 1668, 1870]",SDVN.tsv,S0540,S0541
goodness,1,892,"[6, 887]",[892],SDVN.tsv,S0540,S0541
the content,2,8,[8],"[3, 110]",SDVN.tsv,S0540,S0541
content,1,27,[8],"[27, 47]",SDVN.tsv,S0540,S0541
something,1,53,"[8, 241, 253, 257, 344, 823, 858, 862, 1367, 1385, 1641]","[53, 321, 496, 867, 882, 886, 888, 910, 958, 975, 1118, 1233, 1889]",SDVN.tsv,S0540,S0541
must be,2,409,[8],"[409, 1061]",SDVN.tsv,S0540,S0541
must,1,514,"[8, 14]","[514, 1061]",SDVN.tsv,S0540,S0541
how can,2,612,[8],"[612, 871]",SDVN.tsv,S0540,S0541
they just,2,817,[8],"[817, 1225]",SDVN.tsv,S0540,S0541
without,1,1666,"[8, 1160]",[1666],SDVN.tsv,S0540,S0541
and erm,2,23,"[12, 253, 472, 666]","[23, 27, 47, 173, 186, 359, 423, 704, 769, 884, 888, 904, 909, 920, 946, 1201, 1209, 1463, 1594]",SDVN.tsv,S0540,S0541
fact,1,268,[12],[268],SDVN.tsv,S0540,S0541
so the,2,1281,"[12, 756, 1029]","[1281, 1420]",SDVN.tsv,S0540,S0541
japanese,1,1882,"[12, 1697]",[1882],SDVN.tsv,S0540,S0541
i mean,2,14,"[14, 20, 94, 142, 150, 328, 383, 385, 389, 412, 416, 596, 606, 610, 619, 820, 821, 823, 848, 856, 972, 1009, 1013, 1032, 1060, 1064, 1066, 1070, 1107, 1172, 1196, 1198, 1236, 1246, 1267, 1330, 1425, 1501, 1518, 1649]","[1, 18, 95, 97, 135, 157, 163, 167, 218, 260, 337, 425, 427, 435, 449, 539, 592, 611, 682, 839, 850, 851, 859, 865, 871, 900, 914, 918, 934, 938, 952, 958, 998, 1110, 1118, 1124, 1144, 1205, 1209, 1235, 1247, 1249, 1257, 1301, 1303, 1523]",SDVN.tsv,S0540,S0541
you know,2,14,"[14, 20, 68, 117, 122, 132, 136, 138, 140, 142, 150, 152, 154, 156, 217, 225, 227, 229, 237, 241, 249, 251, 257, 259, 273, 282, 328, 383, 387, 389, 392, 408, 414, 416, 420, 523, 534, 535, 537, 542, 550, 552, 564, 586, 594, 596, 598, 600, 602, 604, 606, 608, 619, 621, 623, 629, 635, 637, 651, 660, 679, 681, 683, 693, 816, 831, 844, 846, 848, 856, 862, 879, 895, 980, 982, 988, 1009, 1060, 1072, 1082, 1087, 1196, 1208, 1210, 1256, 1258, 1260, 1267, 1300, 1332, 1338, 1340, 1357, 1359, 1361, 1363, 1367, 1368, 1370, 1476, 1495, 1501, 1518, 1633, 1649, 1681, 1691, 1768, 1784, 1801, 1826, 1841]","[9, 11, 57, 83, 95, 101, 116, 135, 192, 224, 240, 262, 299, 307, 309, 321, 325, 327, 335, 337, 339, 349, 353, 361, 365, 376, 378, 421, 425, 443, 447, 459, 465, 469, 475, 479, 492, 496, 516, 520, 522, 527, 539, 569, 583, 611, 612, 616, 618, 632, 645, 780, 800, 819, 824, 826, 828, 843, 849, 851, 857, 865, 869, 873, 875, 878, 884, 886, 909, 912, 918, 920, 926, 932, 938, 940, 948, 958, 969, 973, 979, 1108, 1167, 1209, 1225, 1305, 1477, 1509, 1523, 1618, 1619, 1674, 1706, 1712, 1718, 1726, 1727, 1739, 1744, 1769, 1772, 1775, 218, 236, 238, 260, 319, 836, 871, 882, 942, 1067, 1163]",SDVN.tsv,S0540,S0541
language,1,14,"[14, 1363, 1377, 1695]","[9, 11, 573, 575, 612, 1706]",SDVN.tsv,S0540,S0541
speak,1,14,"[14, 253, 1691, 1695, 1697]","[11, 386, 388, 1705]",SDVN.tsv,S0540,S0541
know,1,81,"[14, 20, 68, 117, 122, 132, 134, 136, 138, 140, 142, 150, 152, 154, 156, 217, 223, 225, 227, 229, 237, 241, 249, 251, 253, 257, 259, 273, 282, 328, 383, 387, 389, 392, 408, 414, 416, 420, 472, 523, 534, 535, 537, 542, 550, 552, 559, 564, 584, 586, 594, 596, 598, 600, 602, 604, 606, 608, 619, 621, 623, 629, 635, 637, 651, 660, 679, 681, 683, 693, 816, 831, 844, 846, 848, 856, 862, 879, 895, 972, 980, 982, 988, 1009, 1040, 1060, 1072, 1074, 1082, 1087, 1196, 1208, 1210, 1250, 1256, 1258, 1260, 1267, 1300, 1302, 1304, 1332, 1338, 1340, 1357, 1359, 1361, 1363, 1367, 1368, 1370, 1376, 1423, 1476, 1495, 1501, 1518, 1633, 1649, 1679, 1681, 1691, 1695, 1768, 1770, 1773, 1784, 1801, 1826, 1841, 1890]","[81, 133, 226, 236, 279, 337, 347, 431, 433, 474, 593, 601, 607, 609, 750, 754, 839, 851, 894, 902, 967, 989, 1069, 1110, 1243, 1257, 1351, 1364, 1409, 1674, 1739, 1808, 157, 260, 690, 1209, 1496, 83, 95, 101, 116, 135, 192, 218, 224, 238, 240, 262, 299, 307, 309, 319, 321, 325, 327, 335, 339, 349, 353, 361, 365, 376, 378, 421, 425, 447, 459, 465, 469, 475, 479, 492, 496, 516, 520, 522, 527, 539, 569, 583, 611, 612, 616, 618, 632, 645, 780, 800, 819, 824, 826, 836, 843, 849, 857, 865, 869, 871, 873, 875, 878, 882, 884, 886, 909, 912, 918, 920, 926, 932, 938, 940, 942, 948, 958, 969, 973, 979, 1067, 1108, 1163, 1167, 1225, 1305, 1477, 1523, 1618, 1706, 1712, 1718, 1726, 1727, 1744, 1769, 1772, 1775, 443, 828, 1509, 1619]",SDVN.tsv,S0540,S0541
mean that,2,145,"[14, 412, 416]",[145],SDVN.tsv,S0540,S0541
know i,2,157,"[14, 150, 241, 542, 596, 606, 679, 693, 1300, 1338, 1633, 1649, 1679, 1801, 1841]","[157, 260, 337, 690, 1209, 1496, 218, 236, 238, 299, 539, 836, 869, 871, 882, 942, 1163]",SDVN.tsv,S0540,S0541
you know i,3,218,"[14, 150, 241, 542, 596, 606, 679, 693, 1300, 1338, 1633, 1649, 1801, 1841]","[218, 236, 238, 260, 337, 539, 836, 869, 871, 882, 942, 1163, 299]",SDVN.tsv,S0540,S0541
and you know i,4,299,[14],[299],SDVN.tsv,S0540,S0541
and you know,3,319,"[14, 229, 596, 1332]","[319, 1067]",SDVN.tsv,S0540,S0541
mean,1,345,"[14, 20, 56, 68, 94, 142, 150, 191, 328, 383, 385, 389, 412, 416, 473, 596, 606, 610, 619, 820, 821, 823, 848, 856, 972, 1009, 1013, 1032, 1060, 1064, 1066, 1070, 1107, 1149, 1164, 1172, 1196, 1198, 1222, 1226, 1236, 1246, 1267, 1324, 1330, 1425, 1501, 1518, 1645, 1649, 1760]","[345, 597, 1237, 1494, 611, 682, 839, 850, 851, 859, 865, 871, 900, 914, 918, 934, 938, 952, 958, 998, 1110, 1118, 1124, 1144, 1205, 1209, 1235, 1247, 1249, 1257, 1301, 1303, 1523, 425, 427, 435, 449, 539, 592]",SDVN.tsv,S0540,S0541
