Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
teaspoon,1,1,"[0, 18]",[1],SGY6.tsv,S0320,S0321
a teaspoon,2,7,"[0, 18]","[7, 426]",SGY6.tsv,S0320,S0321
get,1,39,"[0, 13, 28, 74, 78, 88, 112, 137, 145, 193, 196, 209, 240, 253, 254, 260, 274, 284, 310, 319, 339, 341, 365, 370, 535, 549, 602]","[39, 49, 91, 150, 168, 311, 313, 322, 400, 404, 513, 592, 601, 609, 623, 523, 620, 639, 324, 563]",SGY6.tsv,S0320,S0321
need,1,43,"[0, 114, 241, 397]","[43, 117, 367, 406, 415, 459, 492, 617, 536, 431]",SGY6.tsv,S0320,S0321
well,1,57,"[0, 13, 36, 37, 74, 76, 100, 165, 262, 284, 304, 310, 331, 648]","[57, 73, 101, 115, 154, 237, 246, 275, 303, 415, 431, 471, 488, 496, 601, 613, 324]",SGY6.tsv,S0320,S0321
right,1,59,"[0, 366, 397, 416]","[59, 160, 415, 421, 423, 488, 520, 523, 617, 635]",SGY6.tsv,S0320,S0321
i've,1,115,"[0, 13, 74, 78, 196, 201, 228, 240, 254, 448]","[115, 184, 186, 322, 324, 563]",SGY6.tsv,S0320,S0321
well i've get,3,324,[0],[324],SGY6.tsv,S0320,S0321
i've get,2,324,"[0, 13, 74, 78, 196, 240, 254]","[324, 563]",SGY6.tsv,S0320,S0321
i need,2,431,[0],[431],SGY6.tsv,S0320,S0321
get a,2,523,[0],"[523, 620, 639]",SGY6.tsv,S0320,S0321
need a,2,536,[0],[536],SGY6.tsv,S0320,S0321
i've get a,3,563,[0],[563],SGY6.tsv,S0320,S0321
okay,1,22,"[2, 42, 44, 60, 78, 129, 149, 179, 205, 236, 288, 368, 405, 427, 497, 537, 547, 549, 552, 556, 585]","[22, 206, 299, 400, 423, 527]",SGY6.tsv,S0320,S0321
that's,1,55,"[6, 34, 254, 312, 334, 347, 370, 392, 524, 526, 616, 650]","[55, 59, 81, 117, 212, 309, 348, 474, 559, 574, 606, 654]",SGY6.tsv,S0320,S0321
crush,1,9,"[8, 21]",[9],SGY6.tsv,S0320,S0321
do it,2,27,"[8, 10, 11, 20, 21]","[27, 144, 352, 380, 570]",SGY6.tsv,S0320,S0321
be you,2,163,"[8, 10, 274, 325, 365, 483]",[163],SGY6.tsv,S0320,S0321
oh be,2,164,"[8, 80, 94, 251]",[164],SGY6.tsv,S0320,S0321
shall i,2,206,"[8, 112, 213, 462, 605]",[206],SGY6.tsv,S0320,S0321
gonna,1,320,"[8, 10, 121, 274, 319, 329, 365, 381, 409, 430, 466, 516]","[320, 431]",SGY6.tsv,S0320,S0321
shall,1,415,"[8, 112, 213, 462, 605]",[415],SGY6.tsv,S0320,S0321
it on,2,41,"[10, 167, 341]","[41, 115, 402]",SGY6.tsv,S0320,S0321
on there,2,91,[10],[91],SGY6.tsv,S0320,S0321
bowl,1,12,"[11, 13]","[12, 367]",SGY6.tsv,S0320,S0321
like,1,39,"[11, 74, 76, 78, 110, 145, 222, 249, 258, 290, 291, 302, 306, 310, 338, 442, 473]","[39, 45, 49, 126, 184, 198, 215, 216, 221, 231, 287, 350, 362, 367, 429, 472, 474, 551, 555, 623, 138, 335, 413, 588]",SGY6.tsv,S0320,S0321
in like,2,138,"[11, 222]",[138],SGY6.tsv,S0320,S0321
like a,2,335,"[11, 222, 291]","[335, 413, 588]",SGY6.tsv,S0320,S0321
little,1,429,"[11, 90]",[429],SGY6.tsv,S0320,S0321
it in,2,459,"[11, 230, 549]","[459, 548]",SGY6.tsv,S0320,S0321
a little,2,502,[11],[502],SGY6.tsv,S0320,S0321
break,1,13,"[13, 226]",[12],SGY6.tsv,S0320,S0321
already,1,61,[13],"[61, 322]",SGY6.tsv,S0320,S0321
one's,1,538,[13],[538],SGY6.tsv,S0320,S0321
i think,2,43,"[15, 147, 286, 353, 416, 448]","[43, 101, 126, 242, 277, 364, 404, 429, 459, 494, 508, 548, 617]",SGY6.tsv,S0320,S0321
