Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
see,1,1,"[0, 234, 317, 321, 420, 518, 566, 572, 578, 580, 582, 584, 600, 650, 750, 792, 801, 867, 934, 936, 1044, 1263, 1294, 1324, 1732, 1738, 1792, 1895, 2191, 2281, 2407, 2446, 2519, 2604, 2743, 2857, 3102, 3184, 3212, 3295, 3323, 3331, 3351, 3362, 3374, 3515, 3545, 3581, 3618, 3620, 3739]","[1, 152, 240, 264, 282, 501, 513, 517, 527, 794, 862, 897, 921, 929, 935, 991, 1119, 1191, 1195, 1215, 1297, 1360, 1399, 1515, 1696, 1725, 1753, 1797, 1966, 2026, 2174, 2310, 2451, 2603, 2644, 2806, 2885, 3045, 3185, 3199, 3308, 3316, 3324, 3342, 3373, 3411, 3435, 3443, 3453, 3493, 3497, 3516, 3544, 3548, 3570, 3601, 3625, 3631, 3637, 3645, 3659, 3668, 3701, 3723]",SPG4.tsv,S0454,S0579
let's,1,5,"[0, 3295, 3313, 3323, 3331, 3349, 3466, 3476, 3484, 3618, 3660, 3739]",[5],SPG4.tsv,S0454,S0579
the far leave,3,7,[4],[7],SPG4.tsv,S0454,S0579
on the,2,7,"[4, 89, 101, 109, 342, 945, 973, 975, 979, 2473, 3196, 3323, 3385, 3466, 3720]","[7, 98, 142, 365, 539, 893, 921, 978, 1070, 1100, 1164, 1166, 1170, 1557, 1561, 1735, 2061, 2210, 2344, 2451, 2460, 2603, 2917, 3041, 3363, 3719]",SPG4.tsv,S0454,S0579
leave,1,7,"[4, 253, 323, 1463, 1977, 3056]","[7, 9, 1000, 1082, 2163, 2577]",SPG4.tsv,S0454,S0579
be that,2,34,"[4, 6, 560, 900, 1903, 2109, 2532, 2935, 2977, 3462]","[34, 381, 946, 3252, 3256, 3300, 1033, 1117]",SPG4.tsv,S0454,S0579
far,1,347,"[4, 666, 1243, 3319, 3690, 3733]","[347, 991, 1543, 3278, 3467]",SPG4.tsv,S0454,S0579
oh be,2,643,"[4, 2245, 3214]","[643, 1146, 1435, 1585, 1657, 1916, 2228, 2714, 2932, 2997, 1033, 1117]",SPG4.tsv,S0454,S0579
oh be that,3,1033,[4],"[1033, 1117]",SPG4.tsv,S0454,S0579
yeah,1,9,"[8, 17, 95, 103, 127, 147, 155, 218, 228, 257, 267, 285, 291, 327, 329, 336, 364, 366, 370, 372, 380, 388, 394, 400, 408, 428, 432, 441, 471, 475, 479, 487, 489, 502, 514, 516, 530, 534, 546, 566, 570, 574, 576, 582, 592, 596, 600, 602, 608, 610, 620, 640, 642, 685, 708, 724, 730, 732, 741, 752, 754, 795, 799, 801, 816, 823, 847, 849, 857, 859, 861, 867, 875, 883, 896, 898, 902, 916, 922, 938, 949, 959, 963, 975, 982, 997, 1015, 1017, 1021, 1028, 1030, 1071, 1081, 1085, 1089, 1095, 1097, 1101, 1145, 1153, 1155, 1157, 1169, 1202, 1222, 1237, 1251, 1271, 1304, 1335, 1343, 1361, 1370, 1396, 1400, 1402, 1408, 1424, 1459, 1486, 1492, 1506, 1524, 1582, 1588, 1590, 1592, 1596, 1610, 1636, 1648, 1650, 1699, 1701, 1707, 1734, 1740, 1756, 1790, 1792, 1794, 1822, 1836, 1840, 1844, 1868, 1871, 1971, 1987, 1989, 1999, 2007, 2013, 2019, 2046, 2156, 2162, 2164, 2199, 2201, 2223, 2227, 2229, 2237, 2247, 2257, 2285, 2309, 2311, 2332, 2369, 2377, 2385, 2393, 2397, 2409, 2411, 2429, 2439, 2461, 2471, 2490, 2517, 2528, 2530, 2588, 2612, 2627, 2663, 2691, 2715, 2717, 2727, 2731, 2739, 2809, 2813, 2841, 2843, 2845, 2916, 2989, 2996, 3022, 3036, 3062, 3102, 3112, 3144, 3146, 3170, 3184, 3210, 3257, 3279, 3281, 3295, 3317, 3329, 3331, 3364, 3385, 3400, 3402, 3406, 3424, 3458, 3474, 3496, 3500, 3511, 3539, 3598, 3669, 3690, 3724]","[9, 13, 18, 44, 50, 56, 60, 62, 64, 70, 74, 76, 78, 80, 82, 86, 88, 92, 94, 100, 102, 104, 106, 108, 110, 116, 118, 124, 128, 130, 136, 148, 150, 154, 156, 164, 166, 172, 174, 176, 178, 182, 184, 186, 190, 194, 196, 198, 204, 209, 215, 217, 219, 235, 246, 248, 250, 260, 266, 274, 276, 280, 284, 286, 292, 304, 306, 308, 320, 322, 324, 328, 330, 332, 339, 343, 345, 349, 353, 357, 365, 371, 373, 375, 379, 386, 393, 395, 399, 405, 407, 409, 413, 417, 425, 429, 437, 440, 444, 450, 456, 458, 460, 466, 472, 478, 482, 488, 490, 493, 495, 503, 505, 513, 515, 519, 521, 525, 529, 533, 535, 537, 547, 551, 553, 555, 567, 579, 585, 591, 593, 595, 597, 599, 603, 605, 607, 609, 615, 623, 625, 627, 631, 635, 637, 645, 657, 659, 663, 670, 674, 676, 678, 682, 684, 695, 705, 709, 711, 715, 717, 719, 727, 733, 735, 737, 753, 758, 760, 764, 767, 769, 771, 773, 775, 791, 800, 802, 806, 813, 818, 824, 830, 832, 834, 848, 854, 856, 874, 882, 891, 903, 907, 923, 929, 933, 937, 942, 948, 950, 956, 958, 964, 966, 968, 974, 976, 981, 991, 998, 1002, 1004, 1006, 1008, 1012, 1018, 1022, 1031, 1039, 1047, 1056, 1080, 1090, 1092, 1094, 1096, 1098, 1108, 1123, 1132, 1136, 1140, 1146, 1154, 1160, 1166, 1172, 1174, 1176, 1178, 1185, 1187, 1189, 1191, 1211, 1217, 1236, 1238, 1240, 1252, 1260, 1266, 1268, 1272, 1283, 1303, 1314, 1323, 1325, 1327, 1329, 1331, 1338, 1348, 1364, 1369, 1373, 1379, 1381, 1385, 1393, 1397, 1401, 1405, 1407, 1411, 1415, 1419, 1423, 1425, 1427, 1431, 1433, 1441, 1452, 1460, 1462, 1466, 1468, 1478, 1483, 1497, 1499, 1503, 1505, 1509, 1515, 1519, 1523, 1527, 1543, 1551, 1563, 1569, 1571, 1575, 1577, 1583, 1585, 1603, 1605, 1611, 1615, 1617, 1619, 1629, 1639, 1645, 1647, 1651, 1653, 1659, 1662, 1664, 1666, 1670, 1686, 1688, 1704, 1710, 1721, 1723, 1725, 1729, 1731, 1739, 1743, 1747, 1751, 1753, 1755, 1759, 1771, 1773, 1779, 1781, 1783, 1785, 1787, 1789, 1793, 1795, 1803, 1809, 1811, 1821, 1823, 1831, 1833, 1839, 1843, 1853, 1859, 1861, 1863, 1880, 1882, 1884, 1886, 1898, 1910, 1920, 1923, 1925, 1935, 1937, 1943, 1949, 1953, 1957, 1964, 1968, 1970, 1972, 1978, 1986, 1994, 2000, 2006, 2008, 2012, 2018, 2020, 2022, 2028, 2030, 2035, 2037, 2041, 2045, 2047, 2049, 2063, 2071, 2075, 2081, 2084, 2096, 2098, 2104, 2108, 2110, 2120, 2128, 2135, 2149, 2157, 2169, 2171, 2178, 2180, 2192, 2196, 2198, 2206, 2220, 2230, 2232, 2236, 2238, 2254, 2262, 2270, 2272, 2274, 2276, 2286, 2292, 2294, 2302, 2306, 2320, 2339, 2358, 2362, 2364, 2386, 2388, 2390, 2398, 2402, 2406, 2408, 2410, 2414, 2416, 2420, 2422, 2428, 2432, 2436, 2440, 2443, 2445, 2447, 2449, 2451, 2454, 2456, 2464, 2466, 2470, 2474, 2484, 2496, 2498, 2502, 2510, 2512, 2514, 2520, 2525, 2531, 2535, 2539, 2543, 2553, 2555, 2565, 2567, 2569, 2583, 2593, 2599, 2601, 2607, 2616, 2618, 2620, 2624, 2626, 2628, 2630, 2644, 2646, 2648, 2650, 2654, 2656, 2668, 2670, 2672, 2674, 2686, 2688, 2694, 2696, 2698, 2702, 2714, 2724, 2730, 2740, 2752, 2754, 2756, 2760, 2770, 2772, 2774, 2784, 2786, 2788, 2792, 2808, 2814, 2816, 2826, 2828, 2830, 2832, 2840, 2844, 2846, 2848, 2850, 2854, 2856, 2858, 2862, 2864, 2866, 2868, 2870, 2872, 2874, 2876, 2878, 2881, 2883, 2887, 2891, 2893, 2899, 2901, 2905, 2907, 2909, 2911, 2915, 2919, 2934, 2936, 2938, 2940, 2942, 2944, 2946, 2948, 2950, 2958, 2960, 2962, 2966, 2968, 2972, 2974, 2980, 2986, 2988, 2990, 2992, 2997, 2999, 3001, 3009, 3015, 3017, 3023, 3025, 3027, 3029, 3037, 3047, 3049, 3051, 3053, 3057, 3059, 3061, 3067, 3075, 3083, 3085, 3087, 3089, 3091, 3093, 3095, 3097, 3103, 3109, 3113, 3117, 3121, 3123, 3125, 3127, 3129, 3131, 3133, 3135, 3137, 3141, 3145, 3173, 3175, 3177, 3179, 3181, 3207, 3218, 3222, 3226, 3228, 3232, 3234, 3236, 3238, 3254, 3256, 3258, 3260, 3262, 3264, 3266, 3270, 3274, 3280, 3282, 3286, 3292, 3306, 3312, 3318, 3322, 3340, 3342, 3348, 3365, 3367, 3378, 3380, 3388, 3390, 3396, 3407, 3409, 3413, 3415, 3421, 3423, 3429, 3433, 3435, 3437, 3453, 3457, 3459, 3461, 3469, 3475, 3479, 3483, 3489, 3497, 3507, 3518, 3540, 3542, 3548, 3550, 3558, 3560, 3562, 3564, 3568, 3570, 3580, 3582, 3589, 3591, 3601, 3603, 3605, 3607, 3613, 3615, 3617, 3621, 3623, 3627, 3631, 3633, 3639, 3641, 3647, 3651, 3655, 3657, 3659, 3670, 3674, 3676, 3678, 3680, 3684, 3693, 3699, 3701, 3703, 3709, 3711, 3721, 3723, 3727, 3729, 3731, 3734, 3736, 3738, 3744, 3758, 3763]",SPG4.tsv,S0454,S0579
