Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
brownies,1,1,"[0, 1, 3, 4, 5, 15, 16, 17, 18, 20, 23, 30, 31, 33, 43, 49, 62, 64, 83, 84, 102, 118, 123, 127, 130, 136]",SQBK.tsv
be,1,1,"[0, 1, 3, 4, 5, 6, 8, 10, 12, 14, 15, 18, 23, 29, 30, 33, 35, 36, 38, 41, 43, 44, 48, 66, 68, 77, 78, 83, 86, 90, 92, 97, 98, 101, 102, 104, 108, 111, 113, 114, 118, 123, 125, 127, 131, 132, 135, 137, 138, 139, 141, 149, 152, 153, 155, 156, 159, 166, 167, 181, 186, 187, 189]",SQBK.tsv
erm,1,7,"[0, 7, 14, 15, 43, 68, 71, 76, 92, 97, 102, 159, 161, 163]",SQBK.tsv
cos,1,9,"[0, 9, 10, 12, 18, 43, 78, 90, 152, 156, 159, 177, 187, 190]",SQBK.tsv
so,1,28,"[0, 10, 18, 28, 41, 43, 66, 68, 78, 83, 90, 102, 116, 136, 139, 177, 181]",SQBK.tsv
what,1,54,"[0, 4, 20, 33, 41, 54, 60, 78, 128, 137, 149, 165, 167, 173, 181]",SQBK.tsv
about,1,77,"[0, 14, 20, 33, 43, 66, 77, 90, 102, 118, 166, 167, 169, 177]",SQBK.tsv
gonna,1,3,"[0, 3, 20, 79, 102, 176, 190, 191]",SQBK.tsv
we're,1,138,"[0, 78, 138, 177]",SQBK.tsv
the,1,7,"[2, 7, 12, 14, 16, 17, 20, 23, 33, 35, 43, 66, 68, 71, 72, 75, 77, 86, 87, 101, 102, 104, 113, 118, 120, 121, 123, 124, 125, 127, 131, 132, 136, 137, 138, 153, 156, 159, 162, 175, 176, 177]",SQBK.tsv
to,1,15,"[2, 12, 15, 16, 18, 20, 23, 24, 29, 30, 31, 33, 35, 41, 48, 49, 66, 68, 78, 82, 84, 85, 86, 90, 92, 98, 101, 104, 108, 118, 125, 135, 136, 138, 142, 149, 154, 156, 177, 181]",SQBK.tsv
go,1,15,"[2, 15, 16, 33, 79, 82, 95, 104, 137, 138, 159, 170, 177, 181]",SQBK.tsv
want to,2,24,"[2, 20, 23, 24, 31, 33, 41, 66, 68, 78, 86, 98, 149]",SQBK.tsv
want,1,28,"[2, 18, 20, 23, 28, 30, 31, 33, 35, 41, 66, 68, 78, 86, 90, 98, 99, 140, 149, 152, 155, 177]",SQBK.tsv
a,1,46,"[2, 14, 18, 33, 35, 39, 46, 51, 66, 68, 75, 77, 78, 79, 86, 89, 90, 97, 98, 108, 111, 125, 127, 128, 137, 138, 139, 140, 141, 144, 152, 159, 166, 177]",SQBK.tsv
you,1,3,"[2, 3, 4, 6, 14, 18, 20, 23, 25, 29, 31, 33, 35, 37, 41, 48, 49, 52, 53, 54, 60, 78, 84, 86, 90, 97, 98, 99, 110, 124, 125, 127, 128, 134, 135, 139, 149, 153, 155, 157, 163, 165, 167, 169, 171, 177, 181, 184, 188]",SQBK.tsv
on,1,144,"[2, 20, 35, 39, 43, 104, 127, 137, 144]",SQBK.tsv
it's,1,4,"[3, 4, 7, 18, 35, 79, 90, 104, 106, 136, 138, 146, 171]",SQBK.tsv
i,1,4,"[3, 4, 18, 20, 24, 25, 26, 28, 30, 31, 33, 35, 36, 39, 42, 43, 62, 66, 78, 84, 87, 90, 99, 102, 104, 107, 111, 116, 118, 127, 132, 137, 144, 152, 154, 155, 156, 159, 160, 162, 163, 172, 177, 178, 185, 187]",SQBK.tsv
but,1,24,"[4, 12, 14, 18, 20, 23, 24, 25, 26, 31, 33, 39, 43, 58, 59, 66, 68, 83, 86, 102, 137, 139, 152]",SQBK.tsv
know,1,87,"[4, 18, 33, 43, 78, 87, 90, 110]",SQBK.tsv
say,1,111,"[4, 12, 14, 18, 20, 33, 35, 104, 108, 111, 114, 135, 137, 149, 160, 162]",SQBK.tsv
it,1,6,"[1, 6, 8, 10, 12, 14, 15, 18, 20, 31, 33, 35, 42, 43, 48, 51, 68, 78, 83, 89, 90, 97, 104, 106, 111, 114, 118, 136, 138, 139, 152, 153, 174, 177, 181]",SQBK.tsv
