Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
go,1,3,"[0, 3, 180, 188, 213, 218, 231, 234, 300, 406, 409, 415, 503, 517, 524, 525, 539, 540, 549, 554, 558, 566, 568, 649, 671, 709, 737, 738, 758, 782, 787, 819, 828, 837, 840, 844, 862, 864, 867, 891, 918, 933, 937, 951, 959, 984, 994, 1000, 1006, 1012, 1035, 1048, 1057, 1078, 1153, 1156, 1163, 1171, 1176, 1180, 1182, 1200, 1211, 1217, 1234, 1236, 1237, 1242, 1246, 1248, 1258, 1267, 1285, 1304, 1311, 1319, 1321, 1323, 1333, 1359, 1393, 1400, 1404, 1465, 1514, 1519, 1521, 1539, 1563, 1569, 1575, 1592, 1598, 1607, 1618, 1689, 1702, 1704, 1707, 1710, 1712, 1719, 1721, 1731, 1740, 1754, 1756, 1757, 1766, 1814, 1840, 1860, 1865, 1869, 1891, 1901, 1916, 1939, 1953, 1982, 2015, 2031, 2100, 2117, 2134]",SDXW.tsv
fetch,1,3,"[0, 3, 1527, 1764]",SDXW.tsv
him,1,3,"[0, 3, 150, 178, 184, 801, 979, 982, 1090, 1200, 1207, 1217, 1267, 1303, 1361, 1363, 1379, 1419, 1430, 1498, 1527, 1869, 2119, 2123, 2125, 2137]",SDXW.tsv
the,1,5,"[0, 5, 11, 12, 19, 21, 23, 24, 35, 36, 40, 49, 52, 54, 56, 57, 64, 67, 68, 72, 74, 77, 79, 87, 105, 115, 120, 124, 126, 128, 134, 136, 140, 145, 147, 150, 156, 158, 161, 163, 167, 178, 187, 188, 194, 200, 209, 215, 219, 222, 231, 234, 237, 238, 240, 246, 252, 257, 265, 270, 277, 282, 283, 284, 285, 290, 293, 296, 297, 298, 299, 300, 305, 306, 307, 322, 329, 330, 339, 348, 352, 355, 357, 359, 367, 373, 375, 378, 382, 384, 392, 393, 394, 395, 396, 401, 406, 415, 416, 418, 419, 420, 421, 422, 424, 426, 428, 433, 437, 441, 443, 457, 464, 473, 476, 477, 485, 489, 503, 515, 517, 519, 521, 523, 524, 525, 527, 528, 539, 540, 545, 549, 558, 569, 570, 578, 580, 620, 624, 649, 655, 658, 659, 663, 665, 667, 668, 669, 675, 677, 678, 687, 688, 693, 705, 709, 711, 717, 721, 726, 732, 735, 736, 741, 746, 748, 750, 761, 765, 777, 779, 780, 784, 787, 789, 794, 799, 801, 803, 818, 822, 844, 851, 856, 862, 864, 881, 882, 885, 895, 899, 901, 903, 906, 910, 914, 915, 916, 918, 921, 923, 925, 931, 937, 951, 955, 959, 963, 969, 979, 982, 993, 1000, 1002, 1005, 1006, 1010, 1014, 1018, 1020, 1030, 1031, 1032, 1033, 1041, 1045, 1048, 1052, 1061, 1062, 1067, 1100, 1111, 1112, 1113, 1115, 1122, 1135, 1147, 1159, 1165, 1167, 1176, 1180, 1182, 1184, 1186, 1188, 1196, 1200, 1201, 1202, 1207, 1209, 1217, 1219, 1222, 1234, 1236, 1246, 1248, 1250, 1252, 1258, 1260, 1262, 1267, 1269, 1272, 1274, 1275, 1280, 1282, 1287, 1295, 1297, 1299, 1301, 1311, 1323, 1327, 1329, 1331, 1333, 1336, 1338, 1350, 1357, 1359, 1363, 1373, 1375, 1379, 1386, 1388, 1390, 1393, 1400, 1402, 1406, 1417, 1419, 1421, 1423, 1425, 1426, 1432, 1433, 1439, 1449, 1465, 1467, 1470, 1472, 1486, 1495, 1503, 1504, 1509, 1513, 1514, 1519, 1521, 1527, 1529, 1539, 1541, 1542, 1550, 1554, 1556, 1557, 1559, 1561, 1569, 1571, 1578, 1582, 1589, 1592, 1598, 1600, 1603, 1604, 1607, 1609, 1611, 1613, 1618, 1620, 1621, 1622, 1627, 1635, 1641, 1642, 1643, 1662, 1666, 1668, 1672, 1683, 1684, 1687, 1689, 1693, 1698, 1702, 1704, 1707, 1713, 1719, 1721, 1731, 1734, 1738, 1740, 1751, 1753, 1754, 1756, 1757, 1761, 1762, 1764, 1766, 1770, 1776, 1780, 1788, 1789, 1790, 1799, 1802, 1804, 1819, 1840, 1869, 1887, 1895, 1897, 1904, 1915, 1918, 1926, 1933, 1938, 1968, 1975, 1977, 1979, 1980, 1984, 1986, 1994, 1997, 1998, 2005, 2009, 2010, 2011, 2015, 2018, 2019, 2021, 2023, 2027, 2029, 2035, 2038, 2042, 2047, 2048, 2052, 2054, 2060, 2065, 2067, 2069, 2071, 2088, 2089, 2093, 2100, 2104, 2108, 2109, 2110, 2117, 2144, 2150, 2151, 2154]",SDXW.tsv
and,1,11,"[0, 11, 13, 21, 27, 40, 49, 52, 54, 62, 68, 72, 74, 77, 83, 89, 115, 128, 130, 132, 134, 140, 145, 147, 149, 150, 156, 158, 161, 169, 184, 190, 200, 201, 213, 230, 234, 245, 281, 287, 295, 300, 304, 339, 352, 361, 386, 398, 433, 434, 436, 474, 476, 485, 486, 487, 495, 497, 504, 507, 515, 521, 527, 548, 549, 556, 558, 560, 563, 572, 580, 583, 589, 608, 637, 639, 641, 655, 673, 675, 677, 681, 696, 700, 702, 711, 713, 721, 728, 730, 732, 734, 737, 738, 740, 746, 748, 752, 758, 765, 771, 777, 779, 787, 794, 801, 818, 822, 824, 826, 828, 830, 833, 847, 851, 856, 858, 864, 881, 885, 891, 895, 899, 903, 906, 914, 918, 921, 923, 931, 951, 959, 979, 982, 984, 1000, 1002, 1008, 1012, 1020, 1022, 1024, 1031, 1035, 1041, 1046, 1048, 1055, 1057, 1066, 1067, 1078, 1084, 1094, 1104, 1109, 1113, 1117, 1119, 1122, 1127, 1129, 1131, 1133, 1135, 1137, 1145, 1147, 1156, 1161, 1163, 1167, 1170, 1179, 1180, 1182, 1184, 1186, 1188, 1192, 1195, 1196, 1200, 1207, 1209, 1211, 1217, 1234, 1238, 1242, 1246, 1248, 1250, 1252, 1258, 1262, 1264, 1280, 1282, 1285, 1299, 1303, 1304, 1309, 1311, 1316, 1319, 1321, 1333, 1338, 1359, 1363, 1375, 1379, 1384, 1388, 1393, 1400, 1402, 1417, 1421, 1423, 1425, 1426, 1465, 1480, 1486, 1502, 1504, 1517, 1521, 1522, 1524, 1527, 1529, 1535, 1539, 1541, 1542, 1559, 1563, 1565, 1569, 1571, 1578, 1580, 1600, 1616, 1621, 1627, 1631, 1635, 1637, 1654, 1656, 1658, 1664, 1666, 1668, 1670, 1672, 1687, 1691, 1693, 1704, 1707, 1709, 1712, 1713, 1721, 1725, 1731, 1740, 1749, 1751, 1753, 1764, 1766, 1770, 1782, 1784, 1790, 1797, 1802, 1806, 1808, 1814, 1827, 1831, 1835, 1838, 1840, 1842, 1883, 1889, 1891, 1897, 1899, 1901, 1921, 1922, 1939, 1940, 1941, 1942, 1943, 1955, 1967, 1980, 1984, 1986, 1987, 1990, 1993, 1998, 2010, 2013, 2015, 2027, 2048, 2054, 2067, 2083, 2093, 2100, 2123, 2134]",SDXW.tsv
the other,2,136,"[0, 136, 357, 373, 375, 503, 780, 801, 862, 864, 1014, 1030, 1236, 1472, 1607, 1635, 1840]",SDXW.tsv
how,1,175,"[0, 175, 200, 246, 564, 1234, 1294, 1304, 1404, 1546, 1589, 1780, 1786, 1895, 1901, 1921, 1940, 1941, 1943, 1984, 1986, 1987, 2019]",SDXW.tsv
go and,2,549,"[0, 549, 918, 1180, 1304, 1712, 1721, 1814]",SDXW.tsv
other,1,295,"[0, 136, 295, 357, 373, 375, 503, 692, 738, 780, 801, 862, 864, 881, 1014, 1030, 1236, 1472, 1607, 1635, 1639, 1780, 1806, 1840, 1854]",SDXW.tsv
dog,1,842,"[0, 842, 1664]",SDXW.tsv
