Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
i do,2,1,"[0, 1, 53, 211, 617, 881, 902, 931, 959, 967, 1044, 1331]",SJNJ.tsv
but then,2,1,"[0, 1, 96, 766, 993, 1157, 1508, 1542]",SJNJ.tsv
like,1,19,"[0, 19, 37, 49, 53, 57, 64, 103, 109, 119, 124, 129, 132, 223, 260, 264, 314, 328, 330, 336, 338, 343, 354, 357, 360, 380, 396, 398, 490, 502, 503, 549, 560, 568, 609, 631, 642, 690, 701, 742, 746, 761, 765, 816, 857, 868, 897, 906, 908, 910, 914, 923, 940, 943, 947, 949, 965, 975, 998, 1021, 1023, 1025, 1029, 1101, 1157, 1167, 1168, 1179, 1185, 1194, 1204, 1205, 1227, 1229, 1232, 1234, 1237, 1244, 1278, 1285, 1287, 1308, 1318, 1337, 1358, 1360, 1363, 1368, 1381, 1390, 1427, 1429, 1444, 1448, 1467, 1469, 1479, 1536, 1559]",SJNJ.tsv
i'll,1,57,"[0, 57, 207, 598, 663, 755, 761, 842, 985, 997, 1113]",SJNJ.tsv
a bite,2,101,"[0, 101, 157, 165, 328, 903, 929, 961, 1493, 1550]",SJNJ.tsv
or something,2,119,"[0, 119, 213, 220, 680, 861, 910, 928, 1358, 1363]",SJNJ.tsv
something,1,109,"[0, 109, 119, 129, 213, 220, 225, 314, 343, 594, 661, 680, 831, 857, 861, 910, 928, 929, 1003, 1157, 1159, 1344, 1346, 1348, 1358, 1360, 1363, 1402, 1427, 1444, 1448, 1451, 1467, 1529]",SJNJ.tsv
for a,2,109,"[0, 109, 127, 766, 800, 804, 959, 1368, 1558]",SJNJ.tsv
bag,1,127,"[0, 127]",SJNJ.tsv
to do,2,109,"[0, 109, 360, 572, 875, 972, 1055, 1139, 1153, 1164, 1176, 1295, 1385, 1425, 1496]",SJNJ.tsv
find,1,622,"[0, 622, 623, 861, 898, 910, 931, 959, 973]",SJNJ.tsv
then then,2,684,"[0, 684]",SJNJ.tsv
like a,2,816,"[0, 816, 868, 975]",SJNJ.tsv
write,1,897,"[0, 897]",SJNJ.tsv
bite,1,902,"[0, 101, 157, 165, 902, 903, 929, 961, 968, 1125, 1493, 1550]",SJNJ.tsv
people watch,2,2,"[1, 2, 135]",SJNJ.tsv
