Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
milk,1,3,"[0, 3, 5, 8]",SUKT.tsv
do you,2,9,"[0, 6, 9, 11, 33, 81, 172, 247, 251, 279, 333, 373, 399, 440, 449, 766, 801, 806, 913, 1093, 1151, 1184, 1213, 1215]",SUKT.tsv
um,1,32,"[0, 30, 32, 35, 39, 57, 59, 64, 68, 81, 99, 117, 174, 190, 197, 237, 241, 261, 275, 278, 302, 307, 331, 374, 378, 385, 443, 476, 510, 567, 588, 590, 600, 601, 649, 662, 680, 684, 697, 720, 732, 734, 736, 750, 757, 774, 787, 845, 884, 900, 904, 916, 929, 993, 1018, 1060, 1064, 1073, 1077, 1094, 1101, 1183, 1210, 1227, 1229, 1231, 1244, 1250, 1251]",SUKT.tsv
like,1,26,"[0, 6, 8, 26, 38, 64, 66, 68, 87, 91, 99, 103, 106, 114, 117, 170, 177, 191, 216, 241, 243, 244, 250, 277, 311, 422, 441, 446, 449, 454, 465, 469, 512, 519, 536, 544, 562, 571, 577, 611, 657, 669, 709, 727, 748, 756, 760, 761, 764, 844, 857, 859, 860, 918, 923, 924, 934, 968, 1060, 1062, 1064, 1070, 1073, 1079, 1118, 1191, 1205, 1239]",SUKT.tsv
wanna,1,92,"[0, 92, 396, 681, 766, 911, 913, 1072, 1075, 1107, 1110]",SUKT.tsv
strong,1,117,"[0, 117, 419]",SUKT.tsv
how do you,3,1213,"[0, 1213, 1215]",SUKT.tsv
no milk,2,3,"[2, 3, 4, 5]",SUKT.tsv
honey in it,3,9,"[6, 9]",SUKT.tsv
in it,2,44,"[6, 8, 9, 44, 751, 1207]",SUKT.tsv
honey,1,9,"[8, 9]",SUKT.tsv
people,1,92,"[8, 50, 92, 135, 331, 506, 727, 756, 918, 1161, 1179]",SUKT.tsv
it like,2,103,"[8, 103, 1118]",SUKT.tsv
i don't,2,10,"[1, 10, 12, 17, 103, 114, 221, 311, 396, 471, 531, 692, 728, 862, 956, 1019, 1075, 1094, 1097, 1107, 1163, 1216, 1226]",SUKT.tsv
no i,2,206,"[10, 206, 339, 572, 603, 761, 963, 999, 1152]",SUKT.tsv
normally,1,12,"[11, 12, 72]",SUKT.tsv
take,1,436,"[12, 355, 436, 454, 701, 1020, 1073, 1110, 1173, 1182, 1234]",SUKT.tsv
tea,1,77,"[14, 77]",SUKT.tsv
as it come,3,16,"[15, 16]",SUKT.tsv
as it,2,81,"[16, 81]",SUKT.tsv
come,1,98,"[15, 16, 30, 98, 103, 449, 479, 584, 831, 836, 902, 934, 1157, 1161, 1237]",SUKT.tsv
yeah,1,20,"[5, 17, 20, 21, 24, 25, 27, 29, 30, 31, 45, 54, 67, 69, 74, 76, 78, 82, 84, 86, 93, 97, 100, 102, 113, 115, 123, 126, 133, 137, 145, 161, 171, 173, 178, 185, 190, 196, 199, 203, 204, 205, 208, 214, 216, 230, 231, 240, 253, 258, 259, 262, 264, 268, 272, 276, 277, 279, 280, 294, 309, 310, 329, 330, 331, 334, 349, 355, 362, 383, 387, 391, 398, 400, 402, 412, 413, 424, 429, 432, 438, 439, 443, 451, 458, 476, 491, 499, 502, 520, 528, 533, 535, 536, 537, 538, 545, 559, 562, 567, 568, 573, 578, 591, 605, 606, 615, 623, 625, 636, 637, 648, 660, 663, 668, 671, 679, 684, 702, 709, 712, 734, 736, 742, 747, 753, 755, 757, 759, 767, 774, 777, 781, 789, 817, 839, 858, 859, 864, 870, 878, 897, 909, 914, 917, 920, 925, 935, 949, 951, 956, 969, 975, 978, 982, 987, 1000, 1001, 1006, 1045, 1047, 1064, 1065, 1069, 1073, 1075, 1076, 1080, 1081, 1093, 1095, 1097, 1100, 1102, 1109, 1112, 1113, 1114, 1132, 1150, 1151, 1154, 1157, 1158, 1161, 1169, 1174, 1179, 1217, 1224, 1239, 1243]",SUKT.tsv
get,1,23,"[22, 23, 66, 68, 75, 91, 106, 110, 247, 279, 363, 377, 416, 417, 418, 468, 475, 479, 491, 506, 588, 657, 707, 870, 915, 1013, 1014, 1015, 1057, 1064, 1072, 1079, 1101, 1103, 1107, 1129, 1130, 1156, 1171, 1201, 1203, 1215, 1228]",SUKT.tsv
one,1,106,"[23, 33, 38, 50, 106, 243, 250, 278, 285, 294, 297, 299, 306, 307, 386, 416, 418, 439, 464, 506, 513, 524, 560, 590, 625, 662, 677, 694, 696, 722, 740, 745, 902, 939, 994, 999, 1000, 1001, 1039, 1064, 1104, 1175, 1186, 1229]",SUKT.tsv
poster,1,391,"[23, 390, 391, 392]",SUKT.tsv
get the,2,416,"[23, 416, 418, 1015, 1171, 1215]",SUKT.tsv
who's,1,773,"[23, 773, 946, 1020]",SUKT.tsv
see,1,28,"[27, 28, 172, 270, 319, 328, 378, 386, 645, 737, 831, 847, 1043, 1151, 1152, 1158, 1166, 1222]",SUKT.tsv
it in,2,29,"[28, 29, 540, 737, 914, 1010, 1012, 1064, 1205]",SUKT.tsv
well,1,66,"[28, 66, 79, 83, 87, 103, 146, 217, 271, 285, 302, 310, 322, 333, 351, 369, 370, 378, 391, 400, 422, 454, 464, 471, 479, 490, 520, 522, 524, 586, 622, 707, 718, 764, 822, 836, 843, 867, 896, 900, 923, 1068, 1097, 1147, 1162, 1251]",SUKT.tsv
you can,2,106,"[28, 106, 273, 475, 506, 662, 896, 1104, 1149]",SUKT.tsv
well it,2,464,"[28, 464, 707]",SUKT.tsv
it in the,3,540,"[28, 540, 737]",SUKT.tsv
in the,2,298,"[28, 30, 298, 319, 330, 378, 450, 452, 526, 540, 542, 544, 554, 734, 737, 777, 842, 927, 1027, 1036, 1048, 1112]",SUKT.tsv
do that,2,75,"[30, 75, 153, 458, 459, 554, 918, 1216]",SUKT.tsv
look,1,92,"[30, 92, 155, 218, 313, 424, 644, 796, 832, 833, 836, 1073, 1221]",SUKT.tsv
when you,2,138,"[30, 138, 449, 454, 499]",SUKT.tsv
can i,2,739,"[30, 739, 1250]",SUKT.tsv
you want,2,77,"[33, 77, 247, 277, 279, 333, 674, 680, 801, 1146]",SUKT.tsv
want,1,92,"[33, 77, 92, 99, 202, 203, 247, 277, 279, 333, 351, 389, 439, 579, 674, 676, 680, 741, 801, 1118, 1146, 1213]",SUKT.tsv
way,1,61,"[38, 61, 304, 662, 859]",SUKT.tsv
think,1,61,"[38, 61, 68, 70, 81, 85, 103, 134, 152, 188, 198, 206, 221, 242, 288, 302, 363, 378, 390, 391, 402, 413, 503, 520, 536, 565, 598, 613, 650, 654, 657, 664, 728, 859, 862, 871, 878, 880, 882, 909, 999, 1083, 1093, 1096, 1097, 1103, 1126, 1133, 1161, 1219, 1221, 1222, 1224]",SUKT.tsv
so i,2,79,"[38, 79, 302]",SUKT.tsv
i didn't,2,98,"[38, 98, 103, 270, 375, 414, 424, 433, 611, 1082, 1125]",SUKT.tsv
cool,1,1221,"[40, 768, 1221]",SUKT.tsv
it's still,2,43,"[42, 43]",SUKT.tsv
still,1,419,"[42, 419, 1166]",SUKT.tsv
no it's,2,415,"[42, 415, 455, 534, 682, 1018, 1194]",SUKT.tsv
water,1,72,"[44, 45, 72, 77]",SUKT.tsv
there's,1,431,"[44, 45, 277, 279, 305, 431, 452, 467, 559, 592, 631, 678, 680, 699, 780, 786, 989, 1081, 1083, 1140, 1166, 1167, 1175]",SUKT.tsv
it's a,2,454,"[48, 454, 650, 938, 1193, 1229]",SUKT.tsv
boil,1,50,"[41, 43, 46, 50, 72, 75, 77, 81]",SUKT.tsv
if you,2,110,"[50, 110, 205, 277, 449, 676, 680, 709, 898, 1110, 1118, 1166, 1248]",SUKT.tsv
enough,1,117,"[50, 117, 918, 955, 1095, 1149]",SUKT.tsv
you just,2,157,"[50, 157, 160, 449, 780, 806, 824, 859]",SUKT.tsv
if you just,3,449,"[50, 449]",SUKT.tsv
three,1,348,"[50, 277, 347, 348, 509, 510, 1004, 1005, 1175, 1186]",SUKT.tsv
i'm,1,52,"[17, 52, 152, 285, 302, 307, 310, 312, 347, 371, 372, 422, 439, 474, 504, 608, 689, 812, 837, 878, 882, 938, 940, 945, 978, 989, 990, 1030, 1039, 1060, 1158, 1165, 1216, 1222, 1251]",SUKT.tsv
go,1,53,"[52, 53, 81, 154, 155, 162, 242, 255, 403, 419, 422, 457, 680, 765, 777, 792, 843, 852, 859, 882, 898, 913, 995, 1032, 1064, 1079, 1135, 1161, 1251]",SUKT.tsv
turn,1,75,"[52, 75, 81, 92, 439, 441, 927, 942, 943, 944]",SUKT.tsv
it to,2,77,"[52, 77, 360, 361, 1240, 1246]",SUKT.tsv
smell,1,52,"[32, 52, 243, 248, 741, 1141]",SUKT.tsv
sausages,1,507,"[52, 144, 242, 244, 302, 347, 507, 542, 558, 575, 673]",SUKT.tsv
to go,2,777,"[52, 242, 680, 777, 1079]",SUKT.tsv
gonna,1,208,"[52, 144, 208, 230, 285, 297, 302, 307, 310, 358, 360, 480, 504, 626, 673, 740, 776, 777, 796, 915, 920, 956, 989, 998, 1007, 1014, 1016, 1039, 1046, 1091, 1097, 1165, 1166, 1216, 1232, 1251]",SUKT.tsv
i'm just,2,152,"[52, 152, 347, 689, 938, 1060]",SUKT.tsv
stand,1,1004,"[52, 1004]",SUKT.tsv
they're,1,64,"[54, 64, 106, 142, 190, 450, 489, 517, 527, 544, 955, 1097, 1166]",SUKT.tsv
right,1,386,"[56, 71, 107, 118, 299, 386, 388, 397, 402, 469, 479, 481, 482, 539, 573, 587, 668, 717, 733, 845, 869, 907, 958, 959, 993, 1001, 1002, 1004, 1030, 1039, 1048, 1061, 1084, 1122, 1134, 1159, 1173, 1187]",SUKT.tsv
oh right,2,668,"[56, 539, 573, 668, 907, 1001, 1122]",SUKT.tsv
okay,1,58,"[17, 58, 65, 109, 232, 242, 318, 346, 350, 441, 684, 720, 766, 899, 909, 910, 992, 1063, 1108, 1164, 1171, 1205, 1218]",SUKT.tsv
bite,1,748,"[60, 319, 329, 717, 748, 756, 879, 995, 1200]",SUKT.tsv
god,1,743,"[62, 179, 743, 964, 1033, 1049, 1071, 1166, 1167]",SUKT.tsv
kettle,1,81,"[41, 81, 92, 95, 96, 103]",SUKT.tsv
a kettle,2,95,"[92, 95, 96, 103]",SUKT.tsv
business,1,100,"[64, 99, 100, 125, 130, 588, 1085, 1087]",SUKT.tsv
that's,1,113,"[5, 31, 66, 70, 92, 103, 113, 120, 192, 267, 342, 344, 350, 366, 413, 451, 464, 465, 471, 474, 480, 482, 498, 511, 586, 622, 644, 741, 783, 784, 796, 805, 808, 813, 815, 821, 830, 840, 855, 896, 986, 1032, 1036, 1049, 1089, 1091, 1106, 1113, 1114, 1133, 1173, 1176, 1199, 1245, 1248]",SUKT.tsv
really,1,113,"[17, 19, 22, 81, 87, 103, 113, 201, 202, 302, 327, 439, 460, 527, 538, 560, 796, 803, 805, 807, 875, 879, 950, 994, 1007, 1031, 1039, 1060, 1064, 1073, 1075, 1107, 1146, 1222, 1224]",SUKT.tsv
really nice,2,560,"[113, 560, 1060, 1073]",SUKT.tsv
nice,1,113,"[39, 113, 190, 516, 560, 576, 715, 828, 861, 941, 1051, 1053, 1054, 1059, 1060, 1073, 1145, 1147, 1157]",SUKT.tsv
sure,1,312,"[115, 312, 1158]",SUKT.tsv
interest,1,187,"[120, 187, 495, 622, 646, 1073]",SUKT.tsv
oh that's,2,482,"[120, 366, 482, 805, 1089]",SUKT.tsv
find,1,548,"[128, 129, 131, 548, 863, 1009, 1250]",SUKT.tsv
of it,2,140,"[117, 140, 241, 533, 635, 870]",SUKT.tsv
sometimes,1,659,"[140, 659, 662]",SUKT.tsv
sound,1,688,"[140, 688, 707, 747]",SUKT.tsv
good,1,142,"[32, 64, 99, 106, 117, 124, 142, 173, 192, 242, 266, 271, 366, 469, 517, 527, 556, 611, 743, 886, 922, 1008, 1064, 1124, 1142, 1176, 1179, 1196]",SUKT.tsv
quite,1,142,"[70, 106, 112, 142, 187, 192, 199, 221, 424, 431, 433, 517, 523, 529, 562, 611, 613, 625, 646, 647, 651, 653, 801, 857, 859, 867, 896, 972, 991, 1007, 1036, 1048, 1054, 1062, 1064, 1097, 1126]",SUKT.tsv
quite good,2,142,"[106, 142, 192, 517, 611]",SUKT.tsv
say,1,144,"[19, 68, 79, 81, 83, 85, 112, 117, 144, 147, 197, 230, 304, 368, 390, 391, 449, 548, 598, 659, 798, 859, 865, 898, 938, 939, 956, 1060, 1125, 1128, 1168, 1191, 1251]",SUKT.tsv
time,1,70,"[46, 70, 144, 369, 428, 524, 584, 1090]",SUKT.tsv
say that,2,144,"[79, 83, 85, 144, 548, 939, 1125]",SUKT.tsv
we have,2,144,"[135, 144, 199, 411, 930, 933]",SUKT.tsv
every,1,401,"[144, 401, 412, 448, 584, 921]",SUKT.tsv
start,1,144,"[138, 144, 439, 443, 444, 449, 454, 457, 487, 489, 499, 554, 651, 857]",SUKT.tsv
you're gonna,2,1046,"[144, 626, 1046, 1091]",SUKT.tsv
it's not,2,304,"[156, 304, 305, 453, 454, 595, 658, 740, 984, 1054, 1194, 1237]",SUKT.tsv
actually,1,161,"[70, 79, 106, 161, 221, 286, 302, 311, 369, 449, 534, 554, 602, 608, 666, 813, 859, 934, 1039, 1049, 1073, 1091, 1107, 1138, 1149, 1177]",SUKT.tsv
you do,2,373,"[161, 373, 469, 602, 709, 963, 1189]",SUKT.tsv
yeah you,2,259,"[161, 259, 458, 870, 969, 1239]",SUKT.tsv
you very,2,167,"[31, 167, 169]",SUKT.tsv
be you,2,462,"[167, 169, 193, 358, 360, 462, 707, 859, 926, 1010, 1189, 1220]",SUKT.tsv
i think,2,188,"[61, 70, 85, 134, 188, 198, 206, 242, 288, 302, 363, 378, 390, 391, 402, 413, 503, 520, 565, 598, 613, 650, 654, 880, 882, 909, 999, 1083, 1096, 1097, 1133, 1161, 1224]",SUKT.tsv
probably,1,188,"[146, 188, 225, 228, 233, 236, 330, 361, 378, 557, 812, 1060, 1097, 1206]",SUKT.tsv
i'll,1,190,"[13, 190, 296, 303, 333, 335, 352, 441, 443, 755, 765, 833, 911, 914, 1064, 1182]",SUKT.tsv
give,1,190,"[68, 108, 190, 220, 221, 286, 360, 361, 765, 851, 856, 1030, 1205]",SUKT.tsv
and then,2,190,"[72, 75, 155, 190, 402, 833, 844, 1064, 1081, 1175]",SUKT.tsv
side,1,190,"[117, 190, 847]",SUKT.tsv
so they're,2,544,"[190, 544]",SUKT.tsv
on that,2,631,"[190, 631]",SUKT.tsv
couple of,2,553,"[190, 553, 884, 885, 886, 887]",SUKT.tsv
you be,2,193,"[117, 193, 598, 1012]",SUKT.tsv
top gear,2,197,"[189, 197, 249]",SUKT.tsv
the other,2,216,"[197, 201, 216, 335, 567, 831, 902, 909, 994, 1226]",SUKT.tsv
top,1,259,"[189, 197, 259, 269]",SUKT.tsv
you say,2,304,"[197, 304, 390, 391, 449, 798, 898]",SUKT.tsv
oh yeah,2,199,"[171, 199, 259, 262, 1064, 1080, 1093, 1157]",SUKT.tsv
quite a,2,523,"[199, 523, 529, 647, 857, 991, 1036, 1064, 1126]",SUKT.tsv
have a,2,199,"[198, 199, 303, 409, 473, 475, 699, 879, 930, 933, 1051, 1053, 1091, 1250]",SUKT.tsv
we have a,3,930,"[199, 930, 933]",SUKT.tsv
it's just,2,201,"[92, 159, 201, 439, 454, 548, 582, 613, 742, 749, 816, 1099]",SUKT.tsv
the other two,3,216,"[201, 216]",SUKT.tsv
two,1,201,"[41, 191, 201, 216, 279, 302, 331, 386, 520, 690, 694, 696, 697, 698, 778, 916, 996, 998, 1097]",SUKT.tsv
