Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
okay,1,53,"[0, 53, 65, 94, 99, 302, 348]",SM6J.tsv
at hall,2,4,"[3, 4]",SM6J.tsv
the front,2,5,"[4, 5]",SM6J.tsv
park,1,7,"[4, 7, 228]",SM6J.tsv
walk,1,11,"[4, 11, 29, 117, 139, 146, 199, 201, 206, 605]",SM6J.tsv
in the,2,17,"[4, 17, 21, 93, 100, 127, 163, 252, 255, 275, 328, 353, 371, 383, 543, 567, 576, 603]",SM6J.tsv
the house,2,17,"[4, 17, 21, 42, 73, 146, 149, 163, 219, 255]",SM6J.tsv
we go,2,21,"[4, 21, 182, 200, 228]",SM6J.tsv
go,1,21,"[4, 12, 21, 22, 31, 34, 69, 70, 100, 103, 129, 139, 145, 146, 182, 200, 202, 228, 340, 383, 386, 393, 412, 439, 531, 534, 537, 553, 556, 558, 560, 584, 593, 599, 601, 609, 611, 613]",SM6J.tsv
at the,2,29,"[4, 29, 207, 221, 234, 374, 470]",SM6J.tsv
house,1,35,"[4, 17, 21, 35, 42, 50, 51, 69, 73, 81, 82, 91, 145, 146, 149, 154, 163, 219, 248, 253, 255, 334, 336, 346, 347, 352, 379, 387, 398, 420, 424]",SM6J.tsv
hall,1,39,"[3, 4, 39, 40, 79]",SM6J.tsv
one,1,51,"[4, 51, 156, 174, 257, 272, 282, 315, 349, 390, 436, 461, 476]",SM6J.tsv
on the,2,55,"[4, 52, 55, 60, 84, 109, 117, 366, 409]",SM6J.tsv
i can't,2,93,"[4, 93, 349, 351]",SM6J.tsv
of the,2,93,"[4, 12, 70, 93, 129, 219, 379, 587, 603]",SM6J.tsv
from the,2,146,"[4, 146, 228, 249]",SM6J.tsv
to the,2,121,"[4, 54, 121, 228, 257, 273]",SM6J.tsv
go on,2,439,"[4, 439]",SM6J.tsv
yeah,1,9,"[6, 8, 9, 10, 12, 13, 17, 19, 21, 22, 23, 24, 26, 37, 43, 44, 48, 49, 60, 64, 67, 72, 73, 74, 75, 77, 85, 90, 92, 96, 98, 99, 100, 112, 123, 124, 130, 132, 137, 142, 146, 148, 157, 176, 183, 188, 195, 197, 201, 206, 207, 208, 211, 217, 228, 236, 254, 266, 277, 279, 288, 298, 300, 314, 324, 344, 358, 364, 370, 372, 376, 420, 433, 435, 461, 469, 476, 483, 486, 488, 489, 493, 496, 500, 503, 506, 508, 521, 523, 531, 538, 543, 552, 563, 564, 576, 578, 606]",SM6J.tsv
it be,2,43,"[8, 43, 46, 78, 88, 197, 204, 206, 210, 215, 220, 227, 228, 249, 275, 287, 293, 308, 312, 324, 376, 391, 393, 396, 540, 560]",SM6J.tsv
near,1,546,"[8, 50, 546, 572]",SM6J.tsv
get,1,47,"[12, 47, 74, 93, 113, 119, 174, 177, 178, 228, 246, 261, 272, 320, 347, 378, 401, 418, 419, 420, 447, 471, 499, 511, 555, 601, 605, 608]",SM6J.tsv
a bite,2,49,"[12, 49, 98, 119, 213, 246, 308, 312]",SM6J.tsv
a bite of,3,98,"[12, 98, 246]",SM6J.tsv
bite of,2,98,"[12, 98, 246, 326]",SM6J.tsv
well,1,101,"[12, 38, 48, 70, 101, 114, 117, 123, 154, 160, 161, 199, 205, 221, 260, 278, 287, 297, 299, 302, 310, 341, 366, 373, 384, 391, 399, 442, 455, 460, 462, 482, 485, 486, 488, 493, 495, 509, 511, 517, 525, 529, 535, 537, 543, 549, 553, 571, 573, 576, 581, 614]",SM6J.tsv
get a,2,178,"[12, 178, 246]",SM6J.tsv
