Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
eat,1,486,"[0, 351, 456, 486, 514, 550, 630, 635, 668, 946, 1074, 1082, 1297, 1306, 1339, 1345]",S8JW.tsv
get,1,11,"[1, 11, 67, 69, 80, 102, 115, 126, 127, 156, 161, 172, 184, 256, 310, 313, 314, 337, 368, 378, 426, 444, 474, 491, 505, 532, 573, 586, 623, 626, 650, 660, 685, 686, 698, 724, 729, 751, 761, 769, 770, 773, 776, 780, 781, 796, 800, 803, 815, 884, 885, 886, 925, 947, 973, 983, 995, 1026, 1061, 1063, 1085, 1087, 1101, 1115, 1117, 1137, 1139, 1150, 1202, 1254, 1260, 1268, 1280, 1294, 1309, 1356, 1362, 1364, 1376, 1396, 1398, 1402, 1415, 1434, 1445, 1452, 1456, 1474, 1476, 1487, 1507, 1513, 1515, 1538]",S8JW.tsv
things,1,41,"[1, 41, 43, 170, 201, 312, 324, 453, 455, 490, 524, 685, 698, 769, 775, 809, 843, 865, 1035, 1037, 1063, 1079, 1104, 1163, 1266, 1339, 1350, 1412, 1413, 1422, 1431]",S8JW.tsv
we've,1,194,"[1, 194, 234, 405, 408, 444, 686, 780, 1445, 1487, 1564]",S8JW.tsv
oh we've,2,234,"[1, 234, 780]",S8JW.tsv
i can,2,949,"[1, 949, 955, 1055, 1082, 1089, 1391]",S8JW.tsv
it be,2,8,"[3, 8, 32, 53, 80, 88, 143, 149, 219, 268, 291, 296, 330, 350, 353, 358, 377, 388, 392, 448, 474, 488, 489, 523, 527, 544, 561, 564, 568, 609, 703, 739, 788, 815, 824, 830, 832, 875, 893, 944, 1051, 1180, 1256, 1260, 1314, 1327, 1328, 1329, 1339, 1371, 1376, 1422, 1424, 1427, 1432, 1433, 1464]",S8JW.tsv
yeah,1,20,"[3, 10, 20, 23, 25, 30, 31, 48, 51, 55, 77, 80, 92, 93, 99, 104, 111, 112, 116, 118, 121, 135, 140, 143, 149, 152, 153, 168, 173, 176, 185, 188, 191, 196, 199, 200, 202, 203, 214, 220, 221, 236, 239, 240, 243, 253, 255, 262, 270, 280, 282, 284, 285, 287, 289, 301, 302, 307, 309, 324, 331, 350, 354, 355, 386, 395, 397, 399, 413, 415, 430, 444, 450, 453, 458, 466, 468, 474, 490, 491, 493, 497, 509, 512, 525, 533, 536, 542, 546, 555, 562, 575, 577, 578, 580, 600, 624, 638, 642, 644, 664, 669, 676, 683, 687, 699, 703, 707, 716, 720, 721, 733, 736, 743, 745, 758, 776, 778, 782, 783, 784, 788, 789, 791, 802, 807, 808, 814, 830, 832, 844, 847, 850, 852, 860, 864, 868, 874, 877, 878, 883, 889, 892, 894, 897, 901, 906, 907, 908, 914, 916, 921, 925, 927, 928, 935, 944, 952, 974, 975, 980, 1007, 1014, 1022, 1034, 1036, 1053, 1054, 1057, 1060, 1061, 1064, 1066, 1068, 1077, 1081, 1083, 1086, 1088, 1099, 1102, 1104, 1106, 1111, 1112, 1113, 1116, 1118, 1119, 1121, 1123, 1125, 1129, 1130, 1133, 1135, 1136, 1137, 1143, 1159, 1160, 1166, 1167, 1171, 1183, 1194, 1204, 1216, 1238, 1255, 1259, 1261, 1299, 1324, 1326, 1336, 1342, 1344, 1405, 1411, 1428, 1430, 1433, 1436, 1438, 1439, 1441, 1452, 1453, 1465, 1485, 1494, 1500, 1515, 1516, 1517, 1523, 1527, 1535, 1537, 1549, 1551, 1555, 1557, 1558]",S8JW.tsv
yeah it be,3,143,"[3, 143, 149, 350, 703, 788]",S8JW.tsv
yeah it,2,778,"[3, 149, 350, 703, 778, 788, 1121, 1324]",S8JW.tsv
like ciabatta,2,5,"[2, 4, 5, 6]",S8JW.tsv
like,1,27,"[2, 4, 5, 6, 10, 21, 27, 33, 53, 55, 60, 63, 67, 80, 90, 92, 98, 117, 119, 136, 141, 143, 145, 154, 161, 162, 166, 167, 169, 170, 172, 179, 195, 198, 199, 220, 229, 234, 238, 246, 266, 276, 278, 290, 293, 296, 301, 305, 312, 314, 318, 322, 324, 340, 357, 360, 364, 366, 368, 371, 378, 381, 385, 387, 394, 408, 423, 439, 441, 446, 448, 449, 453, 455, 458, 459, 466, 472, 474, 484, 486, 489, 494, 510, 513, 519, 524, 526, 527, 530, 534, 537, 545, 554, 556, 559, 561, 563, 575, 578, 579, 594, 596, 599, 609, 613, 615, 619, 620, 626, 630, 639, 664, 673, 682, 686, 693, 698, 700, 702, 710, 712, 716, 718, 719, 724, 739, 761, 765, 767, 769, 770, 773, 775, 776, 780, 781, 788, 806, 814, 815, 816, 829, 847, 854, 861, 865, 867, 873, 879, 881, 889, 899, 905, 913, 918, 919, 923, 928, 953, 962, 964, 990, 994, 999, 1009, 1010, 1012, 1025, 1028, 1045, 1047, 1049, 1051, 1056, 1060, 1061, 1063, 1067, 1069, 1071, 1080, 1087, 1092, 1093, 1094, 1095, 1096, 1098, 1101, 1104, 1117, 1118, 1125, 1127, 1130, 1132, 1142, 1145, 1171, 1180, 1184, 1198, 1200, 1207, 1210, 1212, 1214, 1236, 1238, 1251, 1254, 1256, 1258, 1262, 1266, 1268, 1282, 1286, 1301, 1308, 1314, 1326, 1327, 1329, 1334, 1343, 1347, 1353, 1360, 1369, 1371, 1376, 1396, 1399, 1404, 1416, 1422, 1424, 1433, 1437, 1445, 1452, 1453, 1454, 1456, 1458, 1459, 1465, 1471, 1476, 1477, 1478, 1489, 1492, 1493, 1496, 1504, 1518, 1522, 1523, 1533]",S8JW.tsv
look,1,378,"[5, 298, 321, 378, 561, 689, 790, 791, 889, 1045, 1083, 1095, 1103, 1155, 1187, 1206, 1207, 1210, 1212, 1214, 1236, 1238, 1281, 1369]",S8JW.tsv
look like,2,1207,"[5, 1207, 1210, 1214, 1236, 1369]",S8JW.tsv
in the,2,46,"[7, 46, 98, 122, 248, 301, 380, 461, 488, 522, 573, 630, 635, 721, 722, 724, 727, 729, 735, 744, 749, 765, 766, 902, 903, 947, 983, 985, 1172, 1277, 1413, 1445, 1500, 1534]",S8JW.tsv
ness,1,857,"[7, 857, 1393]",S8JW.tsv
like yeah,2,92,"[10, 92, 776, 1453]",S8JW.tsv
right,1,55,"[19, 55, 87, 97, 118, 317, 365, 428, 439, 489, 537, 539, 616, 617, 622, 764, 816, 870, 880, 910, 920, 967, 981, 1048, 1052, 1114, 1126, 1140, 1144, 1186, 1511, 1519, 1525]",S8JW.tsv
dog,1,21,"[16, 21, 24, 488]",S8JW.tsv
children,1,21,"[13, 21, 265, 484, 563]",S8JW.tsv
a bite,2,50,"[33, 50, 105, 170, 196, 248, 265, 266, 296, 301, 333, 334, 494, 583, 588, 621, 626, 628, 630, 636, 753, 863, 865, 879, 881, 949, 960, 1092, 1120, 1157, 1197, 1238, 1334, 1341, 1353, 1489]",S8JW.tsv
bite,1,132,"[33, 50, 105, 132, 170, 179, 196, 248, 265, 266, 296, 301, 310, 330, 333, 334, 360, 364, 370, 423, 433, 494, 519, 526, 583, 588, 621, 626, 628, 630, 636, 753, 863, 865, 879, 881, 949, 960, 1083, 1085, 1092, 1120, 1157, 1197, 1238, 1334, 1341, 1353, 1489]",S8JW.tsv
a bite like,3,881,"[33, 494, 881, 1092, 1238, 1489]",S8JW.tsv
good,1,108,"[40, 108, 154, 184, 198, 250, 256, 324, 350, 352, 388, 399, 401, 465, 474, 482, 483, 550, 578, 606, 629, 667, 698, 782, 800, 801, 896, 945, 998, 1060, 1063, 1065, 1069, 1081, 1145, 1153, 1154, 1156, 1162, 1178, 1180, 1187, 1227, 1232, 1309, 1319, 1323, 1410, 1432, 1452, 1496, 1498, 1500, 1505]",S8JW.tsv
kind of,2,154,"[43, 154, 174, 229, 296, 301, 370, 373, 388, 532, 594, 621, 698, 741, 946, 950, 1040, 1092, 1171, 1200, 1256, 1262, 1335, 1452, 1500, 1518]",S8JW.tsv
make it,2,59,"[55, 59, 411, 630, 1474]",S8JW.tsv
round,1,59,"[55, 59, 90, 110, 248]",S8JW.tsv
though,1,60,"[59, 60, 80, 282, 427, 566, 588, 945, 1081, 1098]",S8JW.tsv
make,1,163,"[55, 59, 163, 229, 394, 411, 420, 477, 506, 550, 592, 625, 630, 663, 728, 735, 946, 1101, 1103, 1132, 1474, 1503, 1518, 1532, 1552, 1557]",S8JW.tsv
ones,1,72,"[69, 72, 75, 318, 722, 919, 962, 964, 1045, 1098, 1139, 1197, 1198, 1199, 1203, 1234, 1353, 1556, 1558]",S8JW.tsv
new,1,69,"[47, 69, 192, 287, 472, 698, 707, 945, 1483]",S8JW.tsv
already,1,431,"[69, 431, 1074]",S8JW.tsv
run,1,71,"[41, 50, 51, 71, 806, 811]",S8JW.tsv
even,1,71,"[55, 71, 318, 417, 766, 815, 1121, 1132, 1182, 1337, 1379, 1424, 1515]",S8JW.tsv
