Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
time,1,100,"[0, 77, 100, 107, 202, 204, 209, 259, 281, 283, 293, 363, 375, 388, 436, 437, 487, 498, 565]",SJSS.tsv
give me,2,446,"[0, 4, 446]",SJSS.tsv
i'm,1,32,"[4, 32, 38, 43, 79, 141, 151, 176, 193, 227, 229, 233, 243, 273, 303, 335, 341, 349, 354, 360, 363, 388, 389, 421, 451, 453, 456, 487, 511, 561]",SJSS.tsv
you can,2,194,"[4, 194, 273, 299]",SJSS.tsv
give,1,446,"[0, 4, 280, 446, 551, 552, 557]",SJSS.tsv
if i'm in,3,487,"[4, 487]",SJSS.tsv
i'll,1,4,"[3, 4, 32, 505, 533, 536, 541]",SJSS.tsv
whole,1,12,"[6, 7, 12]",SJSS.tsv
good,1,43,"[6, 43, 48, 67, 68, 109, 134, 212, 244, 262, 325, 418, 484, 505]",SJSS.tsv
get a,2,148,"[6, 148, 149, 310, 561]",SJSS.tsv
get,1,32,"[6, 32, 92, 104, 125, 129, 146, 148, 149, 151, 161, 169, 176, 180, 202, 212, 225, 291, 293, 310, 311, 313, 319, 410, 421, 438, 446, 456, 474, 477, 479, 493, 495, 511, 516, 518, 520, 530, 534, 536, 537, 561, 568]",SJSS.tsv
bread,1,446,"[8, 446]",SJSS.tsv
yeah,1,16,"[13, 16, 34, 36, 37, 41, 51, 59, 64, 69, 73, 76, 78, 80, 82, 83, 86, 89, 90, 93, 101, 103, 105, 106, 108, 111, 114, 128, 132, 133, 134, 135, 136, 138, 140, 141, 152, 156, 158, 162, 166, 168, 172, 174, 175, 181, 186, 195, 197, 198, 199, 202, 205, 209, 213, 215, 217, 218, 220, 225, 228, 229, 231, 236, 240, 245, 248, 249, 252, 263, 270, 271, 274, 275, 276, 279, 282, 285, 286, 289, 292, 299, 300, 305, 307, 316, 318, 323, 326, 343, 345, 347, 352, 358, 369, 371, 384, 388, 392, 401, 404, 406, 408, 411, 415, 417, 421, 428, 432, 437, 441, 443, 447, 449, 452, 454, 455, 462, 465, 466, 467, 473, 475, 485, 488, 496, 502, 507, 508, 512, 513, 514, 515, 517, 520, 527, 528, 533, 538, 541, 543, 545, 546, 549, 550, 551, 553, 554, 557, 560]",SJSS.tsv
like,1,15,"[12, 15, 25, 38, 40, 44, 50, 51, 53, 58, 67, 71, 72, 79, 81, 85, 88, 91, 98, 104, 109, 122, 124, 126, 129, 133, 137, 141, 148, 151, 161, 167, 185, 189, 193, 194, 201, 202, 217, 223, 225, 227, 229, 230, 232, 237, 254, 259, 266, 269, 270, 273, 278, 281, 288, 294, 295, 297, 298, 299, 300, 306, 307, 309, 310, 311, 312, 314, 317, 325, 327, 328, 332, 335, 336, 339, 342, 344, 346, 348, 349, 356, 357, 358, 359, 360, 361, 365, 366, 372, 377, 388, 389, 390, 394, 398, 400, 409, 414, 418, 420, 421, 423, 426, 438, 439, 444, 446, 450, 451, 453, 456, 457, 458, 459, 460, 463, 466, 468, 472, 474, 476, 477, 479, 481, 483, 485, 487, 489, 497, 498, 501, 505, 506, 509, 511, 513, 529, 534, 536, 537, 539, 544, 549, 555, 556, 557, 559, 560, 563, 565]",SJSS.tsv
be i,2,288,"[15, 288]",SJSS.tsv
eat,1,38,"[15, 35, 38, 74, 250, 446, 466, 468]",SJSS.tsv
go,1,19,"[17, 19, 39, 50, 51, 54, 60, 100, 107, 118, 147, 186, 187, 193, 202, 242, 244, 250, 259, 265, 273, 281, 303, 308, 329, 335, 338, 341, 355, 357, 366, 388, 398, 407, 421, 423, 425, 437, 440, 446, 456, 457, 458, 466, 468, 474, 476, 481, 486, 491, 493, 501, 506, 532, 533, 534, 537, 542, 551, 555]",SJSS.tsv
it's not,2,61,"[22, 61, 104, 130, 163, 446, 506, 513, 544]",SJSS.tsv
use,1,50,"[22, 50, 51, 138, 176, 198, 221, 223, 224, 225, 232, 398, 484, 505, 506]",SJSS.tsv
no i,2,30,"[25, 30, 66, 127, 226]",SJSS.tsv
put,1,96,"[25, 96, 150, 202, 214, 219, 225, 230, 327, 398, 399, 542]",SJSS.tsv
put it,2,230,"[25, 230]",SJSS.tsv
anyway,1,151,"[35, 151, 246, 321, 413, 560]",SJSS.tsv
last,1,446,"[35, 74, 446, 468, 556]",SJSS.tsv
it's so,2,68,"[14, 68, 107, 175, 336, 504]",SJSS.tsv
though,1,75,"[67, 75, 81, 185, 201, 230, 238, 290, 337, 448, 485, 488]",SJSS.tsv
i've,1,77,"[19, 77, 146, 180, 223, 232, 233, 294, 313, 366, 451, 522]",SJSS.tsv
well,1,79,"[32, 48, 58, 62, 71, 79, 122, 133, 165, 169, 176, 223, 238, 262, 311, 332, 334, 342, 355, 380, 391, 398, 406, 446, 466, 520, 525, 526, 533, 535, 540, 551, 566]",SJSS.tsv
come like,2,288,"[79, 288]",SJSS.tsv
i just,2,79,"[30, 79, 127, 132, 133, 198, 209, 215, 240, 266, 288, 294, 372, 429, 483]",SJSS.tsv
come,1,91,"[79, 91, 102, 235, 259, 288, 335, 401, 403, 425, 426, 461, 501]",SJSS.tsv
and it,2,129,"[79, 129, 155, 186, 189, 196, 250, 254, 313, 325, 332, 344, 509]",SJSS.tsv
that's,1,97,"[20, 40, 46, 97, 166, 182, 229, 232, 348, 388, 410, 481, 506, 542]",SJSS.tsv
yeah i,2,133,"[105, 132, 133, 195, 198, 215, 225, 231, 240, 270, 323, 437, 443, 513, 533, 546, 550]",SJSS.tsv
i do,2,230,"[110, 230, 270, 321, 443, 513]",SJSS.tsv
love,1,233,"[98, 110, 233, 333, 459]",SJSS.tsv
really,1,113,"[48, 52, 58, 91, 113, 127, 129, 142, 146, 148, 155, 173, 244, 250, 257, 273, 303, 319, 325, 448, 484, 505, 511]",SJSS.tsv
so many,2,437,"[116, 437]",SJSS.tsv
up there,2,219,"[118, 219]",SJSS.tsv
say,1,140,"[24, 85, 133, 140, 207, 259, 446]",SJSS.tsv
really bad,2,142,"[129, 142, 511]",SJSS.tsv
it be,2,165,"[12, 43, 85, 91, 117, 146, 157, 165, 166, 250, 252, 254, 266, 281, 297, 312, 313, 325, 359, 364, 366, 424, 461, 466, 500, 513, 567]",SJSS.tsv
vagina,1,165,"[146, 165, 520, 526]",SJSS.tsv
cos,1,85,"[61, 81, 85, 104, 133, 167, 176, 180, 185, 207, 217, 232, 242, 244, 264, 267, 273, 280, 301, 311, 325, 341, 357, 358, 372, 395, 399, 403, 415, 423, 446, 451, 456, 466, 472, 481, 498, 499, 506, 513, 534, 537, 542, 544, 559]",SJSS.tsv
cos like,2,167,"[85, 167, 185, 232, 358, 446, 466, 498]",SJSS.tsv
smell,1,194,"[155, 167, 194, 196, 299, 301, 325, 332, 395, 410, 413, 416, 418, 509]",SJSS.tsv
it smell,2,167,"[155, 167, 509]",SJSS.tsv
bad,1,297,"[142, 167, 297, 395, 418, 511]",SJSS.tsv
as well,2,169,"[32, 71, 133, 169, 176, 238, 311, 342, 391, 406, 540]",SJSS.tsv
get it,2,169,"[161, 169, 225, 446]",SJSS.tsv
i get,2,169,"[148, 151, 169, 176, 202, 291, 456, 474, 511]",SJSS.tsv
i don't,2,183,"[66, 112, 127, 183, 185, 221, 226, 244, 267, 288, 310, 319, 321, 368, 395, 424, 451, 466, 487, 562]",SJSS.tsv
like it,2,185,"[12, 133, 185, 390, 446, 511]",SJSS.tsv
when you're,2,216,"[185, 216, 219]",SJSS.tsv
like especially when,3,342,"[185, 342]",SJSS.tsv
either,1,446,"[185, 446]",SJSS.tsv
