Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
say,1,54,"[0, 9, 54, 56, 64, 85, 129, 170, 174, 176, 178, 181, 238, 260]",SNK6.tsv
gonna,1,22,"[0, 22, 41, 42, 133, 135, 136, 178, 260, 268]",SNK6.tsv
gonna say,2,260,"[0, 260]",SNK6.tsv
thing,1,59,"[14, 59, 74, 178, 181]",SNK6.tsv
buy,1,80,"[14, 80]",SNK6.tsv
cos,1,14,"[8, 14, 30, 50, 67, 80, 88, 110, 170, 178, 193]",SNK6.tsv
and then,2,14,"[10, 14, 121, 122, 152, 176, 220]",SNK6.tsv
what do,2,18,"[13, 18, 60, 64, 115, 274, 283]",SNK6.tsv
want,1,13,"[10, 13, 18, 27, 119, 170, 178, 216, 275]",SNK6.tsv
do you want,3,27,"[18, 27]",SNK6.tsv
i don't know what,4,59,"[18, 59, 229]",SNK6.tsv
know,1,22,"[18, 22, 59, 63, 65, 78, 80, 148, 152, 166, 176, 178, 181, 211, 229]",SNK6.tsv
i don't know,3,63,"[18, 59, 63, 78, 80, 176, 229]",SNK6.tsv
i don't,2,80,"[18, 59, 63, 78, 80, 82, 176, 229, 242, 259]",SNK6.tsv
you want,2,119,"[18, 27, 119, 178, 216]",SNK6.tsv
do you,2,148,"[18, 27, 60, 115, 148, 157, 208, 262, 284]",SNK6.tsv
well,1,20,"[6, 20, 54, 61, 65, 66, 67, 101, 166, 168, 178, 181, 182, 198, 199, 203, 225, 242]",SNK6.tsv
eat,1,23,"[20, 23, 27, 28, 30, 34, 59, 61, 65, 73]",SNK6.tsv
what time,2,21,"[20, 21, 22, 41, 84]",SNK6.tsv
so what,2,41,"[13, 41, 112]",SNK6.tsv
two,1,41,"[21, 23, 28, 29, 36, 41, 85, 150]",SNK6.tsv
think,1,41,"[5, 29, 41, 50, 57, 59, 62, 80, 82, 103, 131, 176, 220, 266, 275]",SNK6.tsv
get,1,59,"[21, 22, 41, 45, 59, 67, 84, 109, 111, 129, 131, 132, 157, 159, 172, 207, 212, 231, 233, 242, 243, 245, 255, 256, 284]",SNK6.tsv
think it's,2,80,"[41, 80]",SNK6.tsv
around,1,82,"[41, 50, 82, 123, 127]",SNK6.tsv
work,1,132,"[44, 130, 132, 144, 145, 146, 150, 152, 158]",SNK6.tsv
year before,2,50,"[6, 50]",SNK6.tsv
last,1,50,"[3, 6, 10, 45, 50, 170, 184, 187, 195, 206, 230]",SNK6.tsv
year,1,50,"[3, 6, 10, 45, 50, 170, 182, 187, 206, 224, 229]",SNK6.tsv
i think,2,50,"[5, 29, 50, 62, 103, 131, 220, 266, 275]",SNK6.tsv
on your own,3,54,"[50, 54]",SNK6.tsv
wake,1,54,"[50, 54]",SNK6.tsv
sort,1,59,"[50, 59, 88, 242]",SNK6.tsv
last year,2,50,"[3, 10, 45, 50, 170, 187, 206]",SNK6.tsv
be in,2,198,"[50, 198]",SNK6.tsv
suggest,1,117,"[53, 115, 117, 176]",SNK6.tsv
not do it,3,187,"[55, 187]",SNK6.tsv
many,1,284,"[55, 284]",SNK6.tsv
i'm,1,58,"[19, 23, 58, 62, 92, 110, 145, 152, 158, 228, 242]",SNK6.tsv
they do,2,189,"[58, 103, 189]",SNK6.tsv
mean,1,60,"[43, 60]",SNK6.tsv
a bite,2,75,"[69, 75, 181, 192, 237, 242]",SNK6.tsv
gluten free,2,76,"[67, 76, 78, 80, 82]",SNK6.tsv
go,1,81,"[54, 81, 89, 99, 100, 129, 141, 149, 170, 174, 177, 178, 181, 188, 190, 191, 212, 236]",SNK6.tsv
go to,2,129,"[81, 129, 170, 188, 190, 191, 212]",SNK6.tsv
day,1,88,"[1, 2, 23, 54, 56, 88, 89, 91, 94, 99, 100, 126, 155, 280, 283, 287]",SNK6.tsv
like,1,88,"[1, 2, 34, 74, 88, 107, 115, 130, 176, 202, 211, 213, 220, 222, 226, 242, 245, 280]",SNK6.tsv
that's,1,88,"[15, 88, 99, 119, 143, 214, 237, 238]",SNK6.tsv
actually,1,88,"[59, 88, 176, 257]",SNK6.tsv
in the,2,134,"[83, 88, 134, 136, 176, 181, 217]",SNK6.tsv
usually,1,91,"[88, 91, 101, 182, 230]",SNK6.tsv
go on,2,99,"[54, 89, 99, 100]",SNK6.tsv
yeah,1,101,"[12, 24, 29, 56, 75, 101, 103, 129, 171, 173, 200, 217, 218, 226, 231, 234, 239, 251, 261]",SNK6.tsv
think they,2,103,"[59, 103]",SNK6.tsv
stuff,1,107,"[98, 107, 111, 130, 174]",SNK6.tsv
the end,2,193,"[107, 193]",SNK6.tsv
i'm not,2,110,"[19, 92, 110]",SNK6.tsv
but it's,2,110,"[75, 110, 178]",SNK6.tsv
christmas,1,126,"[1, 2, 23, 42, 54, 94, 100, 126, 128, 144, 145, 146, 150, 153, 161, 280, 283, 287]",SNK6.tsv
christmas eve,2,145,"[126, 145, 146, 161]",SNK6.tsv
eve,1,155,"[126, 145, 146, 155, 159, 161, 162, 174]",SNK6.tsv
gonna put it,3,136,"[133, 135, 136]",SNK6.tsv
time,1,149,"[21, 22, 84, 149, 195, 261]",SNK6.tsv
do you get,3,284,"[157, 284]",SNK6.tsv
come,1,84,"[30, 62, 84, 85, 94, 111, 137, 165]",SNK6.tsv
come on,2,165,"[30, 94, 111, 165]",SNK6.tsv
do it,2,178,"[55, 178, 184, 187]",SNK6.tsv
they go to,3,190,"[188, 190, 191]",SNK6.tsv
be ill,2,195,"[94, 195, 196]",SNK6.tsv
what you want,3,216,"[119, 216]",SNK6.tsv
whatever,1,226,"[19, 113, 114, 116, 226]",SNK6.tsv
yeah but,2,226,"[75, 129, 226, 231]",SNK6.tsv
need,1,242,"[59, 242]",SNK6.tsv
very wrong,2,242,"[241, 242]",SNK6.tsv
really,1,242,"[174, 178, 242, 255, 265]",SNK6.tsv
