begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.17197452229299362,0.21363636363636362,0.1962864721485411,SECU.tsv
50,100,0.24675324675324675,0.3065134099616858,0.2741652021089631,SECU.tsv
100,150,0.4171779141104294,0.36486486486486486,0.38701298701298703,SECU.tsv
150,200,0.3322475570032573,0.38461538461538464,0.357504215851602,SECU.tsv
200,250,0.5568181818181818,0.34987593052109184,0.41278065630397237,SECU.tsv
250,300,0.5691489361702128,0.4323308270676692,0.46805555555555556,SECU.tsv
300,318,0.64,0.4927536231884058,0.5694444444444444,SECU.tsv
