Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
we've,1,3,"[0, 14, 124]","[3, 83, 117, 132]",SRDJ.tsv,S0247,S0248
try,1,19,[0],"[19, 83, 87, 134, 258, 262]",SRDJ.tsv,S0247,S0248
learn spanish,2,50,[0],"[50, 134, 242, 248]",SRDJ.tsv,S0247,S0248
okay,1,71,"[0, 173, 290, 294]","[71, 134, 285, 291, 293]",SRDJ.tsv,S0247,S0248
learn,1,77,"[0, 76, 149, 288]","[77, 83, 113, 132, 184, 254, 262, 79, 109, 134, 242, 248, 258]",SRDJ.tsv,S0247,S0248
to learn,2,79,"[0, 76, 149]","[79, 109, 258]",SRDJ.tsv,S0247,S0248
spanish,1,83,"[0, 6, 34, 53, 76, 114, 128, 149, 159, 189, 191, 201, 240, 272, 280, 288]","[83, 121, 123, 134, 242, 248]",SRDJ.tsv,S0247,S0248
try to learn,3,258,[0],[258],SRDJ.tsv,S0247,S0248
it's over ten years,4,9,"[2, 10]",[9],SRDJ.tsv,S0247,S0248
well,1,31,"[2, 4, 26, 66, 74, 102, 149, 157, 193, 207, 225, 238, 243, 280, 290]","[31, 37, 132, 156, 178, 242, 281, 136, 182]",SRDJ.tsv,S0247,S0248
well it's,2,136,"[2, 157]","[136, 182]",SRDJ.tsv,S0247,S0248
isn't it,2,141,"[2, 135, 163]",[141],SRDJ.tsv,S0247,S0248
years,1,184,"[2, 10]",[184],SRDJ.tsv,S0247,S0248
but then,2,83,[4],[83],SRDJ.tsv,S0247,S0248
be a,2,95,"[4, 26, 149, 191, 199, 225, 280]","[95, 123, 178]",SRDJ.tsv,S0247,S0248
we be,2,117,"[4, 6, 238]",[117],SRDJ.tsv,S0247,S0248
i'm,1,164,"[4, 36]","[164, 166, 244, 250, 252, 258]",SRDJ.tsv,S0247,S0248
sure,1,164,[4],"[164, 166]",SRDJ.tsv,S0247,S0248
go to,2,63,"[6, 60, 173, 288]","[63, 87]",SRDJ.tsv,S0247,S0248
when we,2,87,[6],[87],SRDJ.tsv,S0247,S0248
for a,2,184,"[6, 98]","[184, 263]",SRDJ.tsv,S0247,S0248
start,1,212,"[6, 12, 98, 126, 129, 219]","[212, 214, 222]",SRDJ.tsv,S0247,S0248
go,1,244,"[6, 60, 66, 86, 98, 173, 288]","[244, 265]",SRDJ.tsv,S0247,S0248
first,1,260,"[6, 155, 159]",[260],SRDJ.tsv,S0247,S0248
two thousand and,3,8,[8],[7],SRDJ.tsv,S0247,S0248
yeah,1,13,"[10, 16, 18, 28, 45, 47, 60, 64, 72, 80, 86, 104, 110, 112, 120, 122, 135, 137, 140, 142, 145, 149, 151, 167, 169, 179, 201, 205, 209, 211, 215, 221, 223, 225, 231, 233, 237, 245, 251, 255, 261, 266, 270, 282, 292]","[13, 35, 37, 44, 46, 59, 61, 130, 139, 154, 160, 162, 182, 194, 204, 210, 220, 236, 279, 281, 285]",SRDJ.tsv,S0247,S0248
mm yeah,2,162,[10],[162],SRDJ.tsv,S0247,S0248
off with,2,50,[12],[50],SRDJ.tsv,S0247,S0248
different,1,83,"[12, 116, 147, 197, 203]","[83, 111, 194, 202, 208, 230]",SRDJ.tsv,S0247,S0248
of the,2,93,"[12, 76, 86, 149, 159]",[93],SRDJ.tsv,S0247,S0248
we've do,2,14,[14],[3],SRDJ.tsv,S0247,S0248
michel thomas,2,15,"[14, 58]",[15],SRDJ.tsv,S0247,S0248
things,1,15,"[14, 57, 240]","[15, 59, 97, 113, 258]",SRDJ.tsv,S0247,S0248
listen to,2,17,[14],[17],SRDJ.tsv,S0247,S0248
like,1,25,"[14, 126, 159, 290]","[25, 164, 242, 250, 258, 260]",SRDJ.tsv,S0247,S0248
and the,2,93,"[14, 76, 159, 284]",[93],SRDJ.tsv,S0247,S0248
things like,2,258,[14],[258],SRDJ.tsv,S0247,S0248
that be,2,18,"[18, 34, 225, 286]","[7, 27, 275]",SRDJ.tsv,S0247,S0248
wasn't it,2,18,"[18, 225, 227]","[7, 9]",SRDJ.tsv,S0247,S0248
yes,1,29,"[20, 24, 43, 49, 55, 60, 90, 98, 106, 114, 135, 221, 278]","[29, 33, 295]",SRDJ.tsv,S0247,S0248
it be,2,79,"[22, 28]","[79, 164, 228, 256, 273]",SRDJ.tsv,S0247,S0248
and it,2,273,"[22, 28, 86, 201]",[273],SRDJ.tsv,S0247,S0248
do you,2,26,"[26, 60, 116, 284, 294]","[1, 164]",SRDJ.tsv,S0247,S0248
you have,2,26,"[26, 32]","[3, 107, 109, 113, 273]",SRDJ.tsv,S0247,S0248
remember,1,26,"[26, 149, 161, 163, 284]","[19, 29, 31, 33, 37, 42, 87, 27, 65]",SRDJ.tsv,S0247,S0248
remember that,2,27,[26],"[27, 65]",SRDJ.tsv,S0247,S0248
they say,2,38,[26],[38],SRDJ.tsv,S0247,S0248
the erm,2,63,[26],[63],SRDJ.tsv,S0247,S0248
say,1,93,"[26, 74, 114, 126, 149, 161, 185, 191, 201, 238, 284]","[93, 113, 123, 141, 172, 178, 196, 273, 132, 228]",SRDJ.tsv,S0247,S0248
tape,1,117,[26],[117],SRDJ.tsv,S0247,S0248
say it,2,132,[26],"[132, 273]",SRDJ.tsv,S0247,S0248
it they,2,168,[26],[168],SRDJ.tsv,S0247,S0248
they say it,3,228,[26],[228],SRDJ.tsv,S0247,S0248
read,1,250,"[26, 74]",[250],SRDJ.tsv,S0247,S0248
something,1,273,"[26, 161, 201, 276]","[273, 277]",SRDJ.tsv,S0247,S0248
play,1,28,"[28, 32]","[17, 121, 256, 263]",SRDJ.tsv,S0247,S0248
music,1,28,"[28, 32]",[17],SRDJ.tsv,S0247,S0248
be another idea,3,28,[28],[27],SRDJ.tsv,S0247,S0248
adele and peter,3,29,[28],[29],SRDJ.tsv,S0247,S0248
idea,1,40,"[28, 34]","[40, 146]",SRDJ.tsv,S0247,S0248
of adele,2,42,[28],[42],SRDJ.tsv,S0247,S0248
peter,1,42,"[28, 58]",[42],SRDJ.tsv,S0247,S0248
adele,1,50,"[28, 58]",[50],SRDJ.tsv,S0247,S0248
sort of,2,99,"[28, 142, 159]","[99, 242]",SRDJ.tsv,S0247,S0248
and yeah,2,160,"[28, 209]",[160],SRDJ.tsv,S0247,S0248
tell,1,248,"[28, 201, 227]",[248],SRDJ.tsv,S0247,S0248
it's the,2,256,[28],"[256, 265]",SRDJ.tsv,S0247,S0248
in the background,3,32,[32],[17],SRDJ.tsv,S0247,S0248
in the,2,32,"[32, 159, 187]","[21, 44]",SRDJ.tsv,S0247,S0248
then you,2,83,"[32, 74, 98]",[83],SRDJ.tsv,S0247,S0248
it just,2,93,[32],[93],SRDJ.tsv,S0247,S0248
have a,2,117,"[32, 86, 235, 238, 240, 288, 290]","[117, 273]",SRDJ.tsv,S0247,S0248
you have a,3,273,[32],[273],SRDJ.tsv,S0247,S0248
and that,2,34,"[34, 191]",[7],SRDJ.tsv,S0247,S0248
stick in,2,37,[34],[37],SRDJ.tsv,S0247,S0248
mind,1,37,[34],"[37, 93]",SRDJ.tsv,S0247,S0248
would,1,119,"[34, 74, 126, 161, 185, 189, 191, 235]","[119, 156, 168, 192, 256]",SRDJ.tsv,S0247,S0248
the spanish,2,121,"[34, 201, 272]",[121],SRDJ.tsv,S0247,S0248
in your,2,121,"[34, 76]",[121],SRDJ.tsv,S0247,S0248
be that,2,132,"[34, 217]","[132, 275]",SRDJ.tsv,S0247,S0248
it would,2,256,"[34, 161]",[256],SRDJ.tsv,S0247,S0248
that the,2,275,"[34, 227]",[275],SRDJ.tsv,S0247,S0248
i'm not sure,3,164,[36],"[164, 166]",SRDJ.tsv,S0247,S0248
i'm not,2,250,[36],"[250, 252]",SRDJ.tsv,S0247,S0248
quite,1,43,"[43, 240, 243, 280, 286]","[42, 242, 258, 273, 283]",SRDJ.tsv,S0247,S0248
think,1,53,"[53, 57, 76, 96, 98, 114, 122, 131, 149, 191, 193, 240, 243, 272, 294]","[1, 5, 172, 192, 228, 242, 244, 252, 289, 44, 256, 283]",SRDJ.tsv,S0247,S0248
i think,2,53,"[53, 57, 76, 96, 122, 131, 193, 240]","[44, 242, 244, 256, 283]",SRDJ.tsv,S0247,S0248
speak,1,83,"[53, 74, 76, 126, 147, 149, 159, 161, 175, 177, 191]","[83, 87, 95, 123, 134, 156, 166, 172, 178]",SRDJ.tsv,S0247,S0248
already,1,273,[53],[273],SRDJ.tsv,S0247,S0248
two,1,57,"[57, 74, 149]",[7],SRDJ.tsv,S0247,S0248
no i,2,57,[57],"[27, 164, 289]",SRDJ.tsv,S0247,S0248
get,1,57,"[57, 58, 60, 86, 98, 124, 129, 131, 142, 143, 191, 240]","[50, 59, 89, 93, 99, 117, 121, 244, 246, 248, 256]",SRDJ.tsv,S0247,S0248
with the,2,134,"[58, 98, 272]",[134],SRDJ.tsv,S0247,S0248
really,1,60,"[60, 70, 98, 238, 240]","[3, 40, 48, 75, 85, 87, 89, 101, 117, 123, 136, 164, 166, 184, 202, 242, 252, 256, 263]",SRDJ.tsv,S0247,S0248
one,1,60,"[60, 288]","[52, 59, 184, 273, 275]",SRDJ.tsv,S0247,S0248
get it right,3,60,[60],[59],SRDJ.tsv,S0247,S0248
and one,2,60,[60],[59],SRDJ.tsv,S0247,S0248
get it,2,60,[60],[59],SRDJ.tsv,S0247,S0248
didn't you,2,63,[60],[63],SRDJ.tsv,S0247,S0248
you you,2,79,"[60, 98, 116, 126]","[79, 83, 258, 273]",SRDJ.tsv,S0247,S0248
we do,2,79,[60],"[79, 295]",SRDJ.tsv,S0247,S0248
that we,2,132,"[60, 240]",[132],SRDJ.tsv,S0247,S0248
wrong,1,144,"[60, 193]",[144],SRDJ.tsv,S0247,S0248
do that,2,148,"[60, 240]",[148],SRDJ.tsv,S0247,S0248
yeah yeah,2,162,"[60, 122, 137, 211]","[162, 236, 285]",SRDJ.tsv,S0247,S0248
one that,2,275,[60],[275],SRDJ.tsv,S0247,S0248
take,1,132,"[62, 173]",[132],SRDJ.tsv,S0247,S0248
ones,1,168,"[62, 177]","[168, 267]",SRDJ.tsv,S0247,S0248
i've,1,242,"[62, 137, 138, 240]","[242, 244, 248, 258, 262]",SRDJ.tsv,S0247,S0248
another,1,64,"[64, 272]",[27],SRDJ.tsv,S0247,S0248
but i,2,81,"[64, 238, 240, 272]","[81, 91, 166, 248, 250, 256]",SRDJ.tsv,S0247,S0248
my own,2,91,[66],[91],SRDJ.tsv,S0247,S0248
in in,2,68,"[68, 163]",[44],SRDJ.tsv,S0247,S0248
teacher,1,73,"[70, 76]",[73],SRDJ.tsv,S0247,S0248
really really,2,136,[70],[136],SRDJ.tsv,S0247,S0248
know,1,74,"[74, 76, 86, 98, 114, 126, 149, 159, 161, 163, 179, 181, 185, 189, 191, 238, 240, 284]","[3, 23, 79, 103, 154, 254, 256, 164, 83, 85, 87, 93, 101, 107, 117, 121, 123, 132, 166, 172, 184, 208, 216, 242, 250, 262, 263, 273]",SRDJ.tsv,S0247,S0248
i do,2,74,"[74, 98]","[31, 33, 164]",SRDJ.tsv,S0247,S0248
blame the teacher,3,74,[74],[73],SRDJ.tsv,S0247,S0248
be to,2,79,[74],[79],SRDJ.tsv,S0247,S0248
you know,2,79,"[74, 76, 86, 98, 114, 126, 149, 159, 161, 163, 179, 191, 238, 240, 284]","[79, 83, 85, 87, 93, 101, 107, 117, 121, 123, 132, 164, 166, 172, 184, 208, 216, 242, 250, 254, 256, 262, 263, 273]",SRDJ.tsv,S0247,S0248
might,1,101,"[74, 126, 243]","[101, 123, 263]",SRDJ.tsv,S0247,S0248
number,1,123,"[74, 181]","[123, 184, 192]",SRDJ.tsv,S0247,S0248
four,1,132,"[74, 177]",[132],SRDJ.tsv,S0247,S0248
the the,2,134,"[74, 76, 149, 159, 175]","[134, 254, 256, 277]",SRDJ.tsv,S0247,S0248
know and i,3,164,[74],[164],SRDJ.tsv,S0247,S0248
ever,1,172,"[74, 76]","[172, 258, 260, 263]",SRDJ.tsv,S0247,S0248
time,1,184,"[74, 76, 138, 240]","[184, 260, 263]",SRDJ.tsv,S0247,S0248
well i,2,242,"[74, 238]",[242],SRDJ.tsv,S0247,S0248
and i,2,242,"[74, 149, 240]",[242],SRDJ.tsv,S0247,S0248
do be,2,76,[76],[3],SRDJ.tsv,S0247,S0248
to be,2,76,"[76, 126, 161]","[3, 95]",SRDJ.tsv,S0247,S0248
i be,2,76,"[76, 147, 288]","[5, 87, 89, 132]",SRDJ.tsv,S0247,S0248
although,1,76,[76],[52],SRDJ.tsv,S0247,S0248
the teacher,2,76,[76],[73],SRDJ.tsv,S0247,S0248
good,1,76,"[76, 149, 280]","[75, 132, 134, 258, 273]",SRDJ.tsv,S0247,S0248
when you're,2,79,[76],[79],SRDJ.tsv,S0247,S0248
learn the,2,83,[76],[83],SRDJ.tsv,S0247,S0248
i i,2,93,"[76, 272]","[93, 242, 250, 252, 258]",SRDJ.tsv,S0247,S0248
that you,2,99,"[76, 114, 116, 149, 179, 191]","[99, 172]",SRDJ.tsv,S0247,S0248
english,1,99,"[76, 143, 149, 161, 163, 175, 177, 191]","[99, 172]",SRDJ.tsv,S0247,S0248
language,1,121,"[76, 143, 149, 155, 157, 159, 185, 227]","[121, 202]",SRDJ.tsv,S0247,S0248
that you know,3,172,"[76, 149, 179]",[172],SRDJ.tsv,S0247,S0248
speak english,2,172,"[76, 175, 177]",[172],SRDJ.tsv,S0247,S0248
so i i,3,242,[76],[242],SRDJ.tsv,S0247,S0248
need,1,242,"[76, 116, 126, 161]",[242],SRDJ.tsv,S0247,S0248
think when,2,252,[76],[252],SRDJ.tsv,S0247,S0248
everything,1,258,"[76, 143]",[258],SRDJ.tsv,S0247,S0248
you know they,3,263,"[76, 159]",[263],SRDJ.tsv,S0247,S0248
a good,2,273,[76],[273],SRDJ.tsv,S0247,S0248
