Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
know,1,1,"[0, 2, 80, 86, 90, 116, 154, 182, 196, 255, 287, 294, 307, 309, 317, 323, 349, 351, 419, 474, 476, 556]","[1, 11, 81, 95, 137, 153, 155, 165, 169, 183, 185, 187, 197, 199, 219, 225, 268, 278, 362, 416, 424, 426, 477, 479, 543, 551, 227, 231]",S3M4.tsv,S0517,S0525
ski,1,1,"[0, 2, 42, 92, 98, 108, 351, 380, 392, 398, 400, 431]","[1, 11, 19, 35, 37, 39, 41, 45, 105, 350, 385, 397, 401, 410, 416, 446, 452]",S3M4.tsv,S0517,S0525
that i,2,11,[0],"[11, 434]",S3M4.tsv,S0517,S0525
i'm,1,11,"[0, 2, 14, 92, 106, 273, 283, 296, 568]","[11, 45, 91, 103, 179, 183, 185, 189, 225, 274, 330, 348, 422, 436, 440, 551]",S3M4.tsv,S0517,S0525
say,1,11,"[0, 2, 12, 14, 18, 90, 96, 98, 108, 116, 283, 319, 323, 392, 411, 554]","[11, 39, 65, 68, 87, 93, 121, 149, 163, 169, 179, 189, 213, 223, 225, 227, 246, 248, 258, 268, 278, 286, 322, 346, 373, 442, 463, 561, 575]",S3M4.tsv,S0517,S0525
on the,2,27,"[0, 32, 58, 74, 76, 120, 263, 333, 376, 384, 386, 400]","[27, 75, 169, 219, 221, 225, 440, 444, 513]",S3M4.tsv,S0517,S0525
actually,1,33,"[0, 2, 98, 530, 574]","[33, 103, 105, 248]",S3M4.tsv,S0517,S0525
gonna,1,41,"[0, 106, 108, 128, 253]","[41, 121, 225]",S3M4.tsv,S0517,S0525
so he,2,45,"[0, 283]",[45],S3M4.tsv,S0517,S0525
chat,1,79,"[0, 26, 439]","[79, 438]",S3M4.tsv,S0517,S0525
actually i'm just,3,103,"[0, 2]",[103],S3M4.tsv,S0517,S0525
i have,2,144,"[0, 2, 50, 554]","[144, 148, 373, 410, 416, 531, 149]",S3M4.tsv,S0517,S0525
that i have,3,149,[0],[149],S3M4.tsv,S0517,S0525
know that,2,227,[0],"[227, 231]",S3M4.tsv,S0517,S0525
go to,2,5,"[2, 14, 98, 572]","[5, 11, 43, 59, 105, 121, 148, 183, 185, 187, 189, 330, 338, 416, 420, 459, 477]",S3M4.tsv,S0517,S0525
tell,1,5,"[2, 14, 26, 102, 305, 400]","[5, 79, 87, 95, 393, 11, 33]",S3M4.tsv,S0517,S0525
go,1,5,"[2, 8, 14, 48, 58, 98, 112, 126, 182, 298, 300, 319, 341, 347, 349, 353, 376, 386, 394, 398, 400, 413, 476, 510, 518, 520, 568, 572, 576]","[5, 9, 27, 59, 109, 119, 148, 189, 219, 223, 278, 312, 318, 352, 377, 383, 412, 426, 448, 477, 479, 487, 489, 517, 551, 571, 573, 575, 11, 43, 105, 121, 183, 185, 187, 330, 338, 416, 420, 459]",S3M4.tsv,S0517,S0525
i don't know,3,11,"[2, 80, 90, 116, 255, 307, 309, 323, 474, 476]","[11, 81, 155, 185, 225, 268, 477, 165]",S3M4.tsv,S0517,S0525
i think,2,11,"[2, 4, 14, 58, 74, 78, 80, 287, 325, 464]","[11, 113, 155, 157, 161, 165, 181, 286, 288, 326, 330, 412, 426, 440, 446, 487, 489, 497, 159, 268]",S3M4.tsv,S0517,S0525
tell him,2,11,"[2, 102]","[11, 33]",S3M4.tsv,S0517,S0525
