Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
pay,1,5,"[0, 6, 8, 22, 24, 28, 30, 62, 92, 1238, 1240, 1242, 1248]","[5, 27, 170, 1243, 1263, 1269, 33, 1257]",SXSM.tsv,S0529,S0530
back,1,5,"[0, 4, 22, 24, 28, 30, 62, 92, 118, 162, 386, 504, 506, 570, 997]","[5, 50, 163, 753, 1158, 1243, 1312, 33]",SXSM.tsv,S0529,S0530
like,1,5,"[0, 2, 6, 10, 12, 18, 28, 38, 40, 53, 60, 62, 67, 71, 80, 86, 92, 100, 106, 114, 118, 120, 121, 127, 129, 134, 138, 142, 146, 150, 152, 160, 210, 215, 217, 221, 224, 226, 232, 233, 235, 237, 243, 244, 245, 247, 264, 266, 268, 272, 274, 286, 304, 306, 310, 312, 314, 323, 363, 365, 367, 373, 382, 384, 386, 397, 399, 411, 425, 441, 449, 453, 455, 457, 459, 463, 473, 477, 478, 480, 484, 493, 495, 506, 522, 530, 533, 551, 557, 560, 564, 583, 597, 599, 634, 638, 657, 664, 682, 690, 692, 726, 728, 732, 736, 758, 760, 764, 772, 774, 780, 787, 791, 810, 836, 838, 840, 846, 848, 850, 854, 858, 868, 874, 876, 907, 953, 957, 959, 962, 991, 995, 1007, 1013, 1015, 1017, 1019, 1031, 1033, 1037, 1039, 1055, 1057, 1059, 1061, 1063, 1069, 1071, 1087, 1091, 1097, 1101, 1113, 1125, 1131, 1135, 1137, 1151, 1177, 1186, 1196, 1246, 1250, 1264, 1278, 1318]","[5, 33, 50, 57, 68, 73, 79, 87, 97, 103, 111, 126, 137, 155, 167, 173, 185, 187, 191, 195, 197, 201, 203, 205, 209, 229, 252, 257, 262, 281, 307, 311, 326, 328, 338, 340, 345, 353, 358, 360, 381, 394, 400, 402, 408, 410, 420, 426, 428, 440, 446, 472, 476, 496, 503, 507, 523, 542, 544, 575, 582, 588, 596, 600, 612, 648, 654, 658, 681, 689, 705, 731, 765, 775, 779, 783, 785, 786, 796, 799, 802, 817, 818, 831, 843, 881, 889, 893, 894, 900, 904, 940, 990, 998, 1000, 1002, 1022, 1024, 1026, 1040, 1046, 1052, 1054, 1064, 1066, 1068, 1074, 1082, 1100, 1104, 1128, 1141, 1143, 1144, 1146, 1160, 1200, 1223, 1229, 1231, 1253, 1271, 1275, 1289, 1291, 1297, 1299, 1306, 1321, 586, 984]",SXSM.tsv,S0529,S0530
have to pay,3,33,"[0, 28, 30, 62, 92, 1240]","[33, 1257]",SXSM.tsv,S0529,S0530
to pay back,3,33,"[0, 30, 62]",[33],SXSM.tsv,S0529,S0530
have to,2,50,"[0, 6, 14, 18, 28, 30, 46, 53, 62, 92, 148, 200, 314, 323, 564, 623, 670, 850, 1240, 1242]","[50, 163, 170, 320, 503, 1275, 1312, 1257]",SXSM.tsv,S0529,S0530
probably,1,50,"[0, 32, 306, 417, 484, 512, 708, 1035, 1069]","[50, 205, 481, 681, 934, 938, 1301]",SXSM.tsv,S0529,S0530
far,1,57,[0],[57],SXSM.tsv,S0529,S0530
and then,2,68,"[0, 114, 118, 142, 172, 477, 531, 772, 836, 886, 1248]","[68, 185]",SXSM.tsv,S0529,S0530
year,1,68,"[0, 6, 67, 118, 132, 134, 138, 312, 714, 1258]","[68, 1259]",SXSM.tsv,S0529,S0530
would,1,170,"[0, 12, 14, 18, 53, 67, 86, 102, 232, 369, 510, 524, 601, 621, 868, 935, 1007, 1015, 1019, 1023, 1025, 1029, 1033, 1077, 1083, 1177]","[170, 229, 360, 362, 406, 476, 554, 1014, 1024, 1026, 1078, 600, 639, 1199, 1271]",SXSM.tsv,S0529,S0530
i've,1,177,"[0, 32, 152, 239, 441, 449, 508, 526, 557, 708]","[177, 183, 187, 203, 446, 707, 825, 893, 920, 938, 980, 1156]",SXSM.tsv,S0529,S0530
spend,1,193,"[0, 32, 164]",[193],SXSM.tsv,S0529,S0530
like what,2,586,"[0, 480]","[586, 984]",SXSM.tsv,S0529,S0530
would have,2,600,"[0, 14, 18, 621]","[600, 1271, 639]",SXSM.tsv,S0529,S0530
i would have,3,639,"[0, 14, 18]",[639],SXSM.tsv,S0529,S0530
i would,2,1199,"[0, 12, 14, 18, 86, 868, 1033]",[1199],SXSM.tsv,S0529,S0530
of it,2,48,"[2, 4, 40, 80, 284, 640, 1246]",[48],SXSM.tsv,S0529,S0530
like all,2,262,"[2, 62]",[262],SXSM.tsv,S0529,S0530
all of,2,950,"[2, 4, 708]",[950],SXSM.tsv,S0529,S0530
it back,2,5,[4],[5],SXSM.tsv,S0529,S0530
they expect,2,73,[4],[73],SXSM.tsv,S0529,S0530
and i,2,99,"[4, 8, 12, 67, 116, 118, 172, 221, 239, 243, 244, 453, 531, 601, 838, 868, 964, 1055, 1091]","[99, 111, 205, 209, 320, 334, 341, 353, 452, 474, 725, 869]",SXSM.tsv,S0529,S0530
expect,1,191,"[4, 32]","[191, 503]",SXSM.tsv,S0529,S0530
i dunno,2,209,"[4, 127, 138, 382, 407, 417, 419, 657, 981]","[209, 420]",SXSM.tsv,S0529,S0530
about the,2,859,[4],"[859, 1082, 1092]",SXSM.tsv,S0529,S0530
