Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
i've,1,30,"[0, 1, 83]","[30, 50, 60]",SDS7.tsv,S0439,S0441
for this,2,40,"[0, 41]",[40],SDS7.tsv,S0439,S0441
i have,2,42,"[0, 57, 61, 128]",[42],SDS7.tsv,S0439,S0441
weekend,1,110,"[0, 96, 101, 109, 111, 129, 133, 155, 156]",[110],SDS7.tsv,S0439,S0441
i think,2,16,"[1, 11, 57, 59, 80, 94, 98, 109, 111, 155]","[16, 143, 50]",SDS7.tsv,S0439,S0441
come,1,16,"[1, 141]","[16, 42, 52]",SDS7.tsv,S0439,S0441
go,1,20,"[1, 5, 9, 49, 53, 55, 71, 80, 90, 98, 107, 114, 133, 141, 155, 160, 170]","[20, 42, 91, 143, 157, 159]",SDS7.tsv,S0439,S0441
i've get,2,30,[1],[30],SDS7.tsv,S0439,S0441
get,1,30,"[1, 3, 9, 33, 51, 80, 122]","[30, 42, 76, 79, 119]",SDS7.tsv,S0439,S0441
dunno,1,32,[1],[32],SDS7.tsv,S0439,S0441
like,1,32,"[1, 9, 59, 65, 80, 92, 94, 101, 158]","[32, 82]",SDS7.tsv,S0439,S0441
maybe,1,34,[1],[34],SDS7.tsv,S0439,S0441
in a,2,42,"[1, 158]",[42],SDS7.tsv,S0439,S0441
go to,2,42,"[1, 5, 53, 90, 98, 114, 141]","[42, 91, 143]",SDS7.tsv,S0439,S0441
cos,1,42,"[1, 7, 63, 129]",[42],SDS7.tsv,S0439,S0441
gonna,1,46,"[1, 11, 19, 31, 80]","[46, 74, 157]",SDS7.tsv,S0439,S0441
say,1,46,"[1, 21]","[46, 112, 143]",SDS7.tsv,S0439,S0441
i think i've,3,50,[1],[50],SDS7.tsv,S0439,S0441
stuff,1,74,"[1, 3, 94, 142, 155]",[74],SDS7.tsv,S0439,S0441
be to,2,82,[1],[82],SDS7.tsv,S0439,S0441
do you,2,86,"[1, 9, 43, 141]",[86],SDS7.tsv,S0439,S0441
have this,2,112,[1],[112],SDS7.tsv,S0439,S0441
really,1,72,"[3, 43, 49, 65, 94]","[72, 82, 161]",SDS7.tsv,S0439,S0441
i don't know whether,4,22,[5],"[22, 26]",SDS7.tsv,S0439,S0441
know,1,30,"[5, 11, 67, 158]","[30, 54, 60, 159]",SDS7.tsv,S0439,S0441
to be,2,20,[9],[20],SDS7.tsv,S0439,S0441
home,1,32,"[9, 31, 55, 71]","[32, 42, 46, 56, 74, 76]",SDS7.tsv,S0439,S0441
get to,2,42,"[9, 122]",[42],SDS7.tsv,S0439,S0441
can't,1,79,"[9, 78, 98]",[79],SDS7.tsv,S0439,S0441
to she,2,82,[9],[82],SDS7.tsv,S0439,S0441
you go,2,91,[9],[91],SDS7.tsv,S0439,S0441
be here,2,16,[11],[16],SDS7.tsv,S0439,S0441
i don't know,3,22,[11],"[22, 26]",SDS7.tsv,S0439,S0441
for the,2,40,"[11, 128, 141]","[40, 148]",SDS7.tsv,S0439,S0441
gonna be,2,46,"[11, 19, 31]","[46, 74]",SDS7.tsv,S0439,S0441
know what,2,54,[11],[54],SDS7.tsv,S0439,S0441
friday,1,104,"[11, 105, 133]",[104],SDS7.tsv,S0439,S0441
the friday,2,132,[11],[132],SDS7.tsv,S0439,S0441
one,1,14,"[13, 15, 59, 90]","[14, 30, 91]",SDS7.tsv,S0439,S0441
i'm,1,20,"[13, 29, 53, 69, 75, 80, 90, 105, 107, 111, 114, 128, 133, 141, 155]","[20, 42, 46, 56, 74, 112, 143, 110]",SDS7.tsv,S0439,S0441
whether,1,22,[13],"[22, 26]",SDS7.tsv,S0439,S0441
i'm not,2,110,"[13, 105, 155]",[110],SDS7.tsv,S0439,S0441
sure,1,112,[13],[112],SDS7.tsv,S0439,S0441
that one,2,15,[15],[14],SDS7.tsv,S0439,S0441
yes,1,139,"[15, 133]","[139, 146]",SDS7.tsv,S0439,S0441
okay,1,17,"[17, 43, 45, 49, 55, 141, 145, 155]","[12, 93, 127, 132, 139]",SDS7.tsv,S0439,S0441
be they,2,123,[17],"[123, 165]",SDS7.tsv,S0439,S0441
it's gonna be,3,74,[19],[74],SDS7.tsv,S0439,S0441
it's gonna,2,157,[19],[157],SDS7.tsv,S0439,S0441
yeah,1,21,"[21, 25, 41, 47, 55, 71, 75, 80, 107, 118, 149, 155, 169]","[4, 6, 8, 14, 18, 34, 72, 102]",SDS7.tsv,S0439,S0441
actually,1,42,"[21, 65, 111, 128]",[42],SDS7.tsv,S0439,S0441
oh yeah,2,102,"[21, 41, 75, 80, 169]",[102],SDS7.tsv,S0439,S0441
you say,2,112,[21],[112],SDS7.tsv,S0439,S0441
i remember you say,4,143,[21],[143],SDS7.tsv,S0439,S0441
i dunno,2,32,"[29, 65]",[32],SDS7.tsv,S0439,S0441
god,1,60,"[29, 98, 101, 109, 153]","[60, 108, 154]",SDS7.tsv,S0439,S0441
monday,1,106,"[29, 107, 133]",[106],SDS7.tsv,S0439,S0441
be home,2,32,[31],"[32, 56]",SDS7.tsv,S0439,S0441
be you,2,91,"[31, 138]","[91, 97, 104, 110, 132]",SDS7.tsv,S0439,S0441
time,1,112,"[31, 33, 140]","[112, 132]",SDS7.tsv,S0439,S0441
it's that,2,33,[33],[14],SDS7.tsv,S0439,S0441
you get,2,76,[33],[76],SDS7.tsv,S0439,S0441
have to wait in,4,39,[39],[38],SDS7.tsv,S0439,S0441
we have,2,112,"[39, 49]",[112],SDS7.tsv,S0439,S0441
fridge,1,41,[41],[40],SDS7.tsv,S0439,S0441
this week,2,49,"[49, 57, 158]",[16],SDS7.tsv,S0439,S0441
week,1,49,"[49, 55, 57, 75, 158]",[24],SDS7.tsv,S0439,S0441
write,1,51,[51],[50],SDS7.tsv,S0439,S0441
i'll,1,53,"[53, 78]",[32],SDS7.tsv,S0439,S0441
i'm go to,3,53,"[53, 114, 141]",[42],SDS7.tsv,S0439,S0441
see,1,53,"[53, 128, 129, 155]",[42],SDS7.tsv,S0439,S0441
and then,2,55,"[55, 57, 69, 73, 80, 85, 109, 124, 145, 147, 151, 155]","[30, 137]",SDS7.tsv,S0439,S0441
well,1,55,"[55, 155]","[30, 44, 54, 130, 157]",SDS7.tsv,S0439,S0441
home alone,2,56,[55],[56],SDS7.tsv,S0439,S0441
i think and,3,57,[57],[16],SDS7.tsv,S0439,S0441
eye,1,60,"[57, 65]",[60],SDS7.tsv,S0439,S0441
half,1,59,"[59, 94, 96]","[32, 46, 95]",SDS7.tsv,S0439,S0441
though,1,59,[59],"[42, 74]",SDS7.tsv,S0439,S0441
that's,1,106,"[59, 101, 167]",[106],SDS7.tsv,S0439,S0441
erm i,2,65,[65],[16],SDS7.tsv,S0439,S0441
er to,2,65,[65],[20],SDS7.tsv,S0439,S0441
need,1,65,[65],[26],SDS7.tsv,S0439,S0441
five,1,65,[65],[32],SDS7.tsv,S0439,S0441
month,1,65,[65],[50],SDS7.tsv,S0439,S0441
eye appointments,2,65,[65],[60],SDS7.tsv,S0439,S0441
good,1,132,[65],[132],SDS7.tsv,S0439,S0441
year,1,159,"[65, 122]",[159],SDS7.tsv,S0439,S0441
twenty five,2,163,[65],[163],SDS7.tsv,S0439,S0441
i know,2,67,"[67, 158]","[30, 159]",SDS7.tsv,S0439,S0441
ten,1,69,"[69, 80]","[44, 70]",SDS7.tsv,S0439,S0441
on the,2,110,"[69, 94, 98, 105, 133, 138]","[110, 132]",SDS7.tsv,S0439,S0441
to go,2,71,[71],[42],SDS7.tsv,S0439,S0441
all the,2,76,[71],[76],SDS7.tsv,S0439,S0441
i'm gonna,2,80,[80],"[46, 74]",SDS7.tsv,S0439,S0441
get there,2,80,[80],[79],SDS7.tsv,S0439,S0441
sculpture,1,86,"[80, 85]",[86],SDS7.tsv,S0439,S0441
i think i'm,3,143,"[80, 111]",[143],SDS7.tsv,S0439,S0441
gonna go,2,157,[80],[157],SDS7.tsv,S0439,S0441
spell sculpture,2,86,[83],[86],SDS7.tsv,S0439,S0441
in the,2,87,[87],"[30, 40, 42]",SDS7.tsv,S0439,S0441
work,1,90,"[90, 158]","[16, 26]",SDS7.tsv,S0439,S0441
with the,2,90,[90],[46],SDS7.tsv,S0439,S0441
twenty,1,163,"[90, 94, 124, 128, 138]",[163],SDS7.tsv,S0439,S0441
a half marathon,3,95,[94],[95],SDS7.tsv,S0439,S0441
half marathon,2,95,"[94, 96]",[95],SDS7.tsv,S0439,S0441
might,1,137,"[94, 98]",[137],SDS7.tsv,S0439,S0441
be in,2,121,"[98, 101, 151]",[121],SDS7.tsv,S0439,S0441
might be,2,137,[98],[137],SDS7.tsv,S0439,S0441
's,1,100,"[100, 116, 122, 147, 151]","[16, 82]",SDS7.tsv,S0439,S0441
back,1,100,"[100, 124, 147, 151]",[76],SDS7.tsv,S0439,S0441
saturday,1,105,"[105, 107]",[16],SDS7.tsv,S0439,S0441
not there on,3,105,[105],[104],SDS7.tsv,S0439,S0441
there on,2,105,[105],[104],SDS7.tsv,S0439,S0441
there on the friday,4,132,[105],[132],SDS7.tsv,S0439,S0441
there on the,3,132,[105],[132],SDS7.tsv,S0439,S0441
i'm go,2,107,"[107, 133]",[42],SDS7.tsv,S0439,S0441
pre,1,118,[118],[117],SDS7.tsv,S0439,S0441
the most,2,122,[122],[60],SDS7.tsv,S0439,S0441
annoy,1,122,[122],[74],SDS7.tsv,S0439,S0441
back to,2,124,[124],[76],SDS7.tsv,S0439,S0441
from wales,2,124,[124],[123],SDS7.tsv,S0439,S0441
move,1,137,[124],[137],SDS7.tsv,S0439,S0441
think,1,128,[128],"[16, 50, 143]",SDS7.tsv,S0439,S0441
ill,1,130,[129],[130],SDS7.tsv,S0439,S0441
be i'm,2,133,[133],[20],SDS7.tsv,S0439,S0441
on the friday,3,133,[133],[132],SDS7.tsv,S0439,S0441
day,1,141,[141],[30],SDS7.tsv,S0439,S0441
in for,2,142,[142],[50],SDS7.tsv,S0439,S0441
i genuinely,2,142,[142],[79],SDS7.tsv,S0439,S0441
december,1,142,[142],[137],SDS7.tsv,S0439,S0441
and then we might be move out,7,145,[145],[137],SDS7.tsv,S0439,S0441
lapland,1,152,[151],[152],SDS7.tsv,S0439,S0441
go and,2,155,"[155, 170]",[42],SDS7.tsv,S0439,S0441
genuinely,1,155,"[155, 160]",[79],SDS7.tsv,S0439,S0441
then it's,2,155,[155],[135],SDS7.tsv,S0439,S0441
we might,2,155,[155],[137],SDS7.tsv,S0439,S0441
christmas,1,155,"[155, 156]",[148],SDS7.tsv,S0439,S0441
thursday,1,158,[158],[38],SDS7.tsv,S0439,S0441
we er,2,158,[158],[112],SDS7.tsv,S0439,S0441
ridiculous,1,160,[160],"[68, 161]",SDS7.tsv,S0439,S0441
the year go,3,160,[160],[159],SDS7.tsv,S0439,S0441
