Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
you have,2,4,[0],"[4, 68]",SVN6.tsv,S0426,S0427
have to,2,82,"[0, 281]","[82, 125, 331, 337, 512, 428]",SVN6.tsv,S0426,S0427
form,1,144,[0],[144],SVN6.tsv,S0426,S0427
information,1,156,"[0, 279]",[156],SVN6.tsv,S0426,S0427
to sign,2,300,[0],[300],SVN6.tsv,S0426,S0427
you have to,3,331,[0],"[331, 428]",SVN6.tsv,S0426,S0427
and you,2,500,[0],[500],SVN6.tsv,S0426,S0427
right,1,33,"[2, 16, 18, 26, 44, 52, 64, 67, 73, 81, 120, 124, 139, 165, 191, 198, 263, 293, 295, 317, 360, 421, 431, 433, 439, 455, 457, 469, 471, 473]","[33, 217, 274, 512]",SVN6.tsv,S0426,S0427
which be,2,123,"[2, 249]",[123],SVN6.tsv,S0426,S0427
for them,2,266,[2],[266],SVN6.tsv,S0426,S0427
have that,2,428,[2],[428],SVN6.tsv,S0426,S0427
actually,1,146,"[5, 447]",[146],SVN6.tsv,S0426,S0427
on the,2,21,"[7, 330, 510]","[21, 125, 154, 428]",SVN6.tsv,S0426,S0427
of the,2,31,"[7, 110, 253, 401, 437, 510]","[31, 66, 89, 154, 319, 353]",SVN6.tsv,S0426,S0427
a bite of,3,33,[7],"[33, 105]",SVN6.tsv,S0426,S0427
see,1,78,"[7, 135, 519]","[78, 379, 385, 518, 156, 514]",SVN6.tsv,S0426,S0427
i be,2,87,"[7, 20, 505, 506]","[87, 89]",SVN6.tsv,S0426,S0427
a bite,2,101,"[7, 30, 149]","[101, 105]",SVN6.tsv,S0426,S0427
to see,2,156,[7],"[156, 514]",SVN6.tsv,S0426,S0427
we're,1,203,"[7, 118]",[203],SVN6.tsv,S0426,S0427
come,1,379,"[7, 267, 279, 509, 510]",[379],SVN6.tsv,S0426,S0427
to that,2,424,[7],[424],SVN6.tsv,S0426,S0427
things and,2,43,[9],[43],SVN6.tsv,S0426,S0427
it's the,2,57,"[9, 403]","[57, 97, 246]",SVN6.tsv,S0426,S0427
but i,2,105,[9],"[105, 180]",SVN6.tsv,S0426,S0427
things,1,119,"[9, 279]","[119, 156, 197]",SVN6.tsv,S0426,S0427
and so,2,498,"[9, 437]",[498],SVN6.tsv,S0426,S0427
like,1,42,"[13, 96, 110, 299, 330, 374]","[42, 156, 197, 300, 301, 339, 373, 414, 500, 518]",SVN6.tsv,S0426,S0427
be that,2,349,"[13, 77, 340, 401]","[349, 452, 454]",SVN6.tsv,S0426,S0427
what be,2,428,"[13, 96]",[428],SVN6.tsv,S0426,S0427
yes,1,16,"[16, 34, 52, 64, 67, 90, 102, 122, 139, 155, 183, 308, 315, 320, 352, 358, 360, 362, 364, 366, 368, 370, 382, 388, 390, 405, 429, 467, 475]","[8, 33, 57, 95, 119, 127, 205, 250, 323, 333, 418, 438, 446, 476, 494, 500, 502]",SVN6.tsv,S0426,S0427
exactly,1,45,"[18, 67, 130, 293, 431]","[45, 235, 237]",SVN6.tsv,S0426,S0427
say,1,132,"[20, 169, 171, 304]","[132, 142, 197, 274, 303, 321, 359, 203]",SVN6.tsv,S0426,S0427
to say,2,203,[20],[203],SVN6.tsv,S0426,S0427
the pitch,2,22,[22],[21],SVN6.tsv,S0426,S0427
that's,1,57,"[22, 26, 41, 44, 52, 62, 64, 67, 69, 71, 73, 81, 179, 212, 214, 224, 263, 283, 285, 287, 289, 291, 293, 295, 297, 317, 390, 405, 407, 411, 413, 415, 421, 431, 439, 463, 469, 471, 473, 483]","[57, 66, 136, 272, 274, 402, 448, 452, 484]",SVN6.tsv,S0426,S0427
be the,2,355,"[22, 75, 253, 477]",[355],SVN6.tsv,S0426,S0427
that's right,2,274,"[26, 44, 52, 64, 67, 73, 81, 263, 293, 295, 317, 421, 431, 439, 469, 471, 473]",[274],SVN6.tsv,S0426,S0427
a bite of a,4,33,[30],"[33, 105]",SVN6.tsv,S0426,S0427
of a,2,39,[30],"[39, 274, 369, 452, 482]",SVN6.tsv,S0426,S0427
it's it's,2,57,"[30, 395]","[57, 197, 205]",SVN6.tsv,S0426,S0427
become,1,101,[30],[101],SVN6.tsv,S0426,S0427
a a,2,117,"[30, 249]",[117],SVN6.tsv,S0426,S0427
er it's,2,482,[30],[482],SVN6.tsv,S0426,S0427
yeah,1,32,"[32, 48, 114, 159, 175, 177, 185, 224, 322, 336, 386, 473, 509, 521]","[3, 45, 47, 51, 53, 55, 57, 70, 111, 115, 127, 150, 162, 170, 172, 180, 190, 213, 215, 219, 221, 223, 225, 227, 229, 231, 233, 248, 252, 270, 280, 323, 325, 396, 414, 438, 440, 442, 444, 448, 450, 496, 327, 329]",SVN6.tsv,S0426,S0427
well,1,33,"[32, 58, 64, 126, 128, 151, 374, 395, 401, 461, 473]","[33, 68, 80, 119, 129, 203, 238, 321, 355, 420, 327, 329]",SVN6.tsv,S0426,S0427
yeah well,2,327,"[32, 473]","[327, 329]",SVN6.tsv,S0426,S0427
child,1,37,[36],[37],SVN6.tsv,S0426,S0427
on a,2,39,[36],[39],SVN6.tsv,S0426,S0427
