Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,3,"[0, 5, 16, 18, 20, 22, 26, 30, 38, 42, 56, 68, 72, 80, 90, 92, 94, 100, 118, 126, 130, 139, 141, 147, 153, 157, 159, 167, 173, 177, 181, 185, 191, 202, 206, 216, 230, 232, 234, 252, 256, 259, 273, 291, 297, 303, 323, 325, 327, 329, 331, 349, 353, 355, 357, 371, 373, 375, 387, 392, 402, 404, 406, 408, 412, 414, 416, 442, 454, 458, 460, 476, 480, 488, 496, 498, 518, 522, 532, 534, 546, 558, 564, 568, 586, 602, 606, 618, 620, 622, 626, 630, 632, 634, 636, 642, 644, 692, 696, 708, 724, 734, 737, 746, 748, 759, 765, 771, 773, 780, 784, 796, 800, 826, 828, 832, 836, 840, 852, 858, 860, 876, 880, 889, 893, 895, 898, 910, 916, 918, 930, 932, 936, 942, 946, 978, 1002, 1004, 1010, 1022, 1024, 1028, 1052, 1082, 1088, 1099, 1115, 1175, 1197, 1215, 1231, 1233, 1237, 1245, 1250, 1252, 1278, 1292, 1297, 1302, 1330, 1340, 1354, 1362, 1364, 1381, 1401, 1415, 1419, 1435, 1437, 1443, 1447, 1451, 1459, 1465, 1467, 1500, 1505, 1513, 1516, 1520, 1522, 1527, 1582, 1597, 1600, 1611, 1613, 1644, 1663, 1680, 1682, 1690, 1694, 1700, 1707, 1713, 1733, 1735, 1751, 1755, 1827, 1841, 1847]","[3, 6, 35, 39, 47, 65, 75, 97, 101, 103, 115, 121, 123, 129, 131, 133, 162, 164, 182, 184, 188, 190, 193, 203, 211, 219, 221, 227, 229, 231, 233, 235, 239, 245, 262, 264, 268, 270, 276, 286, 306, 308, 312, 314, 316, 318, 326, 338, 350, 360, 364, 366, 368, 370, 378, 384, 390, 403, 411, 419, 425, 429, 433, 437, 445, 447, 449, 451, 461, 463, 467, 469, 481, 483, 491, 493, 495, 505, 507, 509, 511, 513, 515, 523, 527, 535, 537, 539, 541, 547, 553, 555, 557, 561, 567, 575, 579, 587, 593, 597, 599, 603, 609, 613, 615, 639, 649, 651, 653, 655, 659, 663, 669, 671, 681, 685, 687, 689, 693, 695, 701, 705, 711, 727, 729, 733, 744, 747, 762, 764, 766, 785, 787, 789, 805, 808, 812, 819, 821, 825, 827, 843, 845, 847, 855, 857, 869, 871, 873, 894, 897, 903, 907, 919, 921, 923, 939, 947, 949, 955, 975, 981, 983, 987, 989, 991, 993, 995, 997, 999, 1001, 1005, 1007, 1009, 1011, 1013, 1015, 1017, 1019, 1043, 1049, 1051, 1053, 1055, 1057, 1059, 1061, 1063, 1065, 1069, 1071, 1073, 1075, 1079, 1081, 1093, 1102, 1106, 1112, 1118, 1120, 1130, 1136, 1144, 1146, 1148, 1152, 1154, 1158, 1164, 1166, 1172, 1184, 1186, 1188, 1190, 1192, 1194, 1196, 1198, 1200, 1202, 1208, 1210, 1216, 1218, 1220, 1222, 1224, 1226, 1228, 1230, 1234, 1236, 1240, 1242, 1259, 1261, 1263, 1265, 1269, 1271, 1273, 1282, 1284, 1291, 1294, 1303, 1305, 1307, 1317, 1321, 1333, 1337, 1345, 1347, 1349, 1351, 1353, 1357, 1361, 1365, 1369, 1371, 1373, 1376, 1378, 1382, 1384, 1390, 1392, 1396, 1398, 1400, 1404, 1408, 1410, 1416, 1422, 1424, 1428, 1430, 1440, 1446, 1456, 1460, 1495, 1497, 1512, 1519, 1533, 1566, 1568, 1578, 1581, 1603, 1605, 1607, 1610, 1625, 1693, 1704, 1708, 1718, 1720, 1723, 1730, 1734, 1746, 1752, 1754, 1766, 1770, 1778, 1780, 1784, 1786, 1794, 1798, 1810, 1814, 1816, 1820, 1832, 1840, 1850, 241]",S97Z.tsv,S0192,S0195
british,1,3,"[0, 2, 20, 1177, 1640]","[3, 617]",S97Z.tsv,S0192,S0195
get pay to do,4,8,[0],[8],S97Z.tsv,S0192,S0195
record,1,17,"[0, 2, 14, 28, 40, 46, 56, 72, 74, 80, 102, 1482, 1634]","[17, 31, 69, 1610, 1631]",S97Z.tsv,S0192,S0195
get,1,95,"[0, 14, 20, 28, 30, 40, 54, 70, 72, 80, 96, 112, 114, 120, 204, 335, 347, 361, 363, 365, 389, 396, 402, 442, 482, 494, 504, 506, 514, 524, 536, 538, 548, 550, 560, 562, 576, 580, 584, 592, 594, 596, 652, 656, 658, 672, 674, 732, 743, 748, 788, 809, 834, 866, 878, 883, 932, 952, 969, 994, 996, 1016, 1042, 1044, 1046, 1056, 1076, 1078, 1080, 1105, 1137, 1141, 1179, 1189, 1199, 1237, 1266, 1281, 1292, 1306, 1314, 1322, 1328, 1389, 1403, 1425, 1445, 1492, 1494, 1529, 1550, 1598, 1615, 1785]","[95, 138, 148, 184, 215, 225, 229, 356, 372, 453, 495, 545, 559, 563, 617, 641, 645, 697, 774, 779, 831, 835, 837, 849, 861, 869, 871, 873, 877, 886, 888, 941, 966, 977, 1037, 1039, 1083, 1087, 1108, 1214, 1329, 1400, 1464, 1480, 1487, 1499, 1583, 1631, 1712, 1788, 1790, 1838, 1842, 1846, 1850]",S97Z.tsv,S0192,S0195
do it,2,217,"[0, 502, 546, 588, 830, 944, 1002, 1060, 1644, 1657, 1757, 1795]","[217, 525, 829, 831, 894, 1528, 1828]",S97Z.tsv,S0192,S0195
yeah i'm,2,241,[0],[241],S97Z.tsv,S0192,S0195
i'm,1,241,"[0, 20, 70, 74, 80, 104, 196, 256, 299, 313, 383, 426, 560, 562, 574, 576, 730, 748, 763, 846, 960, 974, 992, 1012, 1074, 1127, 1133, 1153, 1256, 1372, 1377, 1379, 1427, 1482, 1486, 1657, 1659, 1684, 1717, 1719]","[241, 330, 372, 403, 865, 879, 1537, 1539, 1728, 1830]",S97Z.tsv,S0192,S0195
pay,1,241,"[0, 20, 28, 30, 70, 369, 444, 466, 468, 472, 488, 572, 576, 578, 580, 596, 598, 602, 604, 606, 610, 660, 753, 954, 960, 986, 996, 1141, 1181, 1239]","[241, 243, 370, 479, 603, 607, 888, 1025]",S97Z.tsv,S0192,S0195
basically,1,451,"[0, 446, 498, 572, 672, 686, 712, 898, 918, 958, 969, 1004, 1046, 1060, 1109, 1137, 1139, 1203, 1211, 1268, 1411, 1632, 1634, 1688]","[451, 607, 888, 1025, 1027, 1214, 1631, 1685, 1770]",S97Z.tsv,S0192,S0195
the british,2,617,"[0, 1177, 1640]",[617],S97Z.tsv,S0192,S0195
do it now,3,1528,[0],"[1528, 1828]",S97Z.tsv,S0192,S0195
i can record,3,17,[2],[17],S97Z.tsv,S0192,S0195
so you,2,67,"[2, 230, 339, 365, 402, 466, 582, 946]","[67, 184, 435, 459, 489, 779, 888, 1489]",S97Z.tsv,S0192,S0195
aren't you,2,93,"[2, 161]",[93],S97Z.tsv,S0192,S0195
i can,2,833,"[2, 58, 102, 212, 846, 1004, 1066, 1163, 1165]","[833, 867, 903]",S97Z.tsv,S0192,S0195
anyone,1,1371,"[2, 676, 1724]",[1371],S97Z.tsv,S0192,S0195
or something,2,77,"[10, 74, 98, 222, 546, 590, 716, 786, 792, 842, 854, 1111, 1403, 1409, 1445, 1606, 1682, 1753, 1787, 1805, 1807, 1845]","[77, 774]",S97Z.tsv,S0192,S0195
like,1,127,"[10, 14, 20, 26, 72, 74, 80, 100, 102, 108, 198, 200, 220, 234, 267, 269, 271, 295, 313, 361, 363, 385, 398, 400, 450, 468, 482, 486, 488, 502, 504, 536, 582, 588, 598, 602, 610, 614, 640, 654, 660, 662, 666, 676, 688, 690, 700, 702, 710, 712, 743, 753, 757, 763, 765, 769, 786, 788, 792, 806, 820, 822, 828, 854, 858, 883, 916, 928, 932, 960, 992, 1036, 1044, 1048, 1054, 1068, 1074, 1076, 1078, 1080, 1092, 1101, 1111, 1113, 1115, 1117, 1145, 1173, 1179, 1183, 1187, 1201, 1227, 1229, 1248, 1254, 1256, 1262, 1264, 1278, 1279, 1281, 1288, 1292, 1293, 1300, 1302, 1328, 1346, 1358, 1431, 1529, 1536, 1559, 1634, 1640, 1644, 1669, 1678, 1684, 1711, 1735, 1753, 1777, 1785, 1787, 1795, 1805, 1813]","[127, 148, 162, 184, 241, 245, 251, 253, 258, 320, 370, 376, 401, 403, 405, 407, 413, 585, 629, 635, 667, 719, 751, 774, 779, 793, 837, 861, 877, 957, 983, 1025, 1037, 1039, 1083, 1085, 1087, 1116, 1244, 1249, 1251, 1355, 1508, 1510, 1558, 1560, 1685, 1748, 1750, 1752, 1790, 1792, 1836, 1838, 1840]",S97Z.tsv,S0192,S0195
they're,1,190,"[10, 708, 1137, 1266, 1270, 1272, 1274, 1461, 1705]","[190, 625, 917, 1116, 1249, 1464, 774]",S97Z.tsv,S0192,S0195
