Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
yeah,1,1,"[0, 4, 6, 10, 12, 14, 16, 24, 26, 28, 32, 34, 36, 48, 50, 52, 56, 58, 64, 66, 74, 84, 88, 102, 104, 106, 108, 110, 114, 116, 118, 120, 126, 164, 166, 170, 206, 210, 220, 234, 236, 240, 268, 286, 288, 301, 303, 327, 333, 339, 343, 353, 357, 363, 391, 393, 395, 397, 399, 411, 415, 417, 419, 421, 423, 437, 459, 463, 465, 467, 471, 473, 475, 481, 500, 502, 506, 508, 514, 524, 526, 540, 548, 552, 564, 566, 579, 582, 584, 586, 588, 598, 600, 602, 608, 615, 624, 638, 640, 642, 655, 657, 661, 679, 687, 697, 699, 703, 705, 713, 733, 737, 741, 755, 759, 761, 763, 791, 799, 805, 811, 843, 845, 857, 859, 883, 896, 898, 902, 904, 907, 917, 919, 938, 942, 944, 946, 956, 958, 960, 966, 970, 972, 979, 989, 992, 998, 1002, 1004, 1007, 1009, 1011, 1013, 1019, 1021, 1023, 1034, 1036, 1044, 1046, 1064, 1070, 1096, 1098, 1100, 1102, 1104, 1106, 1108, 1114, 1116, 1140, 1142, 1168, 1182, 1207, 1213, 1224, 1263, 1301, 1311, 1360, 1368, 1381, 1405, 1411, 1415, 1429]","[1, 3, 25, 27, 41, 45, 47, 61, 67, 69, 73, 91, 97, 99, 101, 113, 115, 131, 133, 135, 161, 173, 181, 183, 187, 189, 197, 199, 207, 229, 237, 239, 245, 258, 262, 264, 266, 275, 294, 298, 338, 378, 386, 388, 426, 440, 442, 452, 454, 464, 466, 468, 470, 491, 509, 519, 537, 539, 547, 551, 555, 563, 567, 569, 587, 593, 605, 616, 620, 623, 633, 651, 660, 664, 710, 716, 728, 732, 736, 746, 760, 766, 770, 774, 776, 790, 792, 794, 796, 802, 806, 836, 838, 840, 848, 860, 864, 868, 872, 884, 886, 888, 901, 920, 922, 939, 978, 984, 995, 997, 999, 1008, 1014, 1035, 1037, 1039, 1063, 1073, 1081, 1089, 1107, 1117, 1129, 1131, 1139, 1143, 1145, 1147, 1163, 1165, 1166, 1179, 1187, 1189, 1193, 1195, 1197, 1221, 1242, 1244, 1254, 1264, 1272, 1326, 1353, 1406, 1408, 1420, 1430]",SFYP.tsv,S0144,S0024
think,1,9,"[0, 8, 62, 102, 128, 134, 186, 259, 284, 305, 309, 339, 381, 449, 451, 453, 508, 526, 550, 586, 596, 619, 628, 638, 650, 663, 687, 703, 807, 811, 833, 900, 981, 985, 998, 1058, 1140, 1156, 1190, 1194, 1224, 1275, 1401]","[9, 121, 271, 328, 346, 362, 420, 422, 460, 472, 928, 1024, 1028, 1047, 1051, 1103, 1107, 1216, 1236, 1374, 137, 277, 390, 452, 517, 573, 645, 664, 770, 784, 926, 941, 975, 986, 1020, 1053, 1069, 1101, 1310, 1376, 1420, 1424]",SFYP.tsv,S0144,S0024
be good,2,73,"[0, 98, 615, 1387]",[73],SFYP.tsv,S0144,S0024
good,1,95,"[0, 98, 162, 176, 220, 228, 615, 1356, 1387]","[95, 647, 736, 748, 1095]",SFYP.tsv,S0144,S0024
i think,2,137,"[0, 102, 128, 134, 186, 259, 305, 309, 381, 449, 453, 508, 526, 586, 619, 628, 638, 650, 687, 703, 807, 811, 900, 981, 985, 998, 1140, 1156, 1224, 1275, 1401]","[137, 277, 390, 452, 517, 573, 645, 664, 770, 784, 926, 941, 975, 986, 1020, 1053, 1069, 1101, 1310, 1376, 1420, 1424]",SFYP.tsv,S0144,S0024
anyway,1,209,"[0, 261, 415, 813, 1218]","[209, 358, 814, 1376]",SFYP.tsv,S0144,S0024
won't they,2,698,[2],[698],SFYP.tsv,S0144,S0024
we need to,3,8,[8],"[3, 1332]",SFYP.tsv,S0144,S0024
well,1,8,"[8, 20, 52, 60, 88, 90, 96, 98, 110, 140, 142, 158, 184, 196, 220, 231, 236, 242, 248, 305, 351, 355, 391, 413, 417, 461, 483, 498, 508, 522, 526, 552, 564, 584, 588, 592, 594, 608, 610, 648, 699, 709, 761, 773, 787, 811, 825, 867, 900, 917, 936, 944, 976, 987, 1002, 1004, 1013, 1032, 1036, 1072, 1120, 1138, 1142, 1160, 1218, 1224, 1226, 1245, 1286, 1309, 1323, 1335, 1350, 1413, 1425]","[3, 11, 63, 103, 117, 123, 137, 149, 191, 230, 239, 260, 352, 416, 452, 507, 682, 696, 718, 740, 742, 758, 760, 778, 910, 986, 999, 1035, 1045, 1069, 1153, 1179, 1212, 1266, 1274, 1283, 1285, 1320, 1322, 1332, 1347, 159, 756]",SFYP.tsv,S0144,S0024
theories,1,8,[8],[3],SFYP.tsv,S0144,S0024
