Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
long,1,3,"[0, 78, 90, 653, 1990, 2080, 2421, 2507]","[3, 315, 349, 636, 640, 965, 2512, 2514, 2603, 1965, 2484]",SZQX.tsv,S0439,S0450
it be so,3,67,"[0, 35, 1715, 2229, 2421]","[67, 402, 533]",SZQX.tsv,S0439,S0450
ago,1,137,"[0, 16, 354, 368, 1075, 1673, 1958, 2134, 2187, 2421]","[137, 484, 785, 1052, 1089, 1145, 1185, 1304, 1576, 1578, 2043, 2190, 2230]",SZQX.tsv,S0439,S0450
it be,2,229,"[0, 2, 35, 144, 146, 147, 161, 167, 395, 445, 538, 772, 1075, 1077, 1079, 1110, 1114, 1130, 1154, 1427, 1503, 1507, 1537, 1645, 1647, 1666, 1689, 1692, 1700, 1712, 1713, 1715, 1729, 1902, 1996, 2002, 2008, 2134, 2197, 2201, 2229, 2401, 2413, 2419, 2421, 2586, 2588, 2704, 2744, 2748]","[229, 265, 396, 400, 438, 448, 524, 526, 530, 533, 577, 706, 783, 829, 935, 1010, 1080, 1085, 1089, 1091, 1125, 1153, 1408, 1420, 1448, 1616, 1722, 1740, 1811, 1933, 1945, 1989, 2059, 2061, 2075, 2111, 2139, 2165, 2190, 2194, 2198, 2204, 2230, 2253, 2261, 2273, 2279, 2281, 2291, 2297, 2317, 2336, 2363, 2377, 2386, 2577, 2591, 2601, 2607, 2661, 2713, 2719, 2737, 2753, 2757, 2763, 2767, 2769, 402]",SZQX.tsv,S0439,S0450
be so,2,390,"[0, 12, 32, 35, 92, 124, 344, 1069, 1675, 1715, 2195, 2229, 2421]","[390, 392, 771, 775, 862, 2005, 2365, 402, 533]",SZQX.tsv,S0439,S0450
so long,2,1965,"[0, 2421]","[1965, 2484]",SZQX.tsv,S0439,S0450
well,1,7,"[4, 96, 102, 334, 342, 354, 358, 515, 653, 695, 1049, 1112, 1122, 1256, 1258, 1330, 1332, 1362, 1368, 1662, 1668, 1701, 1713, 1778, 1828, 1884, 1898, 1902, 2004, 2078, 2097, 2102, 2112, 2124, 2383, 2519, 2652]","[7, 48, 89, 305, 339, 388, 490, 512, 626, 775, 777, 871, 945, 947, 951, 996, 1037, 1074, 1083, 1137, 1143, 1163, 1181, 1185, 1205, 1253, 1293, 1298, 1304, 1367, 1377, 1392, 1430, 1490, 1498, 1606, 1748, 1773, 1853, 1919, 1923, 2019, 2143, 2214, 2228, 2277, 2283, 2396, 2436, 2450, 2460, 2484, 2526, 2543, 2549, 2563, 2579, 2605, 2715, 2725, 2745, 555]",SZQX.tsv,S0439,S0450
that be,2,125,"[4, 570, 689, 745, 987, 1075, 1120, 2187, 2399, 2409]","[125, 710, 1123, 1137, 1151, 1546, 2190, 2281, 2306, 2308, 2384, 2394, 2637, 2206, 2367, 2559]",SZQX.tsv,S0439,S0450
we have,2,289,"[4, 24, 115, 1677, 1689, 2118, 2552]","[289, 856]",SZQX.tsv,S0439,S0450
when we,2,392,"[4, 1242]","[392, 1283, 1604, 1919, 2184, 2577, 1811]",SZQX.tsv,S0439,S0450
and that,2,533,"[4, 570, 987, 1075, 1120, 1705, 2072, 2399, 2409]","[533, 630, 677, 758, 2190, 2492, 2206, 2367, 2559]",SZQX.tsv,S0439,S0450
well with,2,555,[4],[555],SZQX.tsv,S0439,S0450
be when we,3,1811,[4],[1811],SZQX.tsv,S0439,S0450
wasn't it,2,2198,"[4, 1154, 2229]",[2198],SZQX.tsv,S0439,S0450
and that be,3,2206,"[4, 570, 987, 1075, 1120, 2399, 2409]","[2206, 2367, 2559]",SZQX.tsv,S0439,S0450
meet,1,2319,"[4, 905, 918, 1057, 1061, 1242, 1898, 1900, 2118]","[2319, 2321]",SZQX.tsv,S0439,S0450
lunch,1,7,"[6, 798, 2678]","[7, 803, 811, 2319, 2687]",SZQX.tsv,S0439,S0450
have have,2,1321,[6],[1321],SZQX.tsv,S0439,S0450
