Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
neil gaiman,2,1,"[0, 14]",[1],SPZA.tsv,S0509,S0510
yeah,1,1,"[0, 8, 12, 24, 30, 32, 38, 42, 44, 48, 54, 58, 62, 64, 95, 99, 108, 118, 126, 132, 134, 136, 138, 141, 143, 149, 151, 155, 157, 159, 161, 165, 171, 181, 183, 185, 191, 202, 210, 239, 243, 245, 247, 255, 263, 268, 274, 305, 315, 317, 327, 331, 335, 337, 347, 372, 382, 384, 392, 396, 400]","[1, 3, 9, 15, 19, 21, 39, 53, 59, 63, 69, 86, 96, 120, 137, 142, 148, 154, 201, 211, 216, 230, 246, 248, 250, 267, 275, 279, 286, 292, 300, 308, 336, 340, 346, 348, 350, 359, 371, 377, 395, 399, 310]",SPZA.tsv,S0509,S0510
you know,2,41,"[0, 20, 72, 78, 90, 100, 291, 345, 360, 384]","[41, 43, 156, 172, 178, 184, 190, 214, 218, 242, 244, 246, 250, 254, 258, 279, 283, 285, 288, 344, 346]",SPZA.tsv,S0509,S0510
one,1,43,"[0, 8, 14, 28, 68, 93, 95, 97, 100, 102, 108, 119, 138, 163, 225, 339]","[43, 53, 140, 164, 172, 385]",SPZA.tsv,S0509,S0510
really,1,139,"[0, 4, 24, 40, 64, 68, 70, 93, 102, 110, 114, 116, 123, 130, 132, 219, 315, 349, 362, 376]","[139, 152, 170, 184, 218, 238, 298, 302, 314, 318, 363, 391, 397]",SPZA.tsv,S0509,S0510
cos,1,156,"[0, 58, 89, 110, 112, 114, 118, 143, 202, 212, 221, 299, 311, 313, 333, 335, 343, 345, 364, 378]","[156, 201, 275]",SPZA.tsv,S0509,S0510
be the,2,164,"[0, 78, 95, 119, 141, 202]",[164],SPZA.tsv,S0509,S0510
i think,2,166,"[0, 331, 347, 380, 390]","[166, 254]",SPZA.tsv,S0509,S0510
know,1,197,"[0, 20, 22, 64, 72, 78, 90, 100, 265, 291, 297, 343, 345, 356, 358, 360, 368, 384]","[197, 285, 367, 385, 242, 244, 246, 250, 254, 258, 279, 283, 288, 344, 346, 214, 218]",SPZA.tsv,S0509,S0510
yeah i,2,211,"[0, 331, 335]","[211, 310]",SPZA.tsv,S0509,S0510
