Expression Lexicon Size without stopwords,file
1580,SGN8.tsv
1171,S72E.tsv
897,SUPV.tsv
1071,SYEZ.tsv
430,SRW5.tsv
869,SG4J.tsv
386,S2AJ.tsv
159,S24A.tsv
708,SL3R.tsv
264,S5HT.tsv
1095,SZAP.tsv
696,S4C2.tsv
417,SXVL.tsv
1013,SJJK.tsv
799,SXWH.tsv
635,SDGT.tsv
418,SZYV.tsv
632,STUM.tsv
503,SVCT.tsv
478,SVBG.tsv
242,SHJH.tsv
1882,SV4W.tsv
194,STV6.tsv
859,SZME.tsv
1061,S32W.tsv
1268,SJE3.tsv
554,SPXX.tsv
528,S7QU.tsv
1397,SEM7.tsv
869,S5ER.tsv
424,SP5U.tsv
1550,S7FK.tsv
350,SYDJ.tsv
472,SUPB.tsv
213,SRVD.tsv
220,SN26.tsv
901,S72Q.tsv
244,SBS5.tsv
215,S7P2.tsv
182,SFPK.tsv
438,SAZ8.tsv
338,SAXQ.tsv
569,SZXQ.tsv
353,SXAQ.tsv
332,S87R.tsv
681,SHJJ.tsv
506,SVCW.tsv
993,S682.tsv
786,SAA3.tsv
956,SQ37.tsv
136,SQEF.tsv
3037,S8B9.tsv
840,SCWJ.tsv
568,SFJ2.tsv
237,SAMQ.tsv
842,SX6D.tsv
345,SDFR.tsv
277,SHP3.tsv
427,SMMK.tsv
455,STBF.tsv
762,ST47.tsv
973,STLZ.tsv
500,SZCM.tsv
800,SMCW.tsv
1468,SUGJ.tsv
1043,SE58.tsv
224,S7RM.tsv
831,SRCD.tsv
515,SRNT.tsv
754,SLDD.tsv
1222,SRNC.tsv
480,SR9W.tsv
461,SR96.tsv
500,SRVR.tsv
254,SN27.tsv
104,SETW.tsv
1428,SP9F.tsv
396,S9KS.tsv
1328,S9GP.tsv
532,S5QP.tsv
2101,S7SZ.tsv
503,SE6F.tsv
1304,STMM.tsv
416,SAVH.tsv
650,S6ZU.tsv
650,SCA5.tsv
775,SMNC.tsv
640,S8XE.tsv
985,SMYJ.tsv
231,SXLD.tsv
832,S3RZ.tsv
