Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker1,Expression_uttered_position_speaker2,file,speaker1,speaker2
lesson,1,2,[0],[2],SYJK.tsv,S0525,S0622
at the,2,10,"[0, 93, 151, 340, 363, 373, 375, 510, 739, 755, 807, 835, 849, 864, 938, 1043, 1158]","[10, 743]",SYJK.tsv,S0525,S0622
go,1,10,"[0, 49, 51, 55, 78, 80, 82, 93, 103, 107, 134, 151, 157, 196, 197, 202, 207, 231, 239, 246, 277, 300, 302, 337, 340, 344, 347, 359, 398, 426, 461, 478, 531, 548, 597, 622, 628, 638, 639, 654, 658, 671, 675, 677, 693, 701, 715, 755, 784, 816, 817, 835, 876, 903, 905, 968, 972, 990, 992, 996, 1004, 1011, 1013, 1021, 1022, 1143, 1147, 1175, 1179, 1194, 1197]","[10, 24, 52, 68, 70, 76, 287, 360, 394, 509, 545, 551, 775, 895, 950, 961, 971, 1029, 1034, 1046]",SYJK.tsv,S0525,S0622
do you,2,24,"[0, 134, 207, 275, 277, 417, 465, 527, 639, 938, 1048, 1050]",[24],SYJK.tsv,S0525,S0622
think,1,240,"[0, 31, 33, 53, 78, 80, 149, 167, 194, 196, 248, 250, 264, 275, 282, 311, 322, 335, 339, 340, 371, 411, 417, 443, 459, 523, 621, 644, 753, 792, 794, 807, 903, 915, 918, 927, 1008, 1019, 1022, 1117, 1158, 1164, 1166, 1184, 1194, 1197]","[240, 257, 278, 405, 418, 616, 910, 1034, 1038, 1040, 1046, 1079, 1083, 1098, 1122, 1169, 1200]",SYJK.tsv,S0525,S0622
how do,2,618,[0],[618],SYJK.tsv,S0525,S0622
a lesson,2,2,[1],[2],SYJK.tsv,S0525,S0622
really,1,12,"[1, 57, 107, 134, 230, 237, 379, 402, 449, 514, 735, 737, 975, 981, 1154]","[12, 15, 30, 1102, 58, 299]",SYJK.tsv,S0525,S0622
well,1,20,"[1, 40, 55, 71, 78, 86, 93, 105, 111, 128, 143, 149, 155, 182, 187, 189, 192, 194, 198, 202, 203, 207, 230, 233, 237, 239, 250, 277, 286, 302, 309, 340, 353, 379, 401, 406, 426, 428, 447, 456, 459, 468, 476, 478, 480, 489, 500, 510, 523, 539, 552, 556, 569, 575, 581, 591, 597, 607, 609, 632, 642, 651, 660, 693, 697, 701, 733, 744, 748, 753, 761, 766, 801, 817, 831, 864, 890, 905, 915, 942, 990, 1000, 1002, 1011, 1035, 1041, 1105, 1111, 1115, 1121, 1127, 1137, 1141, 1166, 1170, 1175, 1181, 1184, 1187]","[20, 22, 28, 131, 195, 219, 227, 261, 263, 276, 281, 295, 350, 370, 427, 431, 446, 455, 471, 545, 570, 578, 650, 828, 886, 893, 919, 1001, 1016, 1031, 1040, 1071, 1108, 1118, 1144, 1167]",SYJK.tsv,S0525,S0622
not really,2,58,"[1, 379]","[58, 299]",SYJK.tsv,S0525,S0622
