Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
oh,1,5,"[0, 5, 8, 12, 13, 15, 23, 38, 53, 56, 70, 139, 141, 157, 165, 175, 182, 198, 210, 214, 220, 262]",SVN7.tsv
a,1,37,"[0, 2, 13, 31, 37, 56, 60, 69, 77, 83, 94, 101, 107, 120, 176, 181, 195, 197, 207, 209, 211, 217, 223, 248, 254, 260, 262, 272]",SVN7.tsv
chick,1,3,"[2, 3]",SVN7.tsv
really,1,5,"[4, 5, 9, 40, 59, 78, 155, 169, 226, 269, 272]",SVN7.tsv
yellow,1,5,"[4, 5]",SVN7.tsv
though,1,7,"[4, 7, 9]",SVN7.tsv
it's,1,9,"[4, 9, 14, 39, 107, 118, 119, 120, 140, 144, 148, 194, 217, 263, 265, 269, 271, 272]",SVN7.tsv
do you,2,11,"[4, 8, 11, 33, 95, 199, 220, 224, 232]",SVN7.tsv
be,1,17,"[4, 13, 17, 19, 21, 22, 24, 27, 33, 35, 37, 39, 41, 48, 49, 51, 52, 55, 56, 57, 59, 60, 67, 69, 77, 83, 85, 100, 103, 110, 115, 130, 137, 155, 172, 181, 188, 191, 192, 205, 217, 220, 221, 223, 226, 231, 234, 243, 260, 262, 264, 268, 269, 272, 274, 279, 280]",SVN7.tsv
that,1,17,"[4, 17, 33, 36, 37, 39, 48, 49, 51, 52, 64, 65, 85, 108, 112, 130, 145, 184, 192, 197, 202, 224, 226, 269, 271, 272]",SVN7.tsv
that be,2,37,"[4, 37, 51, 52, 130, 272]",SVN7.tsv
do,1,37,"[4, 8, 33, 37, 95, 108, 132, 191, 199, 209, 211, 220, 224, 232, 256, 258, 268]",SVN7.tsv
of,1,39,"[4, 33, 39, 55, 57, 63, 79, 95, 108, 114, 118, 119, 142, 178, 186, 194, 197, 204, 213, 217, 220, 223, 268, 272]",SVN7.tsv
you,1,98,"[4, 8, 13, 18, 24, 33, 42, 87, 93, 95, 97, 98, 105, 128, 199, 211, 217, 220, 224, 232, 234, 239, 254, 258, 260, 261, 269, 271, 276]",SVN7.tsv
be really,2,155,"[4, 155, 226, 272]",SVN7.tsv
know,1,194,"[4, 24, 27, 33, 93, 101, 184, 194, 211, 217, 234, 239, 258, 269, 271, 276, 279]",SVN7.tsv
him,1,207,"[4, 42, 207, 209, 211, 247, 271]",SVN7.tsv
you know,2,211,"[4, 24, 33, 93, 211, 217, 234, 239, 258, 269, 271, 276]",SVN7.tsv
gonna,1,260,"[4, 260]",SVN7.tsv
right,1,6,"[5, 6, 10, 12, 13, 31, 38, 50, 51, 53, 61, 66, 85, 124, 139, 145, 166, 181, 201, 208, 237, 239, 251, 259, 266, 280]",SVN7.tsv
erm,1,19,"[6, 8, 15, 19, 35, 39, 44, 51, 53, 57, 67, 71, 77, 81, 91, 95, 100, 101, 109, 112, 115, 117, 121, 123, 125, 128, 132, 134, 150, 152, 154, 174, 178, 180, 188, 192, 197, 201, 211, 213, 220, 223, 230, 239, 240, 241, 250, 252, 254, 260, 264, 266, 267, 272, 274, 278, 280]",SVN7.tsv
that's,1,36,"[6, 36, 41, 46, 49, 96, 124, 170, 181, 202, 208, 217, 252, 261, 266, 272, 280]",SVN7.tsv
but,1,62,"[6, 13, 46, 55, 59, 62, 83, 91, 93, 109, 110, 115, 118, 121, 125, 126, 132, 154, 211, 224, 261, 268, 271, 276, 279]",SVN7.tsv
little,1,96,"[6, 96, 112, 195]",SVN7.tsv
that's right,2,124,"[6, 124, 181, 208, 266, 280]",SVN7.tsv
in,1,39,"[8, 31, 39, 48, 51, 56, 62, 63, 67, 87, 91, 96, 112, 115, 123, 140, 146, 170, 201, 213, 217, 248, 254, 255, 260, 272]",SVN7.tsv
have,1,60,"[8, 13, 42, 55, 60, 71, 73, 85, 95, 96, 97, 98, 105, 108, 128, 197, 207, 228, 239, 268]",SVN7.tsv
oh right,2,12,"[5, 12, 38, 53, 139]",SVN7.tsv
yeah,1,13,"[5, 9, 13, 16, 23, 26, 28, 32, 41, 43, 45, 47, 48, 56, 58, 60, 68, 70, 72, 74, 76, 80, 82, 84, 88, 90, 92, 98, 111, 113, 116, 119, 124, 127, 129, 131, 133, 135, 141, 143, 145, 147, 149, 151, 153, 157, 161, 163, 167, 174, 177, 179, 181, 187, 196, 198, 206, 219, 220, 223, 227, 229, 233, 245, 251, 268, 270, 271, 275]",SVN7.tsv
we,1,13,"[9, 13, 49, 85, 91, 204, 211, 213, 217, 255]",SVN7.tsv
very,1,13,"[9, 13, 110, 217, 260, 271]",SVN7.tsv
the,1,19,"[13, 15, 19, 21, 22, 24, 29, 33, 49, 51, 52, 55, 85, 91, 95, 118, 119, 128, 140, 142, 144, 148, 164, 168, 170, 171, 172, 178, 182, 186, 195, 201, 213, 217, 220, 224, 225, 226, 232, 252, 255, 269, 271, 272, 274, 279]",SVN7.tsv
at,1,36,"[13, 36, 75, 108, 130, 222, 224, 269, 271]",SVN7.tsv
and,1,37,"[13, 24, 25, 27, 31, 33, 37, 48, 49, 51, 63, 73, 75, 77, 89, 96, 100, 101, 108, 112, 128, 136, 140, 142, 152, 156, 168, 178, 181, 192, 202, 211, 213, 215, 217, 220, 223, 255, 258, 260, 265, 268, 269, 271, 279]",SVN7.tsv
