begin,end,s1_er_ratio,s2_er_ratio,er_ratio_average,file
0,50,0.19327731092436976,0.2087378640776699,0.20045045045045046,SUHT.tsv
50,100,0.22774869109947643,0.3557692307692308,0.27288135593220336,SUHT.tsv
100,150,0.4423076923076923,0.3871794871794872,0.4116809116809117,SUHT.tsv
150,200,0.4847328244274809,0.44386422976501305,0.4604651162790698,SUHT.tsv
200,250,0.4675834970530452,0.5938775510204082,0.5295295295295295,SUHT.tsv
250,265,0.6057441253263708,0.8888888888888888,0.624390243902439,SUHT.tsv
