length,els_ex_sw,s1_er_ratio,s2_er_ratio,er_ratio_average,file
1406,1580,0.47494239631336405,0.5367603983596954,0.505591054313099,SGN8.tsv
1539,1171,0.5273164335664335,0.39911185123508186,0.4489051094890511,S72E.tsv
1027,897,0.4107994657508109,0.46059933407325193,0.43109101187111365,SUPV.tsv
1532,1071,0.5052656773575873,0.472901023890785,0.48465617664956967,SYEZ.tsv
470,430,0.34988066825775654,0.4224965706447188,0.38696870621205043,SRW5.tsv
832,869,0.4831824062095731,0.4351756728991165,0.45382585751978893,SG4J.tsv
310,386,0.353518821603928,0.4150460593654043,0.3852653815685239,S2AJ.tsv
123,159,0.2047244094488189,0.36893203883495146,0.2782608695652174,S24A.tsv
850,708,0.48253968253968255,0.4573619631901841,0.4683391003460208,SL3R.tsv
273,264,0.3171471927162367,0.2735483870967742,0.29358437935843795,S5HT.tsv
1009,1095,0.48372431351154754,0.4416009236097749,0.4632572924457741,SZAP.tsv
539,696,0.4518624641833811,0.49204355108877723,0.4681864579789044,S4C2.tsv
443,417,0.3987122337790986,0.37642239417387346,0.3870967741935484,SXVL.tsv
410,1013,0.488745148771022,0.4438275032389413,0.46255934397928355,SJJK.tsv
845,799,0.4665718349928876,0.38623780648563144,0.4248768472906404,SXWH.tsv
749,635,0.40980454982377446,0.3674626865671642,0.3878844073558955,SDGT.tsv
305,418,0.34220018034265104,0.4815068493150685,0.39749864056552475,SZYV.tsv
705,632,0.37695364238410595,0.5318979266347688,0.43880311952888745,STUM.tsv
486,503,0.3768996960486322,0.3837448559670782,0.37961264016309887,SVCT.tsv
567,478,0.40032894736842106,0.4765751211631664,0.42924239330202163,SVBG.tsv
353,242,0.33599290780141844,0.28306709265175717,0.30523579650946897,SHJH.tsv
1120,1882,0.454904831625183,0.5843905754417762,0.5279090560735726,SV4W.tsv
179,194,0.17244796828543113,0.41131756756756754,0.3014135886912905,STV6.tsv
927,859,0.37854593274469284,0.4908809891808346,0.42100958167796215,SZME.tsv
1196,1061,0.33330130668716373,0.5337965887555275,0.38006482982171796,S32W.tsv
1072,1268,0.48164672480227133,0.5289300338258857,0.5068259385665529,SJE3.tsv
414,554,0.5217584369449378,0.3401044689495067,0.4118989118989119,SPXX.tsv
196,528,0.4209621993127148,0.41100043308791684,0.4165548955738647,S7QU.tsv
1380,1397,0.519283276450512,0.49619289340101524,0.50731667214732,SEM7.tsv
800,869,0.4245689655172414,0.44094198454556605,0.4373150004774181,S5ER.tsv
536,424,0.3702213279678068,0.3678847505270555,0.3686880332026747,SP5U.tsv
