speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0420,1298,480,320,0.3697996918335901,S0366,575,155,107,0.26956521739130435,S0365,465,164,97,0.35268817204301073,2338,799,0.34174508126603936,524,SWHR.tsv
S0047,8620,3695,2443,0.4286542923433875,S0018,3511,1752,1085,0.49900313301053834,S0049,194,113,69,0.5824742268041238,12325,5560,0.4511156186612576,3597,SWSX.tsv
S0579,9142,5569,3368,0.6091664843579085,S0580,2987,1616,1009,0.5410110478741212,S0454,12560,6416,4027,0.510828025477707,24689,13601,0.5508931102920329,8404,SR4E.tsv
S0292,3806,1171,724,0.30767209668943774,S0293,849,419,260,0.49352179034157834,S0282,2305,1158,709,0.5023861171366595,6960,2748,0.39482758620689656,1693,SK82.tsv
S0510,2318,898,574,0.38740293356341676,S0509,1659,752,506,0.45328511151295964,S0606,809,296,188,0.3658838071693449,4786,1946,0.4066025908900961,1268,SFRW.tsv
S0653,3710,1436,935,0.3870619946091644,S0655,922,407,256,0.44143167028199565,S0654,989,415,256,0.4196157735085945,5621,2258,0.40170788115993594,1447,SDQ8.tsv
S0684,1463,656,411,0.4483937115516063,S0686,3087,1194,709,0.3867832847424684,S0685,1694,631,373,0.3724911452184179,6244,2481,0.3973414477898783,1493,SVLZ.tsv
S0653,537,229,141,0.4264432029795158,S0654,1300,269,180,0.20692307692307693,S0655,952,374,211,0.39285714285714285,2789,872,0.31265686626030836,532,SX4N.tsv
S0432,976,536,349,0.5491803278688525,S0470,2049,685,485,0.3343094192288921,S0428,2119,812,542,0.38319962246342615,5144,2033,0.3952177293934681,1376,SV5R.tsv
S0655,388,166,109,0.42783505154639173,S0653,945,256,177,0.2708994708994709,S0654,512,82,54,0.16015625,1845,504,0.2731707317073171,340,SHKZ.tsv
S0654,907,404,276,0.4454244762954796,S0653,3092,1157,740,0.3741914618369987,S0655,1320,509,341,0.3856060606060606,5319,2070,0.38917089678510997,1357,SAAF.tsv
S0381,2437,1311,807,0.5379565038982356,S0382,4923,2221,1346,0.4511476741824091,S0326,3615,1671,1050,0.46224066390041496,10975,5203,0.47407744874715263,3203,SA88.tsv
S0266,207,102,51,0.4927536231884058,S0314,4066,1418,803,0.3487456960157403,S0269,2962,1293,717,0.4365293720459149,7235,2813,0.3888044229440221,1571,S8NX.tsv
S0653,5691,2758,1704,0.48462484624846247,S0654,2777,1328,810,0.4782138998919698,S0655,2058,984,604,0.478134110787172,10526,5070,0.481664449933498,3118,S8LG.tsv
S0013,1814,775,503,0.42723263506063947,S0012,1268,655,417,0.5165615141955836,S0278,5338,1971,1276,0.3692394155114275,8420,3401,0.4039192399049881,2196,S49V.tsv
S0255,1818,765,493,0.4207920792079208,S0258,1471,748,497,0.5084976206662135,S0257,2416,801,520,0.33153973509933776,5705,2314,0.4056091148115688,1510,S4NB.tsv
S0084,5485,2579,1643,0.47019143117593437,S0041,7116,3445,2171,0.4841202922990444,S0046,355,103,70,0.29014084507042254,12956,6127,0.47290830503241743,3884,SQP2.tsv
S0326,1609,691,470,0.42945929148539463,S0382,3208,1251,809,0.3899625935162095,S0381,1634,756,478,0.46266829865361075,6451,2698,0.41822973182452333,1757,SNQD.tsv
S0260,1038,362,236,0.348747591522158,S0255,1526,745,481,0.48820445609436436,S0259,1508,603,401,0.39986737400530503,4072,1710,0.4199410609037328,1118,SE7R.tsv
S0687,1616,608,414,0.37623762376237624,S0689,941,449,275,0.4771519659936238,S0688,529,176,110,0.332703213610586,3086,1233,0.3995463383020091,799,SUJ8.tsv
S0230,1153,476,321,0.41283607979184733,S0229,464,191,129,0.41163793103448276,S0198,2629,903,616,0.34347660707493344,4246,1570,0.36975977390485165,1066,SPC3.tsv
S0179,4305,1602,1081,0.37212543554006966,S0058,2347,1085,730,0.46229228802726885,S0091,984,530,339,0.5386178861788617,7636,3217,0.4212938711367208,2150,SEYD.tsv
S0278,9273,4101,2653,0.4422516984794565,S0013,2025,1103,698,0.5446913580246914,S0012,3230,1723,1082,0.5334365325077399,14528,6927,0.4768034140969163,4433,SGMT.tsv
S0617,2455,1477,911,0.6016293279022403,S0525,8649,3237,2047,0.3742629205688519,S0614,2275,1105,690,0.4857142857142857,13379,5819,0.43493534643844833,3648,S73U.tsv
S0259,1855,681,442,0.36711590296495955,S0255,2527,1049,691,0.4151167392164622,S0260,6,2,1,0.3333333333333333,4388,1732,0.39471285323609845,1134,S2NQ.tsv
S0392,1509,495,333,0.32803180914512925,S0390,1298,567,363,0.43682588597842836,S0391,101,39,26,0.38613861386138615,2908,1101,0.3786107290233838,722,SPZR.tsv
S0013,2860,1466,931,0.5125874125874126,S0370,5251,2166,1373,0.41249285850314227,S0012,4135,2260,1383,0.5465538089480049,12246,5892,0.48113669769720724,3687,SJH6.tsv
S0653,1430,398,255,0.2783216783216783,S0655,830,306,179,0.3686746987951807,S0654,303,108,61,0.3564356435643564,2563,812,0.3168162309793211,495,S6AZ.tsv
S0337,4241,2391,1504,0.5637821268568733,S0338,3150,1219,795,0.386984126984127,S0336,4557,1678,1083,0.3682247092385341,11948,5288,0.44258453297623035,3382,SQ36.tsv
S0392,1321,563,363,0.4261922785768357,S0393,644,247,158,0.38354037267080743,S0391,1353,449,290,0.3318551367331855,3318,1259,0.3794454490657022,811,SHHU.tsv
S0269,3610,1254,793,0.3473684210526316,S0268,1263,440,272,0.34837688044338877,S0266,331,115,70,0.3474320241691843,5204,1809,0.34761721752498076,1135,S69V.tsv
S0653,2964,1161,707,0.3917004048582996,S0654,858,435,266,0.506993006993007,S0655,1065,625,362,0.5868544600938967,4887,2221,0.4544710456312666,1335,SVC7.tsv
S0391,507,245,153,0.4832347140039448,S0392,1658,431,282,0.25995174909529556,S0399,888,323,199,0.36373873873873874,3053,999,0.3272191287258434,634,SJRX.tsv
S0228,4654,2045,1377,0.4394069617533305,S0192,4918,2375,1490,0.4829198861325742,S0189,67,27,17,0.40298507462686567,9639,4447,0.4613549123353045,2884,SH2P.tsv
S0060,14807,8346,4892,0.5636523266022827,S0171,6994,4164,2392,0.5953674578209894,S0086,8893,5148,3040,0.5788822669515349,30694,17658,0.5752915879324949,10324,S8LS.tsv
S0086,5286,2896,1715,0.5478622777147181,S0041,9508,4939,3028,0.5194572991165335,S0046,4061,2222,1359,0.5471558729377001,18855,10057,0.5333863696632193,6102,S8X7.tsv
S0525,6836,3087,1898,0.4515798712697484,S0617,3618,1905,1167,0.5265339966832504,S0614,1625,785,460,0.48307692307692307,12079,5777,0.47826806854872095,3525,S457.tsv
S0653,1572,498,329,0.31679389312977096,S0654,1001,392,267,0.3916083916083916,S0655,567,245,160,0.43209876543209874,3140,1135,0.3614649681528662,756,SJ2E.tsv
S0530,4559,2199,1382,0.4823426189953937,S0529,4277,2371,1431,0.5543605330839373,S0531,686,262,169,0.3819241982507289,9522,4832,0.5074564167191766,2982,STNE.tsv
S0454,7493,4132,2640,0.5514480181502736,S0579,5322,2637,1727,0.4954904171364149,S0580,3494,1664,1058,0.4762449914138523,16309,8433,0.5170764608498375,5425,SPYH.tsv
S0653,1246,361,225,0.2897271268057785,S0655,563,208,146,0.369449378330373,S0654,210,77,51,0.36666666666666664,2019,646,0.31996037642397224,422,SP5V.tsv
S0571,700,252,167,0.36,S0517,943,361,218,0.3828207847295864,S0570,1139,359,258,0.315188762071993,2782,972,0.3493889288281812,643,SN33.tsv
S0327,9933,5350,3179,0.5386086781435618,S0326,5506,2692,1666,0.4889211768979295,S0445,6163,3564,2152,0.5782897939315269,21602,11606,0.5372650680492547,6997,S2ZU.tsv
S0519,1339,469,299,0.3502613890963405,S0520,1969,778,494,0.39512442864398173,S0521,1129,506,342,0.4481842338352524,4437,1753,0.39508677034032,1135,SN2R.tsv
S0485,5680,1752,1157,0.3084507042253521,S0432,744,414,267,0.5564516129032258,S0428,1387,636,419,0.4585436193222783,7811,2802,0.3587248751760338,1843,SP84.tsv
S0266,4229,2155,1274,0.5095767320879641,S0270,5592,2738,1667,0.4896280400572246,S0271,6616,3272,1991,0.49455864570737607,16437,8165,0.4967451481413883,4932,S7KK.tsv
S0653,5626,2377,1511,0.42250266619267685,S0654,1557,800,478,0.5138086062941555,S0655,1115,550,333,0.49327354260089684,8298,3727,0.44914437213786457,2322,S527.tsv
S0403,1243,646,412,0.5197103781174578,S0405,2826,1098,685,0.3885350318471338,S0402,2553,1043,607,0.40853897375636505,6622,2787,0.420869827846572,1704,SUH7.tsv
S0589,1630,857,553,0.5257668711656441,S0588,6007,2875,1839,0.4786082903279507,S0590,6694,2917,1915,0.43576337018225275,14331,6649,0.46395924918009906,4307,SRL9.tsv
S0653,3691,1496,932,0.4053102140341371,S0655,1100,592,341,0.5381818181818182,S0654,1731,831,517,0.4800693240901213,6522,2919,0.4475620975160994,1790,SNPP.tsv
S0521,1322,676,418,0.5113464447806354,S0519,2247,672,416,0.29906542056074764,S0520,1989,827,525,0.41578682755153346,5558,2175,0.3913278157610651,1359,S4CU.tsv
S0232,1713,507,360,0.29597197898423816,S0198,1158,434,314,0.3747841105354059,S0230,246,114,67,0.4634146341463415,3117,1055,0.33846647417388515,741,SXUQ.tsv
S0266,1002,441,283,0.44011976047904194,S0310,4626,1362,890,0.29442282749675747,S0267,620,317,197,0.5112903225806451,6248,2120,0.3393085787451985,1370,SVLK.tsv
S0486,3287,1636,994,0.49771828414968056,S0489,2327,1095,679,0.4705629565964761,S0523,3302,1528,867,0.4627498485766202,8916,4259,0.47768057424854193,2540,SV97.tsv
S0626,4495,2340,1436,0.5205784204671857,S0624,4709,2426,1422,0.5151836908048418,S0627,7317,4036,2262,0.5515921825884925,16521,8802,0.5327764663155984,5120,SC67.tsv
S0654,692,259,161,0.37427745664739887,S0655,789,354,230,0.44866920152091255,S0653,2313,814,547,0.35192390834414183,3794,1427,0.3761201897733263,938,SM8E.tsv
S0370,2319,862,560,0.3717119448037947,S0012,1330,661,403,0.49699248120300754,S0013,1086,459,302,0.42265193370165743,4735,1982,0.41858500527983106,1265,SZ8H.tsv
S0455,2784,1032,718,0.3706896551724138,S0454,1943,876,567,0.4508492022645394,S0452,179,67,46,0.3743016759776536,4906,1975,0.402568283734203,1331,SM6Y.tsv
S0655,1017,430,289,0.42281219272369713,S0653,1819,652,444,0.35843870258383725,S0654,801,378,235,0.47191011235955055,3637,1460,0.4014297497937861,968,SZ6C.tsv
S0278,11448,4552,2864,0.3976240391334731,S0012,3082,1898,1220,0.6158338741077223,S0013,2370,1370,899,0.5780590717299579,16900,7820,0.46272189349112425,4983,SJ3S.tsv
S0610,5399,2594,1594,0.4804593443230228,S0428,4704,2458,1466,0.5225340136054422,S0612,6018,3559,2067,0.5913924891990695,16121,8611,0.534148005706842,5127,SR8V.tsv
S0417,918,277,173,0.3017429193899782,S0416,812,210,144,0.25862068965517243,S0418,37,9,9,0.24324324324324326,1767,496,0.2807017543859649,326,SR87.tsv
