Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
right,1,1,"[0, 1, 16, 24, 33, 38, 59, 143, 175, 197, 225, 265, 289, 327, 329]",SCNN.tsv
okay,1,2,"[1, 2, 152, 187, 306, 319, 321]",SCNN.tsv
like,1,203,"[4, 55, 128, 203, 219, 261, 268, 278, 305, 342, 351, 355, 357, 361]",SCNN.tsv
yeah,1,9,"[6, 9, 21, 32, 37, 39, 45, 47, 48, 52, 55, 57, 60, 66, 70, 72, 74, 81, 82, 91, 95, 96, 97, 98, 99, 102, 104, 108, 109, 110, 116, 118, 122, 124, 135, 145, 159, 161, 167, 179, 181, 184, 186, 193, 195, 199, 204, 213, 235, 243, 244, 253, 257, 258, 260, 263, 267, 269, 271, 272, 276, 285, 291, 293, 303, 306, 310, 314, 316, 317, 318, 319, 320, 326, 339, 343, 345, 349, 352, 356, 362, 364, 365, 366, 377, 383]",SCNN.tsv
reach,1,11,"[10, 11]",SCNN.tsv
there's,1,60,"[14, 60, 84, 90, 103, 161, 165, 184, 237, 305]",SCNN.tsv
there's a,2,84,"[14, 84, 161, 165, 184]",SCNN.tsv
i'm,1,20,"[5, 20, 92, 158, 159, 161, 305]",SCNN.tsv
guess,1,100,"[20, 55, 100, 188, 239, 291, 373]",SCNN.tsv
go,1,22,"[17, 21, 22, 23, 51, 59, 64, 69, 101, 196, 254, 261, 276, 315, 374, 376, 384]",SCNN.tsv
be go,2,101,"[22, 101]",SCNN.tsv
little,1,23,"[13, 23, 36, 52, 138]",SCNN.tsv
really,1,177,"[23, 55, 177, 203, 217, 239, 250, 340, 361, 381]",SCNN.tsv
i just,2,69,"[30, 69, 150]",SCNN.tsv
i think,2,42,"[34, 42, 88, 153, 161, 340, 361, 378]",SCNN.tsv
think,1,69,"[34, 69, 88, 153, 160, 161, 176, 245, 261, 268, 273, 280, 305, 340, 351, 361, 378]",SCNN.tsv
er i,2,201,"[34, 201, 361]",SCNN.tsv
a little,2,36,"[13, 36, 52]",SCNN.tsv
light,1,140,"[36, 140, 142]",SCNN.tsv
something,1,361,"[36, 282, 361, 365]",SCNN.tsv
or something,2,365,"[36, 365]",SCNN.tsv
yes,1,43,"[15, 43, 64, 124, 127, 176, 205, 208, 209, 216, 220, 229, 269, 276, 354, 358]",SCNN.tsv
twenty,1,47,"[44, 47, 69]",SCNN.tsv
restrict you to,3,47,"[46, 47]",SCNN.tsv
through here,2,47,"[46, 47]",SCNN.tsv
be gonna,2,176,"[50, 52, 176, 231, 339]",SCNN.tsv
gonna,1,176,"[50, 52, 64, 176, 231, 254, 278, 305, 339, 351]",SCNN.tsv
i be,2,201,"[50, 52, 201, 328]",SCNN.tsv
i be gonna,3,339,"[50, 339]",SCNN.tsv
bite,1,52,"[42, 52, 63, 224, 319]",SCNN.tsv
look,1,52,"[49, 52, 134, 191, 227, 239, 245, 250, 264, 299, 328, 336]",SCNN.tsv
say,1,103,"[52, 64, 103, 112, 128, 148, 268, 278, 301, 302, 339]",SCNN.tsv
i be gonna say,4,339,"[52, 339]",SCNN.tsv
that's,1,55,"[5, 35, 55, 68, 88, 103, 126, 136, 139, 216, 226, 239, 270, 288, 296, 302, 319, 335, 336]",SCNN.tsv
quite,1,55,"[49, 55, 151, 194, 222, 227, 249, 353, 355, 361, 371]",SCNN.tsv
yeah i,2,339,"[55, 82, 291, 319, 339]",SCNN.tsv
quite a,2,371,"[55, 371]",SCNN.tsv
see,1,98,"[59, 98, 112, 148, 161, 182, 184, 220, 221, 231, 236, 259, 275]",SCNN.tsv
you can see,3,182,"[59, 182, 184]",SCNN.tsv
you can,2,192,"[59, 192, 239, 268, 299]",SCNN.tsv
can see,2,275,"[59, 275]",SCNN.tsv
go over,2,64,"[17, 64]",SCNN.tsv
get,1,64,"[21, 25, 33, 64, 86, 136, 153, 163, 167, 209, 256, 302, 305, 340, 348, 351, 355, 361]",SCNN.tsv
the guy at work,4,65,"[64, 65]",SCNN.tsv
give it a,3,69,"[64, 69]",SCNN.tsv
i can't remember,3,158,"[64, 158, 173]",SCNN.tsv
we're gonna,2,176,"[64, 176]",SCNN.tsv
can't,1,211,"[64, 173, 211, 212]",SCNN.tsv
work,1,216,"[64, 216, 257, 278, 331]",SCNN.tsv
to give,2,320,"[64, 320]",SCNN.tsv
get the,2,355,"[64, 355]",SCNN.tsv
valet,1,69,"[66, 69]",SCNN.tsv
that's it,2,68,"[5, 68]",SCNN.tsv
valeters,1,68,"[67, 68]",SCNN.tsv
we can do that,4,72,"[71, 72]",SCNN.tsv
we can,2,334,"[72, 334]",SCNN.tsv
fair,1,88,"[76, 88, 202, 204, 226, 307]",SCNN.tsv
enough,1,376,"[76, 202, 204, 376]",SCNN.tsv
car,1,138,"[80, 138, 340, 361]",SCNN.tsv
tomorrow,1,201,"[80, 200, 201]",SCNN.tsv
the car,2,351,"[80, 351, 376, 380]",SCNN.tsv
a particularly,2,89,"[69, 89]",SCNN.tsv
