Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
and i,2,98,"[0, 79, 98, 252, 266, 272, 287, 312, 334, 336, 366, 472, 474, 617, 624, 647, 688, 705, 707, 831]",S8K6.tsv
i don't,2,39,"[3, 28, 39, 101, 122, 124, 228, 336, 474, 492, 499, 649, 653, 811, 813, 819, 1070]",S8K6.tsv
i don't know,3,28,"[3, 28, 124, 336, 474, 499, 649, 653, 813, 1070]",S8K6.tsv
know,1,70,"[3, 20, 26, 59, 70, 73, 75, 80, 85, 101, 110, 119, 124, 189, 228, 256, 260, 266, 274, 281, 284, 327, 336, 338, 343, 385, 472, 474, 477, 493, 499, 508, 527, 528, 530, 550, 576, 600, 601, 634, 637, 649, 653, 681, 686, 761, 804, 808, 813, 834, 897, 903, 942, 996, 1000, 1027, 1034, 1070]",S8K6.tsv
don't know,2,493,"[3, 124, 336, 474, 493, 499, 528, 576, 649, 653, 808, 813, 1070]",S8K6.tsv
turn it,2,707,"[3, 707]",S8K6.tsv
turn,1,733,"[3, 306, 385, 733]",S8K6.tsv
i've,1,110,"[3, 7, 91, 110, 194, 208, 287, 472, 641, 649, 751, 831, 881, 1024, 1080, 1083]",S8K6.tsv
yeah,1,7,"[1, 6, 7, 20, 25, 26, 31, 32, 34, 35, 36, 37, 40, 41, 47, 54, 57, 70, 75, 86, 88, 89, 93, 98, 101, 120, 133, 135, 137, 139, 140, 141, 144, 146, 149, 151, 152, 155, 158, 160, 163, 165, 166, 186, 188, 191, 194, 196, 206, 207, 213, 216, 220, 226, 227, 228, 229, 232, 244, 245, 247, 251, 254, 259, 267, 269, 270, 271, 273, 275, 277, 279, 280, 282, 283, 286, 290, 292, 294, 296, 297, 298, 300, 302, 304, 305, 307, 309, 310, 313, 314, 318, 328, 336, 341, 348, 359, 360, 364, 365, 368, 370, 381, 386, 392, 413, 416, 437, 453, 454, 463, 467, 471, 473, 475, 478, 480, 481, 483, 484, 494, 495, 509, 511, 520, 523, 531, 537, 551, 552, 558, 578, 582, 583, 584, 587, 593, 598, 600, 607, 609, 611, 614, 615, 617, 619, 627, 631, 634, 640, 645, 649, 662, 664, 665, 668, 669, 675, 676, 680, 681, 692, 696, 698, 701, 703, 711, 712, 714, 716, 718, 722, 724, 726, 727, 729, 732, 735, 739, 745, 751, 753, 757, 768, 774, 782, 786, 788, 790, 799, 805, 825, 833, 836, 847, 859, 862, 863, 867, 869, 871, 872, 873, 874, 878, 880, 889, 897, 900, 901, 904, 905, 914, 919, 936, 945, 957, 966, 972, 984, 991, 996, 998, 1000, 1019, 1053, 1065, 1067, 1072, 1073, 1085, 1086, 1087]",S8K6.tsv
yeah i've,2,751,"[7, 751]",S8K6.tsv
paint,1,76,"[7, 8, 76, 80, 92, 103, 142, 192, 200, 203, 236, 384, 385, 397, 555, 557, 656, 793, 835, 842, 843, 845, 913, 1024]",S8K6.tsv
sit,1,744,"[7, 744, 1047]",S8K6.tsv
put,1,36,"[8, 36, 37, 49, 97, 201, 393, 606, 610, 639, 699, 707, 936, 992, 994, 998, 1006, 1015, 1017, 1041, 1084]",S8K6.tsv
say,1,15,"[5, 11, 15, 75, 76, 87, 175, 228, 230, 266, 276, 287, 293, 327, 332, 369, 385, 468, 533, 604, 617, 623, 625, 645, 647, 652, 676, 677, 678, 679, 688, 717, 727, 733, 810, 811, 838, 842, 953, 977, 1005, 1083]",S8K6.tsv
work,1,626,"[15, 203, 225, 626, 628, 686, 899, 922, 996, 1051, 1052]",S8K6.tsv
i know,2,189,"[20, 26, 73, 189, 228, 256, 281, 284, 327, 336, 343, 474, 477, 508, 527, 530, 601, 634, 681, 686, 897, 996, 1000]",S8K6.tsv
yeah i,2,88,"[20, 26, 88, 220, 228, 336, 359, 360, 600, 609, 634, 681, 757, 786, 897, 996, 1000]",S8K6.tsv
yeah i know,3,228,"[20, 26, 228, 336, 634, 681, 897, 996, 1000]",S8K6.tsv
yep,1,255,"[22, 255, 559, 605, 690, 737, 921, 995, 1048]",S8K6.tsv
bottom,1,11,"[10, 11, 27, 70]",S8K6.tsv
look nice,2,38,"[27, 38]",S8K6.tsv
in the,2,256,"[27, 235, 256, 276, 287, 356, 403, 624, 705, 706, 826, 964, 1006, 1020, 1064]",S8K6.tsv
see,1,74,"[27, 29, 74, 88, 145, 156, 194, 199, 211, 256, 321, 356, 427, 602, 786, 857, 879, 886, 896, 897, 898, 934, 1071, 1091, 1092]",S8K6.tsv
stuff,1,136,"[27, 47, 71, 136, 138, 140, 145, 391, 426, 477, 482, 641, 785, 897, 954, 1041]",S8K6.tsv
would,1,82,"[27, 82, 88, 129, 130, 293, 390, 391, 468, 530, 604, 843, 845, 846, 855, 936, 1085]",S8K6.tsv
look,1,220,"[27, 38, 59, 61, 95, 166, 194, 220, 287, 321, 338, 359, 388, 391, 617, 623, 723, 746, 806, 846, 899, 934, 999, 1001, 1072, 1085]",S8K6.tsv
like,1,29,"[11, 29, 30, 31, 34, 47, 48, 50, 53, 59, 61, 70, 71, 75, 77, 80, 84, 85, 88, 89, 91, 96, 98, 100, 101, 102, 122, 123, 130, 132, 136, 138, 140, 142, 145, 147, 149, 150, 153, 154, 156, 159, 162, 164, 166, 171, 173, 175, 183, 192, 221, 252, 258, 260, 266, 267, 268, 274, 287, 289, 303, 308, 311, 312, 315, 319, 321, 323, 330, 332, 334, 336, 338, 343, 344, 345, 357, 361, 363, 371, 377, 390, 394, 403, 410, 425, 426, 474, 477, 480, 482, 495, 496, 504, 506, 518, 530, 612, 617, 622, 623, 631, 632, 639, 643, 645, 647, 652, 674, 677, 679, 686, 691, 693, 695, 705, 707, 709, 715, 717, 721, 723, 730, 733, 746, 767, 791, 797, 804, 808, 821, 846, 851, 855, 870, 893, 895, 899, 902, 910, 930, 931, 934, 936, 938, 951, 953, 954, 956, 963, 969, 971, 1004, 1021, 1024, 1044, 1045, 1046, 1047, 1083, 1084, 1085]",S8K6.tsv
it like,2,100,"[29, 77, 91, 100, 691, 717, 733]",S8K6.tsv
like that,2,31,"[30, 31, 88, 91, 136, 175, 332, 371, 377, 477, 647, 821, 931, 936, 938, 1044]",S8K6.tsv
yeah it's,2,140,"[31, 140, 495, 537, 593]",S8K6.tsv
bite,1,70,"[31, 58, 70, 276, 319, 693, 879, 906, 907, 908, 955, 964, 1085, 1091]",S8K6.tsv
big,1,916,"[33, 800, 916, 943, 1004, 1013, 1014]",S8K6.tsv
yeah it,2,196,"[35, 196, 774]",S8K6.tsv
it just,2,599,"[35, 599, 707, 1085]",S8K6.tsv
night,1,702,"[42, 266, 312, 663, 702, 736]",S8K6.tsv
i use to,3,44,"[40, 44, 48]",S8K6.tsv
full of them,3,48,"[44, 48]",S8K6.tsv
with my,2,48,"[44, 48, 702, 808]",S8K6.tsv
