Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
daddy,1,14,"[0, 14]",SJKD.tsv
say,1,240,"[0, 53, 240, 336]",SJKD.tsv
eye,1,7,"[2, 6, 7, 25, 28, 90, 95, 174, 179, 200, 201, 220, 240, 241]",SJKD.tsv
an orange eye,3,25,"[2, 25]",SJKD.tsv
move,1,37,"[2, 34, 37, 318]",SJKD.tsv
eye oh,2,201,"[2, 201]",SJKD.tsv
orange,1,290,"[2, 28, 289, 290]",SJKD.tsv
fine,1,175,"[4, 9, 175]",SJKD.tsv
his eye,2,7,"[6, 7]",SJKD.tsv
you have,2,22,"[8, 22]",SJKD.tsv
one of,2,25,"[8, 25]",SJKD.tsv
one,1,149,"[8, 25, 41, 149, 150, 187, 192, 193, 199, 215, 226, 289, 304, 305, 311, 335]",SJKD.tsv
okay,1,84,"[8, 84, 96, 123, 176, 190, 226, 231, 239, 255, 258, 310]",SJKD.tsv
have your,2,22,"[9, 22]",SJKD.tsv
chocolate,1,290,"[9, 290]",SJKD.tsv
hungry,1,11,"[10, 11, 12]",SJKD.tsv
have you,2,191,"[17, 119, 125, 191, 236]",SJKD.tsv
christmas,1,24,"[17, 24, 64, 86, 87, 88, 98, 223, 227, 252, 270, 272, 283, 321, 323]",SJKD.tsv
sorry,1,23,"[3, 23, 98, 107, 110, 173, 250]",SJKD.tsv
orange eye,2,28,"[25, 28]",SJKD.tsv
alarm,1,28,"[27, 28]",SJKD.tsv
that's,1,31,"[14, 22, 31, 59, 67, 107, 162, 167, 184, 224, 248, 279, 281, 287, 290, 321, 327, 336]",SJKD.tsv
do you,2,134,"[31, 50, 51, 55, 64, 134, 283, 297, 313]",SJKD.tsv
know,1,155,"[31, 43, 46, 50, 53, 55, 117, 133, 155, 233, 273, 291]",SJKD.tsv
mean,1,314,"[31, 313, 314, 315]",SJKD.tsv
can you,2,60,"[32, 60, 67, 83, 128, 139, 152, 175, 188, 200, 260, 306, 318]",SJKD.tsv
please,1,158,"[32, 83, 158, 161, 182, 188, 318, 321]",SJKD.tsv
stop,1,150,"[32, 150, 177]",SJKD.tsv
wonky,1,170,"[34, 170]",SJKD.tsv
a hipster snowman,3,37,"[36, 37]",SJKD.tsv
snowman,1,118,"[36, 37, 118, 232, 271]",SJKD.tsv
like,1,63,"[36, 63, 69, 206, 224, 238, 296, 318, 330, 331]",SJKD.tsv
sing,1,63,"[39, 41, 53, 56, 63, 67, 69, 83, 114, 139, 140, 143, 144, 145, 148, 149, 150, 152, 160]",SJKD.tsv
be that,2,159,"[39, 159, 243, 258, 265, 325]",SJKD.tsv
that song,2,201,"[39, 46, 55, 201]",SJKD.tsv
song,1,63,"[39, 46, 55, 63, 83, 139, 140, 148, 153, 176, 201, 220, 319, 321]",SJKD.tsv
no no,2,66,"[41, 51, 66, 131]",SJKD.tsv
that one,2,149,"[41, 149, 150, 304, 305]",SJKD.tsv
what do,2,314,"[43, 51, 313, 314]",SJKD.tsv
no no no,3,66,"[51, 66]",SJKD.tsv
oh no,2,122,"[51, 121, 122, 336]",SJKD.tsv
you oh,2,88,"[51, 88, 240]",SJKD.tsv
adele,1,104,"[53, 104, 146]",SJKD.tsv
embarrass,1,57,"[56, 57, 58]",SJKD.tsv
nice,1,301,"[59, 107, 301]",SJKD.tsv
gonna,1,171,"[62, 64, 89, 90, 112, 133, 137, 171, 212, 233, 256, 315, 318, 319, 321, 331]",SJKD.tsv
want,1,81,"[64, 81, 87, 88, 118, 177, 178, 184, 223, 227, 309, 323, 336]",SJKD.tsv
christmas pudding,2,270,"[64, 270, 272]",SJKD.tsv
but can you,3,175,"[67, 175]",SJKD.tsv
like that,2,330,"[69, 296, 330]",SJKD.tsv
a bite,2,102,"[71, 102, 136, 164, 243]",SJKD.tsv
just a,2,240,"[71, 240]",SJKD.tsv
bite,1,171,"[71, 96, 136, 137, 164, 171, 240, 243]",SJKD.tsv
sleep in heavenly peace,4,73,"[72, 73, 74, 82, 85]",SJKD.tsv
i'm,1,75,"[10, 75, 89, 107, 110, 115, 116, 131, 137, 169, 171, 210, 233, 243, 245, 247, 254, 256, 257, 275, 280, 318, 331, 335]",SJKD.tsv
look at,2,75,"[21, 49, 75, 163, 222, 270, 272, 296]",SJKD.tsv
i can,2,75,"[37, 75, 261, 318]",SJKD.tsv
let me,2,176,"[75, 96, 163, 176, 194, 196, 252, 302]",SJKD.tsv
see,1,75,"[42, 75, 119, 125, 127, 149, 171, 194, 196, 291]",SJKD.tsv
look,1,24,"[21, 24, 49, 75, 127, 163, 222, 243, 270, 272, 296, 301]",SJKD.tsv
please can you,3,188,"[83, 188]",SJKD.tsv
do the,2,170,"[89, 96, 137, 170, 271, 283]",SJKD.tsv
run into the eye,4,95,"[90, 95]",SJKD.tsv
nail,1,97,"[22, 97, 99, 109, 163, 190, 207, 208, 212, 213, 229, 256, 302, 329]",SJKD.tsv
you need,2,161,"[97, 99, 161]",SJKD.tsv
way,1,172,"[97, 172, 249, 293, 318]",SJKD.tsv
need,1,116,"[97, 99, 116, 161, 245, 271, 290]",SJKD.tsv
your nail,2,99,"[22, 99, 163, 208, 212, 229, 329]",SJKD.tsv
i don't,2,101,"[81, 87, 88, 101, 118, 141, 149, 150, 155, 162, 177, 279, 309, 318, 320]",SJKD.tsv
think,1,134,"[101, 134, 162, 190, 266, 279, 297]",SJKD.tsv
hello,1,105,"[104, 105, 106, 110]",SJKD.tsv
tell,1,177,"[107, 110, 177, 273]",SJKD.tsv
that's not,2,336,"[107, 336]",SJKD.tsv
no you're,2,122,"[112, 122]",SJKD.tsv
no don't,2,177,"[112, 115, 143, 177, 212]",SJKD.tsv
ruin,1,190,"[112, 165, 190, 199, 212, 213]",SJKD.tsv
get,1,117,"[25, 117, 124, 185, 229, 232, 275, 276, 315, 327, 331]",SJKD.tsv
glass,1,118,"[117, 118]",SJKD.tsv
one's,1,164,"[117, 164, 195, 266]",SJKD.tsv
put,1,128,"[109, 128, 130, 176, 200, 226, 247, 282]",SJKD.tsv
do it,2,330,"[137, 173, 233, 330]",SJKD.tsv
i don't know,3,155,"[141, 155, 320]",SJKD.tsv
sing that,2,144,"[143, 144, 149, 150]",SJKD.tsv
it go,2,249,"[162, 249]",SJKD.tsv
come,1,163,"[42, 88, 120, 158, 161, 163, 171, 197, 230, 316, 318, 319, 321, 332]",SJKD.tsv
yeah,1,169,"[25, 29, 35, 37, 54, 102, 168, 169, 198, 204, 221, 226, 238, 249, 259, 267, 269, 276, 290, 299, 305, 312]",SJKD.tsv
matter,1,173,"[110, 173, 175]",SJKD.tsv
if you,2,184,"[14, 22, 184]",SJKD.tsv
want to,2,184,"[81, 184]",SJKD.tsv
record,1,184,"[177, 184]",SJKD.tsv
in the,2,306,"[184, 223, 306, 309]",SJKD.tsv
that's the,2,321,"[184, 321]",SJKD.tsv
next,1,227,"[187, 227, 319, 321]",SJKD.tsv
cody simpson,2,204,"[203, 204, 205, 209, 210, 211, 219, 262]",SJKD.tsv
pretty brown eye,3,220,"[200, 201, 220, 240]",SJKD.tsv
all i want for christmas be,6,227,"[88, 223, 227]",SJKD.tsv
for christmas,2,223,"[87, 88, 223, 227, 321, 323]",SJKD.tsv
i want,2,336,"[88, 223, 323, 336]",SJKD.tsv
i like,2,238,"[224, 238]",SJKD.tsv
oh and,2,240,"[224, 240]",SJKD.tsv
you do,2,236,"[60, 236, 260, 306, 330]",SJKD.tsv
it's wink,2,238,"[237, 238]",SJKD.tsv
there's,1,330,"[241, 330]",SJKD.tsv
fix,1,245,"[238, 245]",SJKD.tsv
tonight,1,245,"[209, 240, 245]",SJKD.tsv
snowmanned out,2,246,"[245, 246]",SJKD.tsv
in the morning,3,306,"[245, 306, 308, 309]",SJKD.tsv
put the,2,247,"[109, 247]",SJKD.tsv
go,1,162,"[108, 162, 249, 257, 287, 307]",SJKD.tsv
dry,1,269,"[134, 269]",SJKD.tsv
wait,1,209,"[49, 209, 271, 330]",SJKD.tsv
wait wait,2,330,"[271, 330]",SJKD.tsv
baymax,1,278,"[274, 278]",SJKD.tsv
wrong,1,275,"[172, 249, 275, 276, 293, 294, 307]",SJKD.tsv
get it wrong,3,276,"[275, 276]",SJKD.tsv
