speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0617,2455,1855,1313,0.7556008146639511,S0525,8649,5622,4266,0.6500173430454388,S0614,2275,1143,728,0.5024175824175824,13379,8620,0.644293295463039,6307,S73U.tsv
S0259,1855,946,734,0.5099730458221025,S0255,2527,786,546,0.3110407597942224,S0260,6,3,2,0.5,4388,1735,0.39539653600729263,1282,S2NQ.tsv
S0392,1509,784,649,0.5195493704440026,S0390,1298,731,570,0.5631741140215717,S0391,101,43,31,0.42574257425742573,2908,1558,0.5357634112792297,1250,SPZR.tsv
S0013,2860,1995,1477,0.6975524475524476,S0370,5251,3365,2527,0.6408303180346601,S0012,4135,1812,1093,0.43821039903264813,12246,7172,0.5856606238771844,5097,SJH6.tsv
S0653,1430,727,592,0.5083916083916084,S0655,830,467,338,0.5626506024096386,S0654,303,139,91,0.45874587458745875,2563,1333,0.5200936402653141,1021,S6AZ.tsv
S0337,4241,3041,2217,0.7170478660693232,S0338,3150,2042,1574,0.6482539682539683,S0336,4557,1784,1177,0.39148562650866797,11948,6867,0.5747405423501841,4968,SQ36.tsv
S0392,1321,825,647,0.6245268735806208,S0393,644,368,276,0.5714285714285714,S0391,1353,513,381,0.37915742793791574,3318,1706,0.5141651597347799,1304,SHHU.tsv
S0269,3610,2149,1766,0.5952908587257618,S0268,1263,716,550,0.566904196357878,S0266,331,149,108,0.4501510574018127,5204,3014,0.5791698693312837,2424,S69V.tsv
S0653,2964,1731,1323,0.5840080971659919,S0654,858,546,388,0.6363636363636364,S0655,1065,537,321,0.504225352112676,4887,2814,0.5758133824432167,2032,SVC7.tsv
S0391,507,342,252,0.6745562130177515,S0392,1658,901,754,0.5434258142340169,S0399,888,398,289,0.44819819819819817,3053,1641,0.5375040943334425,1295,SJRX.tsv
S0228,4654,2575,1979,0.5532874946282768,S0192,4918,2404,1732,0.48881659211061407,S0189,67,33,22,0.4925373134328358,9639,5012,0.5199709513435004,3733,SH2P.tsv
S0060,14807,9841,6540,0.6646180860403863,S0171,6994,4914,3174,0.7026022304832714,S0086,8893,4700,2887,0.5285055661756438,30694,19455,0.633837232032319,12601,S8LS.tsv
S0086,5286,3522,2394,0.6662883087400681,S0041,9508,6695,4847,0.7041438788388725,S0046,4061,1700,958,0.41861610440778135,18855,11917,0.632033943251127,8199,S8X7.tsv
S0525,6836,4386,3310,0.6416032767700409,S0617,3618,2479,1786,0.6851851851851852,S0614,1625,775,478,0.47692307692307695,12079,7640,0.6325026906200845,5574,S457.tsv
S0653,1572,857,715,0.5451653944020356,S0654,1001,574,457,0.5734265734265734,S0655,567,259,187,0.4567901234567901,3140,1690,0.5382165605095541,1359,SJ2E.tsv
S0530,4559,2843,2097,0.623601667032244,S0529,4277,3024,2225,0.707037643207856,S0531,686,285,186,0.41545189504373176,9522,6152,0.6460827557235875,4508,STNE.tsv
S0454,7493,5355,4000,0.7146670225543841,S0579,5322,3915,2958,0.7356257046223225,S0580,3494,1356,783,0.3880938752146537,16309,10626,0.6515420933227053,7741,SPYH.tsv
S0653,1246,632,515,0.507223113964687,S0655,563,287,232,0.5097690941385435,S0654,210,107,83,0.5095238095238095,2019,1026,0.5081723625557206,830,SP5V.tsv
S0571,700,407,325,0.5814285714285714,S0517,943,618,475,0.6553552492046659,S0570,1139,426,325,0.3740122914837577,2782,1451,0.5215672178289,1125,SN33.tsv
S0327,9933,6930,4904,0.6976744186046512,S0326,5506,3446,2344,0.6258626952415547,S0445,6163,3071,1904,0.49829628427713774,21602,13447,0.6224886584575502,9152,S2ZU.tsv
S0519,1339,717,556,0.5354742345033607,S0520,1969,1259,1000,0.6394108684611478,S0521,1129,448,305,0.39681133746678476,4437,2424,0.54631507775524,1861,SN2R.tsv
S0485,5680,3023,2464,0.532218309859155,S0432,744,565,429,0.7594086021505376,S0428,1387,634,426,0.4571016582552271,7811,4222,0.5405197797977211,3319,SP84.tsv
