Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
want,1,5,"[0, 5, 11, 105, 107, 109, 137, 154, 155, 176, 183, 185, 204, 221, 305, 307, 370, 384, 385]",SH64.tsv
you,1,11,"[0, 4, 9, 11, 15, 20, 24, 26, 28, 33, 36, 42, 45, 50, 58, 59, 69, 73, 85, 90, 96, 104, 107, 110, 121, 126, 133, 137, 150, 155, 158, 161, 169, 171, 174, 176, 183, 185, 186, 189, 204, 219, 221, 223, 239, 254, 260, 265, 266, 267, 272, 274, 276, 277, 285, 286, 298, 304, 305, 307, 319, 320, 327, 328, 338, 342, 349, 361, 364, 368, 370, 376, 381, 383, 384, 386, 389, 390, 391]",SH64.tsv
do you,2,33,"[0, 20, 33, 126, 137, 183, 185, 305, 307, 349, 370, 391]",SH64.tsv
do,1,37,"[0, 20, 26, 28, 33, 36, 37, 58, 60, 73, 94, 108, 115, 118, 126, 137, 161, 162, 177, 183, 185, 252, 265, 274, 277, 298, 305, 307, 318, 319, 349, 350, 356, 370, 371, 385, 391]",SH64.tsv
pancake,1,46,"[0, 46, 48, 66, 102, 104, 110, 126, 137, 138, 140, 154, 155, 156, 159, 165, 168, 174, 176, 179, 181, 186, 203, 214, 291, 319, 370, 401]",SH64.tsv
me,1,88,"[0, 88, 89, 112, 305, 307]",SH64.tsv
up,1,220,"[0, 42, 129, 220, 260, 274, 278, 286, 294, 400, 401]",SH64.tsv
to,1,8,"[0, 8, 42, 50, 67, 73, 85, 88, 94, 96, 97, 104, 118, 129, 151, 153, 180, 183, 200, 202, 221, 240, 247, 301, 303, 305, 307, 319, 320, 323, 338, 342, 350, 361, 401]",SH64.tsv
your,1,150,"[0, 9, 12, 28, 30, 85, 150, 197, 198, 206, 242, 248, 270, 285, 317, 319, 342, 353, 365, 368, 383, 389]",SH64.tsv
yes,1,2,"[1, 2, 22, 26, 28, 82, 94, 207, 229, 258, 268, 310, 357, 366, 368, 379]",SH64.tsv
like some chocolate,3,4,"[3, 4]",SH64.tsv
some chocolate,2,4,"[3, 4]",SH64.tsv
with this one,3,5,"[4, 5]",SH64.tsv
this one,2,5,"[4, 5, 178]",SH64.tsv
chocolate,1,17,"[3, 4, 12, 14, 17, 18, 20, 101, 103, 105, 108, 165]",SH64.tsv
have,1,10,"[4, 10, 11, 33, 45, 47, 52, 75, 98, 110, 161, 173, 174, 186, 202, 254, 255, 257, 320, 323, 342, 350]",SH64.tsv
some,1,105,"[3, 4, 24, 85, 105, 126, 132, 165, 166, 170, 202, 278, 342, 385]",SH64.tsv
well,1,94,"[4, 9, 14, 94, 98, 105, 106, 129, 174, 243, 267, 316, 338, 339, 388, 398, 401]",SH64.tsv
like,1,10,"[3, 4, 10, 42, 50, 52, 60, 73, 85, 95, 107, 148, 149, 156, 159, 161, 162, 164, 171, 174, 179, 209, 253, 274, 289, 305, 328, 339, 355, 362, 365]",SH64.tsv
in,1,62,"[4, 24, 58, 62, 67, 71, 80, 85, 97, 98, 118, 135, 174, 201, 227, 239, 240, 241, 265, 270, 279, 289, 329, 332, 334, 335]",SH64.tsv
but,1,94,"[4, 24, 47, 49, 73, 85, 94, 126, 141, 171, 174, 209, 223, 227, 273, 274, 279, 319, 320, 328, 350, 382, 387]",SH64.tsv
there's,1,43,"[4, 14, 43, 57, 221, 226, 232, 234, 237, 238, 329, 396]",SH64.tsv
with,1,162,"[4, 5, 60, 75, 161, 162, 206, 214, 274, 286, 347, 358, 365]",SH64.tsv
it,1,6,"[5, 6, 8, 10, 11, 21, 23, 25, 33, 34, 35, 36, 37, 46, 48, 50, 58, 59, 67, 73, 75, 80, 88, 96, 98, 102, 104, 107, 108, 109, 116, 124, 128, 131, 133, 135, 161, 162, 164, 179, 181, 182, 183, 194, 200, 202, 223, 227, 229, 232, 235, 247, 264, 265, 270, 274, 294, 302, 305, 307, 308, 312, 326, 333, 350, 353, 355, 390, 391]",SH64.tsv
this,1,6,"[4, 5, 6, 10, 12, 60, 128, 178, 245, 362, 388]",SH64.tsv
i,1,6,"[5, 6, 8, 10, 14, 23, 25, 35, 50, 58, 60, 61, 85, 94, 95, 98, 105, 106, 107, 109, 110, 114, 126, 128, 129, 130, 131, 138, 140, 141, 151, 153, 154, 159, 162, 164, 166, 170, 177, 179, 180, 184, 220, 235, 253, 255, 256, 257, 274, 279, 291, 300, 301, 318, 334, 343, 348, 350, 361, 367, 379, 385, 397, 402]",SH64.tsv
no,1,7,"[6, 7, 16, 20, 47, 48, 87, 90, 98, 104, 109, 125, 133, 206, 210, 212, 214, 235, 244, 250, 261, 263, 303, 323, 339, 351, 362, 363, 371, 377, 398]",SH64.tsv
of,1,17,"[6, 14, 17, 33, 34, 35, 42, 49, 50, 75, 80, 89, 90, 121, 165, 174, 183, 198, 219, 239, 240, 259, 268, 281, 282, 285, 320, 342, 353, 382, 385, 394, 396]",SH64.tsv
won't,1,35,"[6, 35, 107, 124, 180]",SH64.tsv
be,1,16,"[6, 12, 16, 18, 20, 24, 28, 38, 41, 44, 46, 48, 49, 56, 58, 60, 63, 67, 73, 83, 102, 104, 121, 124, 126, 128, 129, 130, 141, 145, 146, 149, 150, 165, 174, 176, 187, 204, 209, 223, 227, 229, 235, 245, 252, 285, 293, 301, 302, 303, 308, 320, 323, 328, 329, 330, 331, 333, 334, 338, 342, 343, 344, 347, 350, 352, 353, 355, 361, 376, 379, 381, 398]",SH64.tsv
i think,2,61,"[6, 8, 58, 61, 85, 130, 138, 140, 179, 184, 350]",SH64.tsv
now,1,89,"[6, 47, 89, 165, 339, 342, 400]",SH64.tsv
get,1,89,"[6, 9, 49, 73, 89, 94, 107, 119, 120, 126, 128, 242, 257, 274, 278, 279, 304, 319, 401]",SH64.tsv
i'm,1,34,"[6, 8, 34, 101, 103, 110, 161, 173, 183, 244, 318, 322, 324, 382, 399, 400]",SH64.tsv
it's,1,61,"[9, 47, 61, 66, 73, 91, 107, 138, 140, 171, 180, 181, 223, 230, 270, 273, 275, 283, 300, 301, 303, 308, 361, 398, 401, 403]",SH64.tsv
that,1,50,"[9, 12, 14, 38, 44, 50, 83, 89, 102, 104, 107, 110, 118, 121, 129, 141, 171, 180, 214, 220, 221, 265, 274, 285, 293, 298, 305, 320, 336, 338, 342, 356, 397, 401]",SH64.tsv
put,1,97,"[9, 85, 97, 98, 165, 166, 170, 200, 202, 239, 240, 241, 247, 389, 390, 391, 392, 397]",SH64.tsv
