Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
expensive,1,5,"[0, 5, 459, 1166]",S985.tsv
know,1,89,"[0, 6, 22, 24, 46, 89, 94, 105, 147, 161, 207, 213, 221, 224, 296, 380, 404, 406, 419, 424, 448, 480, 503, 591, 646, 680, 701, 712, 733, 749, 762, 765, 766, 769, 786, 795, 798, 821, 823, 832, 834, 892, 929, 943, 967, 968, 974, 980, 985, 1008, 1060, 1063, 1066, 1070, 1110, 1112, 1117, 1124, 1129, 1131, 1135, 1141, 1145, 1157, 1197, 1198, 1204, 1209, 1250, 1259, 1261, 1283, 1323, 1356, 1358, 1362, 1390, 1400, 1432, 1457, 1490, 1492, 1497, 1534, 1546, 1559, 1581, 1612, 1652, 1671, 1746, 1754, 1780, 1812, 1813, 1816, 1820, 1839, 1863, 1889, 1904, 1960]",S985.tsv
restaurant,1,143,"[0, 107, 143, 183]",S985.tsv
than the,2,233,"[0, 233]",S985.tsv
i don't,2,178,"[0, 46, 178, 221, 319, 345, 348, 392, 406, 424, 445, 447, 503, 552, 573, 575, 652, 680, 681, 750, 821, 823, 832, 834, 926, 979, 1003, 1110, 1141, 1145, 1165, 1209, 1257, 1280, 1356, 1398, 1400, 1497, 1534, 1546, 1551, 1554, 1559, 1575, 1652, 1686, 1780, 1839]",S985.tsv
cos,1,21,"[0, 8, 10, 21, 80, 111, 115, 170, 245, 268, 270, 340, 371, 386, 407, 439, 484, 485, 499, 516, 575, 618, 743, 781, 795, 798, 819, 835, 856, 906, 909, 1003, 1066, 1074, 1076, 1111, 1118, 1141, 1151, 1153, 1166, 1208, 1217, 1222, 1223, 1226, 1306, 1341, 1356, 1362, 1398, 1404, 1405, 1459, 1462, 1466, 1492, 1611, 1702, 1753, 1756, 1795, 1818, 1819, 1869, 1871, 1908, 1917]",S985.tsv
cheaper,1,418,"[0, 310, 415, 418, 419, 525, 526, 527]",S985.tsv
i don't know,3,424,"[0, 46, 221, 406, 424, 503, 680, 821, 823, 834, 1110, 1141, 1145, 1356, 1400, 1497, 1534, 1546, 1559, 1652, 1780, 1839]",S985.tsv
menu,1,494,"[0, 111, 147, 227, 321, 417, 494, 496, 525, 575, 579, 581, 584, 596, 606, 619, 642, 660, 1670]",S985.tsv
it's cheaper,2,527,"[0, 527]",S985.tsv
don't know,2,591,"[0, 46, 221, 406, 419, 424, 503, 591, 680, 821, 823, 834, 1110, 1141, 1145, 1356, 1400, 1497, 1534, 1546, 1559, 1652, 1780, 1839]",S985.tsv
or not,2,1156,"[0, 525, 1156, 1364]",S985.tsv
