Expression Lexicon Size without stopwords,file
1003,S59W.tsv
649,S839.tsv
1505,SDXW.tsv
2674,SVKH.tsv
451,SDAB.tsv
1488,SZJ7.tsv
1338,SXRR.tsv
568,SBCL.tsv
227,SUC7.tsv
463,S9CH.tsv
602,S75W.tsv
477,SP3F.tsv
967,S2QU.tsv
189,S9UA.tsv
903,SQVW.tsv
180,S3A9.tsv
216,S3CP.tsv
1122,S38P.tsv
661,SQ93.tsv
439,SZQ9.tsv
214,SZFG.tsv
943,SASQ.tsv
1017,SWTX.tsv
406,SK3P.tsv
948,SGGE.tsv
384,S74A.tsv
306,SYA7.tsv
268,SNZS.tsv
237,S7WR.tsv
336,S2JK.tsv
354,SR3P.tsv
1692,S37K.tsv
1057,SHXJ.tsv
762,SFXE.tsv
673,SDTD.tsv
1478,SCSF.tsv
1590,SVD6.tsv
817,SVD7.tsv
360,SMH4.tsv
2128,SLNB.tsv
481,SKDP.tsv
1363,SEJT.tsv
240,SK3S.tsv
576,S2PS.tsv
1125,S5U8.tsv
2088,S985.tsv
4968,S5XD.tsv
2414,SWWZ.tsv
821,SUAB.tsv
343,SYWB.tsv
636,SCG9.tsv
254,STDN.tsv
176,S4KE.tsv
611,SXGX.tsv
2734,SMRV.tsv
1148,SDZC.tsv
919,SVDM.tsv
215,SQBK.tsv
299,SF7M.tsv
836,SDUM.tsv
1556,SXR9.tsv
2852,SVR6.tsv
741,STJD.tsv
139,SRGR.tsv
301,SGFN.tsv
2372,SN8K.tsv
918,SNAC.tsv
1765,SN64.tsv
1002,S776.tsv
286,SWLS.tsv
472,SLT4.tsv
530,SYNT.tsv
3274,SP2Y.tsv
332,SBNC.tsv
1953,SNYG.tsv
348,SE2A.tsv
406,S3CK.tsv
183,S8Q3.tsv
288,SQU6.tsv
672,STG7.tsv
2819,STSS.tsv
1149,SCPR.tsv
245,SXH5.tsv
752,SFMJ.tsv
390,SX3B.tsv
657,SHBJ.tsv
256,SXQ6.tsv
2285,S8PW.tsv
514,SHX2.tsv
948,SJ4X.tsv
549,S37E.tsv
226,SYTL.tsv
1093,S575.tsv
3206,SW6A.tsv
2645,SP2X.tsv
346,S79Y.tsv
476,S57G.tsv
2251,SL8N.tsv
2011,S7TT.tsv
398,S2JV.tsv
1052,SE3W.tsv
368,SXPW.tsv
182,SFC2.tsv
371,SH8K.tsv
1879,SF8D.tsv
143,SH6W.tsv
783,S6GC.tsv
526,SMF5.tsv
1127,SVRQ.tsv
392,SZ2V.tsv
981,SU6F.tsv
833,SKKB.tsv
1029,S2PY.tsv
1398,SY4A.tsv
224,SBZW.tsv
333,S2RD.tsv
681,SEJK.tsv
642,SJA5.tsv
2082,SHTW.tsv
842,S4KW.tsv
338,S83A.tsv
865,SZP6.tsv
565,SADE.tsv
359,SKJ3.tsv
224,SBBP.tsv
188,S2GS.tsv
1815,SKRC.tsv
560,S78H.tsv
419,SKZX.tsv
537,SG7X.tsv
3131,S7SU.tsv
1500,S2LD.tsv
361,SUGV.tsv
125,SUDM.tsv
190,SJEM.tsv
1332,S6YA.tsv
550,SZ94.tsv
829,SZNA.tsv
126,SVAT.tsv
343,SF2C.tsv
944,S8CW.tsv
297,S4T3.tsv
482,SCWW.tsv
1010,SXAZ.tsv
155,S49H.tsv
677,SDJL.tsv
457,S8W2.tsv
1536,SG78.tsv
240,S2TC.tsv
3950,SNJP.tsv
751,SGCA.tsv
988,SG5Q.tsv
1431,SUQM.tsv
2153,SNG4.tsv
1023,SRU7.tsv
760,SBSJ.tsv
1057,S9F9.tsv
870,SYHW.tsv
1319,SKCY.tsv
1067,S7PM.tsv
1514,SR7C.tsv
1057,SK8N.tsv
1380,SJSC.tsv
1202,SAB7.tsv
2571,S8BQ.tsv
627,SQ2L.tsv
649,S6MQ.tsv
1328,S8CB.tsv
1117,SHGE.tsv
811,SCWC.tsv
2956,S3JF.tsv
213,SJKD.tsv
1308,SQPN.tsv
239,S7RD.tsv
