Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
yeah,1,1,"[0, 1, 2, 4, 12, 27, 28, 37, 51, 54, 55, 62, 73, 84, 90, 93, 96, 102, 103, 105, 106, 108, 109, 119, 126, 138, 139, 153, 157, 158, 160, 161, 165, 169, 171, 175, 176]",SMNV.tsv
brother,1,5,"[3, 4, 5, 6, 7, 54, 56, 57]",SMNV.tsv
his brother,2,7,"[6, 7, 54]",SMNV.tsv
marry,1,11,"[10, 11]",SMNV.tsv
i'd be like,3,18,"[9, 18]",SMNV.tsv
still,1,54,"[18, 54]",SMNV.tsv
like,1,13,"[9, 13, 15, 18, 24, 30, 32, 36, 38, 45, 47, 51, 60, 61, 83, 89, 92, 94, 97, 104, 110, 116, 122, 129, 130, 149, 151, 153, 156, 173, 174, 175, 176]",SMNV.tsv
be like,2,24,"[9, 18, 24, 51, 94, 110, 122, 173]",SMNV.tsv
fuck,1,29,"[18, 29, 32, 42, 61, 101, 113, 127, 154, 159, 172]",SMNV.tsv
shit,1,33,"[19, 33, 94, 95]",SMNV.tsv
he's,1,37,"[21, 35, 37, 38, 64, 71, 72, 95, 97, 122, 150, 151]",SMNV.tsv
a fuck,2,101,"[42, 101, 154]",SMNV.tsv
know,1,52,"[17, 45, 50, 52, 53, 54, 55, 70, 77, 81, 92, 107, 156, 168, 176]",SMNV.tsv
i know,2,52,"[17, 50, 52, 70, 77, 81, 156, 168, 176]",SMNV.tsv
might,1,92,"[55, 92]",SMNV.tsv
gorgeous,1,65,"[1, 65]",SMNV.tsv
look,1,65,"[36, 37, 64, 65, 66, 89]",SMNV.tsv
think,1,72,"[9, 41, 53, 72, 95, 103, 104, 136]",SMNV.tsv
i think,2,72,"[53, 72, 95, 104]",SMNV.tsv
crazy,1,74,"[58, 74, 75]",SMNV.tsv
her arm,2,88,"[79, 88]",SMNV.tsv
love,1,87,"[9, 87]",SMNV.tsv
i love,2,87,"[76, 87]",SMNV.tsv
really,1,100,"[15, 94, 100, 153]",SMNV.tsv
never,1,103,"[88, 103, 122, 156]",SMNV.tsv
holiday,1,105,"[104, 105, 106]",SMNV.tsv
oh my god,3,111,"[39, 68, 78, 98, 107, 111, 113, 115, 120, 146, 165]",SMNV.tsv
hen do,2,118,"[104, 110, 118]",SMNV.tsv
that's,1,95,"[74, 95, 97, 101, 149, 159]",SMNV.tsv
this be,2,163,"[153, 163, 170]",SMNV.tsv
it's true,2,18,"[17, 18]",SMNV.tsv
he's not,2,35,"[21, 35, 97]",SMNV.tsv
fit,1,51,"[35, 51]",SMNV.tsv
me and,2,122,"[40, 122]",SMNV.tsv
it wasn't,2,42,"[30, 42]",SMNV.tsv
that be,2,56,"[42, 56, 58, 75, 113, 139]",SMNV.tsv
make,1,97,"[42, 97]",SMNV.tsv
you have,2,60,"[15, 60]",SMNV.tsv
not be,2,89,"[63, 89, 156]",SMNV.tsv
imagine how,2,67,"[24, 38, 67]",SMNV.tsv
she'd,1,122,"[67, 122]",SMNV.tsv
imagine,1,123,"[67, 123]",SMNV.tsv
i think he's,3,95,"[72, 95]",SMNV.tsv
that be crazy,3,75,"[58, 75]",SMNV.tsv
yeah holiday,2,106,"[105, 106]",SMNV.tsv
someone,1,131,"[13, 131, 137]",SMNV.tsv
awful,1,139,"[95, 139]",SMNV.tsv
yeah that,2,139,"[138, 139]",SMNV.tsv
call,1,159,"[132, 159]",SMNV.tsv
surely that's,2,159,"[149, 159]",SMNV.tsv
probably,1,163,"[152, 163]",SMNV.tsv
yeah oh,2,165,"[126, 165]",SMNV.tsv
would,1,168,"[13, 153, 168]",SMNV.tsv
give,1,172,"[19, 172]",SMNV.tsv
yeah it's,2,4,"[1, 4, 171]",SMNV.tsv
gonna be the brother,4,4,"[3, 4]",SMNV.tsv
gonna,1,25,"[3, 25, 26, 38, 41]",SMNV.tsv
gonna be,2,38,"[3, 38]",SMNV.tsv
be gonna,2,41,"[3, 41]",SMNV.tsv
it be,2,61,"[3, 61, 110]",SMNV.tsv
well,1,17,"[9, 16, 17, 24, 30, 152]",SMNV.tsv
it's not,2,30,"[9, 30]",SMNV.tsv
people,1,61,"[9, 61, 173]",SMNV.tsv
fall,1,153,"[9, 153]",SMNV.tsv
famous,1,21,"[20, 21]",SMNV.tsv
voice,1,23,"[20, 23]",SMNV.tsv
guy,1,25,"[20, 25, 113]",SMNV.tsv
i'm not,2,89,"[26, 89, 143]",SMNV.tsv
he look,2,37,"[36, 37]",SMNV.tsv
get,1,59,"[37, 59, 95, 114, 122, 150, 151]",SMNV.tsv
he's get,2,95,"[37, 95]",SMNV.tsv
mine,1,44,"[43, 44]",SMNV.tsv
thing,1,122,"[44, 122, 135]",SMNV.tsv
how nervous,2,64,"[24, 64]",SMNV.tsv
nervous,1,64,"[50, 64]",SMNV.tsv
he's so,2,71,"[64, 71]",SMNV.tsv
he be,2,119,"[64, 119]",SMNV.tsv
one,1,97,"[76, 97]",SMNV.tsv
cos,1,114,"[85, 94, 114, 117, 122]",SMNV.tsv
do you,2,92,"[15, 36, 92]",SMNV.tsv
go,1,92,"[53, 92, 97, 110, 122]",SMNV.tsv
you know,2,107,"[92, 107]",SMNV.tsv
she be,2,94,"[17, 51, 94, 119, 122]",SMNV.tsv
be shit,2,95,"[94, 95]",SMNV.tsv
cos she,2,117,"[94, 117]",SMNV.tsv
see,1,125,"[36, 38, 125]",SMNV.tsv
like a,2,130,"[32, 110, 130]",SMNV.tsv
i don't,2,150,"[136, 150]",SMNV.tsv
pay for,2,151,"[99, 151]",SMNV.tsv
dickhead,1,154,"[15, 154]",SMNV.tsv
sound,1,176,"[23, 176]",SMNV.tsv
