speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,126,150,377,0.21,46,42,28,10,0,50,S67P.tsv
4,104,126,270,0.20634920634920634,32,17,34,21,50,100,S67P.tsv
4,88,117,277,0.18803418803418803,10,25,27,26,100,150,S67P.tsv
4,141,134,297,0.2630597014925373,37,36,41,27,150,200,S67P.tsv
4,120,153,321,0.19607843137254902,38,38,30,14,200,250,S67P.tsv
4,133,143,360,0.23251748251748253,46,53,31,3,250,300,S67P.tsv
4,96,186,502,0.12903225806451613,44,0,37,15,300,350,S67P.tsv
4,74,111,231,0.16666666666666666,30,19,21,4,350,393,S67P.tsv
