speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,begin,end,file
4,156,200,531,0.195,18,37,55,46,0,50,S8CV.tsv
4,133,170,394,0.19558823529411765,31,18,39,45,50,100,S8CV.tsv
4,150,169,384,0.22189349112426035,23,32,54,41,100,150,S8CV.tsv
4,161,187,529,0.21524064171122995,26,21,61,53,150,200,S8CV.tsv
4,150,188,547,0.19946808510638298,48,47,45,10,200,250,S8CV.tsv
4,206,258,765,0.1996124031007752,33,39,58,76,250,300,S8CV.tsv
4,173,217,581,0.19930875576036866,8,50,55,60,300,350,S8CV.tsv
4,151,175,474,0.21571428571428572,11,45,48,47,350,400,S8CV.tsv
4,140,183,504,0.1912568306010929,9,38,44,49,400,450,S8CV.tsv
4,112,147,343,0.19047619047619047,10,32,42,28,450,500,S8CV.tsv
4,138,152,380,0.22697368421052633,23,34,36,45,500,550,S8CV.tsv
4,120,163,402,0.18404907975460122,2,35,39,44,550,600,S8CV.tsv
4,143,177,414,0.2019774011299435,8,45,45,45,600,650,S8CV.tsv
4,119,146,303,0.20376712328767124,4,32,45,38,650,700,S8CV.tsv
4,111,124,313,0.22379032258064516,12,29,42,28,700,750,S8CV.tsv
4,82,109,212,0.18807339449541285,20,20,22,20,750,784,S8CV.tsv
