speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,file
S0653,639,426,349,0.6666666666666666,S0655,391,53,44,0.13554987212276215,S0654,504,233,159,0.4623015873015873,S0652,309,163,118,0.5275080906148867,1843,875,0.4747693977211069,670,SN2C.tsv
S0554,1337,872,653,0.6522064323111444,S0405,1608,937,717,0.5827114427860697,S0555,876,487,349,0.5559360730593608,S0402,32,24,13,0.75,3853,2320,0.6021282117830262,1732,S29Q.tsv
S0330,1471,987,750,0.6709721278042148,S0331,1442,916,680,0.6352288488210819,S0328,2835,1704,1286,0.6010582010582011,S0326,1370,818,591,0.5970802919708029,7118,4425,0.6216633885923012,3307,SNPA.tsv
S0689,2310,1546,1133,0.6692640692640692,S0687,3376,2098,1567,0.6214454976303317,S0690,751,397,290,0.5286284953395473,S0688,2005,1216,899,0.6064837905236907,8442,5257,0.6227197346600332,3889,SAVN.tsv
S0588,1567,975,744,0.6222080408423739,S0590,6387,4305,3260,0.6740253640206669,S0589,3371,2240,1657,0.6644912488875705,S0591,1849,1217,902,0.6581936181719849,13174,8737,0.6632002429026871,6563,SCXG.tsv
S0144,524,311,232,0.5935114503816794,S0012,1735,1022,764,0.5890489913544669,S0013,940,564,425,0.6,S0024,1626,1132,823,0.6961869618696187,4825,3029,0.6277720207253886,2244,SQD6.tsv
S0661,2274,1389,982,0.6108179419525066,S0663,6963,5072,3362,0.7284216573316099,S0660,4504,2947,2067,0.6543072824156305,S0662,4196,2744,1873,0.6539561487130601,17937,12152,0.6774822991581647,8284,SXLC.tsv
S0350,3821,2489,1640,0.6514001570269563,S0363,3467,2337,1614,0.6740698009806749,S0336,6313,4401,2976,0.6971329003643276,S0349,3057,2051,1359,0.6709192018318613,16658,11278,0.6770320566694681,7589,SMZV.tsv
S0309,3419,1241,1053,0.36297162913132497,S0268,583,441,323,0.7564322469982847,S0308,780,554,402,0.7102564102564103,S0266,255,207,153,0.8117647058823529,5037,2443,0.48501091919793526,1931,S9RV.tsv
S0199,4929,3664,2435,0.7433556502333131,S0192,13112,8931,6426,0.6811317876754118,S0193,4440,2480,1831,0.5585585585585585,S0191,131,100,66,0.7633587786259542,22612,15175,0.6711038386697329,10758,S7JH.tsv
S0003,1704,1060,784,0.6220657276995305,S0130,1769,1127,812,0.6370830977953647,S0113,678,448,323,0.6607669616519174,S0159,449,282,198,0.6280623608017817,4600,2917,0.6341304347826087,2117,S7DT.tsv
S0391,1440,961,700,0.6673611111111111,S0393,1126,647,457,0.5746003552397868,S0392,1819,1029,774,0.565695437053326,S0397,1701,1044,770,0.6137566137566137,6086,3681,0.6048307591192902,2701,SNE5.tsv
S0571,7892,5253,3619,0.6656107450582869,S0517,8882,6090,4312,0.6856563836973655,S0572,910,630,419,0.6923076923076923,S0570,1194,1008,649,0.8442211055276382,18878,12981,0.6876258078186248,8999,SN3D.tsv
S0080,876,547,416,0.6244292237442922,S0072,759,440,350,0.5797101449275363,S0134,973,637,490,0.6546762589928058,S0128,806,474,374,0.5880893300248139,3414,2098,0.6145284124194493,1630,S5SJ.tsv
S0188,880,574,419,0.6522727272727272,S0187,1582,905,678,0.5720606826801518,S0387,1267,678,525,0.5351223362273086,S0200,690,469,342,0.6797101449275362,4419,2626,0.5942520932337633,1964,SLPW.tsv
S0688,1669,1017,754,0.609346914319952,S0687,2515,1513,1139,0.6015904572564612,S0689,1509,958,692,0.634857521537442,S0690,338,219,167,0.6479289940828402,6031,3707,0.6146576023876638,2752,SWSL.tsv
S0506,738,402,315,0.5447154471544715,S0428,1031,565,432,0.5480116391852571,S0478,1377,825,611,0.599128540305011,S0505,1203,888,679,0.7381546134663342,4349,2680,0.6162336169234307,2037,SM6J.tsv
S0391,1865,1191,978,0.6386058981233244,S0390,1650,1115,895,0.6757575757575758,S0392,868,479,384,0.5518433179723502,S0393,15,5,4,0.3333333333333333,4398,2790,0.6343792633015006,2261,SAZY.tsv
S0456,2259,1304,1021,0.5772465692784418,S0457,2224,1600,1193,0.7194244604316546,S0458,1815,1155,864,0.6363636363636364,S0459,129,64,49,0.49612403100775193,6427,4123,0.6415123696903687,3127,S68E.tsv
S0405,3017,2032,1485,0.6735167384819357,S0402,2026,1324,950,0.6535044422507403,S0555,1506,874,612,0.5803452855245684,S0556,2719,1673,1208,0.6152997425524089,9268,5903,0.6369227449287872,4255,S3QD.tsv
S0144,576,330,261,0.5729166666666666,S0024,1404,788,619,0.5612535612535613,S0012,1430,920,699,0.6433566433566433,S0013,389,223,171,0.5732647814910026,3799,2261,0.5951566201632008,1750,SQ2D.tsv
