speaker1,speaker1_token_number,speaker1_expression_token_number,speaker1_expression_number,speaker1_er_ratio,speaker2,speaker2_token_number,speaker2_expression_token_number,speaker2_expression_number,speaker2_er_ratio,speaker3,speaker3_token_number,speaker3_expression_token_number,speaker3_expression_number,speaker3_er_ratio,speaker4,speaker4_token_number,speaker4_expression_token_number,speaker4_expression_number,speaker4_er_ratio,total_token_number,total_er_token_number,av_er_ratio,total_er_number,begin,end,file
S0588,58,17,15,0.29310344827586204,S0590,83,31,27,0.37349397590361444,S0616,130,58,49,0.4461538461538462,S0589,0,0,0,0.0,271,106,0.39114391143911437,91,1500,1550,S263.tsv
S0588,118,53,49,0.4491525423728814,S0590,6,3,3,0.5,S0616,122,16,16,0.13114754098360656,S0589,59,36,28,0.6101694915254238,305,108,0.3540983606557377,96,1550,1600,S263.tsv
S0588,110,34,27,0.3090909090909091,S0590,97,39,34,0.4020618556701031,S0616,34,16,11,0.47058823529411764,S0589,17,2,2,0.11764705882352941,258,91,0.35271317829457366,74,1600,1650,S263.tsv
S0588,113,36,33,0.3185840707964602,S0590,107,47,44,0.4392523364485981,S0616,13,11,10,0.8461538461538461,S0589,34,16,16,0.47058823529411764,267,110,0.41198501872659177,103,1650,1700,S263.tsv
S0588,18,9,7,0.5,S0590,57,15,11,0.2631578947368421,S0616,213,80,75,0.3755868544600939,S0589,88,53,39,0.6022727272727273,376,157,0.4175531914893617,132,1700,1750,S263.tsv
S0588,58,23,23,0.39655172413793105,S0590,77,29,27,0.37662337662337664,S0616,95,23,21,0.24210526315789474,S0589,5,1,1,0.2,235,76,0.32340425531914896,72,1750,1800,S263.tsv
S0588,23,17,11,0.7391304347826086,S0590,85,33,31,0.38823529411764707,S0616,204,63,54,0.3088235294117647,S0589,5,1,1,0.2,317,114,0.35962145110410093,97,1800,1850,S263.tsv
S0588,26,11,11,0.4230769230769231,S0590,127,38,34,0.2992125984251969,S0616,19,9,7,0.47368421052631576,S0589,101,27,21,0.26732673267326734,273,85,0.31135531135531136,73,1850,1900,S263.tsv
S0588,36,15,13,0.4166666666666667,S0590,126,12,6,0.09523809523809523,S0616,145,86,80,0.593103448275862,S0589,78,37,33,0.47435897435897434,385,150,0.38961038961038963,132,1900,1950,S263.tsv
S0588,5,3,2,0.6,S0590,70,51,40,0.7285714285714285,S0616,202,48,46,0.2376237623762376,S0589,91,20,20,0.21978021978021978,368,122,0.33152173913043476,108,1950,2000,S263.tsv
S0588,58,38,29,0.6551724137931034,S0590,25,5,5,0.2,S0616,123,37,30,0.3008130081300813,S0589,42,10,8,0.23809523809523808,248,90,0.3629032258064516,72,2000,2050,S263.tsv
S0588,58,24,22,0.41379310344827586,S0590,42,19,19,0.4523809523809524,S0616,98,31,31,0.3163265306122449,S0589,68,27,24,0.39705882352941174,266,101,0.37969924812030076,96,2050,2100,S263.tsv
S0588,36,10,10,0.2777777777777778,S0590,19,13,13,0.6842105263157895,S0616,159,68,65,0.4276729559748428,S0589,109,40,37,0.3669724770642202,323,131,0.4055727554179567,125,2100,2150,S263.tsv
S0588,70,33,30,0.4714285714285714,S0590,15,13,13,0.8666666666666667,S0616,103,38,36,0.36893203883495146,S0589,47,2,2,0.0425531914893617,235,86,0.3659574468085106,81,2150,2200,S263.tsv
S0588,92,34,33,0.3695652173913043,S0590,47,15,14,0.3191489361702128,S0616,113,35,33,0.30973451327433627,S0589,0,0,0,0.0,252,84,0.3333333333333333,80,2200,2250,S263.tsv
S0588,113,14,11,0.12389380530973451,S0590,68,38,33,0.5588235294117647,S0616,134,68,63,0.5074626865671642,S0589,5,4,4,0.8,320,124,0.3875,111,2250,2300,S263.tsv
S0588,79,37,32,0.46835443037974683,S0590,43,16,14,0.37209302325581395,S0616,133,40,31,0.3007518796992481,S0589,0,0,0,0.0,255,93,0.36470588235294116,77,2300,2350,S263.tsv
S0588,113,25,24,0.22123893805309736,S0590,188,86,80,0.4574468085106383,S0616,64,36,28,0.5625,S0589,2,1,1,0.5,367,148,0.4032697547683924,133,2350,2400,S263.tsv
S0588,38,11,9,0.2894736842105263,S0590,274,91,90,0.33211678832116787,S0616,29,17,17,0.5862068965517241,S0589,82,35,28,0.4268292682926829,423,154,0.3640661938534279,144,2400,2450,S263.tsv
S0588,0,0,0,0.0,S0590,217,40,35,0.18433179723502305,S0616,264,159,141,0.6022727272727273,S0589,24,11,10,0.4583333333333333,505,210,0.4158415841584158,186,2450,2500,S263.tsv
S0588,0,0,0,0.0,S0590,79,48,42,0.6075949367088608,S0616,135,43,38,0.31851851851851853,S0589,108,20,19,0.18518518518518517,322,111,0.3447204968944099,99,2500,2550,S263.tsv
S0588,0,0,0,0.0,S0590,88,36,34,0.4090909090909091,S0616,115,31,26,0.26956521739130435,S0589,123,52,49,0.42276422764227645,326,119,0.36503067484662577,109,2550,2600,S263.tsv
S0588,0,0,0,0.0,S0590,66,27,22,0.4090909090909091,S0616,197,60,56,0.30456852791878175,S0589,23,7,6,0.30434782608695654,286,94,0.32867132867132864,84,2600,2650,S263.tsv
S0588,6,4,4,0.6666666666666666,S0590,82,44,33,0.5365853658536586,S0616,86,24,23,0.27906976744186046,S0589,97,25,24,0.25773195876288657,271,97,0.35793357933579334,84,2650,2700,S263.tsv
S0588,27,8,7,0.2962962962962963,S0590,110,9,9,0.08181818181818182,S0616,58,39,37,0.6724137931034483,S0589,116,50,38,0.43103448275862066,311,106,0.3408360128617363,91,2700,2750,S263.tsv
S0588,19,8,7,0.42105263157894735,S0590,87,49,42,0.5632183908045977,S0616,136,29,24,0.21323529411764705,S0589,26,8,6,0.3076923076923077,268,94,0.35074626865671643,79,2750,2800,S263.tsv
S0588,30,15,13,0.5,S0590,50,29,28,0.58,S0616,136,51,45,0.375,S0589,36,4,4,0.1111111111111111,252,99,0.39285714285714285,90,2800,2850,S263.tsv
S0588,89,31,30,0.34831460674157305,S0590,45,14,12,0.3111111111111111,S0616,21,12,11,0.5714285714285714,S0589,71,23,21,0.323943661971831,226,80,0.35398230088495575,74,2850,2900,S263.tsv
S0588,77,34,29,0.44155844155844154,S0590,24,15,14,0.625,S0616,82,22,22,0.2682926829268293,S0589,63,20,20,0.31746031746031744,246,91,0.3699186991869919,85,2900,2950,S263.tsv
S0588,50,30,28,0.6,S0590,143,40,39,0.27972027972027974,S0616,55,15,13,0.2727272727272727,S0589,48,13,13,0.2708333333333333,296,98,0.3310810810810811,93,2950,3000,S263.tsv
S0588,54,19,18,0.35185185185185186,S0590,71,36,34,0.5070422535211268,S0616,16,1,1,0.0625,S0589,95,27,24,0.28421052631578947,236,83,0.3516949152542373,77,3000,3048,S263.tsv
