Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
tomorrow,1,37,"[0, 22, 37, 657]",STA2.tsv
animals,1,45,"[0, 45]",STA2.tsv
see,1,92,"[0, 92, 123, 476, 593, 605, 662, 684]",STA2.tsv
so what,2,558,"[0, 558]",STA2.tsv
giraffes,1,2,"[1, 2]",STA2.tsv
favourite,1,665,"[2, 665, 668]",STA2.tsv
really,1,5,"[4, 5, 60, 66, 67, 82, 92, 111, 205, 211, 224, 247, 254, 281, 283, 287, 302, 307, 328, 360, 366, 378, 392, 402, 405, 415, 466, 468, 474, 481, 491, 531, 542, 547, 587, 597, 599, 607, 641, 651, 678]",STA2.tsv
oh really,2,587,"[4, 587]",STA2.tsv
bite,1,417,"[10, 316, 332, 352, 417, 437, 662]",STA2.tsv
oh my,2,559,"[10, 559]",STA2.tsv
do they,2,568,"[18, 81, 268, 340, 568]",STA2.tsv
nice,1,75,"[20, 75, 92, 185, 274, 313, 360, 369, 476, 491, 495, 651]",STA2.tsv
what's,1,424,"[22, 163, 424, 470, 648, 665]",STA2.tsv
what's your,2,665,"[22, 470, 665]",STA2.tsv
time,1,24,"[5, 24, 41, 78, 181, 253, 256, 444, 445, 446, 452, 618]",STA2.tsv
and then,2,195,"[26, 109, 195, 301, 436, 553, 558, 574]",STA2.tsv
stay at,2,35,"[28, 35]",STA2.tsv
at school,2,35,"[28, 35]",STA2.tsv
back,1,40,"[28, 40, 42]",STA2.tsv
like,1,28,"[9, 28, 56, 66, 69, 71, 87, 92, 95, 109, 161, 183, 192, 197, 209, 219, 221, 226, 252, 253, 272, 275, 278, 279, 280, 281, 284, 292, 295, 301, 303, 306, 307, 310, 312, 314, 321, 326, 333, 335, 337, 362, 363, 370, 373, 377, 412, 415, 440, 443, 458, 509, 510, 513, 525, 528, 535, 564, 569, 572, 574, 593, 633, 678, 681]",STA2.tsv
anything,1,264,"[28, 264, 306, 593, 641, 659, 661]",STA2.tsv
or anything,2,593,"[28, 306, 593, 641]",STA2.tsv
come,1,40,"[28, 40, 605, 655]",STA2.tsv
gonna,1,55,"[28, 55, 103, 287, 528, 682, 683]",STA2.tsv
right,1,272,"[32, 272, 358, 405, 481, 566, 569, 620, 621, 622]",STA2.tsv
go,1,41,"[5, 21, 29, 41, 42, 71, 78, 82, 86, 90, 99, 109, 110, 149, 157, 171, 172, 176, 178, 180, 218, 230, 232, 252, 289, 401, 412, 481, 507, 594, 596, 605, 627, 654]",STA2.tsv
we go,2,42,"[41, 42, 86, 232, 654]",STA2.tsv
time we,2,253,"[41, 253]",STA2.tsv
do you,2,44,"[37, 44, 78, 79, 131, 245, 278, 280, 284, 292, 352, 362, 374, 437, 439, 440, 464, 470, 518, 530, 558, 562, 564, 576, 604, 613, 619, 641, 674]",STA2.tsv
eat,1,56,"[44, 56, 59, 135, 139, 142, 156, 195, 197, 242, 248, 252, 266, 268, 269, 271, 272, 309, 385, 388, 479, 486, 487, 678, 681, 690]",STA2.tsv
want,1,56,"[44, 56, 131, 132, 143, 178, 328, 437, 439, 440, 464, 470, 627, 674]",STA2.tsv
make,1,264,"[44, 214, 224, 264, 275, 309, 312, 313, 319, 320, 323, 330, 375]",STA2.tsv
sure,1,440,"[44, 143, 151, 440, 452]",STA2.tsv
duck,1,51,"[45, 47, 49, 50, 51, 52, 54]",STA2.tsv
geese,1,53,"[49, 53]",STA2.tsv
quite,1,65,"[45, 65, 204, 533, 650]",STA2.tsv
raspberries,1,65,"[59, 64, 65, 66, 69, 75, 418]",STA2.tsv
expensive,1,67,"[65, 67, 68, 204, 218]",STA2.tsv
that's,1,68,"[56, 68, 116, 120, 122, 135, 160, 167, 215, 224, 226, 326, 335, 356, 357, 436, 437, 471, 472, 481, 556, 579, 635, 657, 677, 684]",STA2.tsv
to have,2,195,"[68, 195, 642]",STA2.tsv
yeah,1,72,"[3, 6, 36, 45, 72, 88, 105, 109, 155, 168, 198, 220, 224, 225, 228, 259, 264, 290, 302, 308, 311, 316, 324, 334, 343, 353, 370, 371, 394, 402, 408, 411, 430, 432, 443, 453, 459, 463, 469, 472, 475, 477, 493, 494, 498, 502, 508, 513, 514, 520, 521, 522, 526, 527, 531, 534, 539, 541, 543, 544, 549, 554, 565, 572, 602, 603, 608, 616, 618, 630, 634, 638, 639, 641, 651, 670]",STA2.tsv
pick,1,78,"[75, 78]",STA2.tsv
