Expression,Expression_length,Expression_established_position,Expression_uttered_position_speaker,file
know,1,42,"[0, 42, 94, 97, 115, 123, 125, 126, 129, 132, 142, 205, 226, 240, 306]",SBPW.tsv
much,1,129,"[0, 129]",SBPW.tsv
it be,2,6,"[0, 6, 126, 132, 140, 142, 204, 260, 283]",SBPW.tsv
what it be,3,260,"[0, 260]",SBPW.tsv
go,1,5,"[4, 5, 16, 21, 69, 73, 88, 90, 93, 132, 165, 166, 215, 216, 221, 226, 252, 292, 295, 317, 319, 324, 326, 330, 334, 349, 352]",SBPW.tsv
yeah,1,20,"[4, 7, 9, 20, 28, 39, 40, 54, 64, 75, 82, 84, 94, 99, 103, 124, 137, 139, 147, 159, 161, 164, 174, 180, 184, 202, 208, 221, 223, 229, 230, 234, 235, 236, 244, 262, 268, 280, 303, 309, 319, 330, 338, 342, 344]",SBPW.tsv
well,1,4,"[2, 4, 38, 39, 61, 62, 65, 89, 92, 94, 95, 127, 132, 141, 142, 144, 148, 152, 153, 158, 170, 182, 199, 217, 226, 233, 238, 259, 264, 270, 318, 319, 341]",SBPW.tsv
i love,2,81,"[4, 81]",SBPW.tsv
see,1,132,"[4, 17, 82, 117, 132, 142, 177, 186, 317]",SBPW.tsv
yeah well,2,319,"[4, 319]",SBPW.tsv
you go,2,21,"[4, 21, 349, 352]",SBPW.tsv
out there,2,13,"[5, 6, 13, 233]",SBPW.tsv
work,1,13,"[12, 13, 167, 226, 233, 245]",SBPW.tsv
get the,2,42,"[13, 40, 42, 73, 86, 91, 95, 159]",SBPW.tsv
get,1,13,"[11, 13, 40, 42, 44, 57, 59, 64, 65, 73, 82, 86, 89, 91, 95, 105, 112, 116, 132, 142, 147, 149, 151, 152, 153, 159, 160, 192, 197, 203, 205, 207, 220, 224, 238, 255, 256, 257, 260, 274, 289, 300, 304, 330, 333, 345, 348, 351]",SBPW.tsv
if it,2,127,"[13, 127, 300]",SBPW.tsv
it work,2,167,"[13, 167]",SBPW.tsv
might,1,73,"[15, 73, 170, 259, 323]",SBPW.tsv
might be,2,123,"[15, 123, 170, 259]",SBPW.tsv
but it,2,149,"[15, 144, 149]",SBPW.tsv
though,1,293,"[15, 293]",SBPW.tsv
it might,2,323,"[15, 323]",SBPW.tsv
computer,1,25,"[8, 18, 20, 25, 42]",SBPW.tsv
time,1,35,"[25, 35, 95, 147, 148, 149, 238, 318, 325]",SBPW.tsv
use,1,28,"[27, 28, 39, 158, 159, 160, 170, 212, 224, 245, 276, 290]",SBPW.tsv
ice,1,28,"[27, 28, 30]",SBPW.tsv
use to,2,159,"[27, 158, 159, 160, 224, 245, 276, 290]",SBPW.tsv
do it,2,167,"[36, 167, 233, 240, 247, 323]",SBPW.tsv
that's,1,38,"[16, 22, 38, 46, 53, 99, 129, 189, 224, 270, 271, 275, 279, 280, 285]",SBPW.tsv
isn't it,2,96,"[38, 82, 96, 101, 103, 114, 122, 341]",SBPW.tsv
one,1,49,"[38, 47, 49, 89, 92, 93, 94, 99, 116, 120, 127, 129, 141, 175, 176, 178, 186, 205, 206, 240, 244, 245, 290]",SBPW.tsv
that one,2,127,"[38, 127, 178, 186, 205]",SBPW.tsv
get the same,3,42,"[40, 42]",SBPW.tsv
but it's,2,127,"[40, 127, 193, 271]",SBPW.tsv
yeah but,2,338,"[40, 338]",SBPW.tsv
fan,1,44,"[23, 24, 42, 44, 48, 49, 55]",SBPW.tsv
they're,1,156,"[52, 155, 156, 206, 212, 350]",SBPW.tsv
yeah yeah,2,54,"[28, 54, 202, 234]",SBPW.tsv
i've,1,57,"[28, 57, 59, 94, 154, 248, 249, 251, 345]",SBPW.tsv
sledgehammer,1,62,"[57, 59, 62]",SBPW.tsv
get a,2,132,"[57, 59, 132, 256, 257]",SBPW.tsv
want,1,61,"[5, 61, 226, 252, 299]",SBPW.tsv
cut down,2,61,"[60, 61]",SBPW.tsv
tree,1,61,"[60, 61]",SBPW.tsv
cut,1,61,"[60, 61, 142]",SBPW.tsv
to have a,3,65,"[23, 24, 65, 158, 216]",SBPW.tsv
we're just,2,65,"[42, 65]",SBPW.tsv
get to,2,65,"[64, 65, 151, 153]",SBPW.tsv
really,1,65,"[6, 21, 65, 102, 142, 147, 197, 213, 218]",SBPW.tsv
have a,2,142,"[23, 24, 65, 142, 144, 158, 163, 194, 195, 216, 289, 301, 335]",SBPW.tsv
we're,1,142,"[65, 142, 149, 216]",SBPW.tsv
fire,1,331,"[65, 331, 338]",SBPW.tsv
to go,2,69,"[5, 16, 69, 226, 252]",SBPW.tsv
have to,2,68,"[23, 24, 51, 68, 69, 317, 318, 350]",SBPW.tsv
the fire,2,331,"[69, 331, 338]",SBPW.tsv
the pub,2,273,"[74, 242, 251, 273]",SBPW.tsv
pub,1,275,"[74, 242, 251, 275]",SBPW.tsv
nice garden,2,256,"[82, 256, 260]",SBPW.tsv
they've get,2,260,"[82, 257, 260]",SBPW.tsv
get some,2,82,"[11, 82, 289]",SBPW.tsv
to buy,2,88,"[35, 88]",SBPW.tsv
be you,2,88,"[48, 88, 220, 338, 349]",SBPW.tsv
paper,1,88,"[73, 86, 88, 91, 92, 93]",SBPW.tsv
buy,1,94,"[35, 88, 93, 94, 115, 119, 127, 129, 206]",SBPW.tsv
go to,2,93,"[21, 88, 93, 132, 216, 221, 252, 292, 295, 330, 349]",SBPW.tsv
be you go to,4,349,"[88, 349]",SBPW.tsv
if you,2,93,"[58, 60, 62, 93]",SBPW.tsv
sunday,1,97,"[73, 97, 99, 248, 249, 251, 311]",SBPW.tsv
the guardian,2,97,"[95, 97]",SBPW.tsv
i don't know,3,97,"[94, 97, 115, 123, 132, 142, 226, 240, 306]",SBPW.tsv
come,1,169,"[97, 169, 197, 323]",SBPW.tsv
i don't,2,97,"[94, 97, 115, 123, 132, 135, 142, 226, 240, 248, 263, 293, 306, 333, 343]",SBPW.tsv
do the,2,338,"[97, 338]",SBPW.tsv
do you,2,107,"[106, 107, 119, 156, 299, 351]",SBPW.tsv
lottery,1,109,"[105, 109, 110, 115, 127]",SBPW.tsv
pound,1,112,"[96, 100, 102, 104, 105, 108, 112, 116, 120, 122, 123, 124, 199, 204, 205]",SBPW.tsv
three pound sixty,3,112,"[105, 108, 112]",SBPW.tsv
get three pound sixty,4,116,"[112, 116]",SBPW.tsv
you get,2,112,"[89, 112, 351]",SBPW.tsv
euro lottery,2,115,"[110, 115]",SBPW.tsv
ticket,1,115,"[114, 115, 127]",SBPW.tsv
euro,1,116,"[115, 116]",SBPW.tsv
know how much,3,129,"[115, 126, 129]",SBPW.tsv
how much,2,129,"[119, 129]",SBPW.tsv
don't know,2,125,"[94, 97, 115, 123, 125, 126, 132, 142, 226, 240, 306]",SBPW.tsv
mum,1,130,"[127, 130]",SBPW.tsv
day,1,130,"[127, 130, 132, 141]",SBPW.tsv
day card,2,132,"[130, 132]",SBPW.tsv
send,1,147,"[130, 147]",SBPW.tsv
card,1,147,"[130, 147]",SBPW.tsv
next,1,139,"[51, 134, 135, 137, 139, 149, 212]",SBPW.tsv
next weekend,2,139,"[134, 135, 137, 139]",SBPW.tsv
one be,2,141,"[129, 141, 175, 176, 205]",SBPW.tsv
have a clue,3,144,"[142, 144]",SBPW.tsv
clue,1,144,"[142, 144]",SBPW.tsv
anyway,1,149,"[144, 149, 182]",SBPW.tsv
you didn't have a,4,194,"[144, 194]",SBPW.tsv
all the,2,146,"[35, 146, 154, 163, 179, 205]",SBPW.tsv
and everything,2,146,"[132, 146]",SBPW.tsv
today,1,151,"[2, 6, 127, 132, 151, 152, 153, 318, 321]",SBPW.tsv
like,1,153,"[18, 86, 91, 95, 142, 153, 260, 273, 287, 298, 343]",SBPW.tsv
lot,1,153,"[42, 116, 152, 153, 217]",SBPW.tsv
everything,1,153,"[132, 153, 197]",SBPW.tsv
days,1,153,"[142, 153]",SBPW.tsv
be like,2,260,"[153, 260]",SBPW.tsv
good,1,155,"[11, 105, 155, 222, 318]",SBPW.tsv
they're die,2,156,"[155, 156]",SBPW.tsv
say the,2,158,"[18, 158]",SBPW.tsv
say,1,53,"[18, 51, 53, 91, 132, 149, 158, 203, 205, 212, 318]",SBPW.tsv
take the,2,160,"[8, 160]",SBPW.tsv
year,1,160,"[39, 160, 168, 170, 184, 192]",SBPW.tsv
every,1,160,"[91, 160, 168]",SBPW.tsv
to get,2,95,"[11, 95, 159, 160, 220, 224, 238, 330, 333]",SBPW.tsv
and i,2,160,"[116, 160]",SBPW.tsv
do yeah,2,338,"[164, 338]",SBPW.tsv
come up,2,169,"[168, 169, 323]",SBPW.tsv
last,1,170,"[35, 105, 170]",SBPW.tsv
i think,2,170,"[37, 91, 101, 120, 127, 133, 154, 170, 173, 177, 183, 241, 244, 332]",SBPW.tsv
nearly,1,170,"[39, 170]",SBPW.tsv
think,1,94,"[37, 73, 91, 94, 101, 120, 127, 133, 135, 154, 170, 173, 177, 183, 221, 241, 244, 248, 263, 332, 343]",SBPW.tsv
die,1,170,"[156, 170, 178, 184]",SBPW.tsv
ones,1,349,"[172, 349]",SBPW.tsv
but that,2,178,"[127, 178]",SBPW.tsv
what be,2,209,"[182, 209, 295]",SBPW.tsv
be that,2,284,"[182, 284, 319, 331]",SBPW.tsv
be a what,3,328,"[182, 328]",SBPW.tsv
hebe,1,184,"[183, 184, 185]",SBPW.tsv
frost,1,194,"[184, 192, 194, 196, 197]",SBPW.tsv
be it,2,184,"[138, 184, 209, 264]",SBPW.tsv
a hebe,2,189,"[183, 185, 189]",SBPW.tsv
we have,2,192,"[23, 24, 67, 192, 195, 289]",SBPW.tsv
have we,2,195,"[64, 195]",SBPW.tsv
have a long,3,195,"[194, 195]",SBPW.tsv
