Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
be,1,1,"[0, 1, 7, 8, 9, 15, 20, 34, 35, 38, 39, 41, 43, 45, 48, 50, 53, 54, 55, 56, 57, 58, 59, 60, 62, 69, 72, 77, 80, 83, 86, 89, 93, 96, 116, 117, 121, 123, 127, 129, 134, 135, 152, 159, 165, 169, 174, 191, 210, 215, 216, 220, 223, 228, 238, 241, 243, 245, 246, 253, 259, 269, 280, 288, 289, 291, 292, 297, 301, 305, 313, 318, 319, 322, 324, 326, 328, 334, 338, 355, 356, 370, 374, 382, 384, 385, 398, 399, 402, 409, 410, 416, 423, 429, 435, 437, 441, 447, 450, 460, 470, 471]",S7PU.tsv
that,1,13,"[0, 13, 14, 15, 16, 23, 31, 37, 39, 53, 54, 56, 58, 69, 76, 81, 83, 96, 144, 159, 179, 181, 185, 187, 195, 207, 245, 248, 250, 261, 269, 277, 291, 313, 318, 331, 350, 352, 365, 392, 416, 429, 435, 451, 460]",S7PU.tsv
have,1,13,"[0, 13, 25, 28, 29, 31, 33, 37, 62, 69, 108, 109, 127, 131, 140, 148, 166, 169, 176, 196, 199, 207, 234, 243, 261, 277, 280, 281, 288, 293, 294, 311, 313, 322, 330, 333, 335, 451, 452, 460]",S7PU.tsv
all,1,25,"[0, 25, 26, 64, 77, 81, 89, 96, 196, 311, 460, 468, 470]",S7PU.tsv
but,1,37,"[0, 34, 37, 47, 64, 69, 82, 86, 102, 108, 124, 126, 144, 146, 158, 163, 184, 243, 244, 251, 257, 272, 281, 282, 293, 294, 300, 310, 311, 313, 319, 328, 338, 396, 401, 426, 437, 444, 450, 454, 460]",S7PU.tsv
one,1,37,"[0, 37, 39, 41, 58, 116, 187, 189, 211, 261, 348]",S7PU.tsv
or,1,25,"[0, 15, 25, 39, 116, 243, 335, 355, 462]",S7PU.tsv
be that,2,54,"[0, 15, 53, 54, 291, 435]",S7PU.tsv
africa,1,69,"[0, 69, 72, 77, 93, 127]",S7PU.tsv
africa be,2,77,"[0, 77]",S7PU.tsv
east africa be,3,93,"[0, 93]",S7PU.tsv
kenya,1,43,"[2, 43]",S7PU.tsv
so,1,27,"[2, 27, 38, 48, 50, 62, 76, 99, 163, 222, 223, 285, 288, 301, 302, 307, 348, 356, 361, 363, 435, 440, 441, 444]",S7PU.tsv
uganda,1,4,"[3, 4]",S7PU.tsv
and,1,5,"[4, 5, 7, 8, 9, 10, 18, 24, 28, 29, 37, 39, 41, 43, 45, 48, 50, 52, 54, 55, 57, 58, 60, 62, 64, 67, 69, 77, 83, 86, 89, 91, 96, 98, 101, 103, 106, 109, 111, 114, 116, 119, 124, 126, 152, 176, 179, 181, 187, 201, 211, 254, 272, 274, 277, 280, 292, 305, 313, 320, 330, 335, 353, 355, 365, 375, 378, 384, 394, 396, 398, 406, 409, 416, 426, 454, 462, 467, 468, 470]",S7PU.tsv
tanzania,1,9,"[6, 9]",S7PU.tsv
now,1,37,"[6, 34, 37, 57, 129, 165]",S7PU.tsv
that's,1,100,"[6, 57, 59, 100, 112, 122, 140, 190, 244, 248, 271, 280, 392, 398, 435, 460]",S7PU.tsv
and zanzibar,2,8,"[7, 8]",S7PU.tsv
zanzibar,1,8,"[7, 8, 10]",S7PU.tsv
a,1,13,"[8, 13, 16, 20, 30, 31, 37, 39, 50, 52, 62, 64, 67, 69, 76, 114, 116, 117, 122, 124, 126, 129, 135, 140, 148, 159, 166, 196, 201, 211, 233, 250, 251, 261, 264, 272, 274, 280, 288, 295, 301, 305, 311, 313, 320, 322, 326, 342, 345, 353, 355, 363, 393, 401, 404, 407, 433, 456, 464, 467, 468]",S7PU.tsv
still,1,39,"[8, 39, 126]",S7PU.tsv
