Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
well,1,1,"[0, 1, 2, 31, 35, 39, 51, 59, 68, 86, 98, 114, 127, 153, 201, 238, 256, 257, 272, 279, 306, 332]",S67P.tsv
it's,1,3,"[0, 3, 5, 6, 58, 93, 94, 104, 129, 135, 139, 141, 161, 178, 194, 205, 207, 252, 257, 260, 300, 346, 350, 380]",S67P.tsv
me,1,196,"[0, 82, 164, 188, 196]",S67P.tsv
not,1,178,"[0, 178, 237, 260, 265, 276, 280, 312, 321]",S67P.tsv
be get,2,2,"[1, 2]",S67P.tsv
it,1,2,"[1, 2, 5, 6, 7, 8, 17, 21, 31, 71, 72, 77, 83, 85, 86, 90, 91, 103, 104, 109, 122, 125, 126, 129, 133, 134, 135, 140, 143, 145, 149, 156, 159, 164, 166, 171, 192, 195, 196, 197, 198, 204, 206, 207, 211, 215, 231, 232, 233, 236, 238, 259, 260, 279, 298, 327, 332, 340, 342, 344, 349, 350, 362, 379]",S67P.tsv
be,1,2,"[1, 2, 4, 23, 31, 53, 58, 62, 69, 87, 90, 91, 101, 104, 109, 129, 133, 134, 140, 143, 148, 149, 154, 156, 171, 175, 176, 177, 188, 201, 217, 220, 227, 231, 232, 233, 236, 237, 238, 239, 244, 245, 246, 259, 260, 269, 272, 273, 279, 286, 300, 305, 306, 307, 308, 310, 311, 314, 322, 327, 332, 352, 363, 374, 389]",S67P.tsv
i do,2,5,"[2, 5, 6, 101, 103]",S67P.tsv
i,1,5,"[2, 5, 6, 13, 31, 35, 52, 59, 66, 67, 83, 95, 96, 99, 101, 103, 104, 126, 135, 166, 190, 193, 200, 204, 205, 209, 224, 238, 244, 252, 260, 265, 266, 268, 269, 274, 286, 310, 318, 320, 322, 332, 339, 345, 346, 348, 353, 354, 358, 360, 372, 374, 375, 377, 386, 389, 391, 392]",S67P.tsv
do,1,5,"[2, 5, 6, 9, 10, 13, 18, 24, 42, 62, 66, 81, 83, 85, 86, 101, 103, 104, 114, 115, 122, 147, 167, 171, 177, 196, 213, 219, 220, 225, 256, 257, 285, 332, 355, 357]",S67P.tsv
get,1,13,"[1, 2, 6, 13, 23, 29, 34, 97, 101, 107, 117, 125, 126, 127, 135, 145, 150, 151, 154, 158, 162, 166, 171, 178, 187, 209, 223, 251, 254, 267, 274, 289, 290, 291, 294, 332, 349, 385, 392]",S67P.tsv
on,1,58,"[2, 58, 101, 103, 104, 129, 164, 178, 186, 201, 237, 238, 248, 251, 289, 290, 306, 311, 327, 330, 375]",S67P.tsv
i be,2,101,"[2, 101, 286]",S67P.tsv
get it,2,125,"[2, 6, 125, 126, 135]",S67P.tsv
out,1,6,"[1, 6, 26, 158, 159, 190]",S67P.tsv
can't find it,3,7,"[6, 7]",S67P.tsv
and,1,7,"[6, 7, 18, 29, 66, 67, 101, 103, 143, 147, 149, 150, 155, 158, 184, 200, 204, 209, 215, 246, 248, 250, 251, 252, 254, 262, 269, 278, 287, 289, 290, 291, 302, 304, 306, 324, 326, 327, 330, 332, 346, 348, 350, 363, 375, 389]",S67P.tsv
love,1,99,"[6, 96, 99, 103, 186]",S67P.tsv
and i,2,101,"[6, 101, 103, 332, 346, 348, 375]",S67P.tsv
i can't,2,66,"[6, 66, 205, 320]",S67P.tsv
go,1,147,"[6, 147, 164, 209, 211, 287, 289, 290, 340, 342, 371, 391]",S67P.tsv
