Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
i don't,2,1,"[0, 1, 8, 9, 18, 69, 132, 134, 136, 145, 148, 152, 158, 163, 164, 165, 166, 169, 172, 173, 218, 221, 223, 225, 237, 239, 243, 246, 248]",S9WB.tsv
like,1,1,"[0, 1, 11, 43, 53, 78, 91, 136, 150, 153, 158, 159, 166, 169, 173, 198, 200, 206, 211, 221, 224, 225, 239, 243, 247, 248]",S9WB.tsv
soft,1,1,"[0, 1]",S9WB.tsv
i,1,1,"[0, 1, 4, 8, 9, 12, 13, 15, 18, 21, 22, 30, 31, 46, 50, 53, 56, 58, 61, 69, 70, 86, 88, 91, 92, 97, 98, 99, 119, 120, 124, 125, 132, 134, 136, 145, 148, 152, 157, 158, 159, 163, 164, 165, 166, 169, 171, 172, 173, 181, 183, 187, 188, 189, 195, 196, 198, 200, 206, 211, 217, 218, 221, 223, 225, 236, 237, 238, 239, 243, 244, 246, 248]",S9WB.tsv
that,1,3,"[0, 3, 9, 13, 26, 30, 44, 46, 53, 70, 77, 88, 89, 90, 91, 92, 98, 100, 108, 120, 136, 157, 159, 166, 172, 173, 181, 187, 196, 198, 200, 206, 211, 221, 232, 239, 244, 246, 248]",S9WB.tsv
cos,1,19,"[0, 19, 115, 158, 187, 206, 221]",S9WB.tsv
it's,1,13,"[0, 13, 14, 16, 26, 30, 31, 34, 35, 49, 50, 56, 59, 69, 91, 95, 98, 126, 128, 169, 173, 176, 200, 221, 232, 239, 248]",S9WB.tsv
not,1,14,"[0, 14, 30, 31, 35, 43, 59, 82, 134, 159, 173, 175, 181, 187, 206, 221, 225, 232, 236, 239, 246]",S9WB.tsv
quite,1,41,"[0, 41, 49, 95, 169, 173, 181]",S9WB.tsv
it's quite,2,49,"[0, 49, 95]",S9WB.tsv
know,1,49,"[0, 8, 15, 18, 36, 49, 97, 119, 132, 134, 136, 145, 148, 149, 152, 158, 163, 164, 165, 166, 172, 173, 218, 221, 223, 237, 239, 248]",S9WB.tsv
i don't know,3,18,"[0, 8, 18, 132, 134, 136, 145, 148, 152, 158, 163, 164, 165, 166, 172, 173, 218, 223, 237, 239, 248]",S9WB.tsv
or,1,81,"[0, 31, 59, 81, 82, 91, 127, 134, 160, 165, 170, 172, 173, 198, 221]",S9WB.tsv
don't,1,134,"[0, 1, 8, 9, 69, 132, 134, 135, 136, 145, 148, 149, 152, 158, 163, 164, 165, 166, 169, 172, 173, 199, 218, 221, 223, 225, 237, 239, 243, 244, 246, 248]",S9WB.tsv
whether,1,82,"[0, 82, 172, 206, 246]",S9WB.tsv
uh,1,2,"[1, 2, 28, 30, 45, 69, 110, 129, 136, 148, 166, 184, 187, 196, 216, 239, 246]",S9WB.tsv
hmm,1,10,"[2, 10, 50, 90, 101, 111, 138, 143, 147, 202]",S9WB.tsv
have,1,26,"[4, 9, 26, 53, 62, 101, 103, 105, 110, 112, 116, 119, 127, 151, 158, 159, 160, 170, 181, 199, 200, 206, 215, 221, 238, 245, 246]",S9WB.tsv
no,1,16,"[4, 16, 28, 45, 48, 53, 63, 83, 92, 102, 107, 114, 116, 124, 167, 169, 181, 196, 209, 227, 228, 233, 234, 236, 238, 239]",S9WB.tsv
i have,2,246,"[4, 53, 181, 238, 246]",S9WB.tsv
lanos,1,7,"[6, 7]",S9WB.tsv
of,1,9,"[1, 9, 16, 26, 31, 43, 78, 81, 83, 91, 92, 95, 107, 110, 112, 113, 119, 134, 155, 158, 159, 160, 166, 173, 181, 187, 188, 189, 217, 221, 225, 230, 246]",S9WB.tsv
the,1,9,"[3, 9, 13, 14, 16, 18, 25, 26, 27, 28, 30, 31, 44, 50, 53, 58, 70, 72, 77, 82, 84, 85, 86, 87, 91, 92, 93, 95, 98, 100, 104, 108, 119, 122, 127, 134, 136, 137, 141, 158, 166, 169, 172, 176, 178, 179, 187, 198, 200, 201, 203, 206, 221, 225, 230, 232, 236, 241, 244, 246, 248]",S9WB.tsv
em,1,28,"[9, 28, 31, 169]",S9WB.tsv
already,1,30,"[9, 30]",S9WB.tsv
of the,2,91,"[9, 91, 92, 119, 246]",S9WB.tsv
with,1,12,"[3, 12, 57, 103, 112, 134, 135, 166, 169, 181, 200, 225, 232]",S9WB.tsv
a,1,18,"[12, 17, 18, 19, 30, 34, 36, 43, 49, 50, 51, 58, 59, 69, 83, 91, 99, 106, 112, 119, 123, 126, 127, 128, 141, 153, 158, 160, 166, 169, 173, 181, 187, 188, 195, 200, 221, 225, 228, 230, 239, 243, 245, 246, 248]",S9WB.tsv
on,1,58,"[12, 58, 70, 86, 112, 119, 122, 155, 157, 166, 169, 187, 200, 219, 230, 232, 244]",S9WB.tsv
saw,1,86,"[12, 86, 169]",S9WB.tsv
yesterday,1,206,"[12, 206]",S9WB.tsv
