Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
go,1,1,"[0, 1, 17, 18, 21, 32, 33, 34, 35, 37, 39, 40, 44, 51, 56, 58, 61, 64, 68, 71, 73, 84, 161, 165, 170, 172, 176, 198, 204, 274, 295, 318, 319, 338, 357, 364, 368, 375, 408, 414, 415, 431, 467, 490, 496, 508, 513, 544, 597, 606, 637, 643, 718, 719, 736, 751, 772, 781]",SQD6.tsv
i,1,5,"[0, 2, 5, 6, 13, 29, 62, 80, 81, 84, 89, 107, 117, 119, 125, 126, 130, 141, 144, 148, 152, 154, 158, 166, 172, 179, 182, 184, 193, 217, 219, 225, 242, 244, 253, 260, 268, 271, 272, 275, 291, 294, 303, 312, 349, 365, 380, 388, 391, 436, 441, 450, 467, 468, 470, 504, 513, 528, 541, 550, 588, 595, 613, 615, 623, 624, 626, 634, 639, 640, 646, 659, 671, 672, 677, 688, 703, 707, 709, 711, 713, 716, 717, 718, 721, 728, 732, 734, 736, 740, 748, 751, 753, 756, 757, 758, 761, 774, 785]",SQD6.tsv
to,1,29,"[0, 29, 32, 44, 56, 58, 61, 64, 68, 71, 73, 78, 84, 95, 119, 131, 133, 134, 167, 168, 180, 198, 199, 212, 227, 235, 248, 251, 275, 278, 307, 309, 315, 316, 318, 319, 327, 328, 331, 334, 335, 338, 345, 356, 357, 360, 364, 367, 368, 369, 370, 372, 373, 375, 376, 410, 415, 417, 428, 429, 431, 434, 436, 451, 452, 463, 472, 479, 493, 496, 559, 579, 583, 596, 597, 605, 606, 610, 623, 624, 626, 628, 636, 645, 647, 660, 666, 671, 682, 707, 728, 734, 736, 740, 771, 772]",SQD6.tsv
go to,2,56,"[0, 56, 58, 61, 64, 68, 71, 338, 375, 496, 736, 772]",SQD6.tsv
tell,1,221,"[0, 221, 275, 282, 623, 628, 719]",SQD6.tsv
don't,1,34,"[2, 34, 107, 125, 130, 141, 158, 172, 193, 216, 219, 242, 243, 244, 253, 271, 305, 307, 315, 332, 357, 388, 486, 504, 541, 553, 588, 615, 645, 671, 688, 699, 703, 717, 719, 731, 748, 757]",SQD6.tsv
know,1,62,"[2, 62, 126, 130, 132, 141, 158, 167, 179, 191, 212, 217, 235, 240, 242, 271, 274, 334, 336, 347, 437, 451, 469, 541, 659, 688, 699, 707, 709, 711, 713, 717, 721, 722, 734, 736, 748, 749, 757, 760]",SQD6.tsv
i don't,2,125,"[2, 107, 125, 130, 141, 158, 193, 219, 242, 244, 253, 271, 388, 541, 588, 615, 671, 688, 717, 748, 757]",SQD6.tsv
i make it,3,6,"[5, 6]",SQD6.tsv
it,1,17,"[5, 6, 17, 32, 41, 61, 62, 80, 94, 95, 96, 103, 105, 120, 147, 150, 161, 198, 223, 238, 242, 251, 252, 261, 268, 272, 273, 280, 281, 297, 303, 310, 311, 317, 330, 352, 366, 380, 406, 409, 437, 443, 445, 451, 452, 453, 454, 455, 458, 460, 461, 468, 472, 477, 479, 481, 485, 493, 494, 537, 538, 541, 590, 597, 599, 601, 605, 608, 610, 611, 613, 621, 623, 636, 638, 651, 653, 661, 670, 676, 677, 681, 707, 719, 737, 742, 747, 748, 771, 772, 775, 779]",SQD6.tsv
make,1,113,"[5, 6, 113, 305, 366, 450]",SQD6.tsv
mm,1,9,"[7, 9, 15, 22, 23, 25, 27, 28, 31, 43, 49, 59, 63, 65, 67, 79, 81, 101, 111, 127, 151, 153, 162, 174, 181, 183, 185, 193, 200, 203, 207, 213, 218, 228, 233, 237, 241, 246, 249, 254, 257, 262, 264, 270, 276, 283, 290, 313, 314, 333, 337, 340, 355, 401, 404, 408, 439, 479, 502, 506, 525, 530, 532, 539, 543, 551, 569, 580, 619, 620, 643, 654, 664, 706, 720, 727, 739, 768, 770, 783]",SQD6.tsv
