Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
that,1,1,"[0, 1, 4, 7, 18, 23, 32, 53, 92, 96, 119, 134, 135, 139, 164, 171, 209, 220, 236, 244, 269, 287, 292, 306, 307, 323, 324, 325, 393, 405, 407, 423, 425, 426, 430, 458, 473, 486, 488, 563, 608, 626, 662, 665, 682, 695, 732, 747, 770, 793, 820, 822, 859, 860, 872, 873, 876, 908, 910, 930, 932, 939, 940, 943, 947, 948, 949, 953, 955]",SCP7.tsv
say,1,48,"[0, 48, 50, 56, 57, 59, 60, 67, 72, 73, 74, 75, 77, 78, 79, 81, 97, 99, 100, 157, 160, 164, 171, 174, 205, 207, 214, 230, 237, 239, 240, 242, 300, 361, 385, 405, 406, 407, 468, 515, 561, 563, 564, 658, 682, 691, 724, 747, 799, 858, 859, 876, 922, 928, 929, 930, 932, 939, 943]",SCP7.tsv
say that,2,405,"[0, 171, 405, 407, 682, 747, 876, 943]",SCP7.tsv
what,1,8,"[2, 4, 8, 29, 57, 60, 70, 85, 124, 139, 205, 248, 263, 280, 286, 304, 312, 313, 358, 375, 395, 436, 530, 561, 586, 614, 661, 672, 703, 705, 733, 734, 740, 751, 757, 772, 782, 793, 795, 797, 801, 833, 844, 859, 864, 871, 872, 873, 875, 882, 894, 922, 924, 928, 934]",SCP7.tsv
be,1,4,"[1, 4, 12, 18, 22, 25, 50, 92, 95, 96, 139, 147, 151, 153, 180, 183, 203, 204, 208, 209, 210, 230, 231, 234, 235, 236, 239, 248, 260, 263, 269, 274, 276, 280, 292, 299, 317, 321, 328, 329, 346, 347, 368, 379, 388, 393, 414, 427, 429, 433, 442, 457, 458, 459, 467, 470, 477, 494, 513, 525, 526, 543, 550, 563, 564, 576, 583, 606, 618, 622, 629, 652, 658, 665, 691, 695, 699, 709, 718, 720, 732, 740, 743, 747, 753, 770, 791, 793, 819, 820, 821, 822, 823, 828, 831, 844, 858, 859, 872, 873, 875, 882, 886, 901, 905, 912, 914, 915, 921, 930, 932, 935, 937, 940, 943, 945, 953, 955, 958]",SCP7.tsv
don't,1,11,"[4, 11, 24, 56, 59, 67, 94, 146, 152, 154, 202, 209, 212, 217, 220, 251, 265, 272, 287, 323, 336, 337, 338, 367, 385, 386, 432, 434, 486, 488, 491, 501, 503, 524, 529, 560, 563, 580, 581, 584, 802, 880, 886, 935]",SCP7.tsv
i,1,39,"[4, 7, 20, 39, 40, 43, 44, 50, 52, 56, 57, 59, 62, 94, 100, 102, 107, 120, 134, 148, 160, 178, 182, 202, 205, 210, 214, 217, 220, 225, 230, 233, 240, 242, 251, 256, 263, 265, 293, 299, 322, 323, 325, 327, 329, 333, 336, 338, 361, 382, 392, 404, 406, 408, 410, 423, 432, 434, 438, 445, 446, 451, 458, 468, 469, 476, 486, 488, 507, 511, 513, 524, 533, 546, 561, 563, 564, 569, 573, 578, 580, 582, 583, 584, 586, 587, 589, 596, 603, 610, 647, 688, 691, 695, 705, 749, 754, 766, 772, 786, 799, 802, 811, 839, 841, 842, 847, 858, 864, 886, 917, 925, 928, 929, 930, 935, 939, 943]",SCP7.tsv
know,1,39,"[4, 20, 39, 45, 94, 97, 139, 142, 182, 202, 217, 251, 257, 265, 293, 306, 340, 440, 441, 445, 446, 486, 498, 503, 561, 566, 584, 610, 688, 703, 705, 749, 766, 802, 839, 841, 842, 864, 886, 932, 934, 939]",SCP7.tsv
if,1,270,"[4, 31, 209, 270, 280, 306, 405, 407, 423, 455, 562, 564, 649, 724, 770, 771, 791, 810, 819, 821, 828, 912, 914, 930]",SCP7.tsv
i don't,2,220,"[4, 94, 202, 217, 220, 251, 265, 323, 336, 338, 432, 434, 486, 524, 563, 584, 802, 886, 935]",SCP7.tsv
i don't know,3,94,"[4, 94, 202, 217, 251, 265, 486, 584, 802, 886]",SCP7.tsv
there,1,728,"[4, 112, 321, 583, 618, 728, 898, 901, 948]",SCP7.tsv
it's,1,35,"[6, 7, 31, 35, 39, 40, 56, 59, 87, 88, 96, 136, 176, 188, 190, 306, 311, 327, 332, 352, 381, 383, 385, 389, 390, 396, 397, 413, 420, 432, 485, 488, 493, 562, 564, 604, 605, 679, 681, 683, 691, 695, 705, 722, 729, 732, 736, 738, 739, 742, 745, 746, 749, 776, 804, 807, 808, 809, 843, 887, 897, 906, 940, 944, 959, 960]",SCP7.tsv
but,1,72,"[6, 7, 35, 43, 72, 77, 210, 223, 232, 263, 271, 351, 353, 385, 386, 413, 458, 467, 488, 511, 514, 517, 561, 576, 659, 665, 705, 709, 718, 720, 747, 749, 776, 791, 799, 807, 818, 831, 864, 939, 943]",SCP7.tsv
like,1,7,"[5, 7, 8, 10, 12, 18, 39, 50, 56, 59, 67, 96, 119, 120, 160, 164, 245, 304, 324, 325, 334, 342, 343, 386, 416, 451, 458, 468, 470, 473, 494, 522, 662, 680, 684, 691, 711, 724, 772, 793, 808, 813, 936, 939, 946, 958, 960]",SCP7.tsv
it,1,13,"[7, 12, 13, 14, 22, 25, 31, 39, 43, 44, 54, 72, 74, 77, 78, 83, 147, 155, 176, 209, 210, 230, 239, 257, 274, 276, 277, 278, 303, 329, 345, 346, 347, 378, 379, 384, 398, 411, 428, 429, 435, 439, 454, 488, 494, 506, 516, 517, 529, 550, 606, 649, 665, 680, 684, 691, 693, 695, 699, 704, 722, 736, 740, 743, 747, 776, 791, 792, 793, 794, 799, 804, 829, 836, 839, 844, 849, 875, 879, 885, 886, 902, 911, 912, 914, 928, 929, 930, 932, 937, 943, 952, 953, 955, 958]",SCP7.tsv
