Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
time,1,39,"[0, 39, 49, 118, 692, 841, 902, 1002, 1016]",SNPA.tsv
a,1,9,"[1, 9, 23, 27, 29, 35, 47, 49, 50, 52, 55, 62, 79, 101, 102, 115, 117, 119, 130, 160, 161, 162, 163, 164, 188, 196, 200, 209, 211, 238, 245, 246, 247, 248, 250, 269, 281, 287, 288, 299, 307, 313, 315, 317, 318, 337, 339, 340, 342, 343, 347, 348, 350, 351, 360, 362, 377, 378, 379, 384, 396, 419, 439, 458, 460, 462, 463, 478, 481, 490, 494, 497, 510, 511, 513, 514, 518, 521, 531, 533, 538, 541, 547, 553, 559, 565, 567, 568, 569, 570, 572, 574, 579, 582, 589, 598, 606, 612, 623, 624, 641, 666, 669, 683, 692, 714, 717, 731, 735, 736, 737, 739, 743, 744, 759, 766, 777, 793, 796, 798, 803, 809, 843, 851, 887, 893, 896, 902, 905, 906, 921, 923, 924, 928, 930, 934, 936, 966, 967, 1027, 1031, 1032, 1040, 1045, 1046, 1050]",SNPA.tsv
we,1,10,"[1, 10, 16, 64, 91, 120, 128, 138, 145, 150, 156, 222, 246, 250, 256, 267, 270, 272, 273, 274, 276, 285, 295, 300, 306, 307, 312, 313, 314, 315, 326, 327, 337, 436, 458, 463, 464, 599, 629, 630, 642, 647, 660, 688, 700, 705, 711, 740, 755, 759, 778, 781, 783, 822, 828, 829, 841, 855, 873, 876, 885, 939, 946, 947, 948, 966, 967, 995, 998, 1040, 1041, 1042]",SNPA.tsv
to,1,3,"[1, 3, 10, 31, 49, 55, 64, 74, 78, 79, 82, 85, 98, 101, 102, 119, 124, 126, 133, 136, 145, 151, 155, 166, 168, 171, 227, 236, 237, 243, 261, 266, 268, 300, 305, 307, 313, 319, 326, 337, 358, 360, 368, 382, 384, 387, 390, 396, 398, 407, 471, 478, 481, 490, 492, 497, 499, 500, 526, 531, 539, 545, 546, 566, 570, 572, 574, 576, 579, 592, 597, 642, 646, 654, 669, 673, 678, 688, 689, 690, 702, 703, 710, 714, 731, 742, 744, 745, 766, 777, 793, 797, 823, 828, 829, 851, 852, 866, 902, 904, 908, 912, 937, 951, 964, 990, 995, 997, 1031, 1037]",SNPA.tsv
in,1,18,"[1, 18, 38, 39, 49, 76, 81, 91, 99, 116, 120, 139, 146, 150, 214, 217, 244, 314, 366, 368, 369, 378, 380, 387, 402, 407, 440, 446, 451, 455, 464, 486, 490, 492, 497, 501, 502, 503, 508, 512, 517, 518, 532, 553, 554, 560, 561, 569, 570, 623, 626, 633, 634, 636, 641, 642, 646, 657, 664, 665, 674, 683, 712, 740, 743, 805, 833, 862, 887, 891, 897, 900, 902, 944, 957, 965, 966, 967, 972, 981, 982, 1008, 1040, 1041, 1054]",SNPA.tsv
we need to,3,326,"[1, 326]",SNPA.tsv
need to,2,766,"[1, 766, 951]",SNPA.tsv
yeah,1,9,"[8, 9, 13, 15, 16, 17, 18, 19, 28, 30, 36, 40, 48, 54, 58, 59, 61, 68, 71, 75, 77, 86, 88, 104, 115, 117, 118, 120, 125, 150, 154, 156, 157, 179, 207, 219, 233, 234, 240, 243, 253, 256, 262, 263, 278, 282, 293, 294, 301, 308, 323, 326, 330, 338, 344, 349, 354, 356, 357, 364, 372, 373, 380, 383, 394, 397, 406, 415, 420, 427, 438, 440, 443, 448, 453, 454, 456, 463, 470, 477, 480, 489, 491, 505, 525, 527, 540, 543, 549, 551, 553, 559, 562, 568, 569, 578, 587, 591, 600, 610, 611, 613, 619, 621, 624, 625, 629, 631, 636, 642, 644, 659, 666, 670, 685, 690, 716, 719, 721, 726, 732, 741, 744, 751, 755, 758, 773, 775, 778, 799, 802, 804, 816, 817, 818, 820, 826, 827, 830, 833, 838, 839, 841, 846, 872, 873, 881, 883, 886, 904, 911, 917, 922, 925, 927, 929, 931, 934, 937, 938, 954, 959, 977, 978, 1010, 1020, 1024, 1033, 1039, 1042]",SNPA.tsv
it,1,12,"[10, 12, 14, 18, 21, 26, 27, 34, 38, 40, 42, 44, 45, 47, 49, 55, 62, 70, 79, 80, 81, 101, 102, 103, 105, 107, 116, 125, 128, 133, 134, 135, 136, 141, 146, 149, 153, 154, 155, 162, 168, 169, 170, 171, 190, 201, 215, 217, 250, 251, 252, 258, 261, 266, 267, 270, 272, 273, 274, 276, 282, 283, 300, 312, 313, 324, 325, 332, 358, 372, 373, 378, 384, 387, 390, 407, 422, 475, 481, 492, 493, 497, 499, 518, 521, 524, 526, 539, 542, 545, 546, 555, 556, 557, 560, 561, 564, 569, 570, 578, 579, 580, 582, 584, 586, 592, 594, 619, 620, 621, 622, 646, 658, 659, 681, 687, 696, 698, 702, 707, 714, 727, 731, 736, 765, 766, 769, 789, 793, 797, 806, 808, 822, 840, 841, 884, 887, 888, 897, 903, 910, 912, 913, 914, 917, 918, 919, 921, 923, 926, 932, 954, 955, 969, 972, 973, 974, 999, 1017, 1018, 1021, 1023, 1024, 1038, 1054]",SNPA.tsv
be,1,12,"[10, 11, 12, 18, 25, 34, 38, 53, 55, 62, 68, 70, 71, 72, 79, 83, 85, 91, 92, 102, 103, 112, 114, 115, 124, 126, 141, 146, 151, 153, 156, 158, 162, 171, 172, 176, 190, 196, 201, 206, 222, 229, 238, 243, 245, 259, 261, 266, 270, 281, 282, 284, 295, 299, 300, 312, 313, 315, 317, 318, 324, 325, 337, 340, 361, 368, 369, 387, 396, 415, 418, 421, 422, 427, 429, 432, 437, 441, 447, 449, 454, 464, 466, 468, 471, 474, 476, 481, 483, 490, 492, 493, 497, 521, 522, 523, 539, 553, 556, 568, 578, 581, 582, 589, 593, 615, 624, 626, 632, 646, 658, 661, 665, 673, 677, 678, 687, 699, 702, 710, 714, 727, 746, 754, 760, 764, 766, 767, 771, 772, 777, 792, 806, 808, 810, 819, 820, 831, 833, 837, 839, 841, 849, 853, 855, 868, 873, 876, 887, 890, 891, 892, 893, 897, 898, 903, 905, 908, 909, 912, 914, 917, 918, 919, 926, 935, 949, 950, 955, 961, 988, 993, 994, 996, 999, 1001, 1004, 1012, 1014, 1018, 1024, 1031, 1035, 1038, 1051]",SNPA.tsv
it be,2,18,"[12, 18, 34, 38, 62, 201, 270, 282, 312, 313, 324, 325, 497, 582, 646, 714, 808, 841, 897, 903, 912, 914, 917, 918, 919, 1038]",SNPA.tsv
be great,2,71,"[12, 71, 337, 454, 839, 876]",SNPA.tsv
great,1,249,"[12, 71, 249, 337, 454, 513, 728, 729, 730, 839, 876]",SNPA.tsv
oh,1,85,"[17, 19, 85, 101, 143, 154, 225, 241, 251, 268, 283, 313, 332, 371, 388, 498, 516, 519, 559, 719, 778, 799, 802, 813, 817, 819, 833, 873, 883, 888, 895, 909, 942, 945, 956, 962, 964, 991, 999, 1010, 1024, 1052]",SNPA.tsv
oh yeah,2,19,"[17, 19, 154, 559, 719, 778, 802, 817, 833, 883, 1010, 1024]",SNPA.tsv
