Expression,Expression_length,Expression_established_position,Expression_uttered_position,file
the hottest,2,1,"[0, 1]",S86J.tsv
the,1,1,"[0, 1, 8, 16, 37, 46, 63, 76, 77, 85, 91, 93, 95, 98, 108, 109, 116, 128, 132, 133, 141, 151, 155, 160, 162, 187, 192, 196, 211, 213, 219, 226, 236, 241, 248, 251, 271, 275, 287, 316, 337, 351, 364, 369, 385, 397, 406, 407, 409, 419, 423, 439, 446]",S86J.tsv
isn't it,2,7,"[0, 7, 48, 52, 180, 203, 265, 314, 343, 386, 440]",S86J.tsv
it's,1,6,"[0, 6, 7, 11, 48, 49, 51, 77, 80, 137, 138, 144, 155, 192, 196, 197, 203, 207, 211, 220, 229, 246, 250, 251, 257, 263, 267, 273, 308, 310, 313, 343, 379, 386, 392, 411, 412, 427, 432]",S86J.tsv
it,1,31,"[0, 2, 7, 31, 32, 44, 45, 46, 47, 48, 52, 57, 78, 82, 83, 90, 92, 93, 108, 126, 144, 162, 172, 180, 195, 196, 203, 204, 212, 235, 238, 249, 265, 286, 294, 305, 310, 314, 319, 329, 330, 343, 352, 354, 355, 378, 386, 391, 411, 412, 419, 425, 426, 427, 428, 432, 437, 439, 440, 441, 442]",S86J.tsv
be,1,10,"[0, 2, 10, 31, 34, 37, 46, 48, 57, 68, 71, 77, 78, 80, 81, 86, 90, 92, 111, 116, 119, 126, 128, 131, 134, 137, 139, 148, 160, 162, 165, 178, 183, 191, 195, 197, 204, 208, 217, 224, 225, 235, 238, 245, 248, 249, 252, 253, 277, 281, 282, 283, 286, 287, 294, 305, 308, 310, 313, 314, 315, 319, 321, 323, 327, 330, 334, 355, 357, 358, 362, 365, 373, 375, 376, 380, 381, 382, 384, 406, 407, 412, 423, 428, 429, 432, 446]",S86J.tsv
to be,2,48,"[0, 48]",S86J.tsv
have,1,46,"[0, 37, 45, 46, 60, 62, 67, 68, 73, 90, 95, 96, 97, 98, 103, 116, 121, 122, 141, 172, 180, 256, 286, 303, 316, 323, 334, 335, 337, 345, 369, 385, 388, 390, 391, 397, 406, 407, 417, 418, 435, 437, 444]",S86J.tsv
to,1,10,"[0, 10, 18, 48, 67, 68, 73, 88, 97, 109, 111, 127, 132, 133, 138, 179, 192, 196, 205, 212, 229, 231, 271, 286, 291, 304, 313, 334, 345, 348, 350, 356, 357, 360, 364, 382, 390, 391, 427, 434, 447]",S86J.tsv
cos,1,105,"[0, 8, 93, 95, 105, 177, 439]",S86J.tsv
now,1,114,"[0, 114, 123, 153, 203, 252, 254, 295, 297, 364, 384, 447]",S86J.tsv
this,1,137,"[0, 60, 85, 137, 184, 185, 197, 207, 216, 221, 236, 294, 296, 342, 364, 367, 377, 406, 431, 434, 447]",S86J.tsv
have to,2,73,"[0, 67, 73, 286, 334, 345, 390, 391]",S86J.tsv
i'll,1,258,"[0, 258, 366, 395, 441]",S86J.tsv
of,1,2,"[1, 2, 30, 47, 83, 97, 105, 108, 131, 133, 192, 218, 251, 278, 289, 313, 316, 337, 349, 395, 411, 447]",S86J.tsv
that,1,30,"[2, 30, 45, 60, 68, 88, 90, 111, 114, 126, 133, 154, 160, 161, 180, 190, 210, 219, 223, 224, 238, 245, 258, 276, 282, 308, 313, 319, 320, 321, 337, 350, 421, 426, 427, 429, 434, 435, 438, 440, 445]",S86J.tsv
be it,2,57,"[2, 57, 90, 92, 195, 235, 249, 294, 305, 310, 412, 428]",S86J.tsv
off,1,137,"[2, 45, 67, 137, 179, 180, 287]",S86J.tsv
most of,2,395,"[2, 395]",S86J.tsv
time,1,5,"[1, 5, 76, 205, 355, 406, 407, 444]",S86J.tsv
holiday,1,5,"[4, 5, 114, 303, 386]",S86J.tsv
mm,1,5,"[3, 5, 9, 30, 33, 36, 37, 39, 41, 42, 50, 53, 55, 76, 81, 91, 115, 120, 124, 125, 143, 196, 199, 200, 230, 237, 258, 270, 290, 315, 337, 340, 357, 361, 377, 387, 395, 405]",S86J.tsv
just,1,90,"[5, 37, 90, 93, 167, 196, 238, 267, 287, 289, 345, 377, 378, 384, 421, 422, 425, 427, 439]",S86J.tsv
that's,1,80,"[5, 8, 56, 80, 110, 128, 134, 172, 175, 177, 180, 199, 228, 302, 323, 333, 378, 391, 440, 445]",S86J.tsv
or,1,90,"[5, 85, 90, 221, 225, 294]",S86J.tsv
but,1,31,"[5, 27, 31, 45, 78, 93, 196, 289, 323, 325, 337, 355, 356]",S86J.tsv
make,1,38,"[8, 15, 37, 38, 45, 56, 95, 96, 98, 108, 121, 128]",S86J.tsv
bite,1,124,"[8, 124, 196, 218, 278, 411]",S86J.tsv
they,1,10,"[8, 10, 37, 38, 67, 75, 90, 93, 129, 134, 135, 226]",S86J.tsv
when,1,46,"[8, 46, 67, 73, 80, 229, 292, 312, 313, 355, 358, 383]",S86J.tsv
stay,1,345,"[8, 289, 345]",S86J.tsv
yeah,1,6,"[1, 6, 11, 13, 19, 20, 21, 27, 58, 65, 79, 80, 84, 102, 104, 112, 140, 159, 160, 166, 174, 176, 178, 181, 184, 202, 206, 225, 241, 247, 253, 260, 264, 301, 308, 309, 313, 341, 344, 349, 350, 358, 372, 386, 403, 410, 416, 436]",S86J.tsv
like,1,11,"[4, 11, 25, 37, 40, 46, 73, 77, 129, 130, 135, 155, 197, 205, 212, 226, 268, 280, 294, 318, 329, 334, 351, 355, 357, 378, 385, 409, 419, 438, 439, 445]",S86J.tsv
i,1,11,"[6, 10, 11, 18, 25, 31, 32, 37, 45, 54, 62, 69, 73, 95, 96, 97, 98, 108, 113, 129, 141, 153, 161, 165, 170, 172, 177, 178, 196, 197, 212, 221, 225, 244, 247, 253, 268, 288, 319, 323, 329, 349, 350, 354, 355, 360, 364, 372, 373, 375, 379, 380, 384, 393, 395, 402, 406, 411, 413, 415, 417, 425, 427, 434, 439, 442, 445, 447]",S86J.tsv
all,1,68,"[11, 68, 76, 91, 155, 175, 197, 291, 323, 362, 407]",S86J.tsv
and,1,18,"[11, 18, 27, 45, 54, 63, 77, 93, 108, 117, 139, 155, 161, 167, 226, 241, 251, 259, 278, 285, 321, 358, 364, 378, 402, 439, 447]",S86J.tsv
think,1,27,"[6, 11, 27, 73, 86, 96, 113, 134, 141, 161, 197, 198, 201, 212, 288, 355, 364, 380, 411]",S86J.tsv
i think,2,73,"[6, 11, 73, 141, 161, 197, 355, 364, 411]",S86J.tsv
erm,1,192,"[11, 186, 191, 192, 199, 212, 271, 329, 346, 385, 421, 439]",S86J.tsv
you,1,16,"[15, 16, 18, 27, 28, 48, 61, 75, 78, 83, 91, 93, 96, 99, 103, 109, 116, 118, 123, 134, 135, 138, 146, 161, 162, 164, 177, 179, 183, 196, 198, 201, 208, 211, 213, 214, 216, 217, 219, 226, 238, 239, 243, 252, 254, 256, 258, 261, 263, 271, 275, 276, 277, 287, 288, 289, 291, 293, 303, 304, 306, 313, 318, 330, 334, 335, 337, 342, 345, 347, 356, 358, 359, 360, 376, 379, 381, 389, 400, 403, 406, 411, 416, 420, 426, 427, 429, 435, 437, 439, 447]",S86J.tsv
one,1,22,"[15, 22, 30, 77, 168, 178, 251, 259, 261, 446]",S86J.tsv
if,1,15,"[10, 15, 68, 97, 127, 304, 306, 337, 342, 350]",S86J.tsv
you're,1,68,"[15, 68, 77, 171, 229, 372, 374, 418, 422]",S86J.tsv
can,1,170,"[15, 37, 78, 91, 170, 216, 291, 426, 447]",S86J.tsv
oh yeah,2,20,"[19, 20, 21, 264]",S86J.tsv
oh,1,23,"[19, 20, 21, 23, 24, 106, 110, 145, 163, 212, 247, 264, 284, 287, 304, 337, 372, 385, 390]",S86J.tsv
in,1,27,"[4, 10, 27, 35, 46, 63, 85, 108, 116, 144, 145, 153, 176, 178, 196, 217, 219, 221, 224, 238, 286, 288, 289, 360, 423, 444]",S86J.tsv
a,1,27,"[22, 27, 47, 54, 63, 68, 73, 94, 95, 97, 103, 105, 131, 133, 144, 151, 153, 155, 178, 196, 203, 205, 207, 211, 219, 221, 238, 246, 254, 267, 273, 289, 316, 323, 334, 355, 360, 378, 391, 392, 411, 414, 418, 432, 433]",S86J.tsv
about,1,27,"[10, 27, 37, 192, 201, 249, 251, 323, 324, 435]",S86J.tsv
in a,2,178,"[27, 178, 238, 360]",S86J.tsv
put,1,369,"[27, 35, 45, 67, 196, 369]",S86J.tsv
as,1,29,"[4, 29, 369, 417]",S86J.tsv
as well,2,313,"[29, 313]",S86J.tsv
i've,1,44,"[35, 44, 254, 315, 320, 321, 323, 444]",S86J.tsv
i don't like,3,37,"[25, 37, 445]",S86J.tsv
only,1,77,"[37, 77, 137, 380]",S86J.tsv
don't,1,86,"[25, 37, 86, 93, 96, 113, 129, 191, 196, 232, 256, 288, 315, 319, 323, 325, 329, 337, 350, 354, 369, 380, 409, 416, 425, 434, 439, 445]",S86J.tsv
i don't,2,31,"[25, 31, 37, 96, 113, 129, 196, 212, 288, 319, 323, 350, 354, 380, 425, 434, 445]",S86J.tsv
he,1,108,"[37, 43, 108]",S86J.tsv
them,1,111,"[37, 111, 205, 229, 231, 385, 444]",S86J.tsv
up,1,37,"[22, 37, 67, 138, 141, 200, 219, 244, 252, 286, 319, 447]",S86J.tsv
do,1,43,"[16, 28, 43, 68, 75, 83, 109, 134, 146, 148, 153, 161, 164, 165, 198, 201, 205, 211, 212, 213, 216, 221, 224, 243, 247, 256, 261, 271, 275, 293, 313, 332, 333, 337, 350, 352, 360, 400, 406, 425, 427, 429, 432, 439, 443]",S86J.tsv
for,1,45,"[16, 45, 48, 53, 64, 68, 77, 85, 108, 116, 150, 238, 272, 289, 291, 294, 298, 303, 312, 355, 376, 379, 385, 427]",S86J.tsv
good,1,48,"[45, 48, 73, 98, 126, 147, 203, 207, 228]",S86J.tsv
once,1,400,"[45, 400]",S86J.tsv
me,1,359,"[45, 53, 56, 123, 153, 168, 180, 240, 358, 359, 376, 390, 391, 400, 430]",S86J.tsv
on,1,47,"[22, 47, 70, 72, 85, 111, 114, 119, 167, 196, 201, 241, 246, 263, 276, 322, 337, 342, 369, 378, 388, 395, 407, 432]",S86J.tsv
there's,1,47,"[46, 47, 281, 350, 391]",S86J.tsv
it on,2,432,"[47, 432]",S86J.tsv
high,1,52,"[51, 52]",S86J.tsv
mm not,2,53,"[30, 53]",S86J.tsv
not,1,59,"[30, 53, 59, 73, 74, 90, 92, 144, 158, 172, 192, 196, 212, 213, 224, 225, 310, 323, 350, 370, 378, 406, 407, 412, 418, 427]",S86J.tsv
what,1,56,"[4, 18, 56, 75, 111, 128, 129, 134, 135, 146, 148, 150, 154, 164, 165, 199, 201, 208, 224, 245, 249, 277, 293, 298, 307, 313, 323, 324, 333, 348, 380, 381, 388, 406, 420, 422, 427, 428, 434, 438, 439, 443]",S86J.tsv
that's what,2,128,"[56, 128, 134, 199, 333]",S86J.tsv
your,1,68,"[60, 68, 145, 201, 303, 358, 378, 394, 406, 439, 444]",S86J.tsv
very,1,121,"[60, 121, 194]",S86J.tsv
didn't,1,337,"[60, 85, 93, 109, 225, 337, 427]",S86J.tsv
from,1,74,"[12, 74, 254, 261, 304, 377]",S86J.tsv
not hear,2,74,"[30, 74]",S86J.tsv
hear,1,367,"[74, 367, 442]",S86J.tsv
mm hm,2,237,"[76, 115, 120, 196, 199, 237, 270, 361, 377, 395, 405]",S86J.tsv
leave,1,103,"[81, 103, 109, 124, 175]",S86J.tsv
much,1,81,"[6, 10, 81, 124, 196, 303, 311, 423, 424]",S86J.tsv
how much,2,303,"[81, 196, 303, 311, 423, 424]",S86J.tsv
how,1,81,"[61, 81, 161, 190, 191, 196, 211, 223, 303, 311, 335, 423, 424]",S86J.tsv
okay,1,83,"[7, 83, 86, 220, 232, 239, 293, 304, 314, 379, 404]",S86J.tsv
of it,2,108,"[83, 108, 411]",S86J.tsv
you do,2,83,"[16, 83, 164, 216, 256, 429]",S86J.tsv
out,1,327,"[83, 155, 327, 391, 441]",S86J.tsv
didn't you,2,337,"[83, 337]",S86J.tsv
so,1,85,"[10, 46, 73, 77, 85, 170, 183, 212, 304, 386, 390, 411]",S86J.tsv
at,1,85,"[73, 77, 85, 97, 151, 160, 161, 208, 277, 323, 355, 381, 382, 385, 420]",S86J.tsv
in the morning,3,85,"[63, 85, 108, 116]",S86J.tsv
go,1,85,"[73, 80, 85, 97, 108, 111, 167, 185, 192, 241, 251, 268, 271, 276, 287, 291, 304, 306, 307, 313, 322, 337, 342, 347, 358, 402]",S86J.tsv
flat,1,85,"[80, 85, 226]",S86J.tsv
many,1,85,"[46, 85, 246, 417]",S86J.tsv
morning,1,377,"[63, 85, 377]",S86J.tsv
uh,1,108,"[89, 108, 242]",S86J.tsv
might,1,89,"[73, 89, 238, 360]",S86J.tsv
see,1,91,"[88, 91, 127, 213, 223, 304, 403, 416, 423, 435, 437]",S86J.tsv
why,1,93,"[66, 93, 148, 171, 185, 287, 319, 406, 429]",S86J.tsv
work,1,93,"[90, 92, 93, 151, 160, 161, 162, 201, 278, 391]",S86J.tsv
bring,1,94,"[93, 94, 127, 397]",S86J.tsv
say,1,93,"[10, 93, 98, 109, 146, 199, 293, 328, 337, 393, 406, 435, 443]",S86J.tsv
don't know,2,315,"[93, 129, 191, 196, 315, 323, 325, 350, 354, 425]",S86J.tsv
you don't,2,337,"[93, 337, 416]",S86J.tsv
know,1,93,"[16, 18, 93, 129, 191, 196, 225, 240, 289, 315, 319, 321, 323, 325, 350, 354, 379, 425]",S86J.tsv
bring the,2,397,"[93, 397]",S86J.tsv
bed,1,96,"[95, 96, 98]",S86J.tsv
i make,2,108,"[95, 108]",S86J.tsv
look,1,116,"[95, 97, 116, 129, 135, 208, 277, 323, 377, 381, 382, 384, 419, 420]",S86J.tsv
she,1,148,"[95, 148, 151, 199, 200, 328, 443]",S86J.tsv
