speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file
4,622,854,5900,0.18208430913348947,125,132,164,201,SBQZ.tsv
4,114,262,827,0.10877862595419847,39,6,36,33,SPC7.tsv
4,768,874,5674,0.21967963386727687,246,170,208,144,S2UJ.tsv
4,1483,1496,17661,0.24782754010695188,536,521,267,159,S5PW.tsv
4,421,561,2799,0.1876114081996435,131,140,143,7,S5J8.tsv
4,420,702,3910,0.14957264957264957,105,145,123,47,S7PU.tsv
4,1564,1603,16539,0.24391765439800375,430,333,495,306,SDJA.tsv
4,1963,1979,19474,0.2479787771601819,580,282,635,466,SVBB.tsv
4,807,1171,12480,0.17228864218616566,29,379,377,22,SV5A.tsv
4,565,638,4024,0.2213949843260188,117,144,183,121,STBW.tsv
4,395,590,2818,0.1673728813559322,120,122,73,80,SPZ4.tsv
4,305,488,2274,0.15625,85,59,116,45,SP45.tsv
4,1161,1281,11542,0.2265807962529274,247,370,260,284,SWFJ.tsv
4,424,583,2858,0.18181818181818182,138,131,134,21,SGMQ.tsv
4,762,793,6376,0.24022698612862547,217,156,161,228,S99N.tsv
4,1013,1088,8057,0.23276654411764705,301,280,260,172,S5UJ.tsv
4,392,608,2809,0.1611842105263158,103,27,120,142,S7WW.tsv
4,1927,1677,18893,0.2872689326177698,473,498,583,373,SKHW.tsv
4,336,439,2585,0.19134396355353075,71,133,26,106,S37Y.tsv
4,1433,1351,14647,0.2651739452257587,428,331,475,199,S8RC.tsv
4,1166,1291,9852,0.2257939581719597,331,324,402,109,S4HW.tsv
4,1669,1591,16098,0.26225644248900065,432,491,345,401,SHAZ.tsv
4,122,308,1134,0.09902597402597403,23,45,43,11,S6H4.tsv
4,1106,1043,9115,0.2651006711409396,279,280,194,353,SQ6Z.tsv
4,390,616,4710,0.15827922077922077,150,109,108,23,SFB9.tsv
4,509,544,3770,0.2339154411764706,147,153,99,110,SXK2.tsv
4,274,480,2132,0.14270833333333333,70,105,50,49,S39D.tsv
4,1177,1243,10013,0.23672566371681417,238,292,345,302,S2DD.tsv
4,887,918,6653,0.24155773420479304,263,160,272,192,SUWR.tsv
4,426,802,4378,0.1327930174563591,149,136,102,39,S99Z.tsv
4,919,985,7488,0.233248730964467,292,234,156,237,ST25.tsv
4,954,918,7608,0.25980392156862747,288,272,211,183,SJNC.tsv
4,1622,1658,16619,0.24457177322074788,565,182,507,368,S3YZ.tsv
4,361,497,2220,0.18158953722334004,80,112,86,83,SHCG.tsv
4,681,775,6151,0.2196774193548387,126,164,179,212,SFXU.tsv
4,1735,1731,18791,0.250577700751011,494,345,403,493,SJNB.tsv
4,949,875,8777,0.27114285714285713,240,262,288,159,SVP4.tsv
