speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,file,av_er_ratio
3,828,870,6095,0.317241379,273,338,217,S6PD.tsv,0.605358317
3,555,610,3942,0.303278689,190,215,150,STQF.tsv,0.517503805
3,952,885,6475,0.358568738,264,319,369,SHC3.tsv,0.626548947
3,871,943,6317,0.307882644,335,318,218,SJW4.tsv,0.640652208
3,1122,1066,8365,0.350844278,426,299,397,S8K6.tsv,0.665856622
3,423,536,3477,0.263059701,204,204,15,SQNA.tsv,0.621800403
3,475,427,2271,0.370804059,151,165,159,SDAA.tsv,0.569916189
3,1065,1053,8298,0.337132004,410,383,272,SMKK.tsv,0.608218848
3,784,823,5891,0.317537465,315,246,223,SHX8.tsv,0.626104691
3,1036,1149,10742,0.300551204,443,439,154,S8RU.tsv,0.670206819
3,1610,1641,19585,0.32703636,477,605,528,S3C6.tsv,0.659943835
3,2201,2046,40291,0.358585859,857,788,556,SJB4.tsv,0.729170286
3,1071,1184,10187,0.30152027,484,479,108,SQWC.tsv,0.655406069
3,872,870,7062,0.334099617,361,376,135,S5MM.tsv,0.652750071
3,994,1034,8217,0.320438427,400,401,193,SUNR.tsv,0.644065733
3,1562,1539,19840,0.338314923,637,630,295,SW6K.tsv,0.680619295
3,1143,1110,10026,0.343243243,452,243,448,S9B9.tsv,0.653500898
3,677,624,4243,0.361645299,244,198,235,SES2.tsv,0.623379684
3,536,532,2838,0.335839599,216,136,184,S5XL.tsv,0.580952381
3,207,271,733,0.254612546,70,59,78,SNBD.tsv,0.456981664
3,859,939,7517,0.304934327,371,374,114,S5B6.tsv,0.644503664
3,1074,929,7886,0.385360603,356,378,340,S555.tsv,0.659342071
3,1187,1017,8111,0.38905277,418,394,375,SRHV.tsv,0.637652571
3,1027,989,8587,0.346140883,357,373,297,S59W.tsv,0.641784092
3,929,859,5686,0.360496702,372,287,270,S839.tsv,0.632254661
3,1185,1437,15913,0.274878219,273,477,435,SDXW.tsv,0.606548105
3,1546,1846,24533,0.279162152,686,188,672,SVKH.tsv,0.706256628
3,687,628,4070,0.364649682,257,200,230,SDAB.tsv,0.614967996
3,1217,1240,13508,0.327150538,250,494,473,SZJ7.tsv,0.657360782
3,1128,1245,11059,0.302008032,470,486,172,SXRR.tsv,0.650950226
3,726,759,4952,0.31884058,220,282,224,SBCL.tsv,0.606421648
3,476,427,2227,0.371584699,178,155,143,SUC7.tsv,0.587337225
3,619,619,3532,0.333333333,226,162,231,S9CH.tsv,0.603907135
3,766,800,5142,0.319166667,269,249,248,S75W.tsv,0.632049786
3,734,786,4549,0.311280746,291,223,220,SP3F.tsv,0.619037151
3,1015,1041,7361,0.325008005,300,338,377,S2QU.tsv,0.641488928
3,325,393,1773,0.275657337,93,106,126,S9UA.tsv,0.511562324
3,995,888,7471,0.373498498,390,386,219,SQVW.tsv,0.670460632
3,374,376,1778,0.331560284,95,149,130,S3A9.tsv,0.469628796
3,405,423,2114,0.319148936,159,147,99,S3CP.tsv,0.577578051
3,1029,1070,11360,0.320560748,278,388,363,S38P.tsv,0.623943662
