speaker_number,vo_overlap,vo_total,total_token_number,overlap,s1_and_other,s2_and_other,s3_and_other,s4_and_other,file,av_er_ratio
4,1976,1603,16539,0.308172177,543,426,603,404,SDJA.tsv,0.661025174
4,2398,1979,19474,0.302930773,696,377,753,572,SVBB.tsv,0.680022602
4,1062,1171,12480,0.226729291,57,488,486,31,SV5A.tsv,0.671355088
4,839,638,4024,0.328761755,177,212,262,188,STBW.tsv,0.585735586
4,654,590,2818,0.277118644,187,192,133,142,SPZ4.tsv,0.587295955
4,538,488,2274,0.275614754,147,117,185,89,SP45.tsv,0.524186456
4,1547,1281,11542,0.301912568,346,476,344,381,SWFJ.tsv,0.65170681
4,672,583,2858,0.288164666,211,207,205,49,SGMQ.tsv,0.600069979
4,1115,793,6376,0.351513241,310,242,238,325,S99N.tsv,0.667607843
4,1364,1088,8057,0.313419118,395,369,352,248,S5UJ.tsv,0.635844607
4,637,608,2809,0.261924342,167,60,190,220,S7WW.tsv,0.565325739
4,2367,1677,18893,0.352862254,587,609,698,473,SKHW.tsv,0.677843419
4,551,439,2585,0.313781321,120,204,58,169,S37Y.tsv,0.619195046
4,1858,1351,14647,0.343819393,540,438,593,287,S8RC.tsv,0.660681368
4,1545,1291,9852,0.299186677,435,423,512,175,S4HW.tsv,0.628806334
4,2085,1591,16098,0.327624136,532,600,444,509,SHAZ.tsv,0.694201007
4,258,308,1134,0.209415584,52,88,89,29,S6H4.tsv,0.392416226
4,1476,1043,9115,0.353787152,372,375,278,451,SQ6Z.tsv,0.630164371
4,644,616,4710,0.261363636,230,178,183,53,SFB9.tsv,0.659371016
4,804,544,3770,0.369485294,223,231,167,183,SXK2.tsv,0.623872679
4,460,480,2132,0.239583333,116,166,88,90,S39D.tsv,0.542937588
4,1575,1243,10013,0.316773934,329,392,451,403,S2DD.tsv,0.646835316
4,1240,918,6653,0.337690632,355,235,367,283,SUWR.tsv,0.624623267
4,702,802,4378,0.21882793,235,215,174,78,S99Z.tsv,0.538145272
4,1285,985,7488,0.326142132,390,332,235,328,ST25.tsv,0.660192874
4,1290,918,7608,0.35130719,383,364,286,257,SJNC.tsv,0.66298633
4,2031,1658,16619,0.306242461,677,264,618,472,S3YZ.tsv,0.677116553
4,608,497,2220,0.30583501,134,183,147,144,SHCG.tsv,0.573755656
4,1009,775,6151,0.325483871,196,239,270,304,SFXU.tsv,0.629435814
4,2175,1731,18791,0.314124783,607,449,512,607,SJNB.tsv,0.673567133
4,1311,875,8777,0.374571429,330,361,383,237,SVP4.tsv,0.636550543
4,1134,1038,7606,0.273121387,233,399,219,283,SASC.tsv,0.613200105
4,1469,1205,9684,0.304771784,371,354,335,409,SWZA.tsv,0.64229576
4,1981,1437,13319,0.344641614,377,434,553,617,SKDA.tsv,0.661686313
4,582,571,3295,0.254816112,213,156,199,14,SLBG.tsv,0.602516882
4,1197,1009,7767,0.296580773,383,269,249,296,SPHU.tsv,0.65623793
4,1793,1385,16446,0.323646209,406,347,588,452,SUVS.tsv,0.691540473
4,802,650,3529,0.308461538,229,198,239,136,SNCR.tsv,0.60017002
4,863,602,3855,0.358388704,264,214,208,177,SNMN.tsv,0.628274968
4,445,471,2145,0.236199575,178,176,88,3,SWVQ.tsv,0.565258216
4,1012,1050,8116,0.240952381,390,371,184,67,SJ7N.tsv,0.636890094
4,1136,1010,7297,0.281188119,339,326,282,189,SZJ3.tsv,0.634665568
4,1361,1093,8328,0.311299177,370,251,400,340,SVD4.tsv,0.623513871
4,1690,1338,12960,0.315769806,521,404,296,469,SH4V.tsv,0.672530864
4,474,500,2376,0.237,158,163,142,11,SCG7.tsv,0.580522766
4,1759,1352,16323,0.325258876,591,526,316,326,STH5.tsv,0.692217923
4,606,468,3039,0.323717949,181,91,148,186,S7UX.tsv,0.628825271
4,2543,1920,21090,0.331119792,674,483,692,694,S23A.tsv,0.693212541
4,1938,1496,14954,0.323863636,435,592,389,522,S2EF.tsv,0.645512906
4,2146,1589,19290,0.337633732,589,573,601,383,S784.tsv,0.680715397
4,868,1024,10527,0.211914063,10,400,401,57,SES6.tsv,0.668060439
4,2407,1707,20889,0.352519039,711,636,664,396,SBM6.tsv,0.687433901
4,1609,1329,12774,0.302671181,451,375,441,342,S355.tsv,0.666353531
4,1397,1036,8827,0.3371139,422,287,368,320,S3M9.tsv,0.654518619
4,1701,1385,10713,0.307039711,435,499,337,430,S8JW.tsv,0.65066318
4,158,290,1029,0.136206897,27,41,28,62,S3TZ.tsv,0.47322298
4,2258,1673,23386,0.337417812,733,550,463,512,SA2J.tsv,0.708780634
4,1909,1621,17294,0.294417027,484,423,421,581,S4QF.tsv,0.697236036
4,805,676,3724,0.297707101,176,273,146,210,S3N4.tsv,0.595327605
4,1877,1501,15153,0.312624917,364,376,579,558,S35U.tsv,0.672652846
4,1047,973,5541,0.269013361,299,256,285,207,S9ZL.tsv,0.614870962
4,3593,2621,34907,0.342712705,873,856,1026,838,SL9V.tsv,0.678517203
4,1529,1214,11027,0.314868204,239,491,436,363,SW5B.tsv,0.659647849
4,7118,4827,114561,0.36865548,1752,2069,1911,1386,SUVQ.tsv,0.735779704
4,1417,1043,9483,0.339645254,420,472,163,362,SN98.tsv,0.670568386
4,2066,1366,21055,0.378111274,515,336,614,601,SR3K.tsv,0.678371187
4,728,624,3745,0.291666667,189,195,240,104,SHLT.tsv,0.590654206
4,1753,1352,12546,0.324149408,462,451,437,403,S3U3.tsv,0.676020204
4,734,701,4280,0.261768902,248,145,201,140,SH5J.tsv,0.621862538
4,1240,937,6006,0.330843116,334,325,288,293,STKW.tsv,0.600366483
